UniprotID	Q9NZQ3-3
pNuLoCScore	0.24831441666666665,0.243058402,0.23837573363636363,0.23648925166666665,0.23757169615384613,0.23987377357142856,0.24206593666666668,0.24307164687500002,0.2435112817647059,0.2313760641176471,0.2271684576470589,0.22694696352941182,0.22406705294117651,0.22328654411764712,0.22606333117647062,0.22868580588235293,0.23067025705882352,0.2328051288235294,0.23370718823529413,0.2360145264705882,0.2366053323529412,0.23525888411764706,0.23273642705882355,0.22984083000000002,0.23194368588235298,0.2267705894117647,0.21734416235294124,0.2081325302941177,0.19963293500000004,0.1912682420588235,0.18242458029411762,0.1741152508823529,0.1662890579411765,0.15896434529411763,0.15199594823529408,0.14684134294117646,0.1408000370588235,0.13547755529411767,0.1293902188235294,0.12375663176470587,0.118857,0.11075760705882352,0.11039971764705882,0.11393300294117646,0.11788300617647059,0.12232430441176471,0.1272084255882353,0.13097891088235294,0.13506278264705884,0.1383903861764706,0.1413353558823529,0.1449072894117647,0.1475704194117647,0.15026296999999997,0.15253046764705877,0.15523727882352942,0.17056332176470587,0.18464303294117645,0.19559806411764705,0.2069317111764706,0.21777172647058823,0.2277028476470588,0.23569957235294114,0.24431656294117646,0.2532593247058823,0.26104718,0.2686539270588235,0.2763188717647059,0.2830069211764705,0.2893130858823529,0.2949572164705882,0.3007004682352941,0.3070390164705883,0.30050089705882355,0.2948443370588235,0.29100130764705884,0.2862471970588235,0.2831934811764706,0.28068376588235294,0.2800829952941176,0.2790345482352941,0.27809047294117645,0.27750695411764714,0.27749710294117647,0.27724876294117645,0.27727453176470584,0.2774383335294117,0.2775623617647059,0.2724075576470589,0.2701872035294117,0.2699871405882353,0.26981614411764704,0.2689216617647059,0.2698818911764706,0.27091956882352936,0.27190591,0.2728930452941176,0.2737409782352941,0.27444275941176466,0.27505543352941175,0.27583768823529414,0.27707428705882353,0.2780813211764706,0.27957018411764706,0.28165261999999996,0.28893997999999993,0.29268360941176463,0.29425179411764707,0.29511032000000004,0.2971109247058824,0.2978523205882353,0.298534344117647,0.299533664117647,0.3004710729411764,0.30185333352941174,0.30362049235294114,0.3057290276470588,0.3076709488235294,0.3095651547058824,0.3116019382352942,0.3155698970588236,0.3186052441176471,0.32130631647058827,0.3247516035294118,0.3288910317647059,0.3341478823529412,0.33972032588235296,0.3455099723529412,0.35113417529411767,0.3556579141176471,0.360021714117647,0.3640132794117647,0.367842694117647,0.37132018823529417,0.37493926352941176,0.37823271411764703,0.38154294764705876,0.3829931435294117,0.3855833335294117,0.3885957817647058,0.3916765529411763,0.3950260147058823,0.39878417882352934,0.40307396352941166,0.4077676976470587,0.41281466999999994,0.41954310294117647,0.4266839805882353,0.43449949000000004,0.4426955105882353,0.45134390470588237,0.4600080794117648,0.47079941470588244,0.48531639470588234,0.49970415764705883,0.5143020711764705,0.5304579829411765,0.5461232335294117,0.5610008376470588,0.5747694547058824,0.5876566588235294,0.5997666352941176,0.6111567129411763,0.6218459211764704,0.6320512094117645,0.6415346123529408,0.6506590417647057,0.6597383417647057,0.6688576670588234,0.6761289164705881,0.6794400135294116,0.6824974170588235,0.6868244658823529,0.6910812776470587,0.6942085229411765,0.6980061229411765,0.7030533323529412,0.7086939658823529,0.7141598011764705,0.7195770970588234,0.7251514852941175,0.7309846499999999,0.737054188235294,0.7432425764705882,0.7527379441176469,0.7619045594117645,0.7708637141176469,0.7798907252941174,0.7889909805882351,0.7959565088235292,0.8013050264705881,0.8077427735294116,0.8133981541176469,0.8179211505882352,0.8218711976470587,0.8260861005882354,0.8305252023529412,0.8347527376470589,0.8386792294117648,0.8423695905882352,0.8458714905882353,0.8456727523529411,0.8454861235294118,0.8452460982352941,0.845015784117647,0.8448388370588236,0.8449236194117649,0.8449928899999999,0.8450267876470587,0.8449915070588235,0.8449096752941176,0.8447020247058823,0.8444652017647057,0.844269704117647,0.8440811511764705,0.8439043323529412,0.8437245888235294,0.8437466947058825,0.8436512241176471,0.8437191552941178,0.8437889041176472,0.8438792041176472,0.8439713511764707,0.8437720017647059,0.8436219235294118,0.8431828229411764,0.8427265876470588,0.842356132352941,0.842287318235294,0.8423872223529412,0.8424550011764707,0.8425275717647059,0.8425760635294118,0.8425892870588236,0.8423878364705883,0.8422972070588234,0.8420503129411765,0.8417985229411764,0.8415108847058824,0.8412112235294119,0.8411966882352941,0.8411689605882353,0.8414120076470589,0.8416904429411765,0.8419159923529412,0.842018221764706,0.8420335229411764,0.8420987058823528,0.8422195294117646,0.842561070588235,0.8429247058823528,0.8431165347058823,0.8432742994117647,0.8435655329411765,0.8440059094117648,0.844717904117647,0.8454792888235294,0.8462493447058824,0.8470126858823529,0.8477578064705882,0.8484617888235293,0.849073186470588,0.8495381711764703,0.8498872299999998,0.8501984817647058,0.8504303429411763,0.8504791329411764,0.8505186152941175,0.8507320876470588,0.8510091700000001,0.8512026641176471,0.8512456052941176,0.8510536994117647,0.8508371935294118,0.8505898494117649,0.850343814117647,0.8501130464705884,0.8498945229411765,0.8497624135294117,0.8496668523529411,0.849138934117647,0.8487830070588233,0.8484156952941175,0.8482100288235292,0.8481137370588234,0.8478178488235294,0.8474290400000001,0.8468735947058824,0.8462252376470589,0.8455110370588236,0.8448252841176472,0.844107151764706,0.8433975517647059,0.8427504370588236,0.8421407311764706,0.8415629488235293,0.84094699,0.8407379523529412,0.8403482894117646,0.8399079299999999,0.839246935882353,0.8382506158823528,0.8375528947058822,0.836937674117647,0.8364680270588236,0.8361167076470587,0.8357983694117647,0.835471245882353,0.8352129864705882,0.8349611076470589,0.8346050164705884,0.83426444,0.8343151752941178,0.8346895605882354,0.8349593176470589,0.8346657588235296,0.8344940452941177,0.8344062923529412,0.8344954788235294,0.8344116117647059,0.8342230882352941,0.8340093588235296,0.8335964311764706,0.8331181923529412,0.8323936511764707,0.8316329252941177,0.8306730764705882,0.8298565876470586,0.828936552352941,0.827626238235294,0.8260240899999999,0.8246703176470589,0.8239272529411764,0.8232407352941177,0.8225888147058823,0.8220891752941175,0.8217233635294118,0.8214402835294117,0.8212773717647058,0.8213535676470588,0.8215524505882352,0.8220197129411765,0.822498548235294,0.8232066699999999,0.8241898411764705,0.8252094958823529,0.8265662570588235,0.8276880694117645,0.8285985611764706,0.8297420847058821,0.8308802023529411,0.8320595429411763,0.8331819076470587,0.8342505417647058,0.8353176099999997,0.8362915041176471,0.8372726211764705,0.8382677805882351,0.8392767858823531,0.8403138529411764,0.8412070311764707,0.8416776488235294,0.8422416564705884,0.8424841405882353,0.8430789911764704,0.843812735882353,0.844306518235294,0.8447153417647059,0.8450004482352941,0.8452409452941176,0.8454163688235293,0.8454988688235294,0.84561851,0.8456770523529411,0.8456653347058822,0.8456194905882353,0.8451705623529411,0.8444502899999999,0.8442824988235293,0.8443848599999999,0.8444845858823529,0.8445963858823529,0.8448592141176469,0.8450619552941175,0.8452908199999999,0.8454360052941174,0.8455252158823529,0.8456292841176469,0.8456771870588233,0.845714948235294,0.8458037764705882,0.8459954023529412,0.8462165317647059,0.846844571764706,0.8478209423529413,0.8483180105882353,0.8484234988235295,0.8483917505882353,0.8482595241176472,0.8480227782352942,0.8478642311764705,0.8476664311764706,0.8475256194117646,0.8474950841176471,0.847494984117647,0.8475817694117648,0.8476034964705883,0.8476062205882354,0.8479129,0.8484335882352941,0.8490476623529413,0.8496953035294117,0.8502526823529412,0.8505780235294118,0.850806344117647,0.850930844117647,0.8507401347058823,0.8502503052941177,0.8497071052941176,0.8491924670588236,0.8486694923529412,0.8482385017647059,0.8479288164705883,0.8476921223529412,0.84745696,0.8468373099999998,0.8459657376470586,0.8449529964705882,0.8438983964705882,0.8429132964705882,0.8421637758823527,0.8414395794117646,0.8406974529411764,0.840270011764706,0.840133617647059,0.8400910729411766,0.840065687647059,0.8400252841176472,0.8399096452941177,0.83977111,0.8393962511764705,0.83913646,0.8386985164705884,0.8380330300000001,0.8371515300000001,0.8356967923529414,0.8343354335294118,0.83277286,0.8307440035294118,0.8285859447058824,0.8265027741176472,0.8244185152941178,0.8221276982352943,0.8199607452941178,0.8178081747058825,0.8157851982352942,0.8137847717647061,0.8119516188235294,0.8099260252941176,0.8079810158823528,0.8062853905882352,0.8048337258823528,0.8039203617647059,0.8028194470588235,0.8020446470588235,0.801901094117647,0.8019796705882353,0.8018418176470589,0.801680631764706,0.8016800252941176,0.8015769817647059,0.8014304247058823,0.8000152364705883,0.799077871764706,0.7986341541176472,0.7984881741176472,0.7985612647058824,0.7985885564705884,0.7986781623529414,0.7988199288235296,0.7991307082352943,0.7994194282352942,0.7997176605882353,0.8000692805882352,0.8004030511764706,0.8005244252941177,0.8004758370588236,0.8001798647058824,0.7999354964705883,0.8007900476470589,0.8011063982352942,0.8008685570588235,0.8002704570588235,0.7994108782352941,0.7985716376470589,0.7975164229411764,0.796148981764706,0.7945992076470588,0.7928908717647059,0.790973115882353,0.7889642994117648,0.786912275882353,0.7849291641176471,0.7830345288235294,0.7749600176470589,0.7676274329411765,0.7610857347058824,0.7542099570588237,0.7479366611764705,0.7419460317647059,0.7360994888235294,0.7303656276470587,0.7248626147058823,0.7197976029411765,0.7148628852941177,0.7100354011764705,0.7054196894117647,0.7008847035294119,0.6965223623529413,0.6923037529411765,0.6882912035294119,0.6906597011764708,0.6922892152941177,0.693236148235294,0.6946056594117646,0.6955063670588234,0.6962399376470587,0.6969688570588235,0.6975744452941176,0.6981468317647058,0.6986152494117648,0.6990532647058824,0.6995244470588234,0.6999918352941176,0.700416905882353,0.7008229741176469,0.7024929717647059,0.703632571764706,0.7037875482352941,0.70287355,0.7010721935294117,0.6994361405882352,0.6978089082352942,0.6960297905882352,0.6941078276470588,0.6920209923529412,0.6901807764705883,0.6883304023529413,0.6866585711764707,0.685026341764706,0.683434335882353,0.6818923535294117,0.6803343029411764,0.6776452147058823,0.6754684658823528,0.674369136470588,0.6743651952941175,0.6751652776470587,0.6756499023529412,0.6760770405882353,0.6766239052941176,0.6773297894117647,0.6782639217647057,0.6788936411764704,0.6795662035294118,0.6800673111764705,0.6805336370588233,0.680980952352941,0.6810494723529412,0.6809462605882352,0.6807318505882352,0.6808344288235295,0.6809934170588237,0.6810333905882354,0.6807972023529412,0.6805811111764707,0.6802880729411767,0.67973517,0.678645845882353,0.6777630870588237,0.6770176070588235,0.6763825952941177,0.675895054117647,0.675537228235294,0.6752745482352941,0.675426725882353,0.6758119052941176,0.6761719152941176,0.6760993776470587,0.6758725835294119,0.6757518805882353,0.6759933317647059,0.6763741611764706,0.6768653405882352,0.677683614117647,0.6791628758823529,0.6803993182352941,0.6815456400000001,0.6825512476470589,0.6834217123529411,0.6833425694117647,0.6833996205882354,0.6834315052941178,0.6837734435294118,0.6844014317647059,0.68514399,0.6858819370588235,0.6866528076470588,0.6874293623529413,0.6881724211764706,0.688831635882353,0.68942832,0.6898323229411764,0.6901472070588235,0.6903467000000001,0.6904512082352942,0.6904035529411764,0.6911090547058824,0.6915511947058824,0.692025297647059,0.692215071764706,0.6921933129411766,0.6921068629411766,0.692017571764706,0.6917805247058825,0.6915073776470589,0.691169865882353,0.6908359629411764,0.690477788235294,0.6901745652941175,0.6899567476470587,0.6897971917647059,0.6892993664705882,0.6895869394117646,0.6899727952941177,0.6904823864705882,0.690967455882353,0.6913741347058824,0.6917950111764706,0.6920091817647058,0.6919314317647057,0.6919299729411763,0.6918636141176469,0.6919148376470589,0.691862914117647,0.6918034929411764,0.6917590558823529,0.6916964264705882,0.6915696205882353,0.6919033182352942,0.691585135882353,0.6911604447058823,0.6905901447058823,0.68999427,0.6894322370588234,0.6887838399999999,0.6883356252941176,0.6881338370588236,0.68791454,0.6877434988235295,0.6874887547058824,0.68737849,0.6873161547058824,0.6872274735294118,0.6863811205882353,0.6859360352941177,0.6859685117647059,0.6860851023529412,0.6864106611764705,0.686722914117647,0.6868939341176469,0.6868905494117646,0.6869097817647057,0.6868572905882352,0.6868277611764705,0.6866574229411765,0.6865417817647058,0.6864859847058823,0.6865021964705882,0.6865664870588235,0.6866300017647059,0.6874785488235294,0.6880246164705882,0.6880638988235294,0.6879162023529412,0.6876224770588235,0.6874430794117647,0.6874262705882352,0.6875571141176472,0.6876363317647058,0.6877357023529411,0.6878662999999999,0.6881498764705883,0.6883772176470588,0.6885479352941177,0.6885686823529413,0.6865388388235295,0.6858056270588236,0.6851875070588235,0.6844556776470588,0.6837489305882353,0.6829007635294116,0.6821582594117646,0.6814876217647059,0.6806704776470588,0.6797249835294118,0.678752665882353,0.67813472,0.6774516573333335,0.6766764685714285,0.6757466507692308,0.6746304133333334,0.6734347418181819,0.675395766,0.6753468955555556
pNuLoCDScore	-0.004803134901960743,-0.016938352549019542,-0.021145959019607752,-0.021367453137254827,-0.024247363725490134,-0.02502787254901953,-0.022251085490196026,-0.019628610784313716,-0.01764415960784313,-0.010253273176470595,-0.004668545401069507,-0.00047472519607844044,-0.0009663638009049236,-0.0046148894537814955,-0.009329509607843123,-0.013230816874999995,-0.011567595882352927,-0.004605474705882406,-0.009824295294117658,-0.01881443323529411,-0.024434117941176475,-0.03201830205882361,-0.043638750882353,-0.05457055500000002,-0.06438119911764703,-0.07384078352941179,-0.08171124000000005,-0.08917318352941175,-0.09580529529411771,-0.09978132882352939,-0.10334620823529414,-0.10608419823529415,-0.11308668588235297,-0.11601298235294118,-0.10694444470588242,-0.09419952735294125,-0.08174992882352945,-0.06894393764705879,-0.055216154705882314,-0.04313633999999997,-0.031226275294117645,-0.020573959117647034,-0.010660592352941173,-0.0019340535294117556,0.0067703823529411955,0.014785414705882294,0.023140248823529358,0.031480647058823544,0.05170632176470587,0.07388542588235293,0.08519834647058823,0.09299870823529414,0.09988872029411765,0.1053785432352941,0.10849114676470584,0.11333765205882351,0.11819654205882346,0.1226567938235294,0.1273185711764706,0.13141158235294118,0.13543650176470584,0.13905011588235291,0.14242674882352943,0.1454631894117647,0.13647569470588242,0.11585786411764709,0.09924627294117647,0.08406959647058823,0.06847547058823528,0.055490633529411776,0.0449841935294118,0.03576643235294116,0.025775223529411806,0.017043292941176458,0.008853027058823626,0.00117823117647059,-0.005758158235294075,-0.012038554117647038,-0.017518882941176483,-0.023138106470588227,-0.034631458823529415,-0.030313693529411823,-0.024857196470588205,-0.0211851635294118,-0.017325535294117622,-0.013311589999999984,-0.009764197058823587,-0.008177085294117648,-0.006141502941176491,-0.004349494705882362,-0.0030641947058824837,-0.002441669411764713,-0.0014110747058823092,-0.00020024470588231313,0.0006429876470588902,0.0020078223529411687,0.009245062352941091,0.018752776470588206,0.022696468823529325,0.02443565000000003,0.02618865823529415,0.027229033529411806,0.026932751764705942,0.026628434117647037,0.02664061882352936,0.026730094705882335,0.02741057411764708,0.028565058823529388,0.02989133941176464,0.03059666176470588,0.03148383352941181,0.03203175411764714,0.033917277058823636,0.029665264117647194,0.028622707058823638,0.030499809411764722,0.03378071176470587,0.03703695764705878,0.04186800529411766,0.046975628235294165,0.05160051117647069,0.05518684117647066,0.05816838058823526,0.06039278705882356,0.06211366647058819,0.06364923941176476,0.06537410882352934,0.06663077588235283,0.06597305058823516,0.0643878994117646,0.06427701705882344,0.06384417823529404,0.0627855211764704,0.060878132352941094,0.05906385294117639,0.057563991176470486,0.05663352235294106,0.05715675588235286,0.059521388823529475,0.06267070117647061,0.06665679588235307,0.07137532235294114,0.07640464117647061,0.08177536529411777,0.08925646705882367,0.10232325117647062,0.11412082411764712,0.1257062894117647,0.1387814300000002,0.15109721882352944,0.16221665882352942,0.1716954911764707,0.17988896117647063,0.18695196529411762,0.19161360999999988,0.1951619405882351,0.19755171941176447,0.19883910176470554,0.1993151370588233,0.1997302623529409,0.198058252352941,0.1908125217647058,0.1797358558823528,0.16819534588235296,0.1563664829411764,0.144958044117647,0.13320768529411775,0.12323666823529411,0.11539667352941185,0.10892733058823534,0.10300308823529414,0.09773117588235303,0.09310027588235303,0.08945003764705906,0.08639514647058832,0.08350423470588253,0.0838802770588235,0.08577564294117634,0.09142370058823523,0.09739330823529391,0.10216651470588223,0.10487523117647046,0.10709650352941158,0.10973665058823512,0.11034482176470573,0.10922718470588233,0.10771139647058825,0.10650900352941195,0.1053737170588237,0.10376808764705903,0.10162504117647075,0.09912701411764702,0.09313354647058836,0.08376819294117666,0.0746224094117649,0.06535537294117666,0.05602480352941186,0.04888232823529437,-0.030269307712418342,-0.04134278477124187,-0.05160725006535949,-0.06023698124183008,-0.062153146535947695,-0.062371982418300664,-0.06303788124183007,-0.06334878594771243,-0.0632786683006536,-0.05621218676470591,-0.050321761711229956,-0.045455726960784315,-0.0412631424434389,-0.037356811302521,-0.03352192894117642,-0.03004874463235288,-0.0224290547058823,-0.006341717647058764,0.005444474117647119,0.016261130588235334,0.01871517117647059,0.019756540000000017,0.021988346470588283,0.02538899294117647,0.029288718823529403,0.03263998000000001,0.03596682470588239,0.03900342411764707,0.04179600647058823,0.044373425882352935,0.04610172235294113,0.04747670588235289,0.04450149647058818,0.03748188588235288,0.0343101905882352,0.03392338176470583,0.0349854229411764,0.0371861164705882,0.038666694117647005,0.03811133823529411,0.03583713705882355,0.0332968611764706,0.031168151176470538,0.028811831764705836,0.027088586470588233,0.025387565882352914,0.023852888823529428,0.023088295294117656,0.02946731529411767,0.040916194705882314,0.053044605882352935,0.06117202705882352,0.0690932929411765,0.07511446941176467,0.08103876882352942,0.08683081823529407,0.09269322058823531,0.09820510823529413,0.10212142823529416,0.10599103352941175,0.10955961058823524,0.11273428705882352,0.11597552764705879,0.11884831588235295,0.11458560176470586,0.10310600705882367,0.08987697647058834,0.0764934805882353,0.06420219588235293,0.05258670764705892,0.04128261294117652,0.030500748235294195,0.02055928352941172,0.01210185411764697,0.00523182882352935,-0.00042727235294109933,-0.005948029411764588,-0.010947871176470503,-0.01552809941176464,-0.019709404117647045,-0.027131991176470582,-0.02692572352941186,-0.026731089411764775,-0.02566856764705877,-0.0247374970588235,-0.02348098941176474,-0.022257724705882442,-0.0208891952941177,-0.019220901176470573,-0.017892583529411643,-0.016896984117647007,-0.017070082352941107,-0.01806180588235301,-0.019356837058823573,-0.02122031941176472,-0.0235770352941177,-0.02587246117647063,-0.022948521176470615,-0.020294955294117678,-0.017416151176470607,-0.014982210000000051,-0.013792738235294144,-0.013215498823529348,-0.012530784705882314,-0.012372786470588149,-0.01321923764705879,-0.013754574705882261,-0.01389124058823532,-0.012814944705882292,-0.010984158235294084,-0.009313387647058802,-0.0068134135294116716,-1.6427058823487162e-05,0.002653252352941171,0.0027297382352940436,0.0012318682352940868,-0.00042350411764707774,-0.0025622029411764835,-0.00453639823529417,-0.008904670000000003,-0.012269757647058899,-0.016058805882353033,-0.018235004705882463,-0.021435618235294163,-0.02505898117647065,-0.029669994705882385,-0.033184604117647065,-0.0365212317647059,-0.04081460588235286,-0.04792232470588226,-0.050073945882352866,-0.05006576705882354,-0.04962918588235288,-0.046962545882352935,-0.04252268352941174,-0.035337144117647046,-0.026581444705882418,-0.017696342352941152,-0.009259756470588243,-0.0012893776470588314,0.007173871176470614,0.01604165823529413,0.02425430294117642,0.03091382705882345,0.044394236470588155,0.057168967647058755,0.06815594647058826,0.07699681000000003,0.08480357999999993,0.09196486705882351,0.09654681176470586,0.10058261470588237,0.10221998529411774,0.10481924235294121,0.10594129529411772,0.1075934829411766,0.10822769705882362,0.10893095294117655,0.10957128882352946,0.11168427176470597,-0.028873736006535977,-0.041373949535947724,-0.05042082483006538,-0.0574101071830066,-0.060264227183006586,-0.0604444130653595,-0.05994629306535951,-0.058064466006535975,-0.05652591835947715,-0.050205466823529415,-0.04575493027272731,-0.03990671035294116,-0.03289291985520365,-0.026428614903361347,-0.021399818521568637,-0.02001554979044118,-0.010981896411764697,0.01330790888235292,0.031301601823529396,0.04495089594117649,0.05016455358823532,0.05213807652941174,0.05347108888235294,0.05275739888235295,0.05337284711764706,0.05669649711764707,0.06255201300000005,0.06892800947058822,0.07449244770588237,0.0781151091764706,0.08156202882352942,0.08375196352941175,0.07999023058823532,0.06465848529411769,0.050842955882352964,0.04268521647058826,0.04025867176470588,0.04217565411764712,0.045799928235294135,0.0500218788235294,0.05341436352941176,0.052658721176470524,0.04942621764705879,0.04419312529411765,0.03876810352941179,0.033567594117647065,0.029837297058823542,0.027641337058823573,0.023521892352941165,0.027050684117647023,0.03144905470588236,0.030371081176470555,0.02640995352941175,0.018920965882352897,0.010671057647058807,0.0026571347058823303,-0.003986197058823526,-0.007020370000000026,-0.009030394117647056,-0.009859341176470582,-0.010860193529411755,-0.01186489470588234,-0.014021997647058804,-0.015938304117647045,-0.015176485294117636,-0.011536708235294124,-0.008165751176470615,-0.003442195882352894,0.004414807647058844,0.01325375411764701,0.021183678823529423,0.02850504882352939,0.03385821176470588,0.03669379941176476,0.03877461529411766,0.040571420588235235,0.041759313529411674,0.042760404117647005,0.0436483976470588,0.044464880588235306,0.034952655294117646,0.026900519411764662,0.019211878235294133,0.01005759352941174,-0.0003287376470588188,-0.011371429411764694,-0.022977709411764774,-0.03515063647058822,-0.046085562352941145,-0.055848387058823556,-0.06458701705882355,-0.0723348770588235,-0.07946619294117643,-0.08648611470588236,-0.0933814647058824,-0.09961811470588244,-0.09549579647058828,-0.08655331941176467,-0.08278967705882354,-0.07583355823529411,-0.06628593764705884,-0.05755074117647055,-0.0499203829411764,-0.0407016288235294,-0.031594079411764786,-0.023356857058823538,-0.016087198235294115,-0.009799261176470564,-0.003948043529411749,0.0021427017647059066,0.008650957647058838,0.015102524117647093,0.02261857411764706,0.02076198999999998,0.024595930588235254,0.02837379411764704,0.028768941764705902,0.02934218235294117,0.03176224588235288,0.033538796470588245,0.033662960588235286,0.03395909764705882,0.033700621176470574,0.03449494588235294,0.0355460305882353,0.036542891764705904,0.036919531764705915,0.03661564411764712,0.03455276235294119,0.030339951764705914,0.02474909294117647,0.01594238235294121,0.006936186470588218,-0.0032341494117646974,-0.01474922494117642,-0.025285181411764696,-0.03492480494117636,-0.04359905435294109,-0.05099062870588228,-0.05880300458823526,-0.06659653488235295,-0.07394230311764707,-0.08181212841176475,-0.08840176076470596,-0.09616879782352944,-0.10200675664705883,-0.10645713570588232,-0.10791052629411765,-0.10635095135294118,-0.10365878017647062,-0.09874894817647062,-0.09359512758823531,-0.0893447819411765,-0.08485636723529416,-0.08052531582352945,-0.07578606500000003,-0.07023027705882352,-0.06518181652941175,-0.05951455976470585,-0.053723150941176426,-0.04702864799999995,-0.03870058976470586,-0.03037711952941173,-0.022780297176470565,-0.017527235058823504,-0.012217054705882302,-0.00803250352941172,-0.004997742117647044,-0.001024876941176478,0.002260075058823502,0.005147254176470578,0.007880683352941148,0.00966546158823528,0.011419344588235278,0.013289053470588216,0.013811947882352918,0.014775428470588214,0.01378691752941176,0.01218634576470587,0.010364419882352927,0.008105135411764705,0.006308026823529392,0.004436692117647037,0.002807174529411788,0.0012987858235293942,-5.2082058823524346e-05,-0.0012892741176470657,-0.002534180000000011,-0.003523216705882362,-0.004305957294117646,-0.004703461764705902,-0.004697969117647055,-0.004387910000000023,-0.004010544352941195,-0.0030272408235294257,-0.0013670708235294232,0.00086490835294116,0.0030648830588235337,0.004813687764705893,0.006425305117647037,0.007710553000000009,0.008840954764705894,0.009832252058823543,0.010682646176470606,0.011322476705882364,0.01166158929411766,0.011760124000000038,0.011691200470588248,0.011583737235294142,0.011112761352941175,0.010713016941176476,0.009863192588235287,0.008380631411764691,0.005497068470588215,0.0039108214117647006,0.002400109058823527,0.0012978761176470482,0.00042478229411765933,-0.00012945205882351762,-0.00045590905882350596,-0.0005982369999999876,-0.0004846195882352716,-0.00037430899999998934,-0.00037017276470587,-0.00047615982352938735,-0.000145677470588218,0.0006212792941176631,0.0014580215882352976,0.002702440117647073,0.0053914260000000325,0.008427748941176483,0.010420336000000016,0.012180728352941206,0.013555788647058808,0.014548855117647003,0.015021733882352895,0.015251499470588237,0.015392814176470565,0.01565545064705877,0.016136180882352927,0.017540616999999967,0.018711416411764686,0.019264316999999975,0.01974706994117649,0.020131723176470606,0.01999110582352938,0.018655238764705886,0.01796178288235291,0.017233389941176444,0.016468694647058815,0.015673885235294158,0.015050382882352942,0.014676291411764686,0.014381484352941176,0.014086077294117677,0.013691217294117625,0.012505342352941179,0.01083401235294118,0.00933889352941178,0.007617177941176445,0.0059850238235293896,0.004368179411764733,0.002835085294117662,0.001511187058823582,0.00038310764705881684,-0.0003558335294117365,-0.0008168870588235455,-0.00088357117647056,-0.0007980223529411579,-0.0007104841176470422,-0.00069304647058821,-0.0007139858823529133,-0.00021269294117645665,0.0012061964705882555,0.0018748658823528885,0.002331821764705866,0.002967328235294081,0.003447397647058814,0.004144520588235279,0.004722996470588187,0.0052214435294117845,0.0056446011764705595,0.0059497105882353185,0.006003575294117658,0.0058841200000000204,0.005717449999999985,0.005502890588235276,0.005332825882352926,0.004581967058823522,0.003043787058823494,0.0018062347058824257,0.001571567058823553,0.001585220000000026,0.0017666770588235237,0.001889797058823528,0.001976684705882359,0.0022123952941176805,0.002433442352941212,0.0025983888235293906,0.0028168199999999977,0.003117130588235262,0.0034053888235293928,0.0037023194117646874,0.004084171764705907,0.00550454000000003,0.007044247647058854,0.008603530588235264,0.009600121176470605,0.009994146470588217,0.010380065882352935,0.010338924705882324,0.010489335294117663,0.010520315294117594,0.010588844705882311,0.010755393529411766,0.010968745294117621,0.011084161764705891,0.011224401764705905,0.011365259999999988,0.011287927058823477,0.010127548235294048,0.00846452529411762,0.007521670000000008,0.006758042941176462,0.0060742905882353315,0.005519929411764712,0.005337759411764703,0.00537120999999996,0.00528889294117646,0.005058558235294136,0.004609095882352976,0.004026955882352995,0.0034250547058823633,0.0027809341176470437,0.0021203700000000103,0.001581740000000026,0.00014362647058824285,0.00034700999999998094,0.00032113882352938217,-9.150000000013314e-06,-0.00034014647058824843,-0.0005892997794117449,-0.0009458123529411389,-0.0015744274369747513,-0.0021651111312216698,-0.002764967450980399,-0.003289068716577581,-0.0036192504117647517,-0.003938408562091517,-0.003939280326797384,-0.0038989644444444305,-0.0038365644444444402,-0.002845312091503238,-0.002491381503267942,-0.0024125709150326635,-0.0021880062091503283,-0.0018952403267973872
pNuLoCRank	Medium
UniprotNLSRegion	175..192
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	308...313
nlsdbnls_region	
validnes_region	
nesbase_region	
