UniprotID	Q08AE8-2
pNuLoCScore	0.37683592777777775,0.383031405,0.3889433209090909,0.3957299575,0.40314672846153854,0.40801435500000005,0.41131195800000003,0.41481821562500004,0.4176096264705883,0.4181597288235295,0.42120164647058833,0.42417365647058825,0.42939245,0.436537644117647,0.44432018647058813,0.44489090823529404,0.4461636235294117,0.44637473941176464,0.44657430705882345,0.44635618882352945,0.4446660182352941,0.4411929723529412,0.43904893235294123,0.4373175176470589,0.4273798635294118,0.4161819247058824,0.40489080823529416,0.3979042235294118,0.39219626,0.39024071941176475,0.3907211347058824,0.3905403829411765,0.39121925176470596,0.39129580176470596,0.39187750823529416,0.3932971188235295,0.39406355941176474,0.39484683235294116,0.3963685535294118,0.3973385717647059,0.39809735705882354,0.40714422411764706,0.4181289147058824,0.4298982547058824,0.4375264976470589,0.444483895882353,0.4489592352941177,0.4525576141176471,0.4562389494117647,0.4593884694117647,0.4612382976470588,0.4618552547058824,0.46197579411764705,0.4619350435294118,0.46138316823529424,0.4616819541176471,0.45783672529411773,0.4424762164705883,0.426141505882353,0.4116105458823531,0.39871907588235306,0.3887989641176472,0.38071669000000014,0.3727386170588236,0.36495399941176476,0.3578489435294118,0.35117055352941184,0.34662147352941175,0.34389604058823536,0.3436102264705883,0.34583494058823533,0.3495085335294118,0.3523444264705883,0.35915520058823536,0.37857960352941183,0.39904932000000004,0.4172562047058824,0.43310943352941184,0.4473392358823529,0.45922437,0.47083664058823527,0.48195773470588227,0.4918345776470588,0.5019308335294118,0.5116310188235295,0.5195567088235296,0.5247026405882353,0.5279672588235295,0.5334948035294119,0.5377105035294117,0.5416487994117647,0.5453120911764706,0.5484528147058825,0.551465161764706,0.5555729276470589,0.5598396982352942,0.5648594652941176,0.5696787241176471,0.574793585882353,0.5807005858823531,0.5864776235294118,0.59212355,0.597537458235294,0.6025046994117647,0.6073151670588235,0.608646645882353,0.6103760694117648,0.6132522005882354,0.6152145994117648,0.616980408235294,0.6192947199999999,0.6200492482352942,0.6189138623529411,0.6181583741176471,0.6171244505882352,0.6157000852941177,0.6138808088235294,0.6107399735294117,0.6077199223529411,0.6048882288235293,0.6014102347058824,0.5972645094117648,0.5916228817647059,0.5838916170588236,0.5730856105882353,0.5617275847058822,0.5501444794117647,0.5387828147058824,0.5283551594117646,0.5197746888235294,0.5096287623529413,0.500296545882353,0.49095720235294116,0.4813574647058823,0.47321261823529415,0.4647885729411765,0.4567181023529412,0.4499921629411765,0.4440899117647059,0.4403837805882353,0.43940250588235297,0.44139314117647066,0.4447851252941176,0.4488530052941176,0.45217665470588225,0.45561206647058816,0.4580693729411764,0.46153098470588233,0.46407108235294114,0.4669694647058823,0.4702159335294117,0.47264032470588235,0.47570165294117644,0.4784804752941176,0.48108766764705885,0.48337877117647066,0.4862804241176471,0.4894067164705882,0.49276667235294125,0.496149682352941,0.49923084,0.5025895705882353,0.505911714117647,0.5093911347058824,0.5127856611764705,0.5157644682352941,0.5186363682352941,0.5214170229411765,0.5241580288235295,0.5261190323529413,0.5280174129411765,0.5297490482352942,0.5317757358823529,0.53296952,0.5340744258823529,0.5348799023529411,0.5358113994117647,0.5368629347058824,0.5376371741176472,0.538230415882353,0.5384831894117648,0.5384524835294118,0.5389717676470588,0.5391466029411763,0.5354603641176471,0.5338021129411764,0.5335477717647058,0.5319357988235294,0.5305866594117646,0.5302051305882353,0.5301539464705881,0.5292130288235294,0.5278442052941176,0.5255608905882353,0.5224006435294117,0.5193104094117648,0.51588891,0.5130424164705882,0.5104836794117648,0.5081275423529412,0.506154285882353,0.5083651682352942,0.50899277,0.5084310423529413,0.5093371064705883,0.510139945882353,0.5102168776470588,0.5100762052941177,0.5104354288235297,0.5113933464705882,0.5130392135294117,0.51532991,0.5174663929411765,0.5200079105882353,0.5221155129411763,0.5241306299999999,0.5254531770588234,0.5263589217647058,0.5281170864705882,0.5300470064705882,0.5308059070588235,0.5323094629411764,0.5339322064705881,0.5357093829411764,0.5375408229411764,0.5396943935294116,0.5414107023529411,0.5430010388235295,0.5443359423529412,0.5456378682352941,0.546585014117647,0.5476768788235294,0.5487962576470587,0.5503015658823528,0.5521057717647058,0.552848044117647,0.5531129558823529,0.5541266417647058,0.554122418235294,0.553680104117647,0.5530471452941177,0.5523252070588236,0.5516865482352942,0.551380204117647,0.5510433829411765,0.5510248794117647,0.5514129794117647,0.5521730947058823,0.5560303476470587,0.5599615264705883,0.5633423594117647,0.5666240535294118,0.5695305282352943,0.5724545223529411,0.5755494547058823,0.5786243782352941,0.5813903688235293,0.5836407158823529,0.5855792511764705,0.5874859864705883,0.5890183452941177,0.5904134923529413,0.5916288429411766,0.5926863876470589,0.5930753288235295,0.5899092247058825,0.5867050894117647,0.5841102305882353,0.5812165617647058,0.5786466382352942,0.5761957617647059,0.5737013823529411,0.5713632235294117,0.5695216447058824,0.5681465835294117,0.5669973364705883,0.5656545247058823,0.5643410188235293,0.5631752570588235,0.5619889511764706,0.5588845382352942,0.5576356894117647,0.5575601994117648,0.557346161764706,0.5574267235294118,0.5571253923529412,0.5569930435294118,0.5569481847058824,0.5568749747058823,0.5568088900000001,0.5566101723529412,0.5565484982352942,0.5561549882352942,0.5560489470588237,0.5562193588235295,0.5565161205882353,0.5570804470588235,0.5594281299999999,0.5606447411764706,0.5611011882352941,0.5617330529411764,0.5620183735294119,0.5631278147058824,0.5642066129411765,0.5650497147058824,0.5659495976470589,0.5666745200000001,0.5673926847058822,0.5678788629411764,0.5685466317647058,0.5690912023529411,0.5695354905882353,0.5712635164705882,0.5714230294117647,0.5714332288235294,0.5705535076470588,0.5699178882352941,0.5694461152941176,0.5695163994117647,0.5697416347058823,0.5697391523529411,0.5698427917647058,0.5704076247058822,0.5711315752941177,0.5718311988235295,0.572415861764706,0.5730526147058823,0.5738036794117647,0.5746143735294117,0.574196267647059,0.5753439200000002,0.5767803747058824,0.5787520688235295,0.5801466529411766,0.5814517082352941,0.58240688,0.5828155035294117,0.5833169152941177,0.5838145152941177,0.5838103094117647,0.5838609623529412,0.5842710388235294,0.5847949770588236,0.5854260064705883,0.5874905711764705,0.589178518235294,0.5908105394117646,0.5918381711764705,0.5928137729411764,0.5934971788235293,0.5936761082352942,0.5934676200000001,0.5933159505882354,0.5934615152941177,0.5936860111764706,0.5943676429411765,0.5950877164705882,0.5958462517647058,0.5963790023529412,0.597024895882353,0.5975563547058824,0.5964837370588235,0.5958077547058824,0.5950200429411766,0.5945443817647059,0.5940023935294118,0.5939695817647059,0.59462072,0.5954287023529412,0.5960124141176472,0.5964485705882353,0.5967746923529412,0.5964998488235295,0.5960659870588235,0.5953574870588236,0.5946419835294119,0.5947133441176471,0.5947042970588235,0.59501565,0.5955049088235294,0.5959500058823529,0.5964972023529412,0.5968647964705882,0.5969275494117648,0.5967635994117648,0.5966660582352942,0.5966425364705883,0.5965331505882353,0.5965075170588235,0.5965740464705882,0.5967566758823528,0.5970753135294118,0.597409884117647,0.5968151523529412,0.596365795882353,0.5955806782352941,0.5944221076470587,0.5932556458823529,0.5920605576470588,0.5912091905882353,0.5906793611764706,0.5904119176470589,0.5901967647058823,0.5899856,0.5899166294117647,0.5897184076470589,0.5895169723529412,0.58931029,0.5888712876470588,0.5884349852941178,0.5883887217647059,0.5884792752941178,0.5885631323529413,0.588374173529412,0.5884842852941177,0.5887032758823529,0.5889465547058822,0.5891124429411764,0.5892860082352941,0.5893956588235294,0.5895947264705882,0.5898096147058823,0.5901230029411765,0.5904658323529413,0.5909746176470588,0.5918288611764706,0.5927197717647058,0.5932280805882353,0.5934819188235293,0.5938229617647058,0.5945316205882353,0.5949894205882353,0.5954081476470588,0.5958207652941178,0.5962354888235295,0.5966234870588235,0.5970298541176471,0.5973556947058823,0.5977023858823529,0.5979562270588236,0.5998557129411765,0.6017931899999999,0.6037927699999999,0.6055116064705883,0.6072035123529412,0.6089491747058824,0.61054181,0.612129454117647,0.6136547541176469,0.6149591894117646,0.6162127070588236,0.6172649952941177,0.6183369105882353,0.6193506988235294,0.6204107994117647,0.621434237647059,0.622468937647059,0.6217974517647059,0.6208874994117648,0.6198415552941177,0.6190065782352941,0.6182742076470589,0.6175673670588236,0.61695681,0.6163873223529412,0.6159585829411763,0.6157361299999999,0.6155314358823529,0.6155056123529411,0.6154622064705882,0.6154729029411765,0.615440411764706,0.6147396882352941,0.6139317147058824,0.6130649441176471,0.6117259988235295,0.6102131523529413,0.6091347082352941,0.6087128317647059,0.6082444023529413,0.6077796652941178,0.6072368323529413,0.6066529305882353,0.6059853152941176,0.605396664117647,0.6048833641176469,0.6043285288235293,0.6038334070588235,0.6034051052941176,0.6036876523529412,0.6041115905882354,0.6045547935294118,0.6054792617647058,0.6066155958823529,0.6074290664705883,0.6077208194117647,0.6080958152941177,0.6084381447058824,0.6088557152941177,0.6093260070588234,0.6098672694117647,0.6102990352941177,0.6107044311764706,0.6110459076470588,0.6113457035294116,0.6112706111764705,0.6113513876470589,0.6114076111764706,0.6114784288235294,0.6115637235294117,0.6115559623529411,0.6115195505882353,0.6113235952941176,0.6112766211764705,0.6114326423529413,0.6121290576470589,0.6131062011764706,0.6140651458823531,0.6152007723529413,0.6163454376470588,0.6175964729411765,0.6188298347058823,0.6204480758823528,0.6218221170588234,0.6232208464705882,0.6246652847058822,0.6260861747058822,0.6273420364705882,0.6282700541176469,0.6290030623529411,0.6296001247058823,0.6300641888235294,0.6298754264705881,0.6293354558823528,0.6287454288235292,0.6279979817647058,0.6270657929411765,0.6256986694117647,0.6249118076470587,0.6243407311764705,0.6237254841176469,0.6226433782352941,0.6216299664705883,0.6205750017647059,0.6198092988235294,0.6194118164705882,0.6192625400000001,0.6190986164705882,0.6188706194117648,0.6186737429411764,0.6184995958823529,0.6184695076470588,0.6184763252941174,0.618688794117647,0.6192370764705881,0.6190956447058824,0.6187390529411765,0.6184983470588237,0.6185771647058824,0.6184992152941177,0.6185551035294118,0.618516354117647,0.6182501864705883,0.6179399335294117,0.6176304511764706,0.6173266629411766,0.617073718235294,0.6168035505882353,0.6169468076470588,0.6160325452941177,0.6143136511764706,0.6122123864705883,0.6093904417647059,0.6058568511764706,0.6024200864705883,0.5992454864705883,0.5964655888235294,0.5937559123529411,0.5913828676470588,0.5893863,0.5875521235294118,0.5857074823529411,0.5838320352941176,0.5819886005882352,0.5799346623529412,0.5774384441176472,0.5761132652941177,0.5759835829411765,0.5765114123529411,0.578326918235294,0.581054041764706,0.5841520552941177,0.5871161876470588,0.5900329617647058,0.5937585164705881,0.5973716776470587,0.6007242011764705,0.6042794011764706,0.6082868952941176,0.6125733952941176,0.6126870964705882,0.6178675199999999,0.625517078235294,0.6331991017647058,0.6411046488235295,0.6491134094117648,0.6570690211764707,0.6652073623529413,0.6728650311764707,0.680667345882353,0.6881329676470588,0.6948807070588237,0.7015415788235294,0.7082746111764705,0.7147019611764707,0.7207212294117646,0.7265954764705881,0.7368492988235295,0.7423979082352941,0.7454662329411764,0.7484814470588235,0.750920432352941,0.7530606811764705,0.7548141694117646,0.7562087488235294,0.7575903547058822,0.7588510876470587,0.7601961329411765,0.7613434741176471,0.7623951058823529,0.7633746347058823,0.7642935352941177,0.7663283817647059,0.7681346670588235,0.7691790170588234,0.7700547723529411,0.7710012211764705,0.7717997482352942,0.772421904117647,0.7730758888235294,0.7737438711764705,0.7742881976470589,0.7748564447058823,0.7753394352941176,0.7757857,0.7762548447058822,0.7766373599999998,0.7769858164705881,0.7773222835294117,0.7765067305882353,0.7758458511764705,0.7757627688235295,0.7756864688235294,0.7755232394117648,0.7753577070588235,0.775310634117647,0.7752231223529411,0.7751580258823527,0.7751016229411763,0.7750328499999999,0.7750284794117647,0.7750563147058823,0.7750297347058823,0.77503509,0.7752061429411764,0.7750199958823529,0.7748625458823529,0.7744587847058824,0.7742438611764706,0.7740760552941176,0.7736868729411766,0.7734925582352942,0.7733897399999999,0.7732593905882352,0.7731649811764705,0.7730952752941177,0.7729365894117646,0.7728191188235294,0.7726782164705883,0.7724182811764707,0.7719694605882355,0.7714563917647059,0.7712097858823529,0.7708640464705883,0.7707067076470588,0.770387895882353,0.76997349,0.7697498900000002,0.7694225370588237,0.768962051764706,0.7684735917647059,0.7679150152941175,0.7673764711764706,0.7669183476470589,0.7664021417647059,0.7658684764705882,0.7658415623529412,0.7658358535294116,0.76573264,0.765567251764706,0.7650890229411766,0.7647767935294117,0.7643481423529414,0.7644694811764707,0.7647313047058825,0.7660485870588236,0.7683769694117648,0.7716168552941178,0.7752966352941177,0.7799572058823531,0.7845331235294118,0.7892213094117648,0.7941200923529412,0.79874533,0.8035190735294119,0.8083832970588236,0.8135791347058822,0.8192360441176469,0.824887752352941,0.830710362352941,0.8362009494117645,0.8416335576470586,0.8460197694117646,0.8493622164705881,0.8518282282352941,0.8539685047058825,0.8552108047058824,0.8565572317647061,0.8587631576470589,0.8608980211764705,0.8627326999999999,0.8646434152941177,0.8665707035294118,0.868280999411765,0.869151024375,0.8699926833333333,0.8708365107142858,0.8716560392307693,0.8725023641666668,0.8734263336363637,0.874623637,0.8761363855555555
pNuLoCDScore	0.040773698692810556,0.04132380104575173,0.044365718692810585,0.0473377286928105,0.052556522222222235,0.05970171633986926,0.06748425869281038,0.06805498045751629,0.06932769575163394,0.06334333441176465,0.057630986149732555,0.05062623132352945,0.041519289773755574,0.03317861735294114,0.0277369743529412,0.022499302022058854,0.009770237058823517,-0.001977804117647086,-0.016310838235294167,-0.02626943294117645,-0.03719618999999996,-0.04629692470588226,-0.05359905176470575,-0.054350525294117547,-0.054944371764705735,-0.05507893764705868,-0.05469679882352929,-0.05305906999999993,-0.05060245882352937,-0.046346140000000036,-0.04268037882352943,-0.03997894588235301,-0.029282506470588276,-0.009037700588235331,0.013238106470588262,0.031994031176470594,0.0453302376470589,0.05424317647058824,0.05823810058823531,0.06201723117647062,0.06501969764705873,0.06809266764705874,0.06936078941176466,0.06855813588235288,0.06791223470588231,0.06708821117647062,0.06501461470588243,0.06434338235294124,0.05973936823529419,0.035331992352941266,0.008012591176470574,-0.018287708823529314,-0.03880742176470586,-0.05568493176470579,-0.06824254529411755,-0.0798189970588235,-0.09128494999999992,-0.10153952588235288,-0.11006774411764697,-0.11523378117647065,-0.11807975352941169,-0.11832481705882347,-0.11554822764705891,-0.11217342058823532,-0.10549229882352945,-0.08332101588235297,-0.047561902352941166,-0.012561225882353033,0.01853712882352937,0.04431046941176464,0.06662254588235278,0.08648575294117639,0.1058826411764705,0.12410879117647045,0.14066402411764695,0.15530936000000006,0.1677349782352941,0.17594648235294125,0.17886770000000002,0.17845872529411766,0.18115037705882364,0.17855530294117639,0.16306919588235286,0.14626277117647057,0.13119661000000005,0.11835572823529411,0.10823369176470599,0.10061532823529423,0.0940228247058823,0.08772098941176482,0.08295900823529417,0.07876975235294126,0.07484660470588234,0.0725668411764705,0.07283481764705868,0.0745374405882352,0.07382036352941157,0.07093614235294121,0.06872727000000012,0.06794010941176476,0.06676178470588234,0.06551524647058804,0.06372179235294095,0.060209549999999945,0.05405439705882353,0.048479649999999985,0.04233086470588221,0.03499949941176461,0.02740318529411756,0.01861642352941162,0.010182464117647116,0.0023835294117646733,-0.005904932352941095,-0.011382136470588167,-0.01875318764705891,-0.029360583529411732,-0.042128988823529556,-0.05525282352941174,-0.06915024058823516,-0.08126643352941176,-0.09055870294117652,-0.09838368529411767,-0.10749568823529387,-0.11540353941176473,-0.1229236064705882,-0.12938250882352936,-0.134507304117647,-0.14009965588235285,-0.1446921323529412,-0.1472723464705883,-0.14753296999999999,-0.14350783647058835,-0.1336831047058823,-0.12033444352941158,-0.10535935411764707,-0.08992980941176482,-0.07617850470588233,-0.06416262235294123,-0.05155938941176491,-0.03876556117647062,-0.026886120000000013,-0.014388000000000012,-0.0029966847058824353,0.007851751764705872,0.018983550588235254,0.02848831235294108,0.036997755882352934,0.04299499058823536,0.046877918235294136,0.04801357529411754,0.047981547058823626,0.0472966770588234,0.047054185294117756,0.04697750411764712,0.047842341176470626,0.047860150000000046,0.048714578823529364,0.048795003529411796,0.04842043470588242,0.04877669823529418,0.04845637588235302,0.04763855705882375,0.0469297452941177,0.04637027705882357,0.04549531176470584,0.043562803529411775,0.04130775352941163,0.03873022000000015,0.03658055941176469,0.03427336411764714,0.031725460000000205,0.02883928117647061,0.025697528235294254,0.02268801529411768,0.020335399411764654,0.0177295799999998,0.011302335294117616,0.0076830805882350806,0.005530358823529258,0.0021867505882351423,-0.0011890764705883017,-0.0027643894117647116,-0.003920479411764766,-0.005666873529411753,-0.007967194117647125,-0.011302044117647125,-0.015236530588235486,-0.018920006470588224,-0.02259427941176473,-0.025410067058823538,-0.02848808823529403,-0.031019060588235114,-0.029306078235294075,-0.025436944705882203,-0.02455500176470582,-0.02350475647058803,-0.021249552941176364,-0.020065184705882255,-0.019937068823529303,-0.019136823529411706,-0.017408776470587917,-0.01416754411764709,-0.009361430000000004,-0.003980499411764815,0.0015774829411764335,0.00696549411764702,0.01163183352941155,0.01600308764705871,0.019298891176470434,0.01799375352941157,0.01912431647058821,0.02161596411764688,0.021468800588235193,0.022169517058823418,0.023715328823529336,0.025633177647058747,0.027105394117646786,0.028301047058823414,0.028371488823529356,0.02767112882352951,0.02686954941176478,0.025629957647058887,0.02446950117647073,0.023546248823529514,0.02334308058823531,0.023942644117647016,0.023988685294117573,0.022801037647058764,0.022307048823529407,0.021817178823529404,0.020190211764705812,0.017970721176470583,0.015506322352941249,0.012630813529411977,0.010275845882353085,0.00837916529411753,0.006707440588235247,0.0053870111764705575,0.004827965294117664,0.0044962158823528275,0.007234089999999971,0.009659960588235483,0.011236587647058927,0.013776009411764822,0.01641757235294139,0.018327880588235312,0.0214270364705883,0.024944274117647103,0.028343223529411654,0.03131550882352929,0.0338927029411763,0.03610578235294126,0.03797496235294118,0.03938861294117657,0.040215863529411866,0.04051329294117667,0.037044981176470815,0.029947698235294196,0.023362729999999998,0.017486177058823493,0.011686033529411555,0.006192115882353022,0.0006463070588236253,-0.0049229958823530096,-0.010027145294117634,-0.014119071176470488,-0.017432667647058753,-0.020488649999999997,-0.023363820588235384,-0.026072473529412,-0.028453585882353027,-0.030697436470588313,-0.034190790588235376,-0.032273535294117806,-0.029144889999999868,-0.02676406882352933,-0.023789838235294014,-0.021521245882352935,-0.01920271823529407,-0.016753197647058737,-0.014488248823529393,-0.01271275470588229,-0.011536411176470529,-0.010448838235294078,-0.0094995364705881,-0.008292071764705589,-0.006955898235294078,-0.005472830588235333,-0.0018040911764706236,0.0017924405882352445,0.0030845417647057394,0.0037550264705881187,0.0043063294117645645,0.004892981176470634,0.006134771176470544,0.007258428235294101,0.00817474000000007,0.009140707647058766,0.01006434764705888,0.010844186470588046,0.011723874705882209,0.012497684705882084,0.01287184352941162,0.013019369999999975,0.014183069411764615,0.011994899411764792,0.010788487647058864,0.00945231941176472,0.008184835294117732,0.007427741764705731,0.0063885847058823275,0.005535021764705883,0.004689437647058758,0.003893194117646881,0.003733104705882173,0.0037388905882355106,0.0039523358823531085,0.003869230000000279,0.003961412352941229,0.004268188823529417,0.003350857058823542,0.0027732382352942953,0.003910691176470804,0.006226867058823582,0.008834180588235374,0.010700537647059027,0.011935308823529445,0.01266524529411761,0.013076351176470546,0.013474123529411908,0.01340689058823541,0.012678734117646973,0.012029763529411652,0.01185517705882333,0.011742362352941238,0.0116223270588236,0.012876197647058829,0.014982250588234991,0.015466619411764415,0.015057796470588136,0.014061704117646956,0.013350525882352637,0.012224400000000024,0.011060740000000124,0.010500447058823692,0.010144600000000059,0.00987149588235292,0.010557333529411794,0.011226754117647064,0.011575212941176471,0.011584025294117617,0.011598889411764679,0.010065783529411898,0.0073052188235295246,0.004997215294117785,0.003181871764706079,0.0017306088235294892,0.0005052147058824952,0.00029347352941178073,0.001153099999999907,0.0021127517647058225,0.002550898823529435,0.002762559411764731,0.002407049411764728,0.0014121323529412422,0.00021973529411767334,-0.0010215152941175365,-0.00238291235294108,-0.0028430105882353285,-0.0017794399999999655,-0.0007921047058824238,0.0004848658823527474,0.0014056241176469975,0.002494808823529482,0.0028952147058822764,0.0023068294117648547,0.0013348970588236142,0.000653644117647012,0.00019396588235298662,-0.00024154176470592148,7.66823529407823e-06,0.0005080594117646831,0.001399188823529185,0.0024333299999999003,0.0026965399999998585,0.0021108552941176972,0.0013501458823529378,7.576941176479224e-05,-0.0015278982352942005,-0.003241556470588325,-0.0048042388235294275,-0.005718358823529557,-0.006084238235294248,-0.006254140588235257,-0.006445771764705954,-0.006547550588235307,-0.006590887647058841,-0.006855638823529353,-0.007239703529411612,-0.007765023529411774,-0.008538596470588189,-0.008380167058823496,-0.007977074117647032,-0.007101402941176338,-0.005858975294117386,-0.0048814723529408965,-0.0035762723529411122,-0.0025059147058823505,-0.0017328064705883772,-0.0012994747058825418,-0.0009107564705882476,-0.0005899411764705986,-0.00032190294117651064,9.120705882348368e-05,0.0006060305882352734,0.0011555423529412412,0.00210333000000007,0.003393875882352848,0.004331049999999892,0.004748805294117475,0.004918786470587966,0.005448788235293822,0.006047335294117606,0.006286144705882402,0.006461592941176653,0.006708322352941387,0.006949480588235413,0.007227828235294109,0.007435127647058892,0.0075460800000000106,0.007579382941176438,0.007490394705882308,0.008881095294117625,0.009964328823529267,0.011072998235294063,0.012283525882353041,0.013721593529411935,0.015126212941176553,0.016010189411764686,0.017140033529411625,0.018246606470588067,0.01913842411764688,0.01997721823529408,0.020641508235294204,0.02130705647058817,0.0219950041176471,0.022708413529411775,0.0234780105882354,0.022613224705882562,0.020004261764706044,0.01709472941176493,0.014329948823529337,0.011803065882352914,0.009325032941176481,0.007025557058823684,0.004827355882353057,0.0027325682352943303,0.0009993935294116962,-0.0004765770588236462,-0.0017335594117647846,-0.002831298235294155,-0.0038884923529411974,-0.004937896470588177,-0.005993825882352977,-0.0077292494117648936,-0.007865737058823541,-0.007822555294117683,-0.008115556470588148,-0.008793425882352879,-0.009139499411764729,-0.008854535294117727,-0.008712407647058718,-0.008607657058823492,-0.008721750588234989,-0.009083199411764609,-0.00954612058823534,-0.010108948235294068,-0.010578842352941376,-0.011144374117647238,-0.011607004705882495,-0.011334582941176508,-0.010244062352941175,-0.008953353529411734,-0.007171205294117744,-0.004733890588235479,-0.002519112352941222,-0.001283765294117667,-0.0005235829411766035,0.0003161499999999595,0.0012013123529410752,0.0022027847058824213,0.003340691764705861,0.004470605294117691,0.005415671176470793,0.006375902352941276,0.007212500588235304,0.007940598235294027,0.007582958823529329,0.007239797058823494,0.0068528176470588065,0.00599916705882364,0.004948127647058764,0.004126895882352821,0.00379873117647056,0.0032277799999999024,0.0028384764705881027,0.0025769270588235083,0.0028030505882354895,0.00323893176470591,0.003766110588235394,0.004496341176470797,0.005299530000000052,0.006250769411764834,0.0075592235294117405,0.00909668823529397,0.01041450588235282,0.011742417647058745,0.013101561176470544,0.014530212352941163,0.01582248588235291,0.016946458823529298,0.017726441176470598,0.018167482352941078,0.017935131176470498,0.016769225294117507,0.015270309999999787,0.01354465647058789,0.011652544117646935,0.009469320000000003,0.006868834705882398,0.004463731764705825,0.002518614117647089,0.0005046376470587699,-0.0020219064705880863,-0.0044562082352939125,-0.006767034705882247,-0.008460755294117495,-0.009591245882352939,-0.010337584705882197,-0.010965572352941266,-0.01100480705882334,-0.01066171294117646,-0.010245832941176314,-0.009528474117647012,-0.008589467647059035,-0.007009875294117673,-0.005674731176470549,-0.005245086470588078,-0.004986431176470463,-0.004145031176470471,-0.0030528017647059036,-0.002075786470588259,-0.0012541952941176326,-0.0008954623529411343,-0.001012353529411869,-0.001158682941176492,-0.001240168235294159,-0.001347079999999834,-0.0014258776470589263,-0.0016659570588234418,-0.0015295176470586647,-0.002656248823529328,-0.004923425294117489,-0.006883258235294121,-0.009348611176470567,-0.012641495882353082,-0.01615707823529411,-0.01925372882352938,-0.022089514705882385,-0.02476044176470593,-0.02686731882352944,-0.02855363352941165,-0.030078327647058867,-0.03161918058823543,-0.033241682941176354,-0.03481495000000012,-0.03701214529411756,-0.03859410117647044,-0.03820038588235297,-0.036228803529411824,-0.03287902941176479,-0.02752993294117656,-0.021366044705882326,-0.015093431176470551,-0.00934940117647065,-0.003722950588235352,0.0023756488235292528,0.007985377647058645,0.013172077647058744,0.018571918823529487,0.024454859999999967,0.03058479470588238,0.032752434117646945,0.04042907588235267,0.04940381294117635,0.05721551882352938,0.06459323647058834,0.07078649117647073,0.07601497941176472,0.08105530705882358,0.08574884352941192,0.09063438411764724,0.0943744511764707,0.09750902941176498,0.10081737764705889,0.1039952099999999,0.10641506588235305,0.10814783411764706,0.11390837999999992,0.11898177882352956,0.11688083000000005,0.11226713117647058,0.107376798235294,0.10180702294117627,0.09599165999999981,0.08960680705882329,0.08334371764705872,0.0769230088235292,0.07071811999999988,0.06531542588235284,0.059801895294117724,-0.04766342937908499,-0.06268002526143793,-0.07521837290849674,-0.08568499526143793,-0.08777503467320262,-0.09020219726143792,-0.09401447432026146,-0.09826027020261438,-0.10133921226143791,-0.09615118117647058,-0.09025323500534757,-0.08354921873529413,-0.077050902438914,-0.07096221910084033,-0.06508194714901964,-0.05996385751838236,-0.05517786864705883,-0.03888942370588236,-0.02597366017647061,-0.015352590411764691,-0.013124414235294132,-0.010566916352941172,-0.006721744941176472,-0.002355260823529437,0.0006085385294117562,0.00277513729411763,0.004091596941176459,0.004518574529411748,0.003898303647058801,0.0033724292941176293,0.002327763705882363,0.0012404578235294256,8.89792941176637e-05,-0.001517640352941163,-0.0023197344705881973,-0.0019870912941176294,-0.0011243517058823344,-0.00024803141176468757,0.0009099548235294436,0.001707958588235331,0.0029335871764706034,0.00433808135294117,0.005503603235294127,0.007106712058823517,0.009038480294117635,0.010521095235294126,0.012069466352941177,0.013571768647058835,0.013229620411764717,0.015172601235294111,0.01760334888235293,0.017925607705882335,0.01667033782352942,0.016293723529411747,0.015316136470588215,0.014270861529411746,0.013364997176470578,0.012375636823529435,0.011392355882352961,0.010345953764705915,0.009252889941176498,0.008158635529411762,0.007246995294117639,0.006224459470588223,0.007101560411764685,0.00762767370588234,0.00562253252941175,0.004225664294117623,0.004996518411764669,0.005890033000000017,0.006144123235294105,0.007116175882352929,0.00767610141176471,0.008376398470588228,0.009113175529411738,0.010146857647058818,0.0109663094117647,0.012789323823529417,0.01548918088235296,0.01974402205882353,0.03895769758823528,0.058709874058823525,0.07921527641176468,0.09957989205882353,0.1186151738235294,0.13617077029411764,0.1539291035882353,0.17054561858823528,0.18723352064705878,0.20386934476470586,0.22090918888235295,0.23741582358823526,0.2539723812352941,0.26996287300000005,0.2838589477058824,0.2950516900588235,0.2894874535882353,0.26648819300000004,0.2426871035882353,0.22095548264705875,0.20013556911764704,0.18007302264705874,0.16109458088235296,0.14375681088235298,0.12726764470588248,0.11037459647058834,0.09366416035294117,0.07643544121848744,0.05916589221719459,0.041423845147058824,0.02449039748663112,0.008537154647058898,-0.0054138210457515545,-0.004301060457516326,-0.0010063016339868502,0.0009482224836602771,0.002216393660130822,0.003199787777777907,0.003952512483660187,0.0038282977777778227,0.0028650148366012873
pNuLoCRank	High
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
