UniprotID	Q86WZ6-2
pNuLoCScore	0.3259900966666667,0.312487186,0.30121316909090906,0.29176869833333335,0.28444698307692307,0.27809076285714285,0.27314869733333336,0.269057975625,0.2664159411764706,0.25440552764705887,0.2482708076470588,0.24195131294117644,0.2366278282352941,0.2333745647058823,0.23386127705882348,0.2380897570588235,0.2458384952941176,0.25430221882352944,0.2649328547058824,0.2771842241176471,0.2877640511764707,0.2965615476470589,0.3046117141176471,0.3115393611764706,0.33220858176470586,0.35592463176470585,0.37815892764705883,0.3998848852941176,0.4198523276470588,0.43998635352941173,0.45901048529411764,0.47720672235294126,0.4943654847058824,0.5090164947058824,0.5235812052941178,0.5373770376470589,0.5498062211764707,0.5634013252941178,0.5767279494117648,0.5917861182352941,0.6075317405882353,0.6089644052941177,0.6068661705882352,0.6046687,0.6019358329411765,0.5994349199999999,0.5963631376470587,0.5936275982352941,0.5905387335294117,0.5876457158823529,0.5856827729411764,0.58408127,0.5824969494117647,0.58103474,0.5802067858823529,0.5811162535294117,0.5749782829411765,0.5591025276470588,0.547358315882353,0.5387305158823529,0.5302952452941176,0.520950975882353,0.51441338,0.51017638,0.5062653194117647,0.5038024547058824,0.5026305811764706,0.5018884005882354,0.5014384064705882,0.5010421205882354,0.49960119470588243,0.49788770117647063,0.4970045223529412,0.5023321429411765,0.5170619476470587,0.5286748241176471,0.5369448094117647,0.5457658211764705,0.5556460317647058,0.5627266729411764,0.568690182352941,0.5745555,0.5795434294117647,0.5834995735294117,0.5865677758823529,0.5896093229411764,0.5926087235294117,0.5966380882352942,0.6051697564705883,0.6126765117647058,0.6203697735294117,0.6283173464705882,0.6351889723529411,0.6412199370588235,0.6458088076470588,0.6505600841176471,0.6554698841176472,0.6588195394117647,0.6622488158823528,0.6657657300000001,0.6691853535294118,0.6731231764705884,0.67625618,0.6787088270588234,0.680916405882353,0.6790607176470588,0.6773129494117647,0.675404851764706,0.6736551929411765,0.672300105882353,0.6716189235294119,0.6720473370588237,0.6717934282352942,0.6716429841176472,0.6719628747058825,0.672185554117647,0.6719640223529412,0.6715242047058824,0.6706218294117647,0.669910125882353,0.6712069876470588,0.6720398535294118,0.6704092182352942,0.6683278335294118,0.6664209405882354,0.6648796794117647,0.6636945582352942,0.6626881347058824,0.6615042741176471,0.6609924123529411,0.6605227270588234,0.6599980029411764,0.6596274352941176,0.6592111588235293,0.6589200999999999,0.6587638235294117,0.658874588235294,0.6575354411764706,0.656506802352941,0.6574982199999999,0.65822132,0.6587716929411765,0.6589791282352941,0.6587739811764707,0.6583968782352941,0.6583579194117647,0.6582589429411765,0.6579807935294116,0.6573991364705883,0.656601271764706,0.655989165882353,0.6553990364705884,0.6561739217647059,0.65652816,0.6570012747058823,0.6581173100000001,0.6593684535294118,0.6607882770588235,0.6615807794117646,0.6621412735294117,0.6630586794117646,0.663961488235294,0.6649014176470589,0.6659221588235295,0.6666892435294118,0.6677532047058825,0.668529925882353,0.6690959082352942,0.6691368494117648,0.6681096470588235,0.6673585482352943,0.666150715882353,0.6646051688235294,0.662957372352941,0.6615633664705882,0.6603903152941176,0.6592358623529411,0.6578973505882353,0.6565028623529412,0.6549885505882352,0.6532469882352941,0.6517833764705884,0.6501797588235294,0.648705314117647,0.6445532758823529,0.6415067170588236,0.6387919782352941,0.6369253011764706,0.6348693864705881,0.6328028729411764,0.6311149164705881,0.6299119488235293,0.6284271211764706,0.6275877776470589,0.6268068582352941,0.6255744464705884,0.6248367435294119,0.6244739235294118,0.6242603958823529,0.6250049276470588,0.6270606370588234,0.6324206223529412,0.63844364,0.6448445164705883,0.6510519576470589,0.6581417605882354,0.6656540529411765,0.6732722764705883,0.6811500052941175,0.6902153288235294,0.6990560076470588,0.7080115776470587,0.7174669517647058,0.7267469194117647,0.7357854017647059,0.7449531258823531,0.7560719094117648,0.7647473764705883,0.7717536941176469,0.777985205882353,0.7843106117647058,0.7905201552941176,0.7966831729411764,0.8025505470588236,0.8081730711764705,0.8133658394117648,0.8180717364705883,0.822679177647059,0.8271317005882355,0.8315671794117648,0.8356102347058825,0.8397486211764708,0.8438083658823531,0.8456836447058825,0.8496847035294118,0.8553403682352941,0.8605709388235294,0.8651842711764706,0.8694578770588235,0.8734648682352941,0.8774067858823529,0.8814763005882355,0.8855528888235296,0.8896253858823531,0.8935442211764707,0.8973347082352943,0.9010162705882355,0.9049242070588237,0.9096711911764708,0.9143323600000002,0.9184571264705884,0.9218429382352943,0.9248981147058826,0.9277724911764708,0.9302347823529413,0.9324843470588237,0.9346540647058825,0.9366597941176472,0.9384521117647059,0.9401104647058823,0.941655588235294,0.9430890141176472,0.9445211182352942,0.9460077500000001,0.9472740964705882,0.9474454000000001,0.9474569452941177,0.9474469905882353,0.947441635882353,0.9474195976470587,0.9474029705882354,0.947454105882353,0.9474963764705882,0.9475447911764706,0.9476055205882353,0.9476809417647059,0.9477706417647058,0.9478701123529414,0.9479768711764706,0.9481086005882353,0.9484089970588236,0.9486653494117647,0.9490036105882353,0.9493476258823528,0.9497099435294117,0.9500909435294117,0.9504844758823529,0.9508796823529411,0.9512778176470588,0.9517210152941177,0.9521766564705885,0.952640111764706,0.953102655294118,0.9535638670588235,0.9540165141176471,0.9544734329411765,0.9549351388235292,0.9552343188235293,0.9556171399999999,0.9559381658823526,0.9562757129411764,0.9565970752941176,0.9569060476470588,0.9572216805882353,0.9575355129411766,0.9578347599999999,0.9580935623529413,0.9583314035294118,0.9585490541176471,0.958755765882353,0.9589527364705882,0.9591511952941177,0.9595093152941176,0.9598500447058823,0.96019626,0.9605351776470589,0.9608637358823531,0.9611937417647058,0.9615179500000001,0.9618330147058822,0.9621364582352939,0.9624294682352942,0.962711774117647,0.9629860329411765,0.9632528076470588,0.9635116723529412,0.9637666194117647,0.9640170958823527,0.9642618135294119,0.9643286782352942,0.9643979488235291,0.9644534805882353,0.9644961805882353,0.9645316670588234,0.9645627788235295,0.9645908694117646,0.9646158635294116,0.9646394323529414,0.9646617105882354,0.9646841929411766,0.9647050023529412,0.9647244547058823,0.9647434605882352,0.9647606252941175,0.9647954176470587,0.9648309294117647,0.9648648823529413,0.9648976029411765,0.9649291794117647,0.9649594600000002,0.9649883217647058,0.9650167276470588,0.9650446505882354,0.9650717388235295,0.9650985170588235,0.9651250441176472,0.9651510817647058,0.9651768347058822,0.9652023017647058,0.9652275017647058,0.9652524547058823,0.9652579170588235,0.9652615170588235,0.9652651252941176,0.9652685282352941,0.9652721811764706,0.9652760535294118,0.9652804976470587,0.9652846588235294,0.965288624117647,0.9652926947058823,0.9652964270588236,0.9652999017647059,0.9653033200000001,0.9653065282352943,0.9653095905882353,0.9653165611764708,0.9653232494117648,0.9653295829411765,0.9653358535294118,0.9653419982352941,0.9653479688235294,0.9653538376470587,0.9653595964705883,0.9653652435294118,0.9653708058823528,0.9653762899999999,0.9653816547058821,0.9653868964705882,0.965392008235294,0.965396965882353,0.9654018011764706,0.9654064858823529,0.9654069388235295,0.9654074094117648,0.9654080211764707,0.9654084858823528,0.9654088623529413,0.9654092447058824,0.965409587647059,0.9654098876470587,0.9654101682352942,0.9654104211764706,0.9654106405882354,0.9654108441176471,0.9654110229411766,0.9654111776470589,0.9654113423529412,0.965412083529412,0.965412771764706,0.9654135341176471,0.9654143576470589,0.9654151811764706,0.9654160252941175,0.9654169058823527,0.9654177999999999,0.9654187088235294,0.9654196323529411,0.9654205694117647,0.9654214964705882,0.9654224200000003,0.9654233341176471,0.9654242488235295,0.9654251629411765,0.9654260570588236,0.9654263529411766,0.9654267088235295,0.9654270111764706,0.9654272582352941,0.9654275111764706,0.9654277535294118,0.9654279847058824,0.9654282082352941,0.9654284170588234,0.9654286052941177,0.9654287794117647,0.9654289582352941,0.9654291264705883,0.9654293088235296,0.9654294911764706,0.9654300882352942,0.965430715882353,0.9654313647058823,0.9654320147058824,0.9654326558823529,0.9654332947058823,0.9654339241176471,0.9654345376470588,0.9654351376470587,0.9654357317647059,0.9654363141176471,0.965436904117647,0.9654374788235295,0.9654380464705883,0.9654386105882352,0.9654391635294118,0.9654396929411765,0.9654398135294118,0.965439895882353,0.9654399658823529,0.9654400364705883,0.9654401070588235,0.9654401800000002,0.9654402594117648,0.96544034,0.9654404223529411,0.9654405147058824,0.9654406147058824,0.9654407129411766,0.9654408170588236,0.9654409258823532,0.9654410405882354,0.9654414229411765,0.9654418141176471,0.9654421905882353,0.9654425611764708,0.9654429229411766,0.965443275882353,0.9654436229411765,0.96544397,0.9654443023529412,0.9654446276470587,0.9654449570588234,0.9654452705882354,0.9654455823529413,0.9654458941176471,0.9654462058823529,0.9654465147058824,0.9654468247058825,0.9654468582352943,0.9654468994117648,0.9654469464705882,0.9654470052941176,0.9654470641176469,0.9654471288235292,0.9654471935294117,0.9654472582352942,0.9654473288235292,0.9654473994117647,0.9654474699999999,0.9654475405882353,0.9654476052941176,0.9654476723529415,0.9654477335294118,0.9654478558823532,0.9654479694117647,0.9654480829411765,0.9654481905882352,0.9654483052941176,0.965448414117647,0.9654485229411764,0.9654486347058824,0.9654487464705881,0.965448858235294,0.965448964117647,0.965449075882353,0.9654491817647058,0.9654492876470587,0.9654493935294117,0.9654494970588237,0.9654496005882355,0.9654496341176471,0.965449678235294,0.9654497223529411,0.9654497717647058,0.9654498141176469,0.965449856470588,0.9654499005882352,0.9654499358823528,0.9654499711764705,0.9654500094117646,0.9654500476470588,0.9654500799999999,0.9654501194117645,0.9654501588235291,0.965450198235294,0.9654502841176471,0.9654503699999999,0.965450455882353,0.9654505411764706,0.9654506264705882,0.9654507105882353,0.9654508005882353,0.9654508905882352,0.9654509788235293,0.9654510729411764,0.9654511670588235,0.965451252352941,0.9654513376470589,0.9654514229411765,0.9654515011764706,0.9654515794117647,0.9654516576470589,0.9654516835294118,0.9654517152941179,0.9654517470588236,0.9654517705882355,0.965451794117647,0.965451811764706,0.9654518235294117,0.9654518352941175,0.9654518470588236,0.9654518529411763,0.9654518588235294,0.9654518705882351,0.965451882352941,0.9654518941176468,0.9654519058823526,0.9654519411764703,0.965451982352941,0.9654520235294115,0.9654520588235291,0.9654520941176469,0.9654521294117647,0.9654521647058821,0.9654522,0.9654522352941174,0.9654522705882352,0.9654523058823529,0.9654523411764703,0.965452376470588,0.9654524058823528,0.9654524352941174,0.965452470588235,0.9654525058823528,0.9654525176470587,0.9654525235294118,0.9654525294117647,0.9654525352941178,0.9654525411764707,0.9654525470588238,0.9654525529411768,0.9654525588235296,0.9654525647058826,0.9654525764705885,0.9654525882352945,0.9654526000000002,0.9654526117647061,0.9654526235294119,0.9654526352941177,0.9654526588235295,0.9654526823529411,0.9654526999999999,0.9654527235294118,0.9654527470588237,0.9654527705882354,0.9654527941176471,0.9654528176470589,0.9654528411764707,0.9654528647058823,0.9654528882352942,0.965452905882353,0.9654529235294118,0.9654529411764706,0.9654529588235294,0.9654529764705883,0.9654529941176471,0.9654529941176471,0.9654529941176471,0.9654529999999999,0.9654529999999999,0.9654529999999999,0.9654529999999999,0.9654530088235295,0.9654530176470587,0.9654530264705883,0.9654530352941175,0.9654530441176471,0.9654530529411763,0.9654530617647059,0.9654530705882352,0.9654530794117647,0.9654530952941177,0.9654531111764705,0.9654531270588235,0.9654531429411763,0.9654531588235293,0.9654531747058821,0.9654531905882351,0.9654532064705879,0.9654532135294116,0.9654532282352939,0.9654532352941174,0.9654532499999997,0.9654532570588233,0.9654532641176469,0.9654532788235292,0.9654532935294116,0.9654533082352941,0.9654533158823528,0.9654533235294117,0.9654533311764705,0.9654533388235294,0.9654533464705882,0.9654533541176468,0.9654533617647059,0.9654533694117644,0.9654533770588235,0.9654533770588235,0.9654533847058822,0.9654533847058822,0.9654533923529409,0.9654533999999998,0.9654533999999998,0.9654534029411763,0.9654534058823527,0.9654534088235293,0.9654534117647058,0.9654534147058823,0.9654534176470588,0.9654534205882354,0.9654534235294118,0.9654534264705883,0.9654534294117648,0.9654534323529413,0.9654534352941176,0.9654534382352942,0.9654534411764706,0.9654534441176471,0.9654534470588236,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.9654534499999999,0.96545345,0.96545345,0.96545345,0.96545345,0.96545345,0.96545345,0.96545345,0.96545345
pNuLoCDScore	-0.05957415549019607,-0.0715845690196078,-0.07771928901960787,-0.08403878372549023,-0.08936226843137257,-0.09261553196078437,-0.0921288196078432,-0.08790033960784319,-0.08015160137254906,-0.05818496717647054,-0.03628031438502666,-0.01458447421568626,0.0033170680995476265,0.01847078478991604,0.031463016784313735,0.042481385551470574,0.06579264058823525,0.10151910411764697,0.12988812000000002,0.15793357235294114,0.18322449941176472,0.20661178882352943,0.22514920823529416,0.23911696529411777,0.24852698941176476,0.25471427588235296,0.2586483505882354,0.2601928135294118,0.26204217,0.2668397776470589,0.27211623529411766,0.28024675705882357,0.2753231588235295,0.2530397735294118,0.2287072429411764,0.20478381470588236,0.18208350529411765,0.15944856647058814,0.13735265235294108,0.11642087588235284,0.09617324882352929,0.07862922117647053,0.06210156764705865,0.04670423235294108,0.03269072823529395,0.0176334147058822,0.003478836470588109,-0.010669864705882492,-0.03255345764705886,-0.04986187764705885,-0.05950785470588227,-0.06593818411764707,-0.07164058764705883,-0.07848394411764692,-0.0819497576470587,-0.08345121823529411,-0.084273414117647,-0.08384326117647056,-0.0830521917647058,-0.08219286941176462,-0.08105854294117643,-0.07999261941176461,-0.08060559117647043,-0.08322855235294102,-0.0779737605882353,-0.05677038470588236,-0.030296368235294246,-0.010055691764705776,0.0066495641176470555,0.024814845294117593,0.04123265176470581,0.05255029294117641,0.06242486294117633,0.07075304529411763,0.0769128482352941,0.08161117294117637,0.08512936941176463,0.08856720235294102,0.0930075288235293,0.09875038705882355,0.10816523411764717,0.11034436882352938,0.10330782588235299,0.09964252235294113,0.09824416294117644,0.09545411588235297,0.090162775882353,0.0878334111764707,0.08677970176470617,0.08426403941176475,0.08270538647058812,0.08226615647058833,0.0826175776470589,0.08351385352941199,0.08364745647058824,0.08207073882352922,0.07574664941176468,0.06638420588235294,0.05694317588235298,0.04708750529411776,0.038466220588235345,0.031080168823529486,0.025810115882353046,0.021487252941176593,0.016323544117647026,0.01282344470588248,0.009714058823529603,0.006419824117646966,0.0027786688235293955,-0.0015989717647060253,-0.0056343505882352485,-0.008798701176470414,-0.009709418235294254,-0.007020864117647019,-0.006903731176470473,-0.0070770182352941635,-0.007234252352941062,-0.0074204264705882705,-0.007924365294117663,-0.009359202352941298,-0.010289154117647081,-0.010650571764706074,-0.011440147647059029,-0.012187551176470635,-0.012336587058823567,-0.012313045882353046,-0.011701729411764838,-0.01114630235294134,-0.012332399411764783,-0.014504412352941198,-0.013902415882353192,-0.010829613529411919,-0.008199620588235423,-0.006107986470588189,-0.004715430000000076,-0.0039141535294117125,-0.0031073958823529813,-0.0026344929411764584,-0.0022637841176469387,-0.002017209411764753,-0.0022282988235292622,-0.002609887058823368,-0.0029309341176468884,-0.00336478705882326,-0.0027006664705880867,-0.0010072811764705314,0.0004944723529413109,0.0006190900000001553,0.001147133529411759,0.0020165841176469357,0.0026016511764704875,0.003367292352940976,0.004661801176470415,0.0056035688235293035,0.006642474705882417,0.00794136529411782,0.009290107058823494,0.011151932941176557,0.01254076000000004,0.013696871764705798,0.012962927647058864,0.011581487058823448,0.010357273529411959,0.008033405882352906,0.005236715294117622,0.0021690952941175734,-1.7412941176409014e-05,-0.0017509582352940312,-0.00382281705882348,-0.006064137647058709,-0.008398555294117704,-0.010933608235294212,-0.013442255294117689,-0.015969828235294137,-0.01835016705882364,-0.02039059411764721,-0.024583573529411873,-0.026602929999999914,-0.02856657000000018,-0.029225414705882358,-0.029735782352941276,-0.030154499411764624,-0.03044845000000007,-0.030478366470588325,-0.030808741176470478,-0.03030957294117642,-0.029696004117647057,-0.02941410411764689,-0.02841024470588227,-0.027309452941176593,-0.02591936294117647,-0.023700386470588142,-0.01749263882352947,-0.009086094705882397,-0.0003483382352941211,0.007919215294117654,0.016182571176470817,0.02533888764705894,0.03453913647058837,0.043360327647058994,0.05272288411764692,0.06262755117647056,0.07224914941176463,0.08243713117647034,0.09263020823529389,0.10227299588235295,0.11152500588235292,0.11994819823529423,0.1290112723529414,0.13232675411764716,0.13331005411764696,0.1331406894117647,0.13325865411764692,0.1323783947058822,0.1310291199999999,0.12927827058823527,0.12702306588235301,0.12315051058823534,0.11901572882352951,0.11466760000000031,0.10966474882352972,0.10482026000000011,0.09982483294117661,0.09479549529411768,0.08773645647058825,0.0809362682352942,0.0779310094117649,0.07735516235294115,0.07626032705882357,-0.04171672037908497,-0.051879670967320296,-0.06100056979084967,-0.06896990273202613,-0.07343660861437906,-0.0703628350849673,-0.06269219720261436,-0.053738930732026124,-0.04368119426143788,-0.023304292011764705,-0.005465773112299455,0.01260523621568635,0.02809037379185525,0.042107675831932784,0.051367046109803915,0.05753101536029412,0.0682042943529412,0.08841687435294121,0.10431565847058824,0.11961791082352943,0.13237602258823528,0.13731668082352944,0.13609403823529415,0.1329543347058824,0.12823939235294113,0.12464367882352936,0.1231245323529411,0.1203168947058823,0.11583289647058814,0.11132263882352941,0.10626274352941179,0.10458612352941177,0.0988046205882353,0.0887142629411764,0.08281197941176466,0.07841369823529404,0.07227184529411759,0.06649717235294117,0.06270737882352939,0.05990651176470585,0.05817227941176478,0.05760124411764711,0.05580408764705891,0.05336872941176479,0.05303120470588246,0.05216782058823538,0.053627112352941264,0.054806107647058844,0.05979376764705879,0.0699376723529413,0.07964164352941189,0.08720554647058831,0.09542899823529422,0.10479177117647065,0.11379591411764706,0.12224776235294116,0.12954868470588238,0.13571087764705891,0.14115326117647065,0.1462142858823529,0.15197857411764704,0.15807191058823522,0.16413555352941173,0.16935617000000003,0.17065498823529424,0.16679290352941184,0.16190324823529417,0.15714564000000003,0.15245756470588223,0.1464493564705881,0.13925257411764708,0.13197175352941182,0.12486459588235299,0.11824766764705874,0.11234246999999997,0.10660790411764715,-0.03475824369281047,-0.050903258751634,-0.062974258751634,-0.06855245345751636,-0.0691629085163399,-0.06482081381045754,-0.057859708810457544,-0.047990258222222235,-0.03902207233986929,-0.02191936667647057,-0.008817863754010682,0.009509412014705856,0.028385293660633512,0.045349573201680676,0.0685874899607843,0.09235269536029414,0.12346725399999997,0.17143345788235298,0.2162736011764706,0.25243993117647057,0.2827367585882354,0.3062534289411765,0.32418069158823537,0.33830828570588245,0.3508844251176471,0.3641501368823531,0.37920317570588236,0.39029593747058833,0.3932701133529412,0.39672061070588227,0.3953596724705882,0.38662400247058826,0.3692990460000001,0.3415862424705882,0.31007252270588237,0.28015893682352944,0.252947096235294,0.22760598705882357,0.20560433176470594,0.1850109364705882,0.1673337205882352,0.14850397882352928,0.1299502535294118,0.1093646735294116,0.09509016235294099,0.08250497294117642,0.0681291611764705,0.06001758999999984,0.056850340588235126,0.060658945882352766,0.06678624882352924,0.07323079941176458,0.07754086411764705,0.08163765294117631,0.08528070529411758,0.08845259117647053,0.09073849705882364,0.0930272299999999,0.09502995647058832,0.09649699529411782,0.0979217076470591,0.09903603647058856,0.09973693647058834,-0.04869047745098043,-0.06142856745098044,-0.07308171215686278,-0.08298383686274512,-0.08596445568627453,-0.08310965686274513,-0.0793784792156863,-0.07312302333333336,-0.06567270368627454,-0.04468720785294118,-0.023738100283422464,-0.0032906733872549165,0.015565460678733045,0.03369247638655462,0.04912741227058823,0.06290755438602938,0.07944634923529414,0.10461958076470587,0.12703460076470585,0.1478542925294118,0.1630531307647059,0.16947284488235292,0.17392558547058828,0.17705806547058828,0.17814676935294116,0.17704388011764705,0.1747041557647059,0.16998548458823529,0.16473165105882356,0.15863805888235294,0.15166333123529407,0.14512338358823532,0.13458574564705872,0.1237180994117647,0.11695899941176474,0.11264372294117642,0.10752908705882352,0.1050140617647059,0.10382088647058829,0.10271922705882358,0.10257644352941186,0.10329048058823537,0.10432275882352954,0.1057102994117648,0.10723934647058825,0.10826797176470593,0.10997251882352954,0.11233216882352948,0.11858231176470596,0.12779057176470587,0.13385794823529407,0.1374539588235295,0.1398785617647058,0.14216448000000004,0.1442085241176469,0.14454893235294103,0.14442385705882343,0.1441458858823529,0.14266827117647035,0.1411618805882352,0.13924258117647054,0.1378428499999999,0.13634121294117635,0.13473243588235279,0.1286241288235293,0.11965389647058822,0.11144199352941181,0.02755515712418305,0.036357321830065376,0.04851133830065363,0.07101065241830065,0.09694513124183007,0.12589604653594771,0.15745390300653594,0.19150795218300654,0.22601285235947716,0.2734239661882352,0.31760655860962567,0.3593817433333333,0.39017499073303163,0.411679979630252,0.43222754765490196,0.4492914992720586,0.462395636235294,0.4810237503529411,0.4923273174117647,0.49227559505882335,0.48720785741176453,0.4770669832941177,0.4644298715294118,0.4468993894117647,0.42787315158823536,0.40633775788235305,0.38271880764705885,0.3595889503529412,0.3361541094117647,0.3192532147058824,0.3045109370588235,0.287180807647059,0.26903813529411746,0.24657994117647053,0.22514490235294116,0.20486491647058824,0.18569369000000013,0.1684412999999998,0.15057412588235275,0.13489897117647054,0.12028110058823505,-0.043809836254901965,-0.05946748213725492,-0.06766702037254903,-0.07116266096078432,-0.07039246096078434,-0.06794578566666669,-0.06246951831372552,-0.05748856184313729,-0.04728977066666669,-0.026775741205882372,-0.009133381299465254,0.009368930215686244,0.027522057705882355,0.047084809260504235,0.06741245113333338,0.08822413555514708,0.11254544229411763,0.15216150052941177,0.18443550758823535,0.21010276288235297,0.23106520523529417,0.2478379840588235,0.2613393755294117,0.2741979455294118,0.2830095496470588,0.2870992086470588,0.2922383767058823,0.2967007315294118,0.2985080488823529,0.2976459200588235,0.2939598244117647,0.2882619162941177,0.2774895747058823,0.2602115423529412,0.24031118058823525,0.2217203652941176,0.20323565823529416,0.18755346999999994,0.17248464352941184,0.15941432588235294,0.14528018352941185,0.1349329447058824,0.12485869764705892,0.11339362000000008,-0.0007962443137255193,-0.007140979019607863,-0.007848044313725516,-0.0045509919607843174,0.002500471568627455,0.011170979215686272,0.02342761956862746,0.03818641309803922,0.054597514509803935,0.07645239647058827,0.09705246026737968,0.11400873990196078,0.12844612823529414,0.14473206441176473,0.1626446975294117,0.17559161588235295,0.2028578270588236,0.24125678882352944,0.2710597841176471,0.2951213735294118,0.3143407005882352,0.33284224941176477,0.34607616964705884,0.35688605670588236,0.3646808,0.37356310411764715,0.383490861764706,0.39129877588235307,0.39914397352941183,0.4037977788235294,0.4003938235294117,0.3944541994117646,0.3781267564705882,0.3466817764705883,0.31904800352941176,0.2936186476470588,0.2702801041176473,0.24480181588235306,0.22061142294117653,0.19672753470588245,0.17384629352941172,0.15167611705882345,0.1291932094117646,0.015110586143790877,0.023333709673202696,0.032096996732026234,0.04312772496732031,0.06121557320261445,0.07794658908496732,0.0987686920261438,0.11869084261437912,0.14130948202614385,0.1676887149411765,0.19342407379679155,0.22259611088235307,0.25219587886877837,0.2808697000840338,0.3072178258823529,0.3243708891544119,0.34012496529411773,0.35716855411764714,0.3691029482352941,0.37921304176470594,0.38227727117647053,0.38887892823529413,0.38945920176470594,0.3875927129411766,0.3852098994117648,0.3785742382352941,0.372147854117647,0.3626550629411763,0.34876621411764697,0.3321353494117646,0.31384598117647067,0.29536714117647034,0.27753166941176466,0.25454545941176443,0.23636792176470567,0.21772756705882346,0.1991341564705882,0.17837117411764714,0.15944130352941177,0.14392130058823505,0.1262741905882352,-0.03286091567320262,-0.0460090268496732,-0.05394559002614378,-0.059572647673202625,-0.060668902967320276,-0.06251833673202617,-0.06102029226143793,-0.057732508143790856,-0.05199335908496733,-0.04028791651764706,-0.029431066106951884,-0.019580666833333343,-0.011807994343891431,-0.005510785663865564,0.005392514807843113,0.01573565798529411,0.04358497023529412,0.08100655788235295,0.11160068635294117,0.1378989865882353,0.16151456658823526,0.1867269027058823,0.20909814023529405,0.23220157611764702,0.2532376164705883,0.27486579176470594,0.2984153831764706,0.3221511472941177,0.34694492635294116,0.37337288105882344,0.3943892151764705,0.4103771971764706,0.4085566551764706,0.3912355634117648,0.3776462922352942,0.3671638472941178,0.35660147023529415,0.3427803561176472,0.32738610000000024,0.3101236235294119,0.29002843529411765,0.27037098058823533,0.24932773647058815,0.22604926705882356,0.20198184647058814,0.1765446635294119,0.15017768705882362,0.12930489352941177,0.11173304999999989,0.11145031823529405,0.10861637470588215,-0.01031120796078433,-0.01586514207843137,-0.019406630901960792,-0.011854122666666689,0.0018404132156862874,0.016161667921568645,0.03360115380392159,0.05636710115686275,0.08008216703921572,0.10622066848823536,0.13023209071123001,0.1537457912892157,0.17766906870135754,0.20058352467647064,0.21978262585490202,0.23936883997426475,0.26143450052941175,0.2898123005294118,0.3149530717058825,0.3299283999411765,0.333878981117647,0.3317175087647058,0.32786231229411766,0.31675515200000004,0.30071650317647064,0.2877527205882352,0.27853376529411755,0.268270448235294,0.26153582411764703,0.25411357176470584,0.24868345588235286,0.24639737,0.23785707470588247,0.2275911323529411,0.21814675176470577,0.2085080352941176,0.2020215458823531,0.20159718529411774,0.20165613941176463,0.20390752588235295,0.21041016176470584,0.21745225941176471,0.21886904647058825,0.21989039,0.217888168235294,0.21140108588235285,0.2047365564705882,0.19535390647058815,0.1857900458823527,0.18019691470588217,0.17388901588235284,0.16620150764705877,0.15985860705882338,0.15278883058823534,0.14384507352941178,0.13390346529411756,0.12355636529411762,0.11168083941176477,-0.018354172614379077,-0.02535382379084966,-0.030138047908496696,-0.03306402496732022,-0.032062861437908485,-0.029874166732026114,-0.02944678555555555,-0.0285857496732026,-0.02800904320261438,-0.021702718705882335,-0.01415683406417112,-0.009012881225490182,-0.005927889411764725,-0.002100210714285705,0.0006544472156862768,0.004071297683823499,0.019215248823529374,0.03846758117647059,0.05453932529411762,0.06006417253676463,0.0618009272156862,0.06268110689075626,0.06570784692307693,0.06885504245098034,0.07370434673796789,0.0794253987058823,0.08675814921568625,0.08343484039215684,0.08264181274509805,0.08126703333333332,0.07848681745098038,0.0761192462745098,0.06041882156862746,0.04816614039215683,0.036878620392156836
pNuLoCRank	High
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
