UniprotID	Q86UE8-3
pNuLoCScore	0.45863636111111106,0.48163892499999994,0.49537238090909086,0.5050662741666666,0.5140333346153846,0.5224084285714286,0.5298958466666667,0.535402928125,0.5411195652941176,0.5519675888235294,0.5634999111764705,0.5725540388235293,0.5806675976470587,0.5891375594117646,0.6008075499999999,0.6131856694117644,0.6236233605882352,0.6213817194117646,0.6152189458823528,0.6119826670588235,0.6104634552941176,0.6080066341176471,0.6052955017647058,0.6024295752941177,0.6045667605882353,0.6054326570588237,0.6060769476470589,0.6070036164705883,0.607915753529412,0.6092143323529413,0.6112269617647059,0.6114917794117648,0.6118022735294119,0.6122233382352941,0.613076644117647,0.6150510470588234,0.6172566235294117,0.6193029264705883,0.6222378735294118,0.6244635647058825,0.6272074123529413,0.6261254005882354,0.6258388088235295,0.6259400564705881,0.6264062288235294,0.6272273952941176,0.6277321658823528,0.6287257911764704,0.632085938235294,0.6356657617647058,0.63954005,0.6433840817647059,0.6470298347058824,0.6509481464705883,0.6547547935294118,0.6582050700000001,0.67599341,0.6947990417647059,0.7134964300000002,0.7320843594117649,0.7507037947058824,0.7691204223529413,0.7873741341176471,0.8060425158823529,0.8246791458823528,0.8426527929411762,0.8602308011764705,0.8774331952941177,0.8943744282352941,0.9112728399999999,0.928047442352941,0.9446213747058823,0.961026648235294,0.9635002170588235,0.9643959676470589,0.9652012970588236,0.9657382158823529,0.9661156070588236,0.9664978247058822,0.9667702247058823,0.9669844347058825,0.9671540417647059,0.9672899770588234,0.9674009258823529,0.9675147258823529,0.9676158458823529,0.9677102252941178,0.9677916911764707,0.9677586970588234,0.9678178882352942,0.9678416117647058,0.9679095052941177,0.9679901111764705,0.9680836135294117,0.9681719976470589,0.9682630529411765,0.9683464329411765,0.9684316035294117,0.9685192647058822,0.9686070058823529,0.9687004252941175,0.9687937452941178,0.968887578235294,0.968981034117647,0.9690742623529411,0.9692727211764707,0.96937138,0.9694991288235293,0.9695794052941177,0.9696463735294119,0.9696957470588236,0.9697416747058822,0.969786451764706,0.9698298929411765,0.9698416164705883,0.9698515911764706,0.9698618323529411,0.9698693264705883,0.9698704476470589,0.9698706570588236,0.969966686470588,0.970068978235294,0.9701716870588233,0.9702676929411763,0.9703528735294117,0.9704394058823529,0.970529814117647,0.9706213170588235,0.9707101976470587,0.9708015241176471,0.9708994852941176,0.9710085441176471,0.9710940311764704,0.9711719158823527,0.9712403629411765,0.9713007117647059,0.9713593435294118,0.9713141994117649,0.9712676735294117,0.9712282152941176,0.9711987599999998,0.971182226470588,0.9711681594117647,0.9711606888235292,0.9711579594117646,0.9711588711764705,0.9711634770588236,0.9711727694117647,0.9711950029411764,0.9712397470588237,0.971290547647059,0.9713498770588234,0.97149006,0.9716273452941177,0.9717500364705882,0.971868817647059,0.9719820552941177,0.9720920258823531,0.9721934711764708,0.9722912558823531,0.9723826405882354,0.9724700264705886,0.9725516423529413,0.9726309341176472,0.9727080976470589,0.9727821111764707,0.972853795882353,0.9729232147058824,0.9729907735294118,0.9729848829411765,0.97297996,0.9729929817647057,0.9730033182352941,0.9730097300000001,0.9730137852941174,0.9730196970588234,0.9730226147058822,0.9730261182352941,0.9730280294117646,0.9730314682352941,0.9730337852941175,0.9730351294117646,0.973036682352941,0.9730366682352939,0.9730054935294116,0.9729872088235294,0.9729795499999999,0.9729731794117648,0.9729679694117648,0.9729601752941178,0.972950938235294,0.9729439870588237,0.9729394929411765,0.972936634117647,0.9729329988235295,0.9729316976470588,0.9729327888235294,0.9729342094117646,0.9729338888235295,0.9729332300000001,0.9729332358823529,0.9729634005882353,0.9729774205882354,0.9729810147058823,0.9729824935294118,0.9729826582352942,0.97298499,0.9729906523529412,0.9729929505882353,0.972994185882353,0.9729955876470588,0.972998625882353,0.9730013747058824,0.973001592352941,0.97299952,0.9729979388235295,0.9730141699999999,0.9730136205882353,0.9730009911764705,0.972986432352941,0.9729772911764705,0.9729691147058823,0.972959855882353,0.9729527588235295,0.972946072352941,0.9729364811764704,0.9729194988235295,0.9729018852941176,0.9728834294117646,0.9728651905882352,0.972846793529412,0.9728296517647059,0.9728105594117648,0.9727726811764704,0.9727506347058823,0.9727429111764705,0.9727393111764705,0.9727305523529411,0.9727203994117647,0.9727122429411764,0.9727034047058822,0.9726934511764705,0.9726844776470588,0.9726808894117648,0.9726763541176472,0.9726724188235295,0.9726679799999998,0.9726641652941174,0.9726858500000001,0.9727020558823528,0.9727232147058823,0.9727474247058823,0.9727685699999999,0.9727862464705884,0.9728021758823531,0.9728161641176473,0.9728296170588235,0.9728424758823531,0.9728554552941177,0.9728699758823529,0.972884838235294,0.9728992594117649,0.9729133270588237,0.9729265452941176,0.9729400247058823,0.9729286952941177,0.9729258735294117,0.972918558235294,0.9729081835294116,0.9728995852941177,0.9728946347058823,0.9728896405882352,0.9728864547058822,0.9728831976470588,0.9728796329411764,0.9728749505882353,0.9728705123529411,0.9728666694117647,0.9728643799999999,0.9728623947058823,0.9728535858823527,0.9728308117647058,0.9728074352941176,0.9727910805882353,0.9727791958823531,0.9727717564705882,0.9727636900000001,0.9727542723529412,0.9727453370588234,0.9727375464705882,0.9727303164705883,0.9727231047058822,0.9727186282352941,0.9727150223529412,0.9727107558823529,0.9727068323529413,0.9727022205882352,0.9727042588235293,0.9727197564705883,0.972736017647059,0.972742025882353,0.9727429552941177,0.9727392258823528,0.9727349064705881,0.9727316864705882,0.9727283923529411,0.9727250394117647,0.972723374117647,0.9727234270588234,0.9727233017647059,0.9727230488235294,0.9727247276470588,0.9727437370588234,0.9727650782352941,0.9727961252941175,0.9728274105882352,0.9728566411764705,0.972887064117647,0.9729188994117647,0.9729520229411764,0.9729837852941179,0.9730160888235296,0.9730481205882355,0.9730778188235296,0.9731050982352942,0.9731293452941178,0.9731524176470588,0.9731752176470588,0.9731961076470588,0.9731981135294118,0.9731983194117648,0.9731897635294118,0.973182413529412,0.9731775958823531,0.9731747882352941,0.9731719470588236,0.9731690529411763,0.9731682470588234,0.9731675805882352,0.9731663605882351,0.9731668741176468,0.9731678035294117,0.9731702388235292,0.9731731717647059,0.9731880152941176,0.9731920541176471,0.9731943794117646,0.9731951147058823,0.9731887941176471,0.9731837176470587,0.9731784729411764,0.9731751435294117,0.9731734611764705,0.9731721670588234,0.9731701817647059,0.9731670270588236,0.9731662152941176,0.97316648,0.973166411764706,0.9731667329411764,0.9731663788235295,0.9731548329411766,0.97315519,0.9731588505882353,0.9731637270588235,0.9731750241176471,0.9731836888235295,0.9731913982352942,0.9731969776470589,0.9732004452941174,0.9732033547058824,0.9732070082352943,0.9732113935294118,0.9732141170588233,0.973215758235294,0.9732167294117647,0.97321912,0.9732278152941177,0.973233723529412,0.9732348941176471,0.9732350341176472,0.9732341694117648,0.9732344517647059,0.9732362929411762,0.9732399011764705,0.9732447923529411,0.9732507629411764,0.9732574382352941,0.9732644994117646,0.97327152,0.9732777847058822,0.9732844199999998,0.9732916405882351,0.9732969170588236,0.9732960488235293,0.9732969988235293,0.9733028905882354,0.9733097235294117,0.9733176547058825,0.9733229782352941,0.9733265641176471,0.9733279311764707,0.9733262164705883,0.9733236252941175,0.9733201964705882,0.9733156788235294,0.9733105023529411,0.9733064347058822,0.9733104876470589,0.9733119623529412,0.9733121705882354,0.9733129411764707,0.9733141541176472,0.9733143817647061,0.9733099858823531,0.9733034823529413,0.9732976294117648,0.9732925947058826,0.9732897305882355,0.9732888470588236,0.9732878794117649,0.9732879588235295,0.9732890941176473,0.9732906294117647,0.9732903594117647,0.9732808652941178,0.9732727435294118,0.9732652964705882,0.9732565552941177,0.9732466982352941,0.973237790588235,0.9732334182352939,0.9732313005882351,0.97323004,0.9732279535294116,0.973224162352941,0.9732193870588236,0.9732147370588237,0.9732097488235295,0.973204713529412,0.9731764511764707,0.9731533535294117,0.9731387376470588,0.9731272847058823,0.9731113411764706,0.973097411764706,0.9730830294117645,0.9730701917647058,0.9730572858823529,0.9730424723529412,0.973028342352941,0.9730168564705882,0.9730045388235294,0.9729935888235296,0.9729827064705883,0.9729723888235293,0.9729613788235295,0.9729748176470588,0.9729851317647058,0.9729884064705883,0.9729900829411764,0.9729972005882352,0.9730032594117646,0.9730106376470585,0.9730162164705881,0.9730211729411764,0.9730267235294117,0.9730303729411763,0.9730325570588233,0.9730353841176471,0.973037595882353,0.9730399452941175,0.9730422305882352,0.9730535288235295,0.973063475882353,0.973075261764706,0.9730882241176472,0.9731000358823529,0.973103731764706,0.9731014864705884,0.973098292352941,0.9730843723529411,0.9730716282352941,0.9730558182352941,0.9730370223529412,0.9730200105882352,0.9730005423529411,0.9729816070588235,0.9729642047058824,0.9729469335294118,0.9729224747058824,0.9728992082352941,0.9728728729411765,0.9728444576470588,0.9728164082352942,0.9727967005882353,0.9727832794117648,0.9727707188235295,0.9727676388235293,0.9727639752941177,0.9727652264705884,0.9727712182352943,0.9727746670588239,0.9727820641176473,0.972802093529412,0.9728201464705886,0.972840391176471,0.9728546947058826,0.972861331764706,0.9728635317647059,0.9728681052941177,0.9728731823529411,0.9728776035294115,0.9728803817647059,0.9728830288235294,0.9728869958823531,0.972889903529412,0.9728904682352942,0.9728899252941178,0.9728906452941175,0.9728917305882351,0.9728795511764704,0.9728669276470586,0.9728513599999999,0.9728420129411762,0.9728392641176468,0.9728406817647057,0.9728400847058822,0.9728381664705881,0.9728367776470587,0.9728367776470589,0.9728367188235296,0.9728367752941177,0.9728381694117648,0.9728420047058823,0.9728459341176472,0.972834528235294,0.9728184458823528,0.9728078223529413,0.9728011164705883,0.97279841,0.9727965864705882,0.9727954999999999,0.9727922847058823,0.9727874729411764,0.9727856605882351,0.9727826576470586,0.9727778635294115,0.9727714399999999,0.9727631105882353,0.9727559964705881,0.9727493435294119,0.9727437494117649,0.9727521611764706,0.9727645105882352,0.9727710252941177,0.9727734111764706,0.9727700794117647,0.9727652552941177,0.9727609805882352,0.9727612076470588,0.9727639341176471,0.972763784117647,0.9727645994117649,0.9727674464705884,0.9727726370588237,0.9727802547058825,0.9727867452941178,0.9728116764705883,0.972837311764706,0.9728588605882353,0.9728774464705882,0.9728965111764708,0.9729160311764706,0.9729368135294119,0.9729560552941175,0.9729737711764705,0.9729902123529409,0.9730019894117644,0.9730076088235291,0.9730077211764704,0.973005824117647,0.9730037411764707,0.9730037023529412,0.9730038200000001,0.9729833476470588,0.9729577241176471,0.9729361435294118,0.9729177141176472,0.9729001435294118,0.9728826464705882,0.972866184117647,0.9728510829411763,0.9728379476470588,0.9728242888235293,0.9728133088235293,0.9728092870588236,0.9728106335294119,0.9728129835294117,0.9728147876470589,0.97283185,0.9728451617647058,0.9728409323529412,0.9728384735294117,0.9728371441176471,0.9728380888235293,0.9728396199999999,0.9728400817647058,0.9728351170588238,0.9728217852941178,0.9728080294117648,0.9727904352941178,0.9727713882352942,0.9727472552941178,0.9727217694117648,0.9726958223529413,0.9726677047058824,0.972620244117647,0.9725751358823528,0.972547924117647,0.972522124117647,0.9724952852941174,0.972465364117647,0.9724338094117646,0.972403574117647,0.9723785188235294,0.9723609752941179,0.9723414194117649,0.9723249747058823,0.9723106594117648,0.9723015241176471,0.9722932241176471,0.9722748005882355,0.97224213,0.9721898811764705,0.9721409564705882,0.9720960270588238,0.9720527717647058,0.9720149435294116,0.9719796552941178,0.9719468317647059,0.9719144258823529,0.9718834111764705,0.9718577547058823,0.9718314217647058,0.9718066488235294,0.97178232,0.9717585994117648,0.9717353229411764,0.9717237405882353,0.9717289935294119,0.9717549458823529,0.9717771047058823,0.9717955711764706,0.9718130288235296,0.9718226570588235,0.9718304041176471,0.9718355629411766,0.9718388276470589,0.9718393041176472,0.9718333041176471,0.9718275311764707,0.9718217076470588,0.9718150517647058,0.9718443311764704,0.9718752429411763,0.97189809,0.971913095882353,0.971929708235294,0.9719475970588235,0.9719661658823531,0.9719880635294118,0.9720134670588235,0.9720376729411764,0.9720587947058826,0.9720833282352942,0.972110651764706,0.9721371788235293,0.972164808235294,0.9721911935294116,0.9722185317647057,0.9722103947058824,0.9722003264705883,0.9721983735294115,0.9722036464705882,0.9722084499999999,0.9722134564705884,0.9722189035294119,0.9722208329411766,0.9722224300000001,0.972225315882353,0.972231956470588,0.9722366052941176,0.97223974,0.9722449952941178,0.9722498952941178,0.9722330805882355,0.9722232011764708,0.9722207147058824,0.9722206341176469,0.9722239541176471,0.9722287870588234,0.9722332364705882,0.9722383270588236,0.9722438564705882,0.9722484270588234,0.9722532358823528,0.9722582358823528,0.9722632529411764,0.9722687470588234,0.9722672224999999,0.9722651773333333,0.9722634685714285,0.9722912353846153,0.972313055,0.97232566,0.972336619,0.9723421722222222
pNuLoCDScore	0.08248320418300659,0.09333122771241831,0.10486355006535941,0.11391767771241823,0.12203123653594761,0.13050119830065354,0.1421711888888888,0.1545493083006534,0.16498699947712414,0.13974279441176463,0.11984656497326196,0.10691639289215693,0.09643012067873302,0.08559820554621855,0.07539965509803914,0.06702664716911766,0.06344719529411769,0.05346506823529429,0.042577036470588414,0.034449577647059026,0.027248155882353298,0.020076772941176713,0.010419411764706066,-0.0016938899999996426,-0.011821087058823343,-0.009158381176470498,-0.0021423017647058673,0.0030683799999998707,0.006793168235294078,0.011296292352941162,0.016942371764706032,0.02203398941176482,0.022640651764705977,0.02069274352941175,0.019761861176470608,0.018936439999999832,0.018490475294117403,0.018013062941176328,0.016505204117646888,0.017234011764705626,0.020283664705882165,0.023442423529411727,0.026463405882353075,0.028333034705882443,0.029773211176470693,0.03164522000000003,0.03251691999999995,0.03374150529411757,0.04878599764705871,0.06867364117647046,0.08765762117647069,0.10614430294117672,0.12429756588235308,0.14189302705882367,0.1596419682352943,0.17731672470588244,0.19259320764705878,0.20698703117647044,0.22069075117647052,0.23404911352941182,0.24734459352941174,0.26032469352941157,0.2732926488235292,0.2864163047058822,0.28503323823529403,0.26870117529411763,0.25089953764705875,0.23311693764705876,0.21503442117647042,0.1969951847058823,0.17912369058823507,0.16072770882352938,0.14230528882352966,0.12450124882352964,0.10705917588235281,0.08996773058823526,0.07314029764705876,0.05634300588235308,0.039662782941176755,0.023170316470588426,0.006732048823529402,0.00431767117647075,-0.0022429535294117287,-0.010421357058823522,-0.014706880588235244,-0.012354639411764679,-0.00884618294117645,-0.011962420588235267,-0.011219374705882329,-0.012120760588235274,-0.014846810588235282,-0.015524869823529408,-0.016060198021390415,-0.017285185686274546,-0.018459330723981926,-0.01944016487394959,-0.01969518592156866,-0.018568086286764707,-0.016179546470588224,-0.005345736470588197,0.003257951764705863,0.004069805882352923,0.002784539411764708,0.007842862941176476,0.009773977647058812,0.01297417352941177,0.01738332941176471,0.016916254117647078,0.018709540588235346,0.020786569411764738,0.02346979764705881,0.02491338588235295,0.027342048823529447,0.0292920229411765,0.030385549999999983,0.029909269411764694,0.026574528823529397,0.023381202941176488,0.021980620000000034,0.02210647647058822,0.021700644117647105,0.021242993529411808,0.022107922352941206,0.02688721941176478,0.03142671470588235,0.0319281111764706,0.03218885352941184,0.0323023941176471,0.031448706470588284,0.030598424117647044,0.02731943941176468,0.031089087647058783,0.03994229294117646,0.05031829529411763,0.06066839647058822,0.06952697529411767,0.07893448529411756,0.08894454647058814,0.09804988588235286,0.10609705588235285,0.11293478294117648,0.12366668705882355,0.13594263117647054,0.14813775882352936,0.1609520547058823,0.1740251264705882,0.1878913764705883,0.19615063176470593,0.1934371347058823,0.18605719235294121,0.17731534235294127,0.16793184823529422,0.1575410082352942,0.1462226323529412,0.13484595588235293,0.12340145411764697,-0.03498220026143789,-0.048240670261437885,-0.0566072502614379,-0.06288490555555556,-0.06594575290849675,-0.06842589379084969,-0.07007801437908498,-0.07059057261437911,-0.06899756879084971,-0.06023590638235295,-0.053806842433155075,-0.04760024350490198,-0.04251539441176466,-0.038197088508403365,-0.03410806092156861,-0.03014188630514704,-0.026962545588235326,-0.01159001088235298,-0.00017654088235294352,0.00953339852941179,0.014963710588235285,0.019058996470588216,0.022262485,0.024880399705882364,0.025002245294117695,0.025902286470588246,0.0269120411764706,0.027794576470588264,0.02867932470588233,0.030459127058823532,0.03214927823529408,0.03362400411764706,0.03579325529411764,0.037528026470588255,0.03644786647058826,0.03356106823529412,0.031341911176470616,0.03078914441176475,0.030865755882352963,0.02981682117647061,0.02913254294117648,0.027913634705882345,0.026724588823529377,0.025646769999999985,0.025097974117647054,0.023297641176470568,0.021463756470588263,0.02006689705882353,0.022817583529411767,0.027858062941176487,0.0304244317647058,0.03085271176470586,0.031728725882352926,0.03338502235294116,0.033039133529411735,0.03241421117647056,0.03183063058823524,0.03204874764705884,0.03249007823529412,0.03221520176470585,0.031890985882352924,0.032103914705882364,0.03160221058823526,0.029896297058823518,0.023788210588235326,0.009580525294117626,-0.003693686470588181,-0.009774272352941149,-0.012333998823529368,-0.016770857647058823,-0.021477622352941123,-0.02409587058823523,-0.02482131058823525,-0.02628948235294118,-0.028503335882352904,-0.03039630352941175,-0.03179473588235296,-0.03308077647058824,-0.03417621352941175,-0.03409039705882355,-0.03575943294117648,-0.03281528411764703,-0.024943521764705906,-0.01940289352941177,-0.017406999411764712,-0.014247722352941167,-0.009261631176470608,-0.00472740058823537,-0.001450607058823522,0.000991842352941169,0.004498914117647024,0.007895006470588245,0.010524720588235364,0.013077333529411816,0.01584995000000003,0.01886439823529415,0.023975392941176454,0.03144331294117644,0.03701358352941175,0.040175275882352895,0.04173576058823522,0.04253271117647059,0.042428419999999994,0.041852906470588314,0.03969098823529413,0.037809218823529445,0.03587538000000004,0.034438183529411776,0.03246844470588231,0.030885682941176412,0.029335047058823505,0.027347447058823526,0.021695888823529436,0.014852855882352967,0.008719564705882393,0.0046069335294118,0.002540161176470629,0.00017648941176470756,-0.0019300482352940795,-0.004518518235294144,-0.005881041176470564,-0.006295940588235294,-0.006488921176470569,-0.007114716470588228,-0.00757907999999996,-0.008069867647058748,-0.008383500588235254,-0.00863197647058822,-0.005822991176470588,-0.000800253529411793,0.0030526582352941034,0.005618951764705865,0.007071730588235264,0.00801874764705876,0.00953658352941164,0.011713192352941076,0.013758780588235181,0.014698498823529332,0.014920499411764626,0.014964871176470551,0.01511089882352934,0.015300421764705807,0.01530415294117643,0.015413617058823492,0.02726660764705882,0.03447526588235292,0.04050231823529418,0.04463720823529413,0.04930812764705894,0.05392601411764708,0.058391062352941225,0.06282400411764719,0.06700357176470598,0.07170544882352947,0.07692500294117655,0.08264266411764704,0.0885157223529412,0.0939472011764706,0.09948144235294121,-0.008441872535947692,-0.020312433712418254,-0.030925668418300634,-0.03945458253594772,-0.038219027241830045,-0.034793822830065324,-0.033257327535947706,-0.03275794259477122,-0.0332678731830065,-0.03689118739411765,-0.0396344990748663,-0.03994105371078427,-0.040776492791855135,-0.042019616794117615,-0.0414793966941176,-0.04004543002573527,-0.032954018882352915,-0.020342610647058834,-0.008096540058823487,0.0030680387647059604,0.005275877588235306,0.005793977294117653,0.008949585529411802,0.01327511176470586,0.018357928235294085,0.024626297647058842,0.030117071176470583,0.03464261117647058,0.037648422352941135,0.041941155294117655,0.04593157529411765,0.04863380000000003,0.04545477882352941,0.04082122000000005,0.04051941411764706,0.03912694823529411,0.03567874470588239,0.0316101029411765,0.02592202470588234,0.01976052588235297,0.014287437058823571,0.01046263764705882,0.00848521117647058,0.007645684117647017,0.006927851176470545,0.00601155941176465,0.00514236823529407,0.004055551176470523,0.0035878811764705754,0.009359788823529364,0.010230011764705865,0.01005098529411766,0.011067537058823518,0.011630505882352926,0.012901211176470612,0.015314638823529403,0.01705371294117647,0.017718665882352935,0.01774284588235292,0.016423262941176436,0.015449702941176507,0.014609860588235324,0.014179081176470598,0.014143748823529423,0.01394762705882352,0.013359512941176488,0.012731148823529437,0.013345048823529382,0.014104409999999956,0.015614944117647106,0.01795398000000001,0.01952549294117653,0.020836994705882378,0.02220254352941181,0.024148620000000065,0.02641073235294128,0.028778132352941188,0.030267222352941187,0.030972769411764745,0.030963703529411774,0.022213776470588253,0.017835798235294104,0.014006132352941153,0.00960559176470585,0.00418259941176477,0.00023855058823529784,-0.004028060588235294,-0.007900066470588302,-0.011337025294117675,-0.014156642941176495,-0.016849749999999997,-0.019485136470588277,-0.023242904117647067,-0.026629973529411738,-0.029124299999999964,-0.030937235882352893,-0.02344907470588234,-0.012321487058823521,-0.006437137058823483,-0.0008226617647058287,0.005946873529411728,0.01173670294117643,0.015537393529411747,0.018277650588235272,0.020322509411764694,0.022024328823529365,0.022503444117646987,0.022176168235294086,0.0230088947058823,0.02504337529411757,0.026810871764705813,0.028284864705882318,0.02656392411764702,0.01617869882352943,0.009014245882352862,0.0035682194117646338,-0.0010179911764705563,-0.0055969888235294085,-0.00927203647058819,-0.011983485882352818,-0.013300818823529348,-0.01417079411764699,-0.015174073529411719,-0.01492806647058817,-0.014947451764705855,-0.015975624117646997,-0.017600393529411756,-0.019539417647058827,-0.01892579941176467,-0.014893287058823562,-0.009913987058823515,-0.004515568823529353,-0.0013118335294118322,6.02658823529445e-05,0.0011933247058823204,0.0031429123529410907,0.004643191764705845,0.005145325294117653,0.0061890529411764705,0.007521991176470566,0.008656804117647132,0.01009988529411765,0.011458519411764734,0.013193513529411754,0.01009715470588235,0.004546179999999983,0.0017541776470588744,-0.0027654570588235283,-0.005962347647058774,-0.0073203799999999875,-0.007710659411764714,-0.00817907235294113,-0.00891259352941176,-0.008609390000000022,-0.0076483605882353145,-0.007427918823529417,-0.007978362941176542,-0.009259891764705902,-0.009886321176470564,-0.012006670588235291,-0.007922153529411724,-0.0001089247058823073,0.004071829999999971,0.007197128235294115,0.009279054117647068,0.010911158235294094,0.012722379411764712,0.013163451176470609,0.013203418823529406,0.01235560588235296,0.009853743529411818,0.00686265647058823,0.004645371764705891,0.004326264117647055,0.004222577058823479,0.005110084705882367,0.0019508888235293398,-0.005918244705882397,-0.01081614470588238,-0.011355225294117671,-0.012754997058823547,-0.01141605294117648,-0.010422403529411789,-0.00970860470588239,-0.008012654117647039,-0.006781235294117671,-0.004978286470588289,-0.002841171176470564,6.594588235300791e-05,0.0017674964705882978,0.002494509411764767,0.003566275882352976,0.007673160588235306,0.01664562823529414,0.02297859470588237,0.025312314705882383,0.027107367058823523,0.026373295294117638,0.024668365294117645,0.022962239411764673,0.02042762352941177,0.018438113529411798,0.01791349235294118,0.017995672352941194,0.018051244705882347,0.017440744705882333,0.01683703411764703,0.01680698882352938,0.01842494764705882,0.013977185882352888,0.010533016470588213,0.008797434705882345,0.01004278176470591,0.010316318235294109,0.011011522941176494,0.011571329411764725,0.01264327352941172,0.014146900588235228,0.014845923529411748,0.014836808823529363,0.014585138823529326,0.014695354117647025,0.014724061176470571,0.015072182352941194,0.012778217647058887,0.010284014117647039,0.009161221764705851,0.006892927647058733,0.0036753994117646738,0.0005908500000000316,-0.0012508011764706395,-0.0020557894117646802,-0.002497251764705888,-0.0032758511764705567,-0.004290198823529351,-0.005572928823529388,-0.006790669411764705,-0.007631964117647078,-0.007282520588235308,-0.006997740588235324,-0.009530067647058882,-0.007098221764705759,-0.0049295988235293076,-0.0018072058823528359,0.0023953364705882607,0.006916348235294134,0.011024200000000095,0.01508550588235294,0.018719872352941258,0.022457567058823624,0.02661948470588235,0.031576458823529385,0.03660762529411765,0.0409387594117647,0.04425379117647055,0.04671180882352938,0.051735655882352904,0.05594370999999987,0.055410314705882285,0.05337164470588229,0.05041911117647052,0.04739502294117642,0.04399088764705883,0.03978142764705883,0.034489030588235214,0.029588296470588138,0.024634670588235263,0.019395547647058864,0.013489718235294157,0.00825126117647057,0.003423736470588301,-0.0008071982352940155,-0.0063467747058822965,-0.014329732941176454,-0.01738428764705885,-0.01775162588235296,-0.01850104352941173,-0.01946194470588236,-0.020034563529411853,-0.0197729129411765,-0.019023882352941168,-0.018026690000000012,-0.017383924117647,-0.01665604176470592,-0.01557674941176479,-0.014713439411764673,-0.014946856470588299,-0.01653906294117652,-0.015692118235294095,-0.013389047647058783,-0.011829872941176378,-0.013293647647058704,-0.015140842941176402,-0.016626860588235315,-0.018701200588235323,-0.021751701176470684,-0.024702014705882347,-0.027540865294117645,-0.030158326470588304,-0.03300071411764707,-0.03617436823529405,-0.0395823270588235,-0.041698321764705865,-0.04174396352941176,-0.04180816823529415,-0.04535746117647055,-0.049377302352941216,-0.050865476470588256,-0.05031711176470591,-0.04986767647058815,-0.04867013647058813,-0.046789074117646934,-0.04526897588235293,-0.04444671411764706,-0.04349384705882353,-0.04250446470588232,-0.041008192352941175,-0.03919991705882353,-0.03749789941176465,-0.0369791829411765,-0.03709736529411761,-0.03388818882352937,-0.02950044294117643,-0.02556387941176469,-0.023985895294117654,-0.022734610000000016,-0.021857073529411797,-0.020981497647058867,-0.018788474705882324,-0.015781035882352884,-0.012971875294117613,-0.010062104705882341,-0.007303022941176435,-0.005166814705882344,-0.003198548235294141,-0.001270692352941194,-0.0026228170588235844,-0.004365243529411866,-0.007798720588235386,-0.01178695823529416,-0.014266581764705938,-0.01635039941176472,-0.01764819058823533,-0.0182150129411765,-0.019268278235294173,-0.021198659411764742,-0.02270889647058824,-0.023945101176470585,-0.025006227647058843,-0.024760372941176473,-0.023841640000000025,-0.022568599999999994,-0.017821338823529403,-0.009473888235294076,-0.0011098729411764263,0.006739858823529399,0.014505740000000045,0.021897782941176447,0.028795681176470578,0.03449805352941179,0.039369775882352936,0.04435786764705882,0.048952389999999985,0.05314035294117647,0.05700645235294116,0.059963562352941174,0.061452090000000015,0.06253360117647061,0.06689933,0.06725625529411766,0.06692969235294113,0.06671735705882356,0.0663215035294118,0.06571344411764707,0.06442197882352946,0.06322720823529412,0.06259932941176477,0.06193430352941176,0.061215311764705876,0.0607066864705883,0.060003355882353004,0.0593617776470588,0.05936196000000002,0.05952531294117647,0.056364631176470587,0.04970578647058821,0.04400400647058822,0.038829657941176376,0.03329709023529409,0.028351408949579826,0.024281817511312198,0.02112972303921573,0.018380500106951858,0.015564738000000022,0.012853031699346429,0.009763461111111038,0.006935620522875774,0.004166132875817019,0.001473692875817001,-0.0010848700653594556,-0.0035511418300653297,-0.002585743594771206,-0.001694968300653521
pNuLoCRank	High
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
