UniprotID	A1L4K1-2
pNuLoCScore	0.46300558555555554,0.469190707,0.47136040636363635,0.47386966416666665,0.47312382999999997,0.47129188714285714,0.4678990586666666,0.46481598937499996,0.460469584117647,0.4586969352941176,0.45789757411764703,0.45615392470588234,0.45291275411764703,0.4477517882352941,0.44528933470588233,0.44021782470588233,0.4319864247058824,0.42369847764705887,0.41517146176470593,0.41000875588235297,0.4048338852941176,0.4025758476470589,0.4022992552941177,0.402979655882353,0.3986814105882353,0.39945625529411766,0.39946767470588235,0.40013470470588236,0.4032353611764706,0.4066426429411764,0.4127800723529411,0.420497054117647,0.4284909776470588,0.43468169529411765,0.43991757588235286,0.44663244058823526,0.4525887170588234,0.45756122058823523,0.4620095941176471,0.46638694,0.47165603,0.4829762076470589,0.4919030041176471,0.5005025888235295,0.509422565882353,0.5168832611764707,0.52526142,0.5323757129411764,0.5390221347058823,0.5456538523529412,0.5526927582352942,0.5611083147058825,0.5693407035294119,0.5764709935294119,0.5843871388235296,0.5925076194117649,0.6036372758823529,0.6158214347058824,0.6266972011764705,0.6370296011764706,0.647226234117647,0.657097208235294,0.6660273394117646,0.6745457011764706,0.6832816770588235,0.6914805005882352,0.6993687976470587,0.7068159623529411,0.7136802211764705,0.7198398188235293,0.7265311382352941,0.7326497617647059,0.73853625,0.7407398829411765,0.7419317511764705,0.7435849876470586,0.7449154729411763,0.7459301611764704,0.7467528317647059,0.7477012182352941,0.7483659770588235,0.7485096241176471,0.7485862947058823,0.748793154117647,0.749274104117647,0.7499347723529413,0.7509464582352942,0.7518742076470589,0.7533978529411766,0.7550643411764707,0.7568731176470589,0.7584797552941176,0.7601067758823531,0.7616397823529413,0.7624898258823529,0.7631949199999999,0.7642903552941176,0.7650129023529411,0.765366058235294,0.7661721405882351,0.766676272352941,0.7670410494117645,0.7673425752941174,0.7679433447058821,0.768659754117647,0.7690850599999999,0.7692441599999998,0.7691702464705881,0.7690807958823528,0.7688671170588235,0.7686785805882351,0.7691168076470587,0.7696824311764705,0.7697230929411765,0.7703073029411764,0.7713420735294119,0.7720527852941177,0.7728921735294118,0.7736701347058823,0.7744357817647058,0.7743073123529411,0.7743287499999999,0.774733828235294,0.7749374517647059,0.7751326011764705,0.7750459988235294,0.7745632247058823,0.7740785635294118,0.7733677711764706,0.7725113688235293,0.7717527717647057,0.7706861735294117,0.7694483911764705,0.7680989029411764,0.766381544117647,0.7647783970588237,0.763252138235294,0.7623783311764707,0.7611278705882353,0.75955081,0.7580913688235293,0.7562536470588234,0.7546039529411763,0.7531348764705882,0.7515632194117646,0.7502042794117646,0.7487310388235294,0.7472380699999999,0.7459877794117646,0.7449943029411763,0.7440740970588235,0.7435587617647059,0.7376901205882355,0.7342084676470587,0.729575104117647,0.7241098629411764,0.7190012952941177,0.7139701776470587,0.7096880099999999,0.7056897435294118,0.7021374964705884,0.6989033947058825,0.6961347764705883,0.6940402864705882,0.6922446494117649,0.6908868135294118,0.6895271194117648,0.688025495882353,0.6866774605882353,0.6907087517647058,0.6922890311764707,0.6947081335294117,0.6975701558823529,0.7000860852941178,0.7023755205882354,0.7040840941176472,0.7056143100000001,0.7069997129411766,0.7080304694117646,0.708715305882353,0.7089864829411764,0.7089718535294118,0.7086295894117649,0.7081572482352942,0.7068191929411766,0.7060369711764706,0.7062337094117647,0.706662812352941,0.707575724117647,0.7085505647058823,0.7096848164705882,0.7110364576470588,0.7125497752941177,0.7139112023529413,0.7149860564705883,0.7161049411764706,0.7170549235294119,0.7180490588235294,0.719085594117647,0.7199624099999999,0.7208871688235294,0.7227524929411764,0.7238693123529412,0.7238385029411764,0.7234551341176472,0.7230073105882354,0.7229862000000001,0.7226642629411765,0.7223193041176471,0.7217496129411766,0.7211513247058824,0.7207334970588234,0.72014645,0.7195694523529411,0.7187314729411763,0.7178760258823528,0.7149770299999999,0.713638218235294,0.7121849788235294,0.7100335870588235,0.708593531764706,0.7077189182352942,0.7071116211764705,0.7065894823529413,0.7061215,0.705550694117647,0.7051087911764705,0.7047756205882353,0.70438415,0.7042050617647059,0.7041333970588235,0.7041989264705882,0.7040945911764707,0.7058035441176471,0.7058215617647059,0.7058164852941178,0.7065704794117648,0.7066162870588235,0.7062673047058825,0.7055094017647058,0.704539085882353,0.7034546076470588,0.7024425076470588,0.7014100576470588,0.7003203458823529,0.6992597105882353,0.698083631764706,0.6968637688235295,0.6949030629411768,0.6928259394117648,0.6897108629411766,0.6871041629411764,0.6849859805882352,0.6826347652941176,0.6801082929411764,0.6776620929411764,0.6752698341176471,0.6728758147058823,0.6705174635294117,0.6682398611764707,0.6658224370588237,0.6632164282352944,0.6608203223529413,0.6586072600000001,0.656302081764706,0.6546551758823531,0.6532894264705883,0.65323375,0.6528299676470588,0.6521355029411764,0.6516983947058823,0.6514608123529413,0.6509477123529412,0.650364335882353,0.6499168947058823,0.6494655594117648,0.6488011264705883,0.6484195241176471,0.6483101005882353,0.6480563064705882,0.6456500652941176,0.6454109358823528,0.6461571711764704,0.646812038235294,0.6474558011764706,0.6483107094117646,0.6487729529411765,0.6489287294117648,0.6495415588235295,0.6506101788235296,0.6518539994117648,0.6532882052941177,0.6549189111764706,0.6564791076470587,0.6578101370588235,0.6593140005882353,0.6608492435294118,0.6642937729411765,0.6658754376470588,0.6666468376470588,0.6673710647058824,0.6682698994117647,0.6690544558823529,0.6703424476470589,0.6717444299999998,0.6727504241176471,0.6735556394117646,0.6743463935294117,0.674790258235294,0.6750770758823529,0.6756693005882353,0.6763733123529411,0.6731227205882352,0.6708170717647057,0.6701503570588235,0.6697738511764706,0.6695504082352942,0.6692065576470589,0.6688897094117647,0.6685770388235293,0.6683525211764705,0.6682640652941177,0.6680823123529412,0.6678360552941178,0.6673837958823529,0.6669810405882353,0.6665479229411764,0.6659458529411765,0.6653424588235294,0.6683733311764706,0.6704091811764706,0.6710106094117647,0.6711758270588236,0.6712118935294118,0.6714078052941177,0.6714766382352941,0.6714214323529413,0.6711757970588237,0.6709605647058823,0.6708847117647059,0.67074641,0.6707525299999999,0.6708562699999999,0.6710914794117647,0.6720637429411764,0.6727873223529413,0.6739266870588235,0.6750232235294117,0.67627151,0.6775398158823529,0.6786756747058823,0.6798985652941176,0.6810541770588234,0.6821251276470589,0.6828744247058823,0.6829425070588235,0.6828150582352942,0.6824114641176471,0.6820106876470589,0.6816493994117648,0.6811638288235295,0.6801376552941177,0.6793694252941178,0.6783569900000002,0.677471965882353,0.67633554,0.6751832776470588,0.6741256070588234,0.6729872694117646,0.671904484117647,0.671018704117647,0.6704803617647058,0.67062065,0.67098103,0.6716741417647059,0.6723907829411764,0.6728011888235294,0.6734536911764705,0.6740500029411765,0.6749713923529413,0.67599551,0.6769097182352941,0.6778382111764706,0.6787177652941176,0.6792063276470588,0.6786716511764705,0.6779884523529411,0.6768761817647058,0.6754644505882353,0.6739339894117646,0.67263796,0.6715545276470588,0.6705546417647058,0.669800798235294,0.6690917570588234,0.6684486370588235,0.6673592747058823,0.6662289452941177,0.6651509194117649,0.6641417600000002,0.6630033211764708,0.6622767235294119,0.6626858147058824,0.6632534929411764,0.6642294400000002,0.66552936,0.6669901817647057,0.6682240470588235,0.6704654829411764,0.672461902352941,0.6743216823529411,0.6761838558823529,0.6780225582352941,0.6798750288235296,0.681381861764706,0.682841181764706,0.6842544711764706,0.6857975594117648,0.6875672652941177,0.6891271800000001,0.6904066917647059,0.6914984329411764,0.6924900835294118,0.693269414117647,0.6940561323529411,0.6935270676470587,0.6931145964705882,0.6928365164705882,0.6921774194117647,0.6915238994117646,0.69099685,0.6906674641176472,0.6903307976470588,0.6899448258823531,0.6894719376470588,0.6885796641176471,0.6875265876470589,0.6867434464705884,0.686115981764706,0.6855381523529411,0.6864911570588237,0.6866577029411766,0.6870580111764706,0.6875599276470589,0.6879678570588235,0.6886356252941176,0.689302904117647,0.6895198441176469,0.6897209558823529,0.6898584247058823,0.6900970405882353,0.6903631911764706,0.69070475,0.6914298264705883,0.6921279641176472,0.6928226152941177,0.6935295094117647,0.6928689194117646,0.6929336329411765,0.6927831799999999,0.6925417464705882,0.6923503994117646,0.6920615864705882,0.6916632370588235,0.6917000876470589,0.6917827323529413,0.6919281152941177,0.6919811170588235,0.6921020782352941,0.6922394105882352,0.6922793011764705,0.6923148188235293,0.6885833323529411,0.6874697870588236,0.686806645882353,0.6861863011764706,0.6856693305882354,0.6852222182352943,0.6846878829411767,0.6844912100000002,0.6843851382352943,0.6842630147058825,0.6841003052941178,0.6840182964705883,0.6837091417647059,0.6833280205882353,0.6827897176470588,0.6820341270588234,0.6812172976470587,0.6841494894117647,0.6844181994117646,0.6841683994117648,0.6839148876470587,0.6835931641176469,0.683206158235294,0.682869558235294,0.6822504258823529,0.6815928676470588,0.6809132935294117,0.6802528911764706,0.6795599794117647,0.6791120817647059,0.6787742111764707,0.6786168335294119,0.6784229570588236,0.6779911564705883,0.6770992252941178,0.6763678782352942,0.6752682988235295,0.6738042541176471,0.6723772747058823,0.6707279241176468,0.669108720588235,0.6675666823529409,0.6659832911764704,0.6645527299999998,0.6630911205882353,0.6617619676470587,0.6604958035294117,0.6590294423529413,0.6575416523529412,0.6561840347058824,0.6551203447058824,0.6545342452941176,0.6538307247058822,0.6534624452941175,0.6534357352941176,0.653452932352941,0.6537894347058821,0.6542060188235295,0.6545255347058823,0.6548739311764705,0.6550761664705882,0.6553373170588236,0.6554647429411764,0.6555806576470588,0.6570771988235293,0.6580121105882353,0.6587609017647057,0.6595354017647058,0.6602465347058822,0.6608260670588235,0.6614651588235293,0.6622959605882354,0.6630770164705884,0.663840881764706,0.6645997329411766,0.6654179429411765,0.666284364117647,0.6671696447058822,0.6680212823529411,0.6687517682352939,0.6693810658823529,0.6687692305882352,0.6686066917647059,0.668498324117647,0.6680226123529414,0.6676224652941178,0.6672723300000002,0.6668957205882353,0.6663958229411765,0.6658161847058823,0.665054158235294,0.6642308264705882,0.6632938535294117,0.662261524117647,0.6612189552941178,0.660197563529412,0.6593328047058824,0.6569065623529412,0.6539347952941177,0.6519369247058824,0.6503638452941177,0.6494406688235295,0.6485791747058823,0.6479460688235293,0.647477704117647,0.6469611105882352,0.6464994841176469,0.6462177452941177,0.645748815882353,0.6452993182352943,0.6448722182352943,0.6444980123529414,0.6441486941176472,0.6436722411764705,0.6447787329411765,0.6464076264705882,0.6472785064705882,0.6480062741176471,0.6484446505882354,0.6487303076470589,0.6488738035294117,0.6489314070588236,0.6490094888235294,0.6490862247058823,0.6490916835294117,0.6492891129411765,0.6494924047058824,0.6495948694117647,0.6481909064705883,0.6474850611764706,0.6467153964705882,0.6451513200000001,0.6429629111764706,0.6410346205882353,0.6394453588235295,0.6381063235294119,0.6369861976470588,0.6358977605882351,0.6349195452941175,0.6340019635294116,0.6331444870588234,0.6323463811764705,0.6314828694117647,0.6304960929411765,0.6297417517647058,0.6304789088235294,0.6304756135294117,0.6306565841176471,0.6317197170588235,0.633458142352941,0.6349115682352942,0.6360176594117646,0.6369113358823528,0.6377086164705882,0.638421745882353,0.6390041129411765,0.6394525511764707,0.6397926382352942,0.6400249282352941,0.6403490870588235,0.6443450552941177,0.6459671847058823,0.6470849347058825,0.6478390070588236,0.64851786,0.6490309476470588,0.6492528988235294,0.6492070105882353,0.6493328458823528,0.6492021776470588,0.6491931305882352,0.6492696052941176,0.6493969852941176,0.6494424911764705,0.6493394905882353,0.6492629335294117,0.6490832364705881,0.6453297535294117,0.6438956652941177,0.642962782352941,0.6424819605882351,0.6420472158823527,0.641764648235294,0.6418143329411764,0.6421488917647059,0.6423672564705882,0.6427807270588235,0.6430374505882354,0.6433111347058824,0.6436390782352941,0.6440503252941178,0.6447632411764708,0.6487084823529414,0.6528975794117649,0.6569656029411767,0.6606934852941179,0.6641676594117647,0.6673221888235293,0.6705992982352942,0.6735172923529412,0.675737484117647,0.6778200529411764,0.6796126117647059,0.6814583535294116,0.6832388064705881,0.6849601805882353,0.6865915347058822,0.6881070052941177,0.6894891088235294,0.6876083617647061,0.685546155882353,0.6838506470588236,0.6824793764705883,0.6813545470588236,0.6804582411764707,0.6794565147058824,0.6787635676470589,0.6787355735294117,0.6787507576470588,0.6789999194117646,0.6792184723529411,0.6794925135294116,0.6797377305882354,0.6798734894117647,0.68009877625,0.6803808373333333,0.6807437971428572,0.6811655892307692,0.6813339966666666,0.6814299781818182,0.6814892260000001,0.6815823177777778
pNuLoCDScore	-0.0025360014379085527,-0.004308650261437952,-0.005108011437908511,-0.006851660849673202,-0.010092831437908512,-0.015253797320261442,-0.01771625084967321,-0.02278776084967321,-0.031019160849673155,-0.045492229352941116,-0.056188944598930424,-0.06386090828431368,-0.06828994470588234,-0.06871603949579824,-0.06559980337254889,-0.061836333492646944,-0.06178817352941168,-0.059240679999999935,-0.058429899411764685,-0.05601921999999998,-0.04967739294117646,-0.04110914529411769,-0.032509262352941215,-0.019720770588235348,-0.0034954470588235975,0.010983217647058785,0.024746114117646933,0.03662368470588229,0.047754831764705796,0.054985372941176336,0.059710338823529385,0.06340728411764701,0.0729746194117647,0.08351995235294124,0.09243532941176474,0.10036788411764713,0.10618720470588244,0.11024061823529424,0.11248134764705886,0.11187865882352938,0.11053115705882355,0.11097215705882352,0.11277518235294132,0.11447587411764726,0.11675198647058849,0.11890977294117666,0.12237754470588247,0.12612067941176486,0.13198124588235294,0.13284522705882346,0.13479419705882345,0.13652701235294107,0.137803668235294,0.1402139470588234,0.14076591941176464,0.14216998823529425,0.14425954235294114,0.145826648235294,0.14667603941176455,0.14570764764705857,0.14433951764705855,0.14336882529411743,0.1421439994117646,0.14014214235294098,0.13489897411764706,0.12491844823529419,0.11523454999999994,0.10655538647058804,0.09768923882352931,0.08883295294117632,0.08072549235294124,0.0731555170588235,0.06508429999999998,0.05702912352941192,0.04921749705882361,0.010854773725490208,0.004580691372549017,0.0007876496078431383,0.002526945490196053,0.009505070784313702,0.017395597254901918,0.02554733607843135,0.028983497254901985,0.029618009019607844,0.024578173117647123,0.02093488705882357,0.01814023965686279,0.016757004570135764,0.016618889285714283,0.017687472313725416,0.01943201033088232,0.015608862941176416,0.023922032941176424,0.028370412352941132,0.02636559529411761,0.020390491176470543,0.01654028470588234,0.013069722352941127,0.014866857647058723,0.01944343352941172,0.026930215294117543,0.0327288070588235,0.03885478470588233,0.045604584117647035,0.05108596117647063,0.05620642882352947,0.060586891764706,0.07135768647058827,0.08150306529411769,0.08721218352941182,0.09432550941176474,0.09991069823529419,0.101388955882353,-0.039122005444444455,-0.0529570095620915,-0.06449761720915033,-0.06776327838562088,-0.06803639779738559,-0.06694025991503268,-0.06511563050326796,-0.06580342050326796,-0.06357775720915032,-0.05210121815882353,-0.04169067270588235,-0.032563302107843126,-0.02522720874208144,-0.01895001857983193,-0.014079629654901948,-0.009833105702205885,-0.0031345111764705808,0.01450797705882352,0.02861827764705885,0.03356231529411763,0.035658921176470584,0.035172503882352976,0.03409103211764708,0.03482784094117647,0.032435114117647074,0.0312772537647059,0.028352158764705912,0.025610584058823535,0.023301303529411774,0.02157998947058827,0.020516880352941164,0.019864916470588245,0.015244654058823526,0.008599296411764712,0.0037142497058823415,4.156176470593298e-06,-0.003945722058823556,-0.006771645588235328,-0.008624818529411785,-0.009611080294117655,-0.009686206764705912,-0.010929762588235331,-0.010661749647058863,-0.008668614352941181,-0.006825402882352949,-0.004309658823529461,-0.0016188252941176373,-0.00037939499999997683,0.007474315352941158,0.018351861235294115,0.02760441147058823,0.03479132994117648,0.040463824647058846,0.04648926111764708,0.05114583994117651,0.05527839700000002,0.059148707588235316,0.06318658552941181,0.0665336599411765,0.0682496793529412,0.06912431876470593,0.06854600052941182,0.06709209729411766,0.06580119052941177,0.05923478935294124,0.04706358582352946,0.036979549352941204,0.029456755,0.0258944438235294,0.023784267941176468,0.021813580294117618,0.0206993838235294,0.01949068499999998,0.017481129705882337,0.015219875294117613,0.013239829411764714,0.011540034705882302,0.01023682588235289,0.009761432352941163,0.009447109411764687,0.009152805294117605,0.015536434705882313,0.021183859411764677,0.025366568823529362,0.026658192941176467,0.0264297976470588,0.026852532941176427,0.026242579411764666,0.02526758882352939,0.02429185529411762,0.023622254117647068,0.022817779999999982,0.0218856411764706,0.02090946941176472,0.019439914705882383,0.018428182352941164,0.016912852941176504,0.014575152941176506,0.011057753529411768,0.007716144705882388,0.0054725152941176025,0.003683394705882387,0.0011311141176471307,-0.0011169929411764257,-0.003109796470588233,-0.004683097647058793,-0.0056475429411764755,-0.006380792941176466,-0.006590237058823528,-0.006308970588235319,-0.005363938823529452,-0.004251145882352952,-0.0034175811764706188,-0.004611230588235343,-0.005327027647058863,-0.0057343841176470955,-0.005778919999999993,-0.0065161541176471105,-0.0067329570588235965,-0.00673731705882355,-0.007012235294117625,-0.007397584117647071,-0.00801744058823528,-0.008856451764705925,-0.009784805294117654,-0.0110794870588235,-0.012692913529411737,-0.014640578823529399,-0.016182365882352945,-0.015633236470588202,-0.012744892352941156,-0.009331897647058801,-0.006535516470588226,-0.004484075882352917,-0.002995609411764688,-0.0018992435294117593,-0.0009005582352941133,0.00016806882352943253,0.001231111764705889,0.00214808117647064,0.002877029411764709,0.003381162941176491,0.004042223529411748,0.00476515411764708,0.0038357623529411966,0.002370299411764698,-0.00024248235294113685,-0.002798627058823555,-0.005632851176470582,-0.007597056470588254,-0.00896442647058826,-0.009993727058823537,-0.011177808235294129,-0.012408637058823585,-0.01350756470588238,-0.01458794176470593,-0.015707798235294085,-0.01634152823529414,-0.016782091764705853,-0.017308811176470595,-0.016357143529411755,-0.013296047647058828,-0.01047063176470589,-0.00875017999999994,-0.0071905152941176,-0.005697142352941137,-0.004731571764705816,-0.003998701764705848,-0.002648914117647061,-0.0008110999999999813,0.0009825629411764902,0.0027783023529412143,0.0049765400000000015,0.006970506470588278,0.00848393117647056,0.01005155588235293,0.013725143529411732,0.014418135294117645,0.015447544705882305,0.017252994117646997,0.018795094117646988,0.02062701529411759,0.022785482941176438,0.02557235705882352,0.0277722117647059,0.029346531176470653,0.03080192941176474,0.03239784470588236,0.033537295294117614,0.03439528235294115,0.035709330588235305,0.037018746470588254,0.03598789411764705,0.034162635294117644,0.03299718705882357,0.030834711176470603,0.02890250705882355,0.026949911764705875,0.024550148823529377,0.021614713529411717,0.018735196470588217,0.01641844999999989,0.014074674117646985,0.011468462941176483,0.008949427058823511,0.006727894705882309,0.004349438823529422,0.0017766041176470182,-0.0005998229411764144,-0.0013973441176470258,-0.003421215882352918,-0.004176607058823473,-0.004631927058823482,-0.005182357058823472,-0.0054432270588234966,-0.005459376470588195,-0.005366355294117636,-0.005587067647058741,-0.005760979999999971,-0.005666982352941163,-0.005413490588235287,-0.005202647647058828,-0.004926247058823552,-0.0043594376470587615,-0.00353996176470589,-0.002043296470588263,-2.9332941176518634e-05,0.0014649335294117105,0.0024667841176470306,0.0031528617647058887,0.003682890588235288,0.004318056470588277,0.004999009411764704,0.005768301764705858,0.006318262941176517,0.006468837647058773,0.006571140000000031,0.006498616470588303,0.00629806705882352,0.005916561176470547,0.004673354705882343,0.0041085564705882205,0.0028427752941176665,0.0019136617647058929,0.0015507582352941585,0.0011782711764705966,0.0010209076470588385,0.000752274705882322,0.00041170705882359604,-7.636470588212596e-06,-0.00017746470588234087,0.00011455529411766308,0.0007729105882352816,0.0016188935294117468,0.002634030000000037,0.003732689411764717,0.005547047647058823,0.007214670000000006,0.007911843529411738,0.00841889705882351,0.008557475882352866,0.008610985294117551,0.008714132352941134,0.008732187647058798,0.008729074117646951,0.008439631176470536,0.007994851176470558,0.007150721176470531,0.005856848823529409,0.004374794117647074,0.00278600999999995,0.001206778235294137,0.0009287323529411362,-0.00045871882352943594,-0.00047563588235288723,-0.0003204911764705387,-0.0005379635294117113,-0.00048107823529403015,-0.0005300929411764521,-0.0004952088235294361,-0.0006249264705881497,-0.0003670423529411604,0.00038967176470589004,0.001446534705882463,0.0028660423529411894,0.0045534864705882305,0.006315568235294167,0.00798976941176463,0.00838212411764705,0.007929095294117672,0.007432474705882319,0.0063842888235293715,0.005795610588235189,0.005641738823529363,0.005397323529411802,0.005166085882352955,0.005226774705882342,0.00550694294117654,0.005448065294117677,0.005216517058823478,0.004692538823529435,0.003908630588235318,0.0029287276470588153,0.0018668164705883394,0.0015097635294117895,0.001676108235294127,0.0013617082352941345,0.001646525294117629,0.0014097641176471498,0.0009599523529411624,0.0007735329411764358,0.0005578435294117945,0.00032160823529409077,-0.00027981058823528526,-0.0011628170588235398,-0.0022696011764705704,-0.0037290888235294584,-0.004938499411764774,-0.005963663529411745,-0.0067825141176471315,-0.008094637647058867,-0.009363092941176543,-0.009800865294117667,-0.010314219411764664,-0.010365871176470559,-0.010073302352941127,-0.010156971176470547,-0.010491488235294055,-0.010718022941176436,-0.010864458235294167,-0.010752528823529423,-0.01014733000000001,-0.008846745294117636,-0.00714393764705884,-0.005624025294117679,-0.004217704705882341,-0.001994294117647011,0.0008100200000000779,0.002684365882352935,0.004164734117647034,0.005717211176470588,0.006598739411764698,0.007643120588235269,0.00882268058823521,0.010093942352941115,0.011319317058823525,0.012412236470588173,0.013269117647058848,0.013911455294117664,0.013907722941176537,0.013904292352941189,0.013922121176470625,0.012762715882353004,0.010753297058823497,0.008912852352941203,0.007491265882352993,0.0063514247058824025,0.005267908823529399,0.004250347647058783,0.003424903529411716,0.0024935370588234917,0.0015249982352940616,0.0005620976470588346,-0.00025376411764710394,-0.0011596941176470477,-0.002032425294117679,-0.002848727058823497,-0.0037429664705882493,-0.005671175882353052,-0.006060467647058865,-0.006423615882353018,-0.006960077647058915,-0.0075132417647060246,-0.008023181176470606,-0.008468997647058829,-0.009034280000000006,-0.009611085294117638,-0.010059698235294123,-0.010483220588235281,-0.010968144705882338,-0.011354350588235279,-0.011589401764705853,-0.011712047647058826,-0.011670867058823503,-0.010301891764705778,-0.008299961176470527,-0.006833184705882289,-0.005458126470588159,-0.0043536788235293555,-0.0035898264705882255,-0.0029492047058823356,-0.002430745882352897,-0.0019302964705881775,-0.00162248058823522,-0.0014311329411764717,-0.001213402941176528,-0.0010559594117647564,-0.0010217364705882581,-0.0010990582352941314,-0.001397214705882388,-0.0027713076470588793,-0.005840612352941171,-0.008180609999999977,-0.010092697058823541,-0.011739079999999957,-0.013108392352941145,-0.014217568235294076,-0.014956692352941142,-0.015404933529411746,-0.01556722411764705,-0.015552512352941139,-0.015494872941176407,-0.015441309999999986,-0.01531365058823525,-0.015178523529411792,-0.014820892941176472,-0.013350474117647032,-0.010400954117647077,-0.007232012352941186,-0.004553138823529479,-0.002278138235294186,-0.00019442705882355416,0.0018183758823528962,0.0035776870588234977,0.004836706470588148,0.005734516470588147,0.00647132352941171,0.007113795882352891,0.00778137470588236,0.00841059352941173,0.009022388823529376,0.009500673529411807,0.009434412941176473,0.008488637058823523,0.00649163176470588,0.004022227058823602,0.0010301323529411932,-0.0014540564705881887,-0.003932559999999974,-0.006288554117647033,-0.008235458235294063,-0.009978666470588204,-0.011701007058823487,-0.01334046764705879,-0.01496472705882354,-0.01661162235294117,-0.018190182941176414,-0.019649101176470618,-0.02061450941176471,-0.021452612941176397,-0.021948899411764672,-0.021074028823529406,-0.01875373176470585,-0.015956662352941214,-0.013561098235294111,-0.011312252941176465,-0.00933556999999996,-0.007629351764705833,-0.005844441764705888,-0.004022632352941147,-0.002352353529411738,-0.0007107364705882246,0.0008595252941176468,0.002345571176470579,0.004336679411764716,0.005480676470588197,0.006915788235294096,0.007662747058823499,0.007809359411764694,0.0072415523529411885,0.006913053529411767,0.006488564705882327,0.006137536470588234,0.006078891176470591,0.006107628235294121,0.006030856470588236,0.006082017647058818,0.006230654117647061,0.006393163529411744,0.006435726470588238,0.005814002941176455,0.0051655576470588105,0.004981747647058832,0.004694345882352985,0.004205802352941185,0.0034566505882352994,0.0027009711764706124,0.0021032623529411987,0.0016240858823529658,0.0010326876470588275,0.000314957058823534,-0.00047051529411762383,-0.00123509705882352,-0.0020776847058823766,-0.002950009411764709,-0.0037287652941176697,-0.003168577647058829,-0.002296787058823524,-0.002283099411764744,-0.0020897011764705875,-0.001588333529411734,-0.0007863570588234892,5.142764705881597e-05,0.0008249800000000307,0.0014609317647058806,0.0022169976470588215,0.0029654088235293585,0.00375615764705875,0.004471621176470542,0.005097136470588209,0.005683209999999994,0.006383555882352926,0.006016673529411737,0.004782948235294099,0.004243519411764707,0.003919519999999982,0.0033365323529411517,0.0025577329411764493,0.0017818923529411834,0.0009952482352940661,0.00026830764705879084,-0.0005969564705882169,-0.0014139652941175807,-0.0021230776470587964,-0.002733397647058794,-0.003230587058823481,-0.0036279688235293928,-0.004022076470588193,-0.005465718823529364,-0.005661228235294108,-0.005693505882352928,-0.0058529958823529404,-0.005737098823529407,-0.005491158823529435,-0.005139755882352964,-0.004578082941176453,-0.003948695882352943,-0.0031664635294118004,-0.0023625476470588713,-0.0016720464705882454,-0.000917102352941207,-4.2345882352967656e-05,0.0008117370588235084,0.0017937717647058538,0.0037713076470588525,0.006649281176470623,0.008891755294117676,0.010563004705882312,0.01187828470588237,0.012960502941176483,0.01399979470588239,0.014762926470588245,0.015142509999999998,0.015407518235294099,0.01550917705882357,0.01573911176470591,0.015868711764705917,0.015784319411764697,0.015573591764705935,0.015162931764705928,0.014435483529411763,0.012580301176470549,0.010822067647058786,0.010254798235294155,0.009930388235294019,0.009789308235294114,0.009491755294117554,0.009281656470588179,0.009340442352941125,0.00963536941176471,0.009963346470588191,0.010256708823529415,0.010514288235294156,0.010856031176470632,0.011283875294117673,0.011524259411764715,0.01209071196078429,0.01301583542016807,0.014159216877828035,0.014559463480392165,0.013716046310160435,0.012620421235294083,0.011556053006535949,0.010764355947712412,0.009953763594771237,0.008965214771241792,0.008093448888888854,0.007166824183006459,0.006285530065359368,0.005398213594771162,0.004552256535947596
pNuLoCRank	Medium
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	281...286
validnes_region	
nesbase_region	
