UniprotID	Q5VUJ6-2
pNuLoCScore	0.3511247566666666,0.36565817599999995,0.3774506527272727,0.3880838566666666,0.3976972484615384,0.4076831057142857,0.418449392,0.42388986749999996,0.428906184117647,0.43221567470588235,0.44012801411764707,0.4522478217647059,0.4674099729411765,0.483908245882353,0.5021248435294118,0.5199630982352941,0.5336282352941176,0.5441305005882353,0.5502511505882354,0.5563687729411765,0.561162487647059,0.5665758023529412,0.57145858,0.5754633417647059,0.59364693,0.6121871211764705,0.6311771223529411,0.6487230435294117,0.664839837647059,0.6808092729411764,0.6964819023529413,0.7110962988235294,0.7253499535294118,0.7419735164705883,0.7576321547058823,0.7730969605882353,0.788701804117647,0.8050176188235294,0.8202190505882352,0.8345272464705883,0.8478910199999999,0.8507486764705883,0.8530614352941178,0.8552455176470588,0.8573534917647059,0.8592639152941176,0.8607483035294118,0.8617247094117647,0.8621687288235295,0.862468021764706,0.8626176176470589,0.8625495882352942,0.8623359764705886,0.8620795211764708,0.861896385882353,0.861776171764706,0.8644020511764707,0.8647806547058824,0.8649685982352942,0.8651843570588236,0.8654087652941176,0.865652655882353,0.8657185676470589,0.8658963323529413,0.86629905,0.8669940205882354,0.8676308300000002,0.8681783182352942,0.8686709670588236,0.8690889200000002,0.8695119435294117,0.8698341082352942,0.8701870670588235,0.8677468817647058,0.8674848429411764,0.8674293958823528,0.8673555958823527,0.8672347252941175,0.8670088017647055,0.8669288899999998,0.8667467488235294,0.8665011605882352,0.8662041664705882,0.8658154017647058,0.8653436252941176,0.8649171529411764,0.8644556329411766,0.8639467482352943,0.8615815094117648,0.8597489058823531,0.8574383905882352,0.8543616294117647,0.8516326388235295,0.8493863682352941,0.8473220564705882,0.8455097329411764,0.8437421858823528,0.8421481888235293,0.8406812794117647,0.8390176405882352,0.8376058758823529,0.8363252876470588,0.8350793552941175,0.8340150635294117,0.8329876305882353,0.8338891870588236,0.8342521023529412,0.8351270705882354,0.8368589294117649,0.8383036729411767,0.8392624341176473,0.8400557323529414,0.8406535205882355,0.8412145711764708,0.8416161211764708,0.8418780517647061,0.8423967082352942,0.8426958347058825,0.8429737052941179,0.8432517647058825,0.8444771294117649,0.8454166000000001,0.8447185647058822,0.8438040235294118,0.8427055823529412,0.8408901123529411,0.8397590182352941,0.8387067964705882,0.8380828982352942,0.8376469747058826,0.8373113947058825,0.8372231535294118,0.8372135117647059,0.8370533647058822,0.836996722352941,0.8370438635294116,0.8369610305882351,0.8358085011764704,0.8348997188235293,0.8356994129411764,0.8366058935294118,0.8377973111764705,0.8396445305882353,0.8408546129411765,0.8419275852941177,0.8425677347058823,0.8430059564705883,0.8433840094117647,0.8436012741176471,0.8438255652941176,0.8442200535294118,0.8446243311764706,0.843010415882353,0.8421997923529412,0.8425305688235295,0.8429385776470588,0.8435834694117648,0.8444153005882353,0.8452867870588235,0.8461462247058824,0.8468660717647059,0.8476631388235294,0.8484735423529411,0.8491212323529411,0.8497528147058823,0.8502604323529411,0.85060566,0.8508976894117647,0.8511057658823529,0.8533333488235295,0.8549173388235295,0.8553991094117648,0.8558317441176471,0.8559196188235294,0.8558397982352941,0.8556170882352941,0.8554085247058822,0.8553014747058822,0.8551959782352941,0.8551624752941176,0.8552980635294117,0.8554006988235293,0.8554766482352941,0.8556783541176469,0.8568270935294118,0.8572794317647059,0.8578452205882354,0.8584559582352941,0.85922345,0.8598060594117647,0.8604696811764706,0.8610093547058824,0.8612800841176471,0.8614555805882353,0.8617630776470588,0.8620627870588234,0.8621741111764706,0.8624097423529413,0.8626909923529412,0.8631271405882354,0.8635214217647059,0.863018317647059,0.8631139823529415,0.8628277964705884,0.8625531064705882,0.8620820205882354,0.8618405911764706,0.8615785117647059,0.8614714488235294,0.8616419752941177,0.8619406811764706,0.8621292911764707,0.8623007670588236,0.8625874023529412,0.862711727647059,0.8627288894117648,0.8630738270588236,0.8635643029411766,0.863765361764706,0.864098455882353,0.8647769029411765,0.8653297747058825,0.86596351,0.8664228664705883,0.8668459894117646,0.8671821288235293,0.8674833635294117,0.8676421517647058,0.8677455864705881,0.8678545482352941,0.8679648623529411,0.8680757970588237,0.8682646988235295,0.8680946399999999,0.8678462882352941,0.8678325823529411,0.8678199670588235,0.8676529141176469,0.8675172258823527,0.8673111317647056,0.8672070811764704,0.8671108164705881,0.8670568517647057,0.866941902352941,0.8669741170588234,0.8670386429411764,0.8670987252941176,0.8670992688235294,0.8635602188235294,0.8612218199999999,0.8593162317647058,0.8577376835294117,0.8567089747058825,0.8557256311764708,0.8548973464705883,0.8541706076470589,0.8532653705882354,0.85213422,0.851111744117647,0.8500938794117647,0.8490209264705881,0.8480214647058824,0.8471000000000001,0.8461631117647058,0.845519574117647,0.8485607799999999,0.8504316005882352,0.8518708505882352,0.8529419811764706,0.8536826111764706,0.8544822052941177,0.8551451605882353,0.8558066017647058,0.8566987094117645,0.857923642352941,0.8590997041176471,0.8603798923529411,0.8619715923529412,0.8634777276470589,0.8649370064705884,0.8668773476470588,0.8677986888235294,0.8686327976470588,0.8694925564705883,0.8702178747058823,0.8708465811764706,0.8712668541176471,0.8715937364705882,0.8719393894117647,0.8721723305882353,0.8723952152941176,0.8724780741176471,0.8725464211764704,0.8726851741176469,0.8726808623529411,0.8727349858823531,0.8727822423529413,0.8722706188235293,0.8721417564705882,0.87205128,0.8719913882352941,0.8721392464705882,0.8723773388235292,0.872661350588235,0.8730114799999998,0.8734154270588234,0.8739560305882352,0.874498071764706,0.8751928100000002,0.8758923805882355,0.8764929958823531,0.8771506511764706,0.8786914805882353,0.8803975894117647,0.881909365882353,0.8837927105882353,0.8856211547058823,0.8874395347058824,0.8892238964705882,0.8910571705882353,0.8928815323529411,0.8945866794117646,0.8961515935294116,0.8976346782352941,0.8991256170588233,0.9004952847058822,0.9018532870588234,0.9032049276470587,0.9044709688235293,0.9046845511764704,0.9046824835294116,0.9049498335294117,0.9052043923529411,0.9054153923529412,0.9055438394117646,0.9055002064705883,0.9054305394117649,0.9053402870588236,0.9052947047058825,0.9052679847058824,0.9051782988235296,0.9050446694117649,0.9049420811764708,0.9048219529411765,0.9051464735294118,0.9054052452941176,0.9057856252941175,0.9058949394117647,0.9066187894117645,0.9071576952941177,0.9076475641176469,0.9080790429411764,0.9085085858823528,0.9089316176470588,0.9093651964705882,0.9098100588235294,0.9102505705882352,0.9107349423529412,0.9112527635294118,0.9117602635294118,0.9122111270588236,0.9121771564705883,0.9121728647058824,0.912123325882353,0.9123564705882352,0.9119606764705883,0.9117811470588236,0.911691001764706,0.9116572758823528,0.9117017335294116,0.9117267511764704,0.9116976570588233,0.9116417358823529,0.9115775829411765,0.9114763882352941,0.9113402905882352,0.9108926141176471,0.9105673764705882,0.9103825647058823,0.9103290329411767,0.9102496188235295,0.9100478329411766,0.9096285188235295,0.9090451158823529,0.9084820923529413,0.9078588864705883,0.9072439458823529,0.9067035694117647,0.90624874,0.9058279535294117,0.9053539535294118,0.9049359858823529,0.9045475035294119,0.9044982541176471,0.9043669070588237,0.9040285364705882,0.9036399594117649,0.9032861735294119,0.9030495329411765,0.9030601570588237,0.9032697623529412,0.9034649623529412,0.903732874117647,0.9040115235294118,0.9042420647058824,0.9044088294117648,0.9045080535294119,0.9046570535294118,0.9049722300000002,0.905253261764706,0.9054713029411765,0.9056738911764707,0.9059999970588235,0.9062412294117648,0.9064756176470588,0.906636875882353,0.9067123247058824,0.9067732870588235,0.9068161752941177,0.9068307576470589,0.9068230164705883,0.906752051764706,0.9065979023529411,0.9064202494117647,0.9062023082352941,0.9057210494117646,0.9052757470588234,0.9048190435294117,0.9042658552941176,0.9036708611764706,0.9031342905882352,0.9025641670588236,0.9020979529411766,0.9016908647058824,0.9013564923529414,0.9010542276470588,0.9010459570588236,0.9012789394117647,0.9016338305882354,0.9021952211764708,0.9051993070588236,0.9079798952941177,0.910681665882353,0.913314965882353,0.9159607094117648,0.9187299094117648,0.9214578564705882,0.9242091800000001,0.9270187564705883,0.9298016770588236,0.9325572241176471,0.9352003988235295,0.9378360811764704,0.9401935788235293,0.9422980847058822,0.9443432111764705,0.9462955552941177,0.9458855435294117,0.9457538199999997,0.9457372405882353,0.9457755347058824,0.9458502752941175,0.9459159341176469,0.9460264105882352,0.9461009299999998,0.946156868235294,0.946203424117647,0.9462609770588235,0.9463387964705883,0.946387037647059,0.9464484482352942,0.9465209305882354,0.9462275188235294,0.9464154864705883,0.9468428805882352,0.9472739535294117,0.9476584064705882,0.9479169205882352,0.948095754117647,0.9482339717647058,0.9483239188235293,0.9483467111764705,0.9483897611764706,0.948452194117647,0.9485386294117648,0.9486276605882354,0.9487401723529412,0.9488460464705883,0.948928985882353,0.9493566564705882,0.949276895882353,0.9489019076470586,0.9485150211764705,0.9481665594117646,0.9479342982352942,0.9477747664705882,0.9476459194117645,0.9475573076470587,0.9475036052941176,0.9474377758823527,0.9473440723529412,0.947247815882353,0.9471556982352941,0.9470560335294119,0.9467089005882352,0.9466365788235294,0.9466107517647062,0.9465569041176473,0.9464923570588236,0.9464481411764707,0.9464335547058823,0.9463907505882352,0.9463579676470587,0.9463386070588233,0.9462964799999999,0.9462731,0.9461729852941178,0.9461314882352941,0.9461704329411764,0.9462032270588236,0.9462492329411765,0.946563615882353,0.9466437041176472,0.9466614135294118,0.9467200958823528,0.9468242882352942,0.9469055411764706,0.946996925882353,0.9471198064705881,0.9472418623529412,0.9473650288235294,0.9474958852941178,0.947647299411765,0.9478706941176471,0.948060541764706,0.9481662770588235,0.9484473447058825,0.9485649564705882,0.9484746829411764,0.9481399670588234,0.9479030700000001,0.9477428370588236,0.9476134070588236,0.9475229570588235,0.9474045682352942,0.9472391858823528,0.9470511058823529,0.9468527,0.9466505352941177,0.9464635588235296,0.9462642905882355,0.9460740535294119,0.9458710770588236,0.9455488470588236,0.9453706117647058,0.9454057117647058,0.9456809864705882,0.9458676188235294,0.9459591029411766,0.9460324405882353,0.9460851170588235,0.9461644723529412,0.9462785547058824,0.9464294382352944,0.9465977852941178,0.9467941652941176,0.9469785541176471,0.9471864894117646,0.9477719858823527,0.9483672294117644,0.9489352094117645,0.9495192094117648,0.9500688741176471,0.9504969917647059,0.9509542894117646,0.951400264117647,0.9518200347058823,0.9522395705882353,0.9526463058823529,0.9530421764705882,0.9534193082352942,0.9537751729411764,0.9541152664705883,0.9544365776470587,0.9547336011764704,0.9546404111764706,0.9545331382352942,0.9543901288235292,0.9542324664705882,0.954083328235294,0.9540542105882353,0.9539954335294117,0.9539458823529411,0.9538999000000001,0.9538407582352941,0.9537859211764704,0.9537453829411763,0.9537013594117644,0.9536635652941177,0.9536232741176471,0.9528143011764705,0.9525178599999999,0.952333022352941,0.9521462576470587,0.9520508494117648,0.9520100411764706,0.9519944147058823,0.9519700500000001,0.9519416529411766,0.9518928300000001,0.9518457323529411,0.9517877176470587,0.951679472352941,0.951493634117647,0.951332506470588,0.9511839064705884,0.9510309829411765,0.9516550694117649,0.9518037300000001,0.9518523741176471,0.9519112682352943,0.9519048270588236,0.9518546647058824,0.9517784441176471,0.951709448235294,0.9516577505882351,0.9516156599999998,0.9515730870588234,0.9515478576470587,0.9515587635294118,0.9516449929411763,0.9517168911764706,0.951954494117647,0.9521501235294118,0.9522663547058822,0.9522918352941175,0.9522643299999999,0.9522156923529411,0.9520576041176468,0.9519115935294117,0.951822625882353,0.9517756923529411,0.9517216347058824,0.9517021605882353,0.9516894164705886,0.9516603870588237,0.9516377247058825,0.9515946399999999,0.951566216470588,0.9513658370588236,0.9512217135294115,0.9511591688235295,0.9511472117647057,0.9511540170588235,0.9511791723529412,0.9513021176470587,0.9513936811764704,0.9514393870588234,0.9514461047058821,0.951453142352941,0.9514448341176468,0.9514392135294116,0.9514500329411765,0.9514757152941175,0.9517158294117645,0.9518188311764706,0.9520150135294116,0.9521864135294118,0.9524076347058823,0.952651385882353,0.952939735882353,0.9532607652941179,0.9535910788235294,0.9539243647058825,0.9542476882352942,0.9545704441176471,0.9548733399999999,0.9551302223529412,0.955367034117647,0.9555978829411764,0.9558139276470586,0.9558237358823528,0.9559110605882353,0.9558991370588233,0.9558976899999998,0.9558297723529411,0.9557341105882351,0.9556159317647058,0.9554786435294117,0.9553377111764706,0.9552009905882355,0.9550774994117648,0.9549486435294119,0.9548251652941175,0.9547320299999998,0.9546395535294117,0.9540006323529411,0.9537599911764706,0.9536429888235293,0.9536354994117646,0.9536516111764705,0.9536966170588234,0.9537229052941174,0.9537191141176469,0.9536421188235294,0.9534969817647058,0.9533090905882353,0.9531696347058823,0.9530484317647059,0.9529280629411765,0.9528109688235294,0.9527214335294116,0.952644204117647,0.953119421764706,0.9532123005882353,0.9531968770588236,0.9531114282352943,0.9529953929411765,0.9528546317647059,0.95275674,0.9527130541176468,0.9527502458823529,0.9528506064705882,0.9529968064705882,0.953097498235294,0.9531682747058822,0.9532270964705882,0.9532987611764705,0.9532109929411763,0.9531355776470588,0.9530952511764703,0.9530586135294117,0.9529889429411765,0.9529184194117647,0.9528784547058822,0.9528686100000001,0.9528469076470588,0.9528310700000001,0.9528096388235295,0.9527680682352944,0.9527115912500002,0.9526480733333335,0.9525769642857144,0.9525053461538462,0.9524185,0.95253196,0.9526346319999999,0.9526810966666667
pNuLoCDScore	0.07778142745098043,0.08109091803921575,0.08900325745098048,0.10112306509803931,0.11628521627450988,0.1327834892156864,0.1510000868627452,0.16883834156862748,0.18250347862745103,0.17847232458823536,0.1728004978609627,0.16828491627450987,0.16346523918552058,0.15889269663865557,0.15300918800000007,0.15157347426470597,0.164740745882353,0.1799714464705881,0.19104910823529403,0.19647522176470578,0.19742986470588253,0.19690102705882345,0.1943570588235295,0.19113320058823535,0.19172171823529416,0.19784301588235298,0.20738100411764693,0.2167281876470588,0.227539316470588,0.23844181647058815,0.24876047058823514,0.25906390470588236,0.2542440899999999,0.23856155529411782,0.22188431294117672,0.20652247411764713,0.19251365411764687,0.17845464235294117,0.1642664011764705,0.15062841058823528,0.13681877529411768,0.12049450529411776,0.10498546294117661,0.08945262764705886,0.07363417235294156,0.057061902352941396,0.04167733529411777,0.02724892529411771,0.016511031176470792,0.014031978235294118,-0.051024041705882386,-0.0679089991176471,-0.08374809970588241,-0.09524365117647066,-0.10262907070588241,-0.10780060558823536,-0.11087323923529417,-0.11215011864705887,-0.11185539888235299,-0.10121829848823533,-0.0926298522085562,-0.0855099932058824,-0.07973632956561091,-0.07477776527310928,-0.07062614629803923,-0.06715609691911768,-0.06380572905882356,-0.04692191500000003,-0.03127637994117648,-0.019602274941176473,-0.011273038882352947,-0.005019160941176479,-0.0005574500588235443,0.002249206529411747,0.003506834411764685,0.005135478823529403,0.006939346470588234,0.008361436764705896,0.0100562601764706,0.011767190411764716,0.013535784588235296,0.015191001235294127,0.01711544011764707,0.01836890641176473,0.019630503235294125,0.02079392647058824,0.020891799352941172,0.02006774029411766,0.018858977764705895,0.017236065882352963,0.015490527058823554,0.013680972941176497,0.011869123529411787,0.010642710588235293,0.009495130235294108,0.008250149999999998,0.007133188294117659,0.005961657000000009,0.00534553752941179,0.0051338051764705794,0.005145761529411749,0.005273186235294103,0.005530705352941173,0.006398930176470571,0.007266239352941156,0.008253035823529375,0.009374340823529406,0.01029403905882352,0.011346717588235286,0.012211133823529396,0.01262479582352942,0.01314531370588233,0.01353030064705879,0.01394221058823529,0.013971368470588205,0.012799624941176452,0.011113318235294128,0.009053328294117674,0.006681099764705892,0.005031778941176485,0.0034083271176470753,0.0023951635882353134,0.0015673824117646978,0.001027500352941163,0.0008989362352941066,0.0006468668823529367,0.0004965094705882273,0.000557062176470613,0.0007464695882353073,0.0007734234705882442,0.0007748126470588368,0.0015884373529412021,0.0038018264117647277,0.005791197000000012,0.008723686058823552,0.011506851000000012,0.014105340941176506,0.016211490058823524,0.01770063470588236,0.01887103529411767,0.01977455029411765,0.02059796641176473,0.021689989588235287,0.022809535470588227,0.02381462370588236,0.024626042529411737,0.025557264882352923,0.02649879252941173,0.026382431941176454,0.026050553352941153,0.0254910580588235,0.024203060999999984,0.023023326058823484,0.02160565576470587,0.02071855670588235,0.02007985147058819,0.019374814411764696,0.018620922352941147,0.017546879176470603,0.016040573882352943,0.014366947999999977,0.012888066470588239,0.014006256117647053,0.014508840823529462,0.014644960823529438,0.015058381411764743,0.014744948235294167,0.014475224117647081,0.01419543294117652,0.0141619641176471,0.014061377058823571,0.013995324352941235,0.01420857611764706,0.014538119058823545,0.014975404941176468,0.015416755529411796,0.016097342000000042,0.01699741258823531,0.015102148235294127,0.011301043529411747,0.008629494117647074,0.006517344705882305,0.005032125294117645,0.004275038235294126,0.0038262299999999583,0.003361060588235293,0.002834288823529374,0.002297563529411739,0.0014665594117647118,0.00023617411764706442,-0.0007165888235294293,-0.0013983517647059018,-0.0019150305882353336,-0.002526492941176489,-0.0018338452941176198,-0.0001349276470588301,-7.024882352943407e-05,0.000323005294117662,0.0005619658823529106,0.0007417488235293701,0.0008687194117646957,0.001167258823529388,0.001641724117647042,0.0022026505882352665,0.0029111341176470684,0.003957717647058823,0.004935494705882337,0.005596872941176473,0.00575203941176472,0.005977637058823537,0.005041453529411738,0.004215978235294127,0.005943537058823528,0.007968199411764687,0.009219002941176446,0.010065698823529423,0.010399739999999963,0.010462043529411741,0.010243365882352945,0.009802815882352989,0.009121266470588252,0.008259204705882373,0.007286296470588288,0.006560538235294094,0.006145794117647069,0.0059373082352941475,0.007031020588235265,0.00946489705882353,0.01004136,0.009498061176470646,0.009710687647058819,0.009829411764705892,0.010174511176470613,0.010594107647058842,0.011034972352941208,0.011383657647058815,0.011613797647058804,0.012167811176470589,0.012775725294117662,0.013395019411764741,0.01377349,0.01367984294117644,0.012149613529411823,0.009086281764705884,0.006243902941176466,0.003904833529411733,0.0016104400000000185,-0.0005903329411764968,-0.00250006764705879,-0.004353282352941162,-0.006154720588235296,-0.0076976811764706,-0.00879139764705883,-0.009867857647058859,-0.011019492352941196,-0.012205902352941195,-0.013321338235294106,-0.013880328235294115,-0.011784500000000031,-0.008865529411764717,-0.00592270882352941,-0.0036581788235294233,-0.0007993058823529131,0.002463567647058851,0.00561247647058824,0.008925342352941207,0.01240020470588235,0.01602875529411768,0.01952625117647061,0.022940516470588257,0.026822111764705864,0.030658004117647047,0.034578760000000014,0.0381384329411765,0.03873169000000001,0.03761161235294122,0.037227851764705916,0.03708988411764713,0.0365039441176471,0.034788896470588304,0.03268275235294121,0.030372336470588235,0.027696623529411796,0.024729558823529424,0.02156385235294117,0.01822425588235299,0.014479975882352947,0.010444152941176482,0.0064353817647059,0.002451604117647055,-0.0030792235294117287,-0.009120172117647068,-0.014679882117647092,-0.01915977564705887,-0.022650500352941222,-0.02512275211764714,-0.026789396235294166,-0.027860926235294153,-0.0281577256470589,-0.027893626823529444,-0.027339317411764708,-0.02630476917647065,-0.025182842705882336,-0.023724200352941177,-0.02201506094117653,-0.02033800035294117,-0.01659317741176472,-0.008065672941176494,0.0025193068235294103,0.011005135647058795,0.017452139176470594,0.02271807858823527,0.027463446823529386,0.031379092705882294,0.03422847505882354,0.0360314015294117,0.037396210352941134,0.03833468505882351,0.03878938447058822,0.03925393388235293,0.0394335832941177,0.03942481976470588,0.037176623882352905,0.03390821623529411,0.02825618411764705,0.02338665941176471,0.019261429411764674,0.016057202352941197,0.01246240470588239,0.00935586058823537,0.006941384117647109,0.005282450588235371,0.004049628823529466,0.0026526158823529655,0.001619079411764729,0.0007081394117647022,-0.0001966994117647558,-0.0008300176470588672,0.0006974935294117579,0.0035610976470587807,0.004499515294117629,0.005445689999999975,0.006537394117647033,0.007720409411764689,0.009265097058823502,0.010947661764705852,0.012261384705882311,0.013151324117647023,0.01381108999999997,0.014552097058823515,0.01542239588235289,0.016174120588235308,0.016861511764705905,0.0173821323529412,0.01804059529411764,0.01586657705882355,0.014858439411764651,0.014329141176470606,0.013437608823529429,0.012629574117647091,0.012037084705882356,0.011108963529411764,0.010453492352941185,0.009934222352941197,0.009431612352941182,0.009003649411764736,0.008456964117647042,0.0077998900000000315,0.007157909411764696,0.006614617058823519,0.005902469411764727,0.0055773705882353475,0.005820632941176573,0.005666776470588247,0.005670375882352974,0.005217602352941192,0.004516800588235309,0.0037328852941176383,0.0027977294117646767,0.0018561841176470695,0.0010824276470588756,0.00042478941176474216,-0.00025283117647048603,-0.0009270447058823683,-0.001472134117647017,-0.001961162941176403,-0.0015919941176470442,-0.0014180717647059027,-0.003066081176470642,-0.004159641176470635,-0.0049790405882353395,-0.005510771764705935,-0.0055350947058823985,-0.005178528235294105,-0.004702975882352911,-0.004099662941176502,-0.003438638235294139,-0.0028444000000000247,-0.0022604382352941488,-0.001738759999999978,-0.0012642105882353094,-0.0008190629411764794,-0.001279442941176434,-0.002155415882352907,-0.0013870794117646357,0.0001680147058824022,0.0011960229411764889,0.0021553941176470637,0.0027609870588235774,0.0028390052941176525,0.0027367735294117346,0.0024988688235294265,0.0021500211764705623,0.0016711894117646675,0.0010963711764706008,0.0005741958823529403,9.080235294120498e-05,-0.00037967117647058624,-0.0028960588235294182,-0.0032635670588235244,-0.004480950000000039,-0.0077981205882352855,-0.010384574705882332,-0.01261144999999994,-0.014931648823529403,-0.01673307941176469,-0.018258804705882287,-0.019275079411764706,-0.020112306470588204,-0.01952967705882347,-0.017673092941176444,-0.015432314117647061,-0.012629051176470618,-0.009040725882352968,-0.003377379411764747,0.0032042405882352076,0.009161041176470514,0.016590542941176428,0.02496983176470588,0.032749068823529404,0.04075966176470583,0.048745339411764704,0.05641925588235297,0.06352282882352941,0.07002830176470584,0.07537975176470585,0.0782616099999999,0.07975138411764693,0.0806966617647058,0.0805786799999999,0.08491813647058821,0.08609820882352942,0.08710285588235303,0.08750477470588242,0.08645409529411771,0.08531865352941176,0.08413543058823542,0.08221392588235299,0.08025416529411761,0.07811753588235293,0.07620980647058823,0.073962274117647,0.0725571947058824,0.0723066100000001,0.07190366470588239,0.0713556452941177,0.06631837058823531,0.05738746705882353,0.05075842764705879,0.045181075294117634,0.03947371058823512,0.03411942352941172,0.02871805882352929,0.023638222352941107,0.01868710999999995,0.014152009999999993,0.010092412941176465,0.006460192352941152,0.0034487458823529438,0.0005951341176470559,-0.002215067058823461,-0.004623980588235266,-0.006885691176470532,-0.004158821764705778,-0.003582542941176381,-0.0041168811764705215,-0.004671384705882187,-0.004851098235294005,-0.004930306470588175,-0.00486386588235288,-0.004558786470588161,-0.004573565294117732,-0.004781660588235259,-0.005482849411764634,-0.00624797823529416,-0.007190692941176469,-0.008086727647058922,-0.009000547058823527,-0.009862281764705882,-0.010822002941176523,-0.011101340588235309,-0.010602264117647087,-0.009670420588235362,-0.008660274117647193,-0.008028582941176587,-0.0074070582352942504,-0.006873061764705979,-0.0062744452941176365,-0.005424545882353027,-0.004666094705882418,-0.0036531582352941627,-0.002520951176470665,-0.0014603170588234904,-0.000349987647058847,0.002454311764705841,0.005060033529411756,0.007141056470588214,0.008862074117647,0.010719400588235284,0.01189865058823536,0.013456385882353095,0.015150984705882387,0.01677482588235296,0.01853967235294124,0.019830079411764734,0.021492468823529454,0.023032534117647163,0.024306033529411852,0.025381658235294147,0.02651313294117652,0.025620378235294117,0.022870541176470527,0.02074931999999996,0.01916603,0.01714169529411763,0.015212290588235255,0.013361434705882302,0.0111634476470589,0.00876151411764714,0.00626272235294123,0.0038520982352942545,0.0015030394117647727,-0.0010437023529412115,-0.0035512241176470227,-0.005794415882352966,-0.008141054117647095,-0.00751313941176468,-0.00641367823529404,-0.004775659411764666,-0.00385266117647054,-0.0030816182352940147,-0.002386014117646995,-0.0016415811764705635,-0.0006062623529412559,0.0007947841176469961,0.0022916511764706216,0.0040722605882352325,0.0058628117647058775,0.007804038235294131,0.009848357647058825,0.012037755882353007,0.014339261764705902,0.013932164705882322,0.012302409411764692,0.01209920882352944,0.011705517058823611,0.011717181764705875,0.012427122352941189,0.013039423529411787,0.0133330564705883,0.013442381764705857,0.013472996470588139,0.013371697647058756,0.0130102352941176,0.012400657058823483,0.011694486470588128,0.010756017058823453,0.009628817058823402,0.008502883529411753,0.009296309411764625,0.007930027647058746,0.006723887647058668,0.0055786999999999365,0.004439194117647038,0.003006299411764668,0.0018766400000000405,0.0008683382352941971,-8.281999999987244e-05,-0.001010429999999951,-0.0017278417647058064,-0.002367939411764608,-0.0029173152941175395,-0.0034472135294116857,-0.004081459411764576,-0.004745391764705842,-0.004727065294117538,-0.0035277017647058484,-0.0019892817647058636,-0.0006159005882353519,0.00022778235294107496,0.0009002947058823207,0.0015395694117646408,0.0019846094117646484,0.002341796470588131,0.0025192376470588584,0.0023551458823528604,0.0019202699999998907,0.0015470082352940784,0.0012398376470587613,0.0011646935294116756,0.001039251764705873,0.0023427788235293456,0.0029274688235294,0.002698143529411834,0.002561660588235426,0.002449818823529515,0.002427858235294178,0.0023932405882353125,0.00252441117647062,0.0026026770588236103,0.0027416594117646853,0.003215463529411766,0.004000022352941168,0.004905174705882309,0.005790917058823564,0.006688039411764768,0.007578959411764619,0.007337250588235311,0.005661324117647026,0.00423278529411758,0.0031771823529411214,0.0018728564705882134,0.0007467858823528295,-0.00013534882352939093,-0.0010037947058823549,-0.0017843347058822956,-0.0022992276470588102,-0.002873487647058859,-0.0035445552941175684,-0.004313434117647008,-0.005116483529411853,-0.005936838235294173,-0.006386265294117677,-0.007016618823529497,-0.0061905158823529205,-0.005563813529411765,-0.005828512941176478,-0.005919754117647058,-0.005722752352941118,-0.005919649411764705,-0.006126795882352931,-0.006176968823529472,-0.006421944705882365,-0.006612653529411705,-0.00654322058823531,-0.006448871764705988,-0.006139311764705946,-0.005693589999999971,-0.005762878235294033,-0.006093051764705815,-0.006391755294117674,-0.006205312352941139,-0.005016984705882299,-0.003019902352941195,-0.0010077141176470517,0.001169695882352939,0.003422195882352874,0.005468575294117539,0.007349188823529362,0.009082324117646978,0.010413561764705759,0.011438244705882394,0.01222646000000005,0.012731432352941163,0.012510832941176497,0.01104819470588242,0.010198449411764732,0.00934966647058827,0.007883220588235262,0.005536651764705969,0.0030112058823530408,0.0006178411764706238,-0.001766727058823414,-0.00400516588235289,-0.005926955294117631,-0.00772498294117635,-0.00940626176470577,-0.010868318235294161,-0.012308393529411765,-0.013778731176470549,-0.014297031176470631,-0.012389364705882366,-0.009449072352941179,-0.0074166105882353395,-0.005327960588235314,-0.003083387647058955,-0.0008993976470589304,0.0007797547058822629,0.0019028552941174892,0.0026906894117647573,0.003359445882352985,0.0038169523529412164,0.00427813823529416,0.004811557647058928,0.00552607764705898,0.006465986470588325,0.008256480000000121,0.00947436529411766,0.008734832941176496,0.00852668941176471,0.008053239411764723,0.007329988823529532,0.0067621894117648185,0.006738097058823611,0.007348201764706075,0.008369986470588231,0.009459065882352957,0.010546545294117582,0.01161822823529407,0.012447979411764676,0.013169127647058687,0.013699882941176411,0.01318810529411757,0.01155391764705882,0.009724123529411766,0.00818207588235298,0.007069825294117649,0.006533593529411685,0.006031353529411643,0.005170171176470506,0.003987297058823391,0.0026257341176469384,0.0012438153676469499,-7.892356862754246e-05,-0.0012890905042017287,-0.0023636842533936164,-0.0033509850980391054,-0.004225981925133682,-0.004958342352941125,-0.00481117751633986,-0.004115998104575136,-0.0034969669281045834,-0.0029467163398692597,-0.002704652810457453,-0.0026858986928103845,-0.0024989204575162627,-0.0022220792810456746,-0.0018722157516338767
pNuLoCRank	High
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
