UniprotID	Q7KZI7-16
pNuLoCScore	0.25157461999999997,0.23708869399999996,0.22489422090909086,0.2153565288333333,0.2083948289230769,0.20243740899999998,0.19806005439999996,0.19422236974999996,0.19137866152941174,0.1736180168235294,0.15729432505882354,0.14228115447058826,0.13155413211764708,0.13027283976470586,0.13078403976470587,0.13107485447058823,0.133137808,0.13549270505882352,0.13772314564705881,0.14032719858823525,0.1427314305882353,0.14440548764705882,0.14577294823529413,0.14665756882352943,0.1506067188235294,0.15248203058823528,0.15272649411764708,0.15235613117647057,0.1524088094117647,0.15287240529411764,0.15377169647058825,0.1546993105882353,0.1556646223529412,0.1560047823529412,0.15624064882352942,0.15699006941176474,0.1580526711764706,0.15944321294117647,0.16125113941176472,0.16361261588235296,0.16611131764705883,0.1652787623529412,0.1658054294117647,0.16824325176470586,0.17051994235294116,0.1725540364705882,0.17422974764705879,0.17543738941176468,0.1764765864705882,0.17777031705882354,0.17860428529411768,0.17872741411764706,0.17876556764705884,0.1778580311764706,0.1770059794117647,0.17572398235294118,0.17510675764705882,0.17268408588235293,0.1701800994117647,0.16736681294117645,0.16344363058823527,0.15950760329411762,0.15590742858823528,0.15304614270588232,0.1504369862352941,0.14773938035294118,0.14527549505882353,0.14233224470588238,0.1400498811764706,0.1384980211764706,0.13767647,0.13618898352941175,0.13466459705882353,0.13193471235294116,0.13034769470588237,0.12878574235294118,0.12831859529411765,0.12836919235294117,0.12905755317647058,0.1295495008235294,0.1296037596470588,0.1298114502352941,0.130213472,0.13041489964705882,0.13172269647058824,0.13289038058823532,0.1341043611764706,0.13474920647058825,0.1345013841176471,0.13684423176470586,0.14010781470588232,0.1449654505882353,0.15051320764705883,0.15543319294117652,0.16019009529411765,0.16339241411764704,0.16639978411764705,0.16937888470588233,0.17236563529411764,0.1756923164705882,0.179144424117647,0.18270665470588235,0.18648084705882353,0.18940392941176468,0.19270649999999998,0.19673457176470588,0.1976323682352941,0.19787423176470587,0.19734313941176468,0.19657867470588236,0.19559961235294118,0.19549417529411767,0.19688450117647058,0.1985054811764706,0.19978450705882353,0.20111773411764708,0.20197458882352945,0.20218773941176468,0.2021431935294118,0.2019734747058824,0.1950090382352941,0.19388378647058824,0.19174265000000001,0.1910815235294118,0.1918518023529412,0.1928456941176471,0.1942101176470588,0.19639274294117645,0.19828571999999997,0.19993446058823527,0.20205169470588236,0.2037228694117647,0.2053328035294118,0.20717490117647064,0.2092112947058824,0.21159019705882356,0.21374243882352945,0.22313358529411767,0.2262115964705883,0.23053517823529418,0.23431610764705887,0.23639595352941178,0.2381727223529412,0.23951936000000007,0.24031051117647065,0.24107825823529416,0.24181445352941178,0.24177642647058828,0.24260943000000007,0.24352498294117653,0.24410567999999996,0.24488244529411762,0.24606564,0.24501682470588235,0.2431274123529412,0.24225859058823526,0.23975845352941175,0.23448874470588232,0.22949015647058824,0.22455913529411764,0.2190151088235294,0.21334892470588232,0.20681346352941177,0.2006376782352941,0.19449474882352938,0.18828727705882353,0.1821835605882353,0.17620777588235295,0.17000198000000002,0.16306628294117648,0.15870795882352942,0.15507905764705882,0.15074761411764706,0.14787637941176468,0.1471838570588235,0.14679971823529409,0.14595816705882347,0.1457781435294117,0.14580075176470586,0.14665781,0.14723296058823526,0.14771872176470585,0.14804485764705883,0.1481132617647059,0.15120274,0.15349313588235294,0.15573191235294118,0.15723602411764703,0.15868439470588236,0.16037322647058824,0.16242382705882352,0.16449592117647058,0.1661255405882353,0.16717310823529413,0.16727886529411762,0.16766313058823526,0.16778025647058822,0.16764703823529414,0.16797766,0.1684881211764706,0.16898493117647057,0.16597233411764706,0.16375187411764705,0.16180921411764707,0.16051223470588236,0.15948219235294117,0.1580068994117647,0.15641326117647059,0.1549326611764706,0.15375773411764704,0.15320838588235292,0.15354188352941175,0.15342068529411762,0.1537023582352941,0.15431536411764707,0.15444766647058825,0.15294361882352941,0.15100487323529413,0.15108325029411765,0.15194311911764705,0.15307420852941175,0.1543674791176471,0.15555373205882353,0.15731051500000004,0.15907738500000002,0.15998042323529413,0.16067603676470588,0.16149494617647056,0.16239218088235294,0.16352481911764705,0.16434888676470585,0.1650009544117647,0.16536434088235297,0.1672676385294118,0.16771568000000003,0.16514451,0.16172847764705883,0.15724758235294117,0.1529380962352941,0.1471310750588235,0.14116211711764703,0.13466011417647059,0.12929334629411765,0.12372764099999997,0.11800777658823529,0.11198664423529411,0.10561230070588236,0.09913729188235294,0.09179801482352942,0.08474730788235295,0.07768821176470589,0.07255531841176473,0.06889448782352943,0.06549224747058824,0.06255946041176469,0.059153799588235294,0.05705480935294118,0.05480624864705883,0.05293138582352942,0.050771818588235304,0.04885185152941177,0.04688781211764707,0.04508912800000001,0.04344042505882354,0.041980615941176476,0.04158478370588237,0.04128411947058824,0.04105714647058824,0.040769845117647065,0.04053329476470588,0.040330886999999996,0.04015781758823529,0.039986244941176474,0.0398167214117647,0.03968016435294118,0.03959829835294117,0.03951999211764706,0.0394427368235294,0.039324431823529404,0.03922417311764706,0.039561107117647064,0.039991401529411774,0.040226232588235294,0.04123334258823529,0.04191986229411764,0.042549635470588223,0.04306304664705882,0.04357113005882353,0.044067457117647056,0.04450764317647059,0.04483699370588235,0.04513723435294118,0.04548010670588235,0.045815369823529406,0.0461104994117647,0.04639070747058824,0.04666310817647059,0.04653763664705882,0.046358388411764706,0.046394460470588234,0.04569126047058823,0.04533232658823529,0.04511284564705882,0.045057203647058834,0.04503851688235294,0.044938737235294124,0.044906908411764715,0.04496298894117647,0.04505689147058824,0.04513611058823529,0.04524742388235295,0.04540150652941176,0.04560026729411765,0.04597428070588236,0.04607084235294118,0.04604405,0.04611612870588236,0.04624181282352941,0.04632995552941177,0.04635652782352942,0.046321858411764706,0.04627936752941177,0.04634789288235294,0.04633141052941176,0.04634233635294118,0.046348380647058825,0.04629871800000001,0.0461604785882353,0.04595447694117647,0.04572267552941176,0.045287325176470584,0.045144854588235285,0.045145751176470586,0.045020352647058816,0.04483553794117647,0.0446555065882353,0.044494852647058825,0.04431781205882353,0.044107607529411764,0.043853362,0.04370410611764706,0.04355277694117647,0.04338122435294118,0.04324785694117647,0.04354501070588236,0.04385596276470588,0.04386928547058824,0.04380407823529412,0.04369644882352942,0.04345766847058823,0.04320876758823529,0.04285788011764706,0.04236323582352941,0.04175132817647059,0.04108007029411765,0.040397738,0.0397612775882353,0.03912373947058824,0.038525562000000006,0.037977887529411766,0.03744729023529412,0.03656870023529411,0.03577220170588235,0.03531822311764706,0.03494238688235294,0.03458081182352941,0.03433249229411765,0.03410549564705882,0.03397244994117647,0.033977886764705874,0.03409416735294117,0.034285798470588234,0.03448988,0.034686622588235294,0.03486312052941177,0.03500880782352941,0.03529556970588236,0.03560227070588236,0.035917168941176476,0.03619574247058824,0.036472661941176474,0.03679412682352941,0.037130206,0.03748146123529412,0.037849356647058824,0.03816995805882354,0.03845464688235295,0.038729097,0.03898738082352942,0.03924822647058824,0.039494858823529405,0.039743050588235296,0.03998342388235294,0.040058213176470576,0.04009527629411764,0.04009426529411765,0.0401217555882353,0.04014157852941176,0.04014706570588236,0.040138520647058834,0.04011613341176471,0.04008981011764706,0.04011177347058823,0.040173210294117634,0.04023297429411764,0.040302126823529405,0.040366815411764706,0.040421177764705885,0.04044772723529413,0.04052335035294118,0.040625216823529424,0.04074381429411765,0.04088735323529412,0.04092911658823529,0.040973956764705874,0.04097056605882352,0.04093555776470587,0.04089946911764705,0.04087546858823529,0.040860097823529416,0.040849311352941176,0.040829367000000005,0.040802593117647064,0.04078940864705883,0.04079857182352942,0.04081596900000001,0.04080063547058824,0.04078067988235294,0.04075237029411765,0.04072925047058823,0.04084765152941177,0.04096808935294118,0.04116303035294118,0.04142069988235294,0.04169642305882353,0.041959655000000005,0.04219811711764706,0.04243527029411765,0.04269577852941177,0.04297494129411764,0.04369094252941176,0.044297432058823534,0.04480335688235293,0.045247042,0.04569864229411764,0.04617401870588236,0.04667616964705883,0.04716936329411766,0.047657853588235315,0.048114241764705884,0.048516957058823536,0.04889185205882354,0.049285059,0.04968794076470589,0.05005248947058823,0.050383038882352925,0.050698024882352935,0.05055911782352941,0.050525044529411756,0.05061639558823529,0.050771787117647064,0.05091430864705883,0.05102401300000001,0.05108969011764707,0.05112558088235295,0.05116100070588236,0.05119007788235295,0.05124932641176471,0.05131791452941176,0.05136640135294117,0.05141372935294117,0.05148493147058823,0.051588069176470575,0.051798519117647046,0.05200901488235293,0.052197510882352936,0.05239159988235293,0.05259857747058823,0.052761818117647054,0.05286428852941176,0.05300477294117647,0.05313725941176471,0.05327190717647058,0.0534195215882353,0.05355391747058824,0.05369296652941176,0.05383674588235294,0.05399132000000001,0.05415698564705883,0.054281852294117645,0.05430782376470588,0.05434358435294117,0.05439605264705882,0.05440714011764705,0.05440654711764705,0.05444859188235293,0.054550796764705874,0.05460833429411765,0.05466690458823529,0.05472609729411764,0.05477321435294118,0.05482715752941176,0.054875064529411766,0.05491187764705883,0.05467543564705883,0.054578222705882355,0.054604103,0.05470309511764706,0.054790812470588236,0.054904694176470585,0.05506093947058823,0.05514048099999999,0.055198087,0.05526062423529412,0.055347219058823525,0.055444443,0.05554511852941177,0.05564490482352941,0.055766786705882365,0.05590927770588235,0.056048179294117643,0.056451886588235294,0.05669821764705882,0.05684080994117647,0.05690429170588235,0.05696794817647059,0.057010179588235295,0.05703938282352941,0.05713272241176471,0.05723510770588235,0.05732252535294118,0.057395243,0.05745354964705882,0.05749416276470588,0.05753933511764706,0.05756147452941177,0.0568615225882353,0.05658284611764706,0.056408096058823534,0.05626261676470589,0.05618936005882353,0.05614652994117647,0.056103806411764705,0.056091959352941166,0.05609920594117647,0.056153452529411764,0.056233161352941166,0.0563022084117647,0.05637650911764706,0.056427605588235286,0.05652476311764706,0.05665357735294117,0.05680557311764706,0.057675349941176464,0.058134475529411755,0.05849229076470588,0.058845226823529405,0.05915669788235294,0.05945111570588235,0.05975784864705882,0.06003755217647059,0.06030827035294117,0.060534080058823526,0.06073085047058823,0.06094309847058823,0.06115254482352941,0.061388816,0.061591907882352935,0.06192896952941176,0.06231778752941177,0.06245091470588234,0.062432443176470585,0.06244481923529412,0.062383008176470585,0.062285690647058814,0.06215912670588236,0.06205925629411765,0.061922917705882354,0.06176490029411766,0.06161029423529413,0.061472935117647065,0.06134012694117647,0.06120496164705883,0.06105272788235294,0.06092097400000001,0.060651660941176466,0.060351443882352945,0.06031918888235294,0.06045591170588236,0.06053318976470588,0.060694220647058816,0.06087620917647058,0.06107205917647057,0.061249196058823535,0.061462714882352935,0.06168323276470587,0.061896762941176464,0.06210049252941177,0.06230752329411765,0.06251368388235293,0.06280155882352942,0.06309182070588235,0.06338545141176473,0.06365583435294118,0.06391088729411765,0.06414616341176471,0.06443281552941177,0.06460440552941177,0.06479760611764707,0.06492728611764706,0.06506793552941176,0.06523266470588235,0.06538921152941175,0.06553047888235293,0.0656790276470588,0.06582301152941175,0.06592792211764706,0.06596027447058823,0.06596499176470588,0.06594364941176471,0.0658946105882353,0.06582774941176471,0.06574148623529412,0.065609698,0.06543153770588235,0.06524130388235294,0.06502615299999999,0.06473202929411763,0.06441601952941176,0.06412279717647058,0.06385511552941177,0.06358701494117647,0.06302328164705882,0.06301251870588236,0.06328246517647058,0.06362028929411766,0.06401564929411764,0.0644609234117647,0.06498860023529411,0.06553040847058822,0.06612438905882352,0.0668079478235294,0.06746727076470589,0.06814209870588236,0.06882424799999999,0.06947672682352941,0.0701516791764706,0.07083044111764707,0.07150001911764704,0.07247708676470588,0.07288034617647059,0.07302279676470587,0.07311089852941176,0.0731569405882353,0.07317995882352943,0.07313270964705883,0.07310393341176472,0.073015604,0.07293639994117647,0.07281759582352942,0.0727421546470588,0.07263653670588234,0.07251820729411763,0.07229016699999999,0.07247413523529413,0.07242195052941178,0.07245061052941178,0.07266983464705883,0.0729044801764706,0.07317730017647059,0.07348853723529411,0.07389197635294116,0.0742826228235294,0.07463608052941177,0.07504856464705884,0.07552095670588237,0.0760677025882353,0.07669565847058823,0.07742963670588235,0.07821540058823528,0.07900725852941176,0.07931016794117644,0.07977982441176469,0.08014308852941177,0.08037998911764706,0.08057262947058824,0.08072078388235294,0.0808101618235294,0.08080664823529413,0.08078715764705882,0.0807972505882353,0.08077580029411764,0.08073036111764705,0.08064446617647059,0.08050616764705881,0.08032506705882352,0.08027290817647056,0.08015109670588234,0.08013183876470586,0.08026122699999998,0.0802810675882353,0.08026179229411766,0.08027920135294118,0.08022243105882354,0.08012310576470588,0.07996259611764704,0.07978484670588235,0.079624737,0.07944369258823529,0.07922309176470589,0.0790092649411765,0.07880770964705883,0.07864636288235294,0.07835581788235295,0.07818863052941177,0.0779456514117647,0.07768205149999999,0.07751710893333333,0.07736699457142858,0.07716367923076922,0.07702055083333334,0.0769114,0.07685567,0.07685902777777778
pNuLoCDScore	-0.06019595847058823,-0.07795660317647057,-0.09428029494117643,-0.10929346552941172,-0.1200204878823529,-0.12130178023529412,-0.1207905802352941,-0.12049976552941175,-0.11843681199999997,-0.10159598894117644,-0.08717107526203205,-0.07502933024509806,-0.06566339833484161,-0.05803192135294116,-0.05228710616470583,-0.04756480092647053,-0.04077194270588233,-0.021135986235294113,-0.004567830941176465,0.01007497670588231,0.020854677294117635,0.02259956552941178,0.022987656705882376,0.023624456117647075,0.02252681435294121,0.020512077294117692,0.018517503176470607,0.01666287082352949,0.015321240588235308,0.015037725294117649,0.01547819117647059,0.01695504705882353,0.01550459882352942,0.012796731764705915,0.013078935294117633,0.0158871205882353,0.018111132941176444,0.019681631176470565,0.020458051176470538,0.020738078823529377,0.02081196411764699,0.021765534705882328,0.022363636470588255,0.021737344705882317,0.020712896470588243,0.018414818235294117,0.015754839999999992,0.01211136647058822,0.008995439999999993,0.007405323529411728,0.004374669999999997,-0.0008764388235294185,-0.007076311764705884,-0.013046433176470584,-0.018322319058823505,-0.022391246705882356,-0.026039600235294086,-0.03003093670588236,-0.03332879023529414,-0.03639516941176468,-0.038715686470588234,-0.03936001,-0.03932950941176472,-0.03953499882352943,-0.0404421605882353,-0.04074937352941177,-0.03983240470588234,-0.03858107058823526,-0.03512503529411762,-0.031138410941176448,-0.0268498754117647,-0.023496641882352926,-0.020833226588235304,-0.017927930117647067,-0.015062023058823537,-0.011917345058823553,-0.008327184705882368,-0.005607640588235263,-0.003572108823529402,-0.0014397770588235048,-0.00016321294117643825,0.004909519411764707,0.009760119999999955,0.016179708235294105,0.02219461235294118,0.027064000588235354,0.031132542117647072,0.03384291329411765,0.036796024470588246,0.03956743447058822,0.04215216329411764,0.04527741682352937,0.047421727647058765,0.049816274117647025,0.05237648588235294,0.05465472294117643,0.05820511588235289,0.059890340000000014,0.05752455352941177,0.052908781176470576,0.046829931764705846,0.04114548176470584,0.03540951705882353,0.03210176117647062,0.030484717058823524,0.029126596470588267,0.027418871764705893,0.025425417647058884,0.02283016470588245,0.019481084705882334,0.015662346470588256,0.012569545294117718,0.002302538235294138,-0.0028507852941176415,-0.005889718235294078,-0.00679270823529407,-0.005491337058823487,-0.003732980588235263,-0.0013894947058823715,0.0008985676470587844,0.0014012188235293932,0.0014289794117646748,0.002267187647058827,0.0026051352941176276,0.003358214705882351,0.004987161764705955,0.007068101176470609,0.00961672235294117,0.018733400588235333,0.029249798823529433,0.03446894647058829,0.039453654705882385,0.04246430529411768,0.043550259411764686,0.0439626047058824,0.04312661705882362,0.04202479117647068,0.04114379764705889,0.03976275882352942,0.03805355705882357,0.03727662647058827,0.03635008176470589,0.034894385294117564,0.03329224823529406,0.032323201176470556,0.021883239411764677,0.016915815882352886,0.011723412352941082,0.0054423458823528725,-0.0019072088235294604,-0.008682565882352972,-0.01496022470588243,-0.02129540235294125,-0.027729333529411843,-0.03500099000000001,-0.041138748235294176,-0.04811468117647069,-0.055237705882352994,-0.061922119411764676,-0.06867466941176467,-0.07606365999999998,-0.08195054176470587,-0.08441945352941177,-0.08717953294117645,-0.08901083941176469,-0.08661236529411764,-0.08230629941176473,-0.07775941705882355,-0.07305694176470592,-0.06757078117647061,-0.06101271176470591,-0.053979868235294104,-0.04726178823529412,-0.04056855529411768,-0.03413870294117646,-0.028094514117647046,-0.018799240000000023,-0.009573147058823533,-0.002976046470588245,0.0021569664705882174,0.007936780588235298,0.012496847058823563,0.01523997000000002,0.017696202941176492,0.020167373529411836,0.021394964705882424,0.021478113529411758,0.02100532058823526,0.02054729588235296,0.019928316470588292,0.019932802352941176,0.0203748594117647,0.017782191176470563,0.012479198235294114,0.008019961764705874,0.0045731900000000325,0.0018278399999999972,-0.0008910341176470715,-0.00441692764705881,-0.008082659999999992,-0.011192879411764722,-0.013415374117647094,-0.014070479411764703,-0.014121247058823505,-0.014359571176470604,-0.013944680000000043,-0.013662295882352932,-0.01404045470588236,-0.01604131235294115,-0.014967460882352929,-0.012668623823529401,-0.00986609500000002,-0.007438026176470602,-0.005114713235294083,-0.0024531673529411824,0.0008972538235294536,0.004144723823529428,0.00622268911764709,0.007467650882352961,0.007953062647058806,0.008971495588235318,0.009822460882352946,0.010033522647058785,0.010553287941176465,0.012420722058823552,0.01626276529411766,0.016632429705882384,0.013201390882352948,0.008654269117647079,0.0028801032352940847,-0.0026156358235294164,-0.010179439941176538,-0.01791526788235298,-0.025320309058823542,-0.031382690470588226,-0.03776730517647059,-0.04438440429411765,-0.05153817488235293,-0.058736586058823495,-0.06586366252941177,-0.07356632605882354,-0.08252033064705884,-0.09002746823529414,-0.09258919158823527,-0.0928339898235294,-0.09175533488235293,-0.09037863582352942,-0.0879772754705882,-0.08410730776470585,-0.07985386552941176,-0.07636196047058823,-0.07295582241176467,-0.06915592505882351,-0.06509883211764705,-0.060523172705882346,-0.0556968668235294,-0.049817398882352946,-0.04316252417647058,-0.036404092294117646,-0.03149817194117649,-0.028124642705882365,-0.02495895270588236,-0.022228573411764693,-0.018995982,-0.017068564411764707,-0.014989527235294134,-0.013251221470588243,-0.01117352023529413,-0.00933185941176471,-0.007445075294117663,-0.005764696176470609,-0.004216251941176481,-0.002419508823529412,-0.0015933821764705924,-0.0010578868823529486,0.00017619611764705528,0.0011500171764705774,0.002016340705882344,0.002732159647058821,0.0034133124705882367,0.004081212176470582,0.0046909217647058896,0.005156829352941171,0.005538936000000008,0.005960114588235289,0.0063726330000000025,0.006786067588235294,0.0071665343529411785,0.007102001058823526,0.006546235117647049,0.006132155823529412,0.0051611178823529405,0.0037713981764705903,0.0027826911176470695,0.002049799000000005,0.0014860735882353052,0.0009710597647058852,0.00043109405882353624,6.991470588236376e-05,-0.0001742454117647091,-0.00042321523529411514,-0.000679259235294119,-0.0008630755294117484,-0.0009892009411764796,-0.001062840882352943,-0.0005633559411764646,-0.000287546058823529,-0.0003504104705882305,0.0004248682352941263,0.0009094862352941185,0.0012171098823529486,0.0012993241764705857,0.0012833415294117648,0.0013406302941176493,0.0014409844705882274,0.0013684215882352885,0.0012854448823529444,0.0012122700588235377,0.00105129411764706,0.0007589720588235399,0.00035420964705882435,-0.00025160517647059705,-0.0007835171764705925,-0.000899195411764718,-0.0009703775294117728,-0.0012214601764705957,-0.0014944175882352986,-0.0017010212352941215,-0.0018270057647058816,-0.0019615554705882457,-0.002240285352941178,-0.002478048529411761,-0.002638230235294123,-0.0027956037058823532,-0.0029174936470588303,-0.0029126216470588273,-0.0024094662352941096,-0.0018667127647058815,-0.0014180397058823416,-0.0013407763529411643,-0.0014493023529411689,-0.0015626841764705829,-0.0016267703529411828,-0.0017976264705882386,-0.002131616823529414,-0.002566483882352935,-0.0030275372352941143,-0.0034556239999999974,-0.00394282852941176,-0.004429037470588232,-0.004855662352941173,-0.005269969411764705,-0.006097720470588243,-0.007287262529411767,-0.008097083764705894,-0.00848585511764706,-0.008754061941176478,-0.008876856647058826,-0.008876275294117636,-0.008752384470588237,-0.008390785882352939,-0.0077734414117647185,-0.006985902941176479,-0.006111939529411768,-0.005271397588235298,-0.0044371168823529455,-0.0036624414705882374,-0.002969079705882359,-0.0021517205294117603,-0.0009664295294117553,0.00014496723529412725,0.0008775193529411765,0.001530275058823534,0.0022133150000000004,0.002797713705882346,0.0033759655882352954,0.003876906705882352,0.004192071294117666,0.004360479529411779,0.004443298529411763,0.00449750082352942,0.004561603882352945,0.004631738294117636,0.0047342427647058885,0.0046878541764705794,0.004455942470588219,0.004178107352941163,0.003898522823529413,0.003649093647058829,0.003347451705882354,0.003016859705882363,0.002657059411764716,0.002266776764705887,0.0019198520588235221,0.0016571265882352818,0.0014441132941176368,0.0012455934705882174,0.0010539003529411659,0.0008719565882353009,0.0006781271764705887,0.0004643033529411894,0.00046513717647060637,0.0005299405294117848,0.0006495489999999993,0.0007655976470588161,0.0007875380588235267,0.0008268910588235118,0.0008320454117646883,0.0008194243529411616,0.0008096589999999904,0.0007636951176470605,0.0006868875294117824,0.0006163370588235378,0.0005272401764706003,0.0004357777058823578,0.0003682308823529448,0.0003508445882352898,0.0002926186470588246,0.00017541864705881288,3.686558823529085e-05,-0.00013498294117646886,-0.0001998661176470587,-0.0001263052352941038,-2.476705882339947e-06,0.00022747258823530708,0.0005212307647058864,0.0008209544705882407,0.0010995571764705891,0.0013488057647058835,0.0016059032941176457,0.0018931854117647043,0.0021855326470588132,0.002892370705882344,0.0034814630588235265,0.0040027214117646925,0.00446636211764706,0.004946271999999988,0.005444768235294127,0.005828518117647057,0.006201273941176477,0.006494823235294135,0.006693541882352945,0.006820534000000003,0.006932197058823537,0.00708694188235294,0.007252670470588238,0.007356710941176459,0.007408097588235282,0.007007082352941174,0.006261685764705878,0.005721687647058826,0.005369353588235287,0.005073144823529427,0.004740289941176472,0.00434784335294118,0.003920326823529413,0.003467727294117637,0.0030467589411764737,0.0026731208235294124,0.0023574743529411676,0.0020328555294117576,0.0016784605882352796,0.001361239882352941,0.0011018925882353078,0.0008900442941176395,0.0012394012941176341,0.0014839703529411774,0.001581115294117648,0.0016198127647058663,0.0016842688235294,0.0017378051176470469,0.001774598411764687,0.0018791920588235173,0.001976258705882354,0.0020818292941176333,0.002170195176470588,0.002236002941176485,0.002326565176470591,0.0024230165294117714,0.0025063885294117766,0.0025689164705882533,0.0024833331764705993,0.002298808882352947,0.0021460734705882334,0.0020044527647058857,0.0018085626470588229,0.0016447289999999976,0.0015843033529411715,0.001546023823529405,0.0014710748823529365,0.0013949974117647077,0.001306575705882343,0.0012192968823529354,0.0011341909999999997,0.0010383186470588265,0.0009205576470588187,0.0005184500000000036,0.0002963704117647098,0.000296279235294121,0.0003595107647058893,0.00039475982352941974,0.0004975540588235336,0.0006543923529411799,0.0006918891176470598,0.0006472902352941262,0.0006522899411764704,0.0006803144705882364,0.0007183457058823617,0.000771904176470592,0.0008177472941176545,0.0008917221764705996,0.000997400058823525,0.001372743647058812,0.0018736638823529383,0.0020941146470588173,0.0021377148235294102,0.002113479235294112,0.0020632540000000074,0.0019492401176470636,0.0018989018235294197,0.0019346354117647097,0.001974483470588234,0.001975306294117657,0.0019507999999999956,0.001908431117647054,0.00184925794117647,0.0017725484117646975,0.0016521968235294199,0.0008133432941176549,0.00013095952941176436,-0.0002901215882352842,-0.0005781931764705789,-0.0007149316470588182,-0.0008214182352941218,-0.0009063731764705901,-0.0009474234705882448,-0.0010335164705882402,-0.001081655176470589,-0.0010893640000000163,-0.0010930345882353004,-0.0010770405294117658,-0.0010665571764705978,-0.0010145720000000052,-0.0009078971764705998,-5.594947058824157e-05,0.001092503823529406,0.0017263794705882213,0.002229673999999987,0.002655866764705875,0.003010167941176471,0.0033473092941176466,0.0036658892941176524,0.00393834623529412,0.0041548178235294095,0.00430091870588236,0.004428642058823533,0.004566589352941172,0.004724939235294122,0.004864052882352941,0.004938330529411762,0.005123396411764701,0.004642437588235307,0.0043164391764705864,0.003940152411764708,0.0035995924117647182,0.003226310294117643,0.0028345749411764626,0.002401278058823543,0.002021704117647058,0.00161464735294118,0.001230820235294132,0.0008794437647058964,0.0005298366470588359,0.00018758211764706434,-0.00018385435294116653,-0.0005391799999999933,-0.0010079955294117482,-0.0016661265882353046,-0.0020994708235293966,-0.002113254294117642,-0.0019889075294117625,-0.0018498184117647018,-0.0015914699999999976,-0.0012829175294117798,-0.0009871971176470748,-0.0006737216470588184,-0.00030218541176472297,7.293852941174517e-05,0.00042382782352939907,0.0007603655882352997,0.0011025616470588182,0.0014609559999999855,0.001880584823529409,0.0024401597647058793,0.0030340075294117835,0.003336645470588241,0.003454975588235286,0.0036129736470588286,0.0037385948823529525,0.0037281963529411863,0.003725546941176494,0.0036780900588235244,0.0036052206470588224,0.0035494319411764758,0.003492448588235289,0.0034299863529411584,0.003371504352941146,0.003309327647058824,0.00312636329411764,0.002868453764705889,0.0025795403529411537,0.002287815058823528,0.0019837232941176536,0.0016815859999999988,0.0013086707058823505,0.001005292470588226,0.0006339315882352842,0.0003140177647058817,-4.178252941176852e-05,-0.0005006354117647188,-0.0009731919999999977,-0.0014076817058823465,-0.001823912117647028,-0.002235996588235284,-0.002904640470588235,-0.0029477557647058783,-0.0026825265882352983,-0.0023233601176470553,-0.0018789612941176592,-0.0013668260000000154,-0.0007528860000000082,-7.928952941177458e-05,0.0006928513529411706,0.0015666439411764627,0.0024411177647059024,0.003410069411764735,0.004408228470588235,0.0053539296470588305,0.006296563647058828,0.007243426176470599,0.00847673747058822,0.009464568058823522,0.009597881000000003,0.009402507470588212,0.009095249235294117,0.008696017176470602,0.008191358588235317,0.007602301176470608,0.006979544352941194,0.006207656176470594,0.005469129176470577,0.0046754971176470594,0.003917906647058808,0.0031598098823529264,0.0023665281176470376,0.0014597258823529219,0.0009741161176470836,-5.5136235294100944e-05,-0.00042973564705880984,-0.0003529621176470432,-0.00020641835294116229,2.035958823529138e-05,0.0003085784117646817,0.0007592667058823332,0.0011786894117646884,0.001620476529411774,0.002112164705882366,0.0027033608823529426,0.003325547941176496,0.004059121764705895,0.0049114294117647145,0.005925233588235296,0.006533123294117635,0.006888217411764666,0.007329213882352914,0.00747325388235294,0.007475508941176462,0.007395329294117653,0.007232246647058835,0.006918185470588242,0.006524025411764722,0.00615107711764705,0.00574868594117646,0.005254843588235275,0.004662658529411751,0.003948807705882351,0.003076530941176464,0.002109666470588231,0.001265649647058803,0.0008409287647059005,0.000352014352941174,0.00011813847058821103,-9.892152941175236e-05,-0.0003108371764705825,-0.00044158252941176035,-0.0005877307647058627,-0.0006835424705882442,-0.0008245615294117797,-0.0010124038823529496,-0.0011510632941176407,-0.0012866685294117552,-0.0014213744117646948,-0.0014969027058823192,-0.0015173574117646887,-0.0016265452941176262,-0.0017952788235293948,-0.0019432082352940916,-0.00231557558823528,-0.0025990160882353175,-0.0027446833607843307,-0.002912206781512605,-0.003058751828054318,-0.003102554931372542,-0.003051196117647037,-0.0029291767058823442,-0.002765709222222218,-0.002584664810457507,-0.0023640639869281083,-0.0021502371633987105,-0.0019486818692810437,-0.001787335104575155,-0.0014967901045751658,-0.0013296027516339903,-0.0010866236339869134
pNuLoCRank	Nonucleus
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
