UniprotID	Q33E94-2
pNuLoCScore	0.3076361088888888,0.294837533,0.2848544409090909,0.27656611999999997,0.27101565615384615,0.2655721407142857,0.2605645093333333,0.25592356562499996,0.2519313464705882,0.2366698905882353,0.2355709941176471,0.23681791647058822,0.23942755294117646,0.23606415117647053,0.2328483282352941,0.22684566235294112,0.22380626235294113,0.22760989352941174,0.23059416588235296,0.23693886647058826,0.24139771058823528,0.24393374352941172,0.24694549294117643,0.2519507982352941,0.2646479770588236,0.2767948429411765,0.28954723117647063,0.30169614470588235,0.3109076552941177,0.3174951729411766,0.32211153647058827,0.3263782788235295,0.3293669535294118,0.3311333376470588,0.33527713294117645,0.34271210764705884,0.34608541176470586,0.3513943117647059,0.3576569405882353,0.3639477152941176,0.3685704411764706,0.3658846311764705,0.3639131358823529,0.3616545494117647,0.35955238352941177,0.35980832,0.35911355999999994,0.35998079352941176,0.36105856058823527,0.36226193647058813,0.3632841205882353,0.36448613999999996,0.36567897058823523,0.36732981352941174,0.36862705235294113,0.3698330852941177,0.3748881676470588,0.37985718058823525,0.3841164252941177,0.38829494647058826,0.39190627117647064,0.3953113488235294,0.3979516829411765,0.4005778523529411,0.4032764752941176,0.4062370317647059,0.4096903111764706,0.41361506470588233,0.41765337882352943,0.4208615888235295,0.42439660882352953,0.4278899952941177,0.4312690070588236,0.43109532176470594,0.43089645000000004,0.4312520917647059,0.43075920588235295,0.4300606623529411,0.4286238523529412,0.42741541294117646,0.42646217000000014,0.42588068294117654,0.42458968117647067,0.42205930058823543,0.41865081411764704,0.4156659364705883,0.41306552823529413,0.41014998882352943,0.41400632176470586,0.41656577705882347,0.41443762176470583,0.4152135452941176,0.41422685529411757,0.41287408941176457,0.4131834758823528,0.41451523470588225,0.41703710764705876,0.41930998882352943,0.4217644517647059,0.42383381823529415,0.42644840411764706,0.42910819000000006,0.4313957317647059,0.4339844847058824,0.43649753,0.4321707652941176,0.4286241594117647,0.42876008294117646,0.4263497205882352,0.42583292176470583,0.426475655882353,0.4258045111764706,0.42514878000000006,0.4236694888235295,0.4218096764705883,0.41984897117647063,0.41835197058823537,0.41677494588235303,0.41545381588235303,0.4137125576470589,0.4111522617647059,0.40872544588235304,0.40598923529411773,0.40244070235294116,0.39985781647058827,0.39733688000000006,0.3937957717647059,0.3890913405882353,0.38596671058823534,0.3815917241176471,0.37671243705882357,0.37265191117647056,0.3684072929411764,0.36405574882352937,0.3591422641176471,0.3545594629411765,0.35089049588235294,0.34852995411764703,0.3463550794117647,0.34532652352941173,0.3451104882352941,0.34444096235294114,0.34405432294117644,0.3447110729411764,0.3457899711764706,0.3445370264705882,0.3447852835294118,0.3454879470588235,0.34533900705882353,0.3456647182352941,0.3462321158823529,0.3473594905882353,0.33989372529411765,0.3323303676470588,0.3257311564705882,0.32229375647058817,0.32010439058823525,0.3196843288235294,0.31908178176470586,0.3174989258823529,0.31705299000000003,0.3176274211764706,0.3195045388235294,0.32052832,0.3221119788235294,0.3239954294117647,0.32555283411764707,0.32671194117647057,0.32757099588235294,0.33732885058823525,0.34670906705882354,0.35483738764705874,0.3597367858823529,0.36265210882352933,0.3639617823529412,0.36610706705882357,0.36867620588235306,0.3698850652941177,0.37030701882352945,0.37048868941176477,0.3713210035294119,0.37152015823529416,0.3713589252941177,0.37148790764705886,0.3743131276470589,0.3747033423529412,0.3766649764705883,0.37864611294117645,0.38101741,0.38280446411764707,0.3847452911764706,0.3869394905882353,0.3889514217647059,0.39077603411764705,0.39261612764705883,0.3950750464705882,0.39758008352941177,0.3995337011764706,0.40129770411764704,0.4031981805882353,0.40457173823529413,0.4034870882352941,0.40457077352941173,0.4029414370588235,0.40166089588235293,0.3992796211764706,0.39714997529411766,0.39535758529411763,0.3939516029411765,0.39183583647058834,0.39023052235294126,0.3887615588235295,0.38686296588235297,0.3843663052941176,0.38255423352941176,0.3809682311764706,0.37770046058823525,0.3726565647058823,0.3682621770588235,0.3646550182352941,0.36162243529411764,0.3581290017647059,0.3559460176470588,0.35446077,0.3529282464705883,0.3517227423529412,0.3512936847058824,0.35039851941176475,0.34963312588235296,0.34912379705882357,0.3491489852941176,0.34888506588235296,0.3480888388235294,0.34938499352941177,0.3516785552941177,0.3537758952941177,0.3565251705882353,0.36028427235294114,0.3649945188235294,0.3700583617647059,0.3737175170588235,0.3777277264705883,0.38144345705882354,0.3847504947058824,0.38852282,0.39248379058823535,0.3965729758823531,0.4005982817647059,0.40786362352941175,0.4161833276470588,0.4234278917647059,0.4312516564705882,0.43880072352941174,0.4453949952941176,0.45139265176470583,0.45576339647058817,0.4597022258823528,0.4649151535294117,0.46943498529411753,0.47350864058823516,0.4773054194117647,0.4805120929411764,0.4834098217647058,0.48603094999999996,0.48858904235294115,0.4878044435294117,0.4866220170588235,0.48617664764705887,0.48574208705882355,0.4851699823529412,0.48483972235294115,0.48422857647058826,0.4835513282352942,0.48257950470588235,0.48094889882352954,0.47968731294117656,0.47889575941176477,0.47876029235294126,0.4790601476470589,0.4793996823529413,0.4835407464705883,0.4885102052941176,0.49362936058823526,0.4982479358823529,0.5028407652941176,0.5074205317647058,0.5118530329411765,0.5160343847058824,0.5200141035294118,0.5247837047058824,0.5292556247058824,0.5340830341176471,0.5388951494117648,0.5434043494117647,0.5476564952941176,0.5515060770588235,0.555168774117647,0.5549073029411765,0.5537209752941177,0.5524884352941175,0.5517729264705882,0.5510721088235294,0.5508433617647059,0.5507911341176471,0.5509804835294119,0.5513716658823531,0.5515939658823531,0.5518498282352942,0.5518599517647058,0.5516178364705883,0.5513647158823529,0.5511647782352941,0.5513468764705882,0.5521410117647059,0.5529363741176471,0.5532377058823529,0.5534154670588234,0.5535672658823527,0.5537984870588234,0.5538613341176472,0.553598841764706,0.5533228864705882,0.5529918688235295,0.552735415882353,0.5524653952941176,0.5523452682352942,0.5522627247058826,0.552286451764706,0.5523147341176471,0.552053631764706,0.55100744,0.55023999,0.5499848852941177,0.5498492123529413,0.5496203023529411,0.5493123176470588,0.5491499705882352,0.549172405882353,0.5491986141176471,0.5493441905882354,0.5493661905882353,0.5494440205882354,0.5493972947058825,0.549325024117647,0.5461806676470587,0.5452755029411764,0.5450567523529412,0.5457384323529412,0.5465704470588235,0.5477637905882354,0.5486788829411766,0.549521867647059,0.5503696111764707,0.551233875882353,0.5522909288235295,0.5532636664705883,0.5542495605882353,0.5553082194117648,0.5561013511764706,0.5566854058823529,0.5571731235294117,0.5607064494117646,0.5619354647058823,0.5624734411764706,0.5621049823529412,0.5614922917647059,0.5603887564705882,0.5596140470588234,0.5590017647058824,0.5584815823529412,0.5579627976470588,0.5573994194117647,0.5569250935294118,0.5564107782352941,0.5558306311764707,0.5553271811764706,0.5495295794117647,0.54507755,0.5408226417647058,0.5375591617647059,0.5345919852941178,0.5312952147058825,0.5286261052941177,0.526443887647059,0.5242743952941177,0.5223860835294117,0.5206021211764705,0.5189035429411764,0.5171664882352941,0.5155668388235294,0.5140890305882353,0.5127351482352941,0.5115825941176471,0.5160442705882353,0.5192930705882354,0.5223993470588235,0.5246164823529412,0.5264386470588236,0.5288407764705882,0.5307348082352941,0.532276431764706,0.533684705882353,0.5348052847058824,0.5356922088235294,0.5364372188235293,0.5371666517647059,0.5377919129411763,0.5383008364705884,0.5354062994117648,0.5307330605882353,0.5271292635294118,0.5241524447058825,0.5214284117647059,0.5184802688235295,0.5156356335294119,0.5129370364705883,0.5118781247058823,0.5126632517647058,0.5129577270588234,0.5133000505882354,0.5135561358823528,0.5137005829411765,0.5137504105882353,0.5136218223529411,0.5132351082352941,0.5162518729411764,0.521110784117647,0.5248168658823529,0.5280150729411764,0.5308958294117647,0.534082901764706,0.5381306782352941,0.5432126047058824,0.5466869435294117,0.548136332352941,0.5502392888235293,0.5526668770588234,0.5556964535294117,0.5593409676470589,0.5632900811764706,0.5757035223529412,0.5887953211764707,0.6019830111764707,0.6149772511764706,0.627812072352941,0.640544404117647,0.6532360835294115,0.6656017658823529,0.6771040952941176,0.6874275776470588,0.6975714623529411,0.7079026641176471,0.7181152994117648,0.7278469005882354,0.7370642182352941,0.7457988688235294,0.7542128394117648,0.7542732711764707,0.753861115882353,0.753161924117647,0.7524065511764707,0.7518869335294117,0.7514668605882352,0.7509946282352942,0.75068495,0.750433655882353,0.7501245517647059,0.7498440611764706,0.7494011400000001,0.7489648488235294,0.748572215882353,0.748161121764706,0.7488124100000001,0.7483976982352941,0.748365701764706,0.7487354311764707,0.7491636464705883,0.7496722347058826,0.7500885582352942,0.7504160894117649,0.7507370952941177,0.7508638705882353,0.7510010441176471,0.7511984864705882,0.7514377335294117,0.751766284117647,0.7519734105882353,0.7521009888235293,0.7522373829411764,0.7513732829411764,0.7516647982352941,0.7515376611764706,0.7510617082352941,0.7506095635294117,0.7501772305882353,0.7498032305882353,0.7494512094117647,0.7491118123529411,0.7488513717647058,0.7484383888235294,0.7479672876470588,0.7474906052941176,0.7470605817647059,0.74666109,0.7444816470588236,0.7430724352941177,0.7419138647058824,0.7410060494117648,0.7403056770588236,0.7396208300000001,0.7389607805882354,0.7383526488235295,0.7377698335294118,0.7371280141176471,0.7365532523529412,0.7360962135294118,0.7357092247058823,0.7352897111764706,0.7348727382352941,0.7344134617647059,0.7339850970588235,0.7354000382352941,0.7360457523529411,0.7364536605882352,0.7366177488235294,0.7366140111764706,0.7366868664705882,0.7368470294117648,0.7369919705882355,0.7370840211764706,0.737209883529412,0.737302885882353,0.7373898270588236,0.7375369700000001,0.7377767994117648,0.7380066370588236,0.7381780723529412,0.7382636935294117,0.7375990523529412,0.7370703911764707,0.7365227888235293,0.7359318005882354,0.7354495005882354,0.7348920188235295,0.7342181382352945,0.7334321852941178,0.7326111941176473,0.7317615141176473,0.7309848370588236,0.7302536864705883,0.7293974711764705,0.72855178,0.7274406000000001,0.7263479941176471,0.7252897547058824,0.7248634429411767,0.723912395882353,0.7228878100000002,0.7218011599999999,0.7205222247058823,0.7191384452941175,0.7176744394117646,0.7161785158823529,0.7145851835294118,0.7129733717647059,0.7112558700000001,0.7094085994117648,0.7076392876470589,0.7045803811764706,0.7017653523529411,0.699019332352941,0.6963914482352939,0.6937224952941174,0.6913798523529411,0.6888641823529412,0.6862019852941177,0.6835861382352943,0.6811119500000001,0.6787779170588235,0.6765617917647058,0.6744659894117646,0.6724593535294118,0.6705416358823529,0.6687202123529412,0.666967315882353,0.6664814841176471,0.6660019929411765,0.6655401599999999,0.6650124623529412,0.664598574117647,0.6642626388235294,0.6641517388235295,0.6642249311764707,0.6643176529411766,0.6643519529411765,0.6643441094117648,0.6643629723529412,0.6643730947058823,0.6643555958823529,0.6642844582352941,0.661453355882353,0.6596779188235294,0.6581759247058824,0.6570135811764707,0.6556455658823531,0.6545062194117648,0.6532383900000001,0.6521311623529413,0.6511887652941177,0.650116134117647,0.6491231005882353,0.648241745882353,0.6474362988235294,0.6466426276470588,0.6459197211764707,0.6452431829411766,0.6446278735294118,0.6468020676470589,0.6479420029411764,0.6488525835294118,0.6494748947058823,0.6502527923529411,0.6508089735294118,0.6515081264705882,0.652021845882353,0.6523704752941176,0.6529372099999999,0.6534605552941175,0.653864486470588,0.6541816335294116,0.654412996470588,0.6545736652941176,0.6538521199999999,0.6537866394117647,0.6535783123529412,0.653431245882353,0.6529142888235295,0.6522923682352942,0.6516255523529411,0.6508285894117646,0.6500976447058823,0.6494028488235295,0.6488171705882353,0.648280015882353,0.6476533941176471,0.6470672588235294,0.646392505882353,0.6457737529411766,0.6451973035294118,0.6455227523529412,0.6451949329411765,0.645001254117647,0.6447194617647058,0.6448120147058822,0.6449797088235295,0.6452557482352942,0.6457191152941177,0.6461746658823531,0.6465352423529412,0.646751661764706,0.6468573558823529,0.6469999088235294,0.6470922817647058,0.64727859,0.6477510288235293,0.6480296782352939,0.6479668158823529,0.6479286629411763,0.6479739194117645,0.6480084764705881,0.6480510917647059,0.6480655482352942,0.6480681658823529,0.6480292952941177,0.6479350658823531,0.6477012741176469,0.6475023094117646,0.6473726241176471,0.6472606241176471,0.6471743394117647,0.6471261405882354,0.6467318429411765,0.6464744488235296,0.6464847994117646,0.6463218876470589,0.6459146017647059,0.6454995664705883,0.6450672435294118,0.6446628870588236,0.6443027341176472,0.6439402811764705,0.6435698694117646,0.6434202552941176,0.6432535817647058,0.643072734117647,0.6428387905882352,0.6433379176470587,0.6439170670588235,0.644496914117647,0.6450416670588236,0.6456169341176471,0.6463264047058823,0.6468447482352941,0.6473054158823529,0.6477293729411765,0.6480527141176471,0.6483046200000001,0.6485106552941177,0.6487096258823531,0.6488211964705883,0.6488605111764707,0.6488547558823531,0.6489102376470589,0.6480961694117646,0.6471594635294117,0.6462318635294116,0.6453487694117646,0.6444479517647058,0.643511234117647,0.642880564117647,0.6422992964705881,0.6417013058823529,0.6411177647058823,0.6404830176470588,0.6397842647058823,0.6389815294117648,0.638218704117647,0.6375227535294118,0.63735562,0.6367397247058824,0.6362324717647059,0.6356083499999999,0.6350266794117647,0.6340908382352941,0.6324542382352941,0.6306291264705882,0.630101175,0.6295078799999999,0.628854107142857,0.6281874846153847,0.6275418916666667,0.6269454636363636,0.62645715,0.6259384033333333
pNuLoCDScore	-0.055704762418300635,-0.07096621830065353,-0.07206511477124172,-0.07081819241830059,-0.06820855594771236,-0.07157195771241828,-0.0747877806535947,-0.08079044653594769,-0.08382984653594769,-0.06722763947058824,-0.05426027502673794,-0.03962725352941171,-0.02961794556561087,-0.02163839718487398,-0.013619016392156874,-0.003972767389705867,0.012716630588235411,0.04012495235294122,0.05397623705882354,0.06487822823529413,0.07148010235294122,0.08143102176470604,0.08926320823529416,0.09953261647058836,0.10556069117647068,0.10352344411764708,0.10468296705882349,0.10577324117647058,0.10468770117647058,0.10746056823529421,0.11071144764705884,0.11199691705882353,0.103922464117647,0.08908978823529401,0.07436590470588228,0.05995840470588237,0.04864472823529409,0.04231314705882344,0.037002023529411676,0.03360251470588227,0.03169160705882346,0.031128598823529308,0.028006987647058834,0.02177403235294112,0.019593558823529367,0.015935501764705817,0.010970111764705859,0.005885370000000056,0.006317726470588203,0.013972549411764734,0.020203289411764802,0.02664039705882354,0.03235388764705888,0.0355030288235294,0.038838122941176556,0.04059705882352932,0.04221791470588232,0.04397509529411775,0.04640619058823531,0.04912892470588237,0.0519744082352942,0.053531775294117734,0.0557695564705884,0.05805691000000002,0.056380839411764805,0.051238141176470686,0.04678002470588233,0.04295714529411765,0.0388529347058823,0.034749313529411685,0.030672169411764705,0.026837560588235387,0.023185694705882554,0.019643651176470656,0.014899370000000078,0.008444235882353102,0.0009974352941176101,-0.005195652352941171,-0.011331080588235398,-0.017740006470588265,-0.01726268529411773,-0.014529544705882469,-0.01645882823529421,-0.016038546470588333,-0.01653235058823538,-0.017186572941176537,-0.01544037647058838,-0.012900178235294213,-0.009425062352941382,-0.006570694117647102,-0.0028252294117647736,0.0017745176470587154,0.007797590000000021,0.013442253529411752,0.01833020352941178,0.02383449588235298,0.022491208235294158,0.015604988235294104,0.01418653764705885,0.013546537647058876,0.012122865294117657,0.012958832352941263,0.013292180000000153,0.01128927647058836,0.008111672352941302,0.004359500000000072,4.522470588241845e-05,-0.003984847058823515,-0.008096433529411695,-0.012333244117647024,-0.015941915882352886,-0.020271927058823525,-0.02534526823529415,-0.02344531941176453,-0.02263492411764695,-0.026319380588235297,-0.02649190411764696,-0.02849604176470577,-0.03267988411764705,-0.03671317058823531,-0.03918206941176472,-0.042077764705882426,-0.045097239411764745,-0.04719706000000007,-0.049944677647058955,-0.052719197058823664,-0.056311551764705925,-0.05915309470588237,-0.060261765882352936,-0.06019549176470601,-0.059634155882353046,-0.05711417882352943,-0.05474732823529416,-0.05289591764705892,-0.04974144882352949,-0.04438026764705888,-0.04017673941176475,-0.037054697647058876,-0.03192715352941178,-0.027163964117647044,-0.02306828588235288,-0.01839103058823527,-0.012910148235294183,-0.007199972352941231,-0.010996770588235283,-0.016199586470588223,-0.020623922941176487,-0.023032767058823567,-0.025006097647058856,-0.024756633529411765,-0.024972541176470575,-0.02721214705882352,-0.028736981176470555,-0.026909605294117622,-0.025280744705882374,-0.02495962705882354,-0.023227028235294156,-0.02166928882352942,-0.020679281764705848,-0.02064754941176472,-0.01232272941176471,0.004998482941176441,0.020977910588235338,0.03254363117647058,0.03963239529411766,0.042967779999999955,0.044880000588235325,0.048608141176470665,0.051623215882353024,0.052257644117647106,0.05080248000000004,0.04996036941176479,0.04920902470588251,0.04752472882352948,0.04580609117647061,0.04477596647058829,0.04674213176470593,0.037374491764705975,0.029955909411764736,0.023808725294117705,0.021280624117647085,0.02015235529411774,0.020783508823529417,0.020832423529411725,0.020275215882352815,0.020890968823529366,0.022309108823529378,0.02458635705882345,0.02625907999999988,0.028013542941176417,0.029938778823529355,0.031710272941176454,0.030258610588235257,0.028783745882352885,0.027905797058823456,0.024295324117647066,0.02064348588235293,0.01647515705882352,0.012404684117647058,0.00841809470588234,0.005000181176470608,0.0010598023529412859,-0.0023856052941175765,-0.006313487647058746,-0.010717117647058794,-0.015167395882352996,-0.018743470588235278,-0.022229949411764705,-0.026871277647058878,-0.03083052352941179,-0.036308596470588206,-0.0382864188235294,-0.04003846058823529,-0.04115061941176468,-0.041203957647058864,-0.04089681529411765,-0.04102335647058819,-0.04011309411764713,-0.03893683764705885,-0.03836303941176472,-0.037229840000000014,-0.03524250823529401,-0.03340524823529417,-0.032083165294117644,-0.02961162176470583,-0.02327157117647055,-0.016583621764705847,-0.010879122941176433,-0.005097264705882343,0.002155270588235225,0.009048501176470602,0.015597591764705931,0.02078927058823521,0.026004984117647068,0.03014977235294114,0.034351975294117654,0.03888969411764703,0.04335999352941178,0.04742399058823549,0.05171321588235295,0.05977478470588232,0.06679833411764702,0.07174933647058823,0.07747576117647054,0.08227555294117644,0.08511072294117644,0.08639813294117643,0.08570503470588225,0.08598470882352932,0.08718742705882343,0.08799152823529399,0.08875814588235276,0.0887825994117647,0.08802830235294107,0.08683684588235274,0.08543266823529405,0.0807254188235294,0.07162111588235293,0.06319412529411761,0.05492499117647065,0.046941363529411806,0.0397749870588236,0.03344707058823532,0.02846518000000009,0.023849102352941354,0.01766435117647064,0.011513913529412001,0.0061786723529413945,0.001590340000000079,-0.0017518005882351528,-0.004349674117646918,-0.006631267647058681,-0.005048295882352838,0.0007057617647058811,0.007007343529411736,0.01207128823529402,0.01709867823529404,0.02225054941176463,0.027013310588235306,0.03180580823529411,0.03646277529411762,0.04220420000000008,0.04830672588235285,0.05439572117647057,0.059999389999999986,0.06464405705882348,0.06859634764705874,0.0721063947058822,0.07162802764705867,0.06639709764705892,0.060091614705882423,0.05424049941176462,0.04893216117647059,0.04365157705882361,0.038990328823529485,0.034756749411764765,0.03096638000000007,0.026587961176470665,0.02233834117647071,0.017766794117647033,0.012964802352941063,0.008213487058823521,0.003708220588235278,-0.0003412988235294012,-0.0038218976470587585,-0.0027662911764706477,-0.0007846011764706118,0.0007492705882353734,0.0016425405882352084,0.002495157058823305,0.0029551252941174555,0.003070200000000023,0.002618358235294105,0.0019512205882351585,0.0013979029411763655,0.0008855876470588164,0.000605443529411831,0.0007274317647059103,0.0008980088235296391,0.0011216735294119484,0.0009678576470588673,-8.737999999985924e-05,-0.001928934117647052,-0.0029977158823528693,-0.0034305817647056758,-0.003718053529411458,-0.004178184705882271,-0.004549016470588363,-0.004448871176470748,-0.004150480588235195,-0.0037932547058823207,-0.003391225294117617,-0.003099204705882319,-0.002901247647058791,-0.0028654300000000577,-0.0029614276470589784,-0.00613406647058834,-0.006778128823529572,-0.005950687647058861,-0.00450155764705884,-0.0034144382352941927,-0.0020854217647058304,-0.0009414194117645103,0.00020955000000022483,0.0012196405882354266,0.0020614699999998987,0.0030923147058823375,0.003919475882352974,0.0048833699999999425,0.0058641988235293985,0.006704056470588138,0.007360381764705881,0.01099245588235298,0.01543094647058818,0.01687871235294114,0.016735008823529407,0.015534535294117635,0.013728501176470509,0.011709873529411552,0.010092179411764435,0.008632153529411712,0.0072477064705882555,0.005671868823529325,0.004135752941176407,0.002675532941176506,0.001102558823529276,-0.00027071999999994656,-0.001358224705882316,-0.007643544117647005,-0.015628899411764596,-0.021112822941176446,-0.024914279411764717,-0.027512997058823374,-0.030197077058823463,-0.03176265117647048,-0.03317015941176449,-0.034727369411764686,-0.03609549882352947,-0.03736067647058827,-0.038495876470588386,-0.03975860529411768,-0.040843939411764674,-0.041741600588235395,-0.04259203294117653,-0.03794698529411766,-0.0290332794117647,-0.021529571176470474,-0.015159814705882346,-0.00997550294117655,-0.004856567647058885,0.00021467117647056,0.004290920588235103,0.00800203647058828,0.011298622352941212,0.014203163529411866,0.01678866588235306,0.019270730588235252,0.02159981294117652,0.023702882352941046,0.02556568823529426,0.023823705294117703,0.014688790000000007,0.007836192941176434,0.0017530976470589987,-0.0031880705882353366,-0.007958378235294106,-0.013205142941176362,-0.01779777176470576,-0.020398307058823617,-0.02102145411764711,-0.021847557647059035,-0.022392158235294057,-0.022881082941176523,-0.023466068823529418,-0.024041502352941002,-0.02467901411764728,-0.022171191176470706,-0.014481187647058968,-0.00601847941176481,0.0006644211764703645,0.006586661176470554,0.01241556058823523,0.01844726823529408,0.025193641764705843,0.03133448000000005,0.03402369176470588,0.03517860529411765,0.03693923823529399,0.03911074117647062,0.041995870588235173,0.04559055705882353,0.04966825882352954,0.06246841411764714,0.07254344823529435,0.08087222705882369,0.09016038529411774,0.09979699941176456,0.1096485747058823,0.11915318176470557,0.12747108764705872,0.13389149058823524,0.14074063411764703,0.14943513000000008,0.15766337529411778,0.16544842235294133,0.17215044705882376,0.17772325058823524,0.1825087876470588,0.17850931705882356,0.16547794999999998,0.15187810470588237,0.13818467294117642,0.1245944788235297,0.1113425294117647,0.09823077705882366,0.0853928623529413,0.07358085470588238,0.06300607823529425,0.05255308941176484,0.04194139705882349,0.03128584058823536,-0.017637534503267965,-0.02618076862091502,-0.03217274156209149,-0.034432950385620914,-0.031622481562091506,-0.023012222150326778,-0.012022339797385623,0.002124735202614386,0.017209449320261444,0.045575361194117675,0.0600585262513369,0.07371342290686272,0.08857058357918554,0.09991066634873955,0.11200622412156863,0.12411995845955881,0.14324718429411767,0.17018975135294118,0.18537830252941173,0.19578400311764696,0.2007739772352941,0.19994686782352933,0.19771372899999992,0.190287034,0.18123242223529415,0.17120654111764705,0.16160625082352942,0.15788816670588235,0.14973988294117643,0.14363484058823525,0.13790009705882347,0.1296480670588236,0.11880938058823531,-0.017644505633986923,-0.028750447986928107,-0.03505586975163402,-0.03982788033986931,-0.04026936739869286,-0.03960989798692813,-0.03779746445751639,-0.03513117822222228,-0.03331256704575167,-0.027829264811764703,-0.0238416853368984,-0.021748762098039276,-0.01984379926696836,-0.016591598436974803,-0.011994322031372573,-0.0072008741838235635,-0.004350954352941194,0.009111828588235255,0.017435987999999986,0.024324810941176445,0.027261165647058827,0.028738994470588197,0.029452465647058862,0.029301377058823574,0.029889561176470597,0.03148967999999999,0.032989636470588224,0.03515475823529415,0.0380772911764706,0.040460849999999965,0.04176887411764704,0.04233632117647057,0.043949402352941175,0.04566577352941181,0.046369451764705916,0.04719476823529414,0.04765033058823531,0.04773226941176473,0.04747942705882349,0.04654096999999993,0.04536903823529409,0.043813004705882314,0.041333989411764666,0.03819594999999995,0.03448744588235292,0.03047712647058823,0.02622307352941175,0.022445849411764723,0.019597440588235288,0.012972623529411698,0.008347943529411761,-0.0007669758823529438,-0.00965128588235295,-0.01824058529411765,-0.026499042352941177,-0.03628632411764701,-0.04502883411764705,-0.05366044705882353,-0.061634997999999996,-0.0690009818235294,-0.0758901171176471,-0.08225055182352942,-0.08849180299999998,-0.09465380858823533,-0.102009873,-0.10753032029411762,-0.11079452970588236,-0.11042303411764705,-0.10611814647058823,-0.1016298594117647,-0.09700407411764704,-0.09014464411764705,-0.08173592235294116,-0.07398798058823529,-0.06613784199999997,-0.058737638999999994,-0.05117565517647053,-0.043636488705882326,-0.03575411988235293,-0.028083688999999967,-0.018784113117647064,-0.008162793764705856,-0.0003856911764705956,0.008071130294117657,0.012253782352941195,0.016580609411764716,0.02034813411764705,0.02385153941176471,0.02494784176470588,0.026482281764705892,0.027902002941176507,0.029346640235294166,0.030899023470588247,0.03206089523529412,0.03302578758823525,0.03376824523529412,0.03316693435294117,0.030821947588235296,0.028008133823529444,0.024871521470588256,0.02174091470588238,0.01871255941176471,0.015851843529411783,0.01307550764705881,0.010572002941176467,0.00825402941176473,0.0059324858823529,0.004003389999999968,0.0018078417647058587,-0.00020716588235297761,-0.0021033694117646995,-0.00402072529411765,-0.005283607647058847,-0.005068355882352937,-0.004493595882352958,-0.0035767052941176602,-0.002421155882352949,-0.001144130588235287,0.0002197800000000305,0.0020336376470588835,0.003609714117647045,0.004964270588235259,0.006372389411764712,0.007608310588235301,0.008827784705882358,0.010340729411764754,0.011928474705882375,0.01347180705882356,0.01426568176470594,0.014102760588235314,0.013905460000000008,0.01354422176470585,0.01310427411764703,0.01261177235294117,0.011778572352941163,0.010403578823529352,0.008841512352941172,0.007720332352941173,0.0064970252941176365,0.00550127352941171,0.004635092352941128,0.003488795882352902,0.002201955882352946,0.0007651564705881964,0.0008185858823529235,0.00019337470588229322,-8.218058823530883e-05,-0.00015658294117645855,2.4289411764688573e-05,0.00019769764705881987,0.0006637276470587983,0.0014291511764706055,0.002738524117647051,0.0037427505882353107,0.004492821176470596,0.005440463529411799,0.00646944294117649,0.007137193529411778,0.007717521176470565,0.008080034117647045,0.006986611176470564,0.006029667647058812,0.0065529211764705775,0.00703518588235294,0.007127807647058837,0.006886011176470558,0.006394676470588223,0.005806621764705838,0.004962991764705937,0.004123327647058833,0.0035725611764706455,0.00301301529411771,0.0021564264705883074,0.001398401764705931,0.0006866741176471125,0.0006690076470588502,0.0027498023529411997,0.0061337488235294335,0.007685660588235332,0.009186481176470584,0.010394486470588216,0.011688368823529444,0.013037714705882358,0.013891054705882366,0.01414560294117645,0.01450384352941178,0.01485546176470584,0.015003522941176434,0.0153739782352941,0.01588707823529409,0.01641472411764705,0.017078669411764696,0.015404036470588245,0.01219318352941176,0.009097122941176455,0.0062110570588235214,0.0036274694117647277,0.0014578688235294124,-0.00048805411764704654,-0.0017363905882352704,-0.00184122823529409,-0.0016517923529411616,-0.0016083511764705682,-0.0016959405882353007,-0.0019764917647059066,-0.0023116617647058746,-0.002588844117647121,-0.0032379258823529433,-0.004695634705882384,-0.004882557058823511,-0.004884060588235317,-0.004239130588235274,-0.003940620000000006,-0.003502380588235293,-0.0030996376470588394,-0.0028670864705882537,-0.0030050000000000354,-0.0033701900000000506,-0.0033762005882352897,-0.0032475999999999894,-0.0030976417647058663,-0.002979018823529439,-0.0030437935294117535,-0.003378118235294131,-0.0029603752941176342,-0.0010446558823529462,0.001110367647058852,0.0023469700000000315,0.003349581176470634,0.0043346170588235144,0.0047703347058823675,0.005053566470588244,0.004744202941176501,0.0034980682352941384,0.002723303492646989,0.0017089134901960845,0.0005732547058823756,-0.0004952766968325528,-0.0013112760294117232,-0.0017682164705882242,-0.0016773834117646824,-0.002138414771241798,-0.003169758888888874,-0.0041484747712418335,-0.004486163006535954,-0.0051665518300653135,-0.005461040653594734,-0.005574018300653544,-0.005250077712418283,-0.004140688300653561
pNuLoCRank	Medium
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
