UniprotID	Q6P2H3-4
pNuLoCScore	0.3434687333333334,0.36182257000000007,0.3783623854545455,0.3901656533333333,0.4008338415384615,0.41125715999999995,0.4207101853333333,0.42907139875,0.43699575764705884,0.44468707529411766,0.4560136388235294,0.47907196235294114,0.5000855752941176,0.5135421323529412,0.525786744117647,0.5397687264705883,0.5535471705882353,0.5652447741176471,0.5705209035294118,0.5768048070588235,0.5848334835294119,0.5930849482352942,0.6010774347058823,0.60827075,0.6147345588235292,0.6253009588235293,0.6360869294117647,0.6465368823529412,0.6566975547058823,0.6676844488235293,0.6781780135294118,0.6886218305882353,0.698745048235294,0.7086969423529412,0.7181538835294118,0.7260378129411764,0.7319978394117647,0.73781361,0.7430423629411765,0.747337005882353,0.7517862452941176,0.7568835247058824,0.7574788164705883,0.7577416376470589,0.7580153735294116,0.7581228705882352,0.7595897794117645,0.7608800264705881,0.7621238670588234,0.763468714117647,0.7647120729411765,0.7660743729411764,0.768369988235294,0.7708057852941176,0.7732028147058823,0.775560452352941,0.7811591876470587,0.7852045658823529,0.7873082952941176,0.7893943682352942,0.7910393264705883,0.7929860994117648,0.7951423964705883,0.7969374170588236,0.7979111523529411,0.7992918676470587,0.8009350770588235,0.8025292182352942,0.8041356064705883,0.8059228500000001,0.8076831464705885,0.8093006170588237,0.810872161764706,0.8095068300000001,0.8101571770588236,0.8127777947058823,0.8153403335294117,0.8176446776470588,0.8193278558823529,0.82074815,0.8223920911764706,0.8246746147058823,0.8263632123529414,0.8277004264705884,0.8288915970588236,0.8299874470588237,0.8308533847058823,0.8316238623529411,0.8328190976470587,0.8315945505882353,0.8277953764705882,0.8248884317647058,0.8230046552941177,0.8212692205882354,0.8197398676470589,0.8185927270588236,0.8171996888235294,0.8163522635294119,0.8157643605882354,0.8153613747058824,0.8148515864705883,0.8146028747058824,0.8144213152941178,0.8143389452941177,0.8139984200000001,0.8131458023529412,0.8148803611764706,0.8191131694117647,0.8223436082352941,0.8246155376470587,0.8267387805882354,0.8287312747058823,0.8302092282352941,0.8321456252941175,0.8333254288235292,0.8342386435294118,0.8349007494117648,0.835653004117647,0.8360283370588233,0.8362902405882353,0.8382300905882353,0.8394590682352941,0.8407679447058823,0.841985105882353,0.8428781917647059,0.843939101764706,0.8450206488235296,0.8459888252941178,0.8467664311764705,0.8477689517647059,0.8487063164705883,0.8498211088235293,0.8508387264705882,0.8518437029411765,0.8529994264705882,0.8543748994117648,0.8557650441176472,0.8553663323529413,0.8557115905882354,0.8560862994117647,0.8563767794117648,0.8569638735294118,0.8573375594117647,0.8576185594117646,0.8579343829411764,0.8583070947058823,0.8586436123529412,0.8589626300000001,0.8592662005882353,0.8596614394117648,0.8601092394117648,0.8603843729411765,0.8609023494117648,0.8616137129411765,0.86217834,0.8629582105882352,0.8633483164705882,0.8638067617647058,0.8641664499999999,0.8641929635294118,0.8642080252941177,0.8642431429411765,0.8642677700000002,0.8642853876470591,0.8643222405882356,0.8643235464705885,0.8642137252941178,0.8640965158823529,0.8640418511764707,0.8636337747058824,0.8630305135294117,0.862640454117647,0.8622474164705882,0.8622410523529411,0.8621263835294117,0.8620568070588234,0.8623351211764705,0.8626144005882352,0.8629133417647059,0.8632746829411765,0.8636901676470589,0.8641095970588236,0.8645740911764707,0.8651462852941177,0.8664907211764705,0.8677555152941178,0.8689999194117646,0.8702067758823528,0.8712388935294116,0.8721101147058823,0.8728032405882354,0.8734343994117647,0.873976501764706,0.8745108429411765,0.8752124723529412,0.8760590017647061,0.8772807005882355,0.8787768570588236,0.8803713100000001,0.8821220241176472,0.883876324117647,0.8849518652941177,0.8861340241176472,0.8874055317647059,0.88881494,0.8904113194117647,0.892150618235294,0.8939498535294116,0.8958987358823527,0.8979991864705881,0.9001351570588235,0.9021269352941176,0.9040023352941177,0.9054855405882353,0.9065063170588236,0.9074253994117648,0.9085377235294118,0.9097961735294117,0.9112207058823527,0.9126314058823528,0.9140040764705881,0.9150726882352941,0.9161815294117646,0.9172153370588233,0.9183525941176469,0.9193663823529411,0.9202004682352941,0.920966358235294,0.9217258976470588,0.9224382135294117,0.9231322294117646,0.9239770823529411,0.9247699688235294,0.9251335223529411,0.9253226547058824,0.9252174217647059,0.9250593864705883,0.9248777864705883,0.924910121764706,0.9248410182352941,0.9248009082352942,0.9247519552941176,0.9247125788235294,0.9248117811764704,0.9249118794117647,0.9249885935294118,0.9250518423529411,0.9250863741176469,0.923587552352941,0.9224802170588234,0.9219086252941177,0.9215880488235294,0.9213429264705882,0.9210551123529411,0.920795312352941,0.9205413088235294,0.9203611064705882,0.9202349858823529,0.9200884052941176,0.9199434170588234,0.9197540111764705,0.9194972641176471,0.9192731647058823,0.9191028270588234,0.9189491835294117,0.9203269135294116,0.9213269270588235,0.9217543388235294,0.9219280599999999,0.9220184270588235,0.9220177705882352,0.9220373588235293,0.9220495976470587,0.9220027329411763,0.9219320652941175,0.9218830888235293,0.9218394299999998,0.9217963711764705,0.9218095517647057,0.9218215370588234,0.92155711,0.9218021923529413,0.9220426582352941,0.9221509347058824,0.9222169935294119,0.9224287605882353,0.9226196752941176,0.9230018188235296,0.9233383423529413,0.9236034576470589,0.923866935882353,0.9240733417647059,0.9242928358823528,0.9245312123529412,0.924784651764706,0.9250559947058823,0.9253040770588234,0.9257425323529411,0.925646961764706,0.925542054117647,0.9256141988235296,0.9258348988235295,0.9259268694117648,0.926068475882353,0.9261607576470589,0.92623823,0.9263423382352941,0.9264255717647059,0.9265102952941175,0.926556845882353,0.9265601364705881,0.9265444911764706,0.9266781229411765,0.9269368676470588,0.9271563182352941,0.9273909241176471,0.9276116264705883,0.9278050170588236,0.9280216717647058,0.9282290011764706,0.928315964117647,0.9283100529411765,0.9281860982352942,0.9281058847058824,0.9279961905882353,0.927932681764706,0.9279054211764707,0.9278878011764707,0.9279212576470589,0.9277856023529413,0.9275174905882353,0.9273245494117648,0.9271405005882353,0.9269666494117648,0.9267630200000001,0.9265177594117648,0.9262622770588235,0.9261300147058824,0.9260624711764706,0.9260949182352941,0.9261005876470588,0.9261059447058823,0.9260755323529412,0.9260290270588234,0.9259169717647058,0.9256701858823528,0.9254831070588235,0.9253069094117649,0.9252351776470589,0.9250549470588234,0.9247728529411764,0.9245898258823528,0.9244196176470588,0.9242891294117647,0.9241038135294116,0.9238734135294117,0.9235583194117647,0.9232368282352941,0.9229147770588235,0.9226199570588235,0.9223319752941178,0.9221266270588234,0.9220485211764705,0.9219158970588235,0.9217788147058823,0.9215237488235293,0.9213498258823529,0.921291698235294,0.9211879999999999,0.9210883935294116,0.9209491170588234,0.9208401505882352,0.920761574117647,0.9207423623529412,0.9207241858823529,0.9207404152941177,0.9200966035294117,0.9197757517647059,0.91958204,0.9194739164705882,0.9193317547058824,0.919073795882353,0.91867502,0.9181912723529413,0.9177425094117647,0.9173279347058824,0.9169389023529413,0.9165298123529412,0.9161356964705882,0.9157185523529412,0.9153381782352943,0.9149658823529413,0.9146249023529414,0.9148875200000001,0.9148159488235296,0.9145947170588236,0.9142682847058825,0.913946431764706,0.9137253788235294,0.9136328935294118,0.9136320764705883,0.9135613552941176,0.9133461823529413,0.9131166235294119,0.9129241564705883,0.91275818,0.9126430476470588,0.9125450570588235,0.912836794117647,0.9130930388235294,0.9132862417647059,0.9135745205882352,0.9137280147058823,0.9139011911764704,0.9141325794117647,0.9143428441176471,0.9145388029411765,0.9147765029411766,0.9150233441176471,0.9153101347058824,0.9155391641176471,0.9157163829411764,0.9157887447058823,0.9158219564705883,0.9158080829411764,0.915434618235294,0.9150609594117647,0.9147799152941177,0.9143999647058825,0.9141628911764708,0.9139188529411767,0.9136729629411766,0.913459737647059,0.9132948394117649,0.9130826570588236,0.9128952864705884,0.9127553688235297,0.9126529011764707,0.9126291570588236,0.9127088447058824,0.9120168917647058,0.9119534970588236,0.9120585323529413,0.9122237882352943,0.9123449270588236,0.9123412717647059,0.9123955805882353,0.9123898364705882,0.9124032323529412,0.9123789558823531,0.91241306,0.9124987329411764,0.912516381764706,0.9124777347058822,0.9124035788235294,0.9123179235294118,0.9121816182352941,0.912841738235294,0.9129002005882353,0.9127377858823529,0.9124664270588235,0.9122520570588235,0.9121547217647058,0.9119893923529411,0.9118744570588235,0.9116986805882352,0.9115220823529412,0.9112181447058825,0.910886535882353,0.9106317752941177,0.910395465882353,0.9101977658823529,0.9094568152941175,0.9090760152941176,0.9086314629411764,0.9082580276470589,0.9079500329411765,0.9076362770588234,0.9073108358823528,0.9070096805882353,0.9067142082352941,0.9064683252941178,0.9062304464705883,0.9060448288235294,0.9059022194117646,0.9057736841176469,0.9056277194117646,0.9054748170588234,0.9052937817647058,0.9056376288235293,0.9056598082352941,0.9057242970588235,0.9057502470588235,0.9057465064705882,0.9057584299999999,0.9057823788235294,0.9057926105882352,0.9058098005882352,0.9057788982352941,0.9057458358823528,0.9056716829411764,0.9056103847058822,0.9055304547058822,0.9054459664705881,0.9052622605882351,0.9052384164705881,0.9051878635294117,0.9050902694117644,0.9050634776470586,0.9050632452941174,0.9050927599999999,0.9051699482352941,0.9051473482352941,0.9051237717647059,0.9050179388235294,0.9048242917647059,0.90451738,0.9042698482352941,0.904059131764706,0.9038422117647059,0.9036804764705884,0.9036061041176471,0.9033450364705883,0.9030868864705883,0.9028928076470588,0.902617584117647,0.9023037017647058,0.9019553405882351,0.9016211464705881,0.901341152352941,0.9009724111764705,0.9007252835294117,0.9005768517647058,0.9005494576470587,0.9004776164705881,0.9003855170588234,0.900532584117647,0.9005436641176471,0.9006069835294118,0.9007212276470589,0.9007962211764706,0.9008033647058823,0.9008476035294117,0.9008881717647058,0.9008908035294116,0.9007785858823528,0.900681274117647,0.900641574117647,0.9004509617647057,0.9001788135294116,0.8998634705882352,0.8995444199999999,0.89921274,0.8986328494117647,0.89811124,0.8975778782352941,0.8970556105882352,0.8965807294117646,0.8961277252941175,0.8956737311764703,0.8951959294117646,0.8947138029411763,0.8943249235294116,0.8939631235294117,0.8936009435294116,0.8933352635294115,0.8931316082352941,0.8930005547058824,0.8936432429411765,0.8937469176470589,0.893738694117647,0.8936128235294118,0.8934295676470586,0.8930590064705883,0.8927403911764706,0.89240535,0.8920805935294118,0.8917372917647061,0.8914167770588237,0.8910921211764709,0.890765485882353,0.8904896111764706,0.8902278935294119,0.8899044894117647,0.8895763835294117,0.8884308070588235,0.8877779558823529,0.887241744117647,0.8868426852941177,0.8864848676470589,0.8863084229411764,0.8861043023529412,0.8859347005882353,0.8857364123529412,0.8855619535294118,0.8853994535294117,0.8852214652941176,0.885035604117647,0.8848314882352941,0.8846374117647058,0.8847753370588234,0.8848471747058824,0.8853682276470588,0.8859524394117646,0.886438265882353,0.8869088694117647,0.8873392811764704,0.8876738870588234,0.8879617488235294,0.8881953899999999,0.8883709747058823,0.888527815882353,0.8886530064705883,0.8887334182352942,0.8887947029411766,0.8888560441176472,0.8889429852941177,0.8887489170588235,0.8885664670588236,0.8879888823529412,0.8873237705882353,0.886742467647059,0.8862001141176472,0.8857475611764706,0.8853807435294119,0.8850727529411765,0.8848332411764707,0.8846846388235294,0.8845312300000001,0.8844368335294119,0.8843840129411767,0.8843662011764708,0.8849077541176473,0.8855048364705885,0.8860968917647061,0.8866990770588237,0.8873289752941178,0.887995663529412,0.8887307605882354,0.8895149370588237,0.8903208864705883,0.8911379747058823,0.8918950064705883,0.892649524117647,0.893368118235294,0.8940601423529411,0.8946767717647058,0.895285212352941,0.8958617770588234,0.8958921299999999,0.8958574452941176,0.8958222158823528,0.8958089688235293,0.895781712352941,0.8958095005882352,0.8958223623529411,0.8957694617647057,0.8956955888235294,0.8956109711764707,0.8955731847058823,0.8955338282352941,0.895547834117647,0.895601165882353,0.8957002270588237,0.8963001717647059,0.8968227129411765,0.8970961205882354,0.8971858582352942,0.8973131876470589,0.89782912,0.8982488941176471,0.8987362823529411,0.8993794235294117,0.9000264505882353,0.9008654388235293,0.9017642094117647,0.9026843311764704,0.9036143564705883,0.9045104094117646,0.9054654858823529,0.9064129482352941,0.9069117099999999,0.9075388005882351,0.9083986458823529,0.9094297135294117,0.9104492052941175,0.9110800729411762,0.9117735029411762,0.9123892794117645,0.9128403523529411,0.9132850347058823,0.9134804641176469,0.9136064329411767,0.9137035858823531,0.9138014600000002,0.9139175935294118,0.9141035817647061,0.9144382082352943,0.914746273529412,0.914754235882353,0.9144157947058824,0.9140713976470588,0.9137799329411764,0.9137493662499999,0.913731328,0.9136935085714285,0.9136372753846154,0.91357739,0.91355748,0.9135453810000002,0.9135134900000002
pNuLoCDScore	0.09352702431372545,0.10121834196078427,0.11254490549019602,0.13560322901960775,0.15661684196078418,0.17007339901960783,0.18231801078431364,0.19629999313725488,0.21007843725490194,0.203422204117647,0.19215851807486628,0.18663915372549023,0.18399964199095037,0.18182778823529427,0.18036724937254894,0.17919935124999997,0.1777388011764704,0.18061388352941166,0.1800732905882353,0.16746492000000002,0.15661197941176475,0.15414231647058807,0.15239126941176473,0.14885310411764707,0.14519787764705872,0.14345216823529416,0.14763298000000002,0.1492330058823529,0.14716435588235277,0.14472866176470578,0.14196492823529427,0.139066255882353,0.1370516864705884,0.13158256588235306,0.12139188705882364,0.11120475529411777,0.1013178188235293,0.09043842176470596,0.08141176588235277,0.07225819588235272,0.06337881882352936,0.05477177176470582,0.046558189411764705,0.04003656,-0.04133482964705884,-0.055535902000000026,-0.06869174494117651,-0.08049474200000002,-0.08729921317647063,-0.08934069729411767,-0.08984966023529413,-0.09031494552941179,-0.0904244857647059,-0.08424388311764706,-0.07849836359893049,-0.07305976051960783,-0.06870090101357464,-0.06544206684033611,-0.062298561392156865,-0.059468634345588245,-0.055660389588235284,-0.040841123470588214,-0.026499319352941142,-0.01329163052941175,-0.005336446999999966,-0.0022379605294117477,-0.00050735794117647,0.0017459367647058854,0.004086894058823537,0.0075493831176470655,0.01135201723529411,0.014252595764705875,0.016997266647058806,0.02031568747058822,0.023577477176470574,0.026371653941176437,0.027718291588235272,0.027785040529411734,0.027428968764705866,0.0264067140588235,0.025449449352941134,0.024781387588235268,0.023716607352941205,0.02145120711764706,0.01858085299999998,0.01587724394117647,0.013040575705882351,0.01038456394117647,0.008130685117647099,0.005575385352941178,0.0030173724117647377,0.0007641664705882595,0.0009102029411764967,0.0007735243529412017,0.0012863240000000054,0.002331389294117664,0.003596211058823545,0.003681113411764733,0.0036363516470588053,0.0050697507058823504,0.007336059529411784,0.009376299529411755,0.011500428941176463,0.013768061882352967,0.016098321294117618,0.017989436352941215,0.020135797882352938,0.021773814705882397,0.021423491176470563,0.020404465882352937,0.020247442117647063,0.019080156823529426,0.017772528588235303,0.017750592705882362,0.018833345647058825,0.01956951152941175,0.01925991858823528,0.018657252117647044,0.018338725058823474,0.017882537411764654,0.017115673294117645,0.016585727411764672,0.01605533764705877,0.015851748235294116,0.018075001764705917,0.021415147647058846,0.022542337647058847,0.02603418647058825,0.030566055294117656,0.03490941117647056,0.038132324117647054,0.04031793176470588,0.043032891764705844,0.04626614882352939,0.049629222352941205,0.0527218394117647,0.055823821176470556,0.05914604117647054,0.06185665647058827,0.06460415882352938,0.06449226176470588,0.06299311411764702,0.06294795117647056,0.06198534882352941,0.058614210588235266,0.05436837470588235,0.05044562294117644,0.04711699941176467,0.044343485882352984,0.04103611764705889,0.03716767647058827,0.033320995294117695,0.029195523529411738,0.025046907058823592,0.02096596235294121,0.0169976382352941,0.012940105294117626,0.011976121176470567,0.009973367647058806,0.006823045882352885,0.005102007058823549,0.004449771176470524,0.003875140588235293,0.0032430847058823875,0.0021269947058823735,0.0016252117647058695,0.001551793529411788,0.00163858764705882,0.0020350576470588577,0.0028499399999999953,0.003637836470588185,0.0044825747058823695,0.005650221176470599,0.006631169411764698,0.007324108235294113,0.00877925823529413,0.010881891176470537,0.012716577058823564,0.014291193529411717,0.015844485882352877,0.017144097058823526,0.01799546235294111,0.018295167647058824,0.018472061176470655,0.018585553529411825,0.018300169411764683,0.017923644117647075,0.01762253705882355,0.02234559352941176,0.0299384505882353,0.03887020529411761,0.04729047823529409,0.055213778235294164,0.06253443000000003,0.06996678823529423,0.07732522117647073,0.08465391235294117,0.09239328000000013,0.10053522941176474,0.10892149411764701,0.11693186058823529,0.12515520705882355,0.13367433882352941,0.14219225235294114,0.14546931941176472,0.14048324176470595,0.13134182352941182,0.12097386588235304,0.11071093352941175,-0.003059951973856251,-0.01379364491503271,-0.02221677785620918,-0.023867161973856216,-0.022491799620915076,-0.021737159620915047,-0.01749428926797389,-0.012831954562091519,-0.004176519267973855,0.003516933658823551,0.004077855251336915,0.003079218392156885,-4.043813574658439e-05,-0.004694964445378147,-0.0023426643058823693,0.006027622801470595,0.016265185647058866,0.03161208799999998,0.04427382211764708,0.047930564470588216,0.048776337411764736,0.050487750352941174,0.05163739117647059,0.05070925764705883,0.04597937882352937,0.04572947294117638,0.0497444417647058,0.05775117647058822,0.06522550529411761,0.07386668764705878,0.08294928647058822,0.08461250764705874,0.08101377705882348,0.07749916705882354,0.0776573035294118,0.08016774411764704,0.08331228823529407,0.08577447470588234,0.08508421352941178,0.08478229941176471,0.0837263741176471,0.08170455588235298,0.07797891764705883,0.07093329764705869,0.06284298882352937,0.05436932294117647,0.04650910411764708,0.039242388235294245,0.03589734764705882,0.038043315882352935,0.03510294588235291,0.02748666823529411,0.019934419411764714,0.011920825294117643,0.0014036117647058255,-0.004340925294117726,-0.00826669823529419,-0.011119312352941224,-0.011668053529411804,-0.011172127647058772,-0.00874324764705875,-0.005533129999999942,-0.002378351176470561,0.0009653417647058071,0.0013430582352941256,-0.0005709388235293766,-0.0011354223529412288,0.0043761900000000575,0.012660398823529484,0.021625644705882463,0.033883015882352985,0.04600363882352948,0.053434146470588195,0.05859896470588233,0.06177509941176473,0.06275824294117649,0.06303889882352937,0.06316147588235288,0.06310281882352936,0.06285955294117651,0.0659660788235294,0.06778270529411762,0.06843847294117661,0.06758651764705892,0.06427050588235289,0.06201846058823529,0.05871836941176467,0.05247840235294121,0.04967296588235304,0.04832985588235306,0.047780466470588256,0.04845798235294119,0.049499695882353034,0.05044026529411777,0.05073898058823528,0.05054941705882349,0.04751063294117641,0.04315743941176459,0.04300687529411745,0.043718529999999756,0.04315321176470582,0.04083442941176457,0.038645788823529426,0.03567306999999992,0.03234803470588232,0.02836674705882347,0.024036262352941207,0.020290253529411773,0.016308493529411605,0.01282452235294107,0.009868704705882414,0.007410625294117679,0.009311486470588326,0.012911753529411929,0.013670651764705999,0.013464194705882448,0.013024200000000041,0.013201125882352949,0.013181737058823584,0.013296858235294196,0.013603775882352953,0.014823476470588293,0.016465892352941214,0.017875339411764668,0.019391935882353106,0.020502669411764762,0.021345475294117622,0.02200657117647059,0.018456862352941195,0.01266586117647056,0.008825801764705765,0.005141420000000063,0.0019227447058823288,-0.0009726594117647203,-0.0032569705882354305,-0.004695436470588399,-0.005891910588235405,-0.007210222941176625,-0.008729058823529479,-0.010445534705882276,-0.012170848823529479,-0.013764888823529442,-0.01501876705882349,-0.016217713529411815,-0.016083278235294096,-0.012345016470588221,-0.0099284752941175,-0.007811364117647102,-0.005769962941176432,-0.004140058235294064,-0.002969761764705703,-0.0022310794117645916,-0.001433001764705788,-0.0006673747058822399,7.293823529408439e-05,0.0007138600000000106,0.001360243529411831,0.0018890694117647544,0.002172773529411809,0.0025325776470588868,0.001320422352941164,-0.0008850147058824254,-0.002993941176470727,-0.005089818823529435,-0.007073799411764725,-0.008872688823529429,-0.010225791176470711,-0.011388381176470563,-0.012621217058823408,-0.014190104705882278,-0.015674446470588188,-0.01696741823529413,-0.017886232352941234,-0.01853073117647064,-0.018722247647058876,-0.01902864588235298,-0.017256061764705954,-0.01619422647058827,-0.015567345882352923,-0.01517256352941182,-0.015025181176470614,-0.015119091176470645,-0.01513129411764702,-0.015528658823529495,-0.01603173705882366,-0.01662695529411773,-0.017953004705882347,-0.01901808705882352,-0.020113792352941195,-0.021053482941176538,-0.022123842352941236,-0.023041264705882303,-0.025634189999999946,-0.02787729352941165,-0.027792883529411727,-0.027146061176470504,-0.026162658235294067,-0.02467172882352936,-0.022748299999999944,-0.02081795352941168,-0.018638905882352952,-0.015842429999999963,-0.011991394705882341,-0.007729150588235256,-0.004050693529411675,-0.0008492999999998863,0.0016682394117647492,0.003811465294117633,0.00413880647058823,0.00801972588235289,0.009550716470588305,0.010872695294117607,0.011776584117647038,0.01260818941176467,0.012966817058823465,0.01350956529411762,0.01390083999999997,0.014072346470588193,0.013598049411764623,0.012458855882352848,0.011742973529411671,0.011296269411764648,0.011624635294117669,0.012438688823529387,0.014677127647058918,0.016706767647058918,0.016865170588235334,0.01698955470588248,0.01723774294117647,0.01724037470588241,0.01731988764705883,0.016907897058823507,0.016185427058823643,0.015204275882352958,0.014655278823529516,0.014400054705882348,0.013874789411764676,0.013147692941176459,0.011938531764705884,0.010138996470588135,0.0065051694117646,0.0022014488235293506,-0.00013335470588243803,-0.0025506829411766074,-0.005462504117647093,-0.007818495294117711,-0.010049684705882356,-0.012095368823529351,-0.01362882823529421,-0.015114414705882373,-0.016730671764705884,-0.01923394176470583,-0.021566411176470512,-0.023446363529411707,-0.02526922470588233,-0.026640867058823348,-0.026078722941176358,-0.02440112941176459,-0.023521495294117567,-0.022581590588235168,-0.02095817529411753,-0.019228721176470565,-0.018047558235294137,-0.01684167941176473,-0.01584212470588242,-0.014840037058823474,-0.013685901176470616,-0.011762374117647079,-0.009410273529411817,-0.007352214705882376,-0.005392487647058908,-0.003507982941176546,-0.0024500200000001082,-0.0025964717647059543,-0.001951953529411854,-0.0015291582352942035,-0.0008645494117647257,-0.0004787194117646387,-0.00021392764705879808,0.000255645882352995,0.0007175829411766865,0.0012470699999999613,0.0017373152941176362,0.0019742888235294576,0.0016534547058823512,0.00134614529411764,0.0011289041176471004,0.000786061176470676,0.0014429535294118168,0.0021851805882353026,0.002095878235294224,0.0021621335294118027,0.0022374176470588147,0.0017361076470587267,0.0014867582352940945,0.0015747688235293045,0.0013916817647058322,0.0011773705882353602,0.0008809741176470376,0.0004351005882352599,-1.514823529408238e-05,-0.000325509411764735,-0.0005267435294117884,-0.0006959611764706941,0.001627858235294044,0.0005179141176469559,-0.0007980858823530834,-0.0019619417647058768,-0.0031749205882353193,-0.004333928823529343,-0.005219355882352894,-0.006444669411764636,-0.007196201764705923,-0.008052884705882501,-0.009490853529411813,-0.010338650588235354,-0.01075840882352952,-0.011117938235294111,-0.01157283411764709,-0.011976822941176413,-0.014835604705882244,-0.017646309999999887,-0.0169226905882352,-0.015217289999999994,-0.013852999411764655,-0.012493144705882309,-0.010908525294117677,-0.009602165294117726,-0.008733736470588283,-0.008083969999999885,-0.006498310588235245,-0.00469762647058819,-0.003618992352941053,-0.00301007529411762,-0.0024332441176470043,-0.0019300500000000165,-0.001535082941176491,0.0006768641176470025,-8.779352941179486e-05,-0.0018024647058824117,-0.0033112229411764726,-0.004392719411764723,-0.005974724705882339,-0.007363431176470481,-0.008655254117647004,-0.00970586235294113,-0.010859088235294023,-0.012555897647058722,-0.013887534117647038,-0.014899738823529352,-0.015715068235294116,-0.01626457411764709,-0.01659862882352947,-0.016392571764705988,-0.015194391764705939,-0.013669102941176514,-0.012444007058823592,-0.011690977647058842,-0.010803531176470593,-0.00984307235294124,-0.008837404117647052,-0.007668593529411849,-0.006518848823529488,-0.0055183952941177394,-0.00451197588235297,-0.0034578341176471072,-0.0024389129411764854,-0.0018054223529411217,-0.0009671441176470341,-0.001678630588235197,-0.0034476382352940926,-0.00550175588235291,-0.007365107058823539,-0.008845402941176472,-0.009985571176470587,-0.011051162941176473,-0.011996444705882403,-0.013017038823529448,-0.014157140000000068,-0.015150074705882421,-0.01609432117647064,-0.017145734117647082,-0.01821363117647057,-0.01909827470588238,-0.020235021764705874,-0.020219657058823504,-0.018061369999999966,-0.015324957058823474,-0.012736249411764655,-0.010154092941176474,-0.007838458823529404,-0.005937583529411705,-0.0043043188235293295,-0.002674028235294057,-0.0010796494117645827,0.00044814529411768556,0.0019299605882353021,0.003374904705882309,0.004734084117646975,0.005986304117647001,0.008571655294117575,0.010983993529411706,0.011039079411764685,0.010387963529411737,0.008920613529411703,0.007304192941176402,0.005792486470588221,0.004751565882352926,0.0039898482352940245,0.00350627647058821,0.0031382541176470102,0.0029146164705882716,0.002590564117647076,0.0024754129411765358,0.0023705441176471442,0.002410331176470659,0.0010539623529412512,-0.0009595811764705475,-0.00158051470588233,-0.0014088041176471,-0.00040814705882347146,0.0015603864705883153,0.00365042882352945,0.005414790588235241,0.006972208823529447,0.008323123529411836,0.009338567058823521,0.01018171058823536,0.011115976470588262,0.011991787647058771,0.012697869999999944,0.013392418823529373,0.014034434117646988,0.016829593529411713,0.01910772529411764,0.020388543529411773,0.021630185294117643,0.022216451176470586,0.022658976470588232,0.02322471058823522,0.02373804411764696,0.02430417117647049,0.02502693588235294,0.025842361176470485,0.026673069999999965,0.027533941764705916,0.028471135294117655,0.029322211176470603,0.030195577058823586,0.030208212941176538,0.029023412941176496,0.027696611176470598,0.02664691176470585,0.025760497647058844,0.02443229941176478,0.023000278823529507,0.021849242352941334,0.020701434117647133,0.01980819647058829,0.01896690235294124,0.018229392352941187,0.01739067999999999,0.016526337058823504,0.015954695294117582,0.016552571176470576,0.018012206470588266,0.020913034117647056,0.024260248823529507,0.027377266470588302,0.030221023529411806,0.03295139823529403,0.035609584705882436,0.038094184117647034,0.04033572117647061,0.04230571764705876,0.04349478647058813,0.044426017647058724,0.04522520823529402,0.04620007352941169,0.04694613588235291,0.04634499882352927,0.04384407588235273,0.040064777058823386,0.035606048823529246,0.03088230411764692,0.026220441176470488,0.022387537867647023,0.018734126980392063,0.015360319915966314,0.012055626923076823,0.00870617833333337,0.0060295206951872515,0.0040013834705883156,0.0022251581045751867,0.00022679339869285942,-0.001828709542483653,-0.003762976601307144,-0.00456454542483653,-0.004568251307189519,-0.003867628954248359,-0.002928566601307192,-0.002047505424836671
pNuLoCRank	High
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
