UniprotID	Q9BXB5-2
pNuLoCScore	0.3718848911111111,0.36651648200000003,0.36159722909090913,0.3583459308333334,0.3569841776923077,0.35635663642857146,0.355982962,0.35552419250000006,0.354972471764706,0.3488262023529412,0.34379236352941184,0.3433186182352942,0.3430196482352942,0.33884755529411764,0.3327368258823529,0.3309282911764706,0.33346610117647063,0.3340438052941177,0.3341192629411765,0.33445761,0.3343439576470588,0.33311248882352945,0.3315869147058823,0.3300747394117647,0.31956096176470583,0.3126553329411764,0.3074477670588236,0.3024552770588235,0.29621803058823526,0.2909676264705882,0.28676758529411767,0.2833062370588236,0.28043648,0.27804776117647056,0.27576722470588233,0.2741261611764706,0.27250070058823533,0.2704087582352941,0.2682503229411765,0.26525228999999995,0.26200744294117645,0.2680592470588235,0.2707697452941176,0.27216573352941176,0.27394615058823524,0.27729444058823527,0.2798687676470588,0.2817332182352942,0.28316776117647063,0.2843220047058824,0.2851685105882353,0.2861093870588235,0.28670783529411764,0.2871664547058823,0.28777365588235293,0.28865734,0.2944687311764706,0.30109319,0.3077915576470588,0.3142686994117647,0.32094643,0.32796041176470586,0.3343074723529411,0.34009983294117646,0.34642112117647056,0.35274166058823525,0.35943678823529407,0.3660313782352941,0.3720047070588235,0.3782758882352941,0.3848427276470588,0.39152720294117643,0.39782054411764706,0.3998151788235294,0.4006059864705882,0.4005140094117647,0.40058082529411765,0.4001470805882353,0.3988858411764706,0.39765101294117644,0.39750063705882355,0.39664808058823525,0.3942047882352941,0.39223513352941175,0.39042155352941177,0.38893075529411764,0.386548605882353,0.3841072876470588,0.3801945352941176,0.37525402705882355,0.3729112188235294,0.3715517617647059,0.37184678882352945,0.37218308882352946,0.37267984764705886,0.37263101764705886,0.3721134123529412,0.37155613000000004,0.36998618588235294,0.3701231923529412,0.36923439235294125,0.36807816764705886,0.3678135652941177,0.3685789205882353,0.36974089352941175,0.37221148352941175,0.3762550976470588,0.37817023705882347,0.3793777723529411,0.37984513294117644,0.3804182347058824,0.3809287017647059,0.3822321605882353,0.3844440682352941,0.38638791941176476,0.3892522347058823,0.3920856694117646,0.39485607588235294,0.39771723764705874,0.39964616352941174,0.39700731647058823,0.3964495188235294,0.39561129529411765,0.39556358705882355,0.39666441823529414,0.39910952411764705,0.40142525529411766,0.4038201135294117,0.4066875711764706,0.4095609288235294,0.4123828723529412,0.41528271941176476,0.4183204882352941,0.4205684023529412,0.4231678605882353,0.42580106647058824,0.42864054294117654,0.4354343941176471,0.44017834,0.44578423705882353,0.45043487235294116,0.45342540411764704,0.45496205352941177,0.4565362664705882,0.45793307529411764,0.4588405964705882,0.45991865529411763,0.4610670229411764,0.46181720235294116,0.46272931588235294,0.46409822352941177,0.4653629517647059,0.46862712,0.46647533529411767,0.4642139582352941,0.4617176947058823,0.45869095,0.45515023235294116,0.45194030176470584,0.4489504682352941,0.4440964552941176,0.43838312176470595,0.4323340217647059,0.4255171082352942,0.4187897629411766,0.41226283352941184,0.4060174005882353,0.40038745941176473,0.39487996999999997,0.3877073241176471,0.38564560882352944,0.38307905,0.381059295882353,0.37952506352941173,0.378659975882353,0.3777492288235294,0.377255744117647,0.37862140764705876,0.3809250223529412,0.3837253847058824,0.3868536364705883,0.38972490117647063,0.3925964629411765,0.39503292764705883,0.3971763429411765,0.39869638647058825,0.39935405529411766,0.40093492235294126,0.40366658764705887,0.4054798335294118,0.4069337488235294,0.40781137647058824,0.40880768529411765,0.40979977999999995,0.4109474747058823,0.4119183747058823,0.4127892411764705,0.41376106352941167,0.4145993276470588,0.41559879352941176,0.41672013647058825,0.4178410017647059,0.4193305905882353,0.42127912882352947,0.4226320735294118,0.4235582105882353,0.42452663294117654,0.42552771647058824,0.4267674905882353,0.42775122882352934,0.4283868811764706,0.42860548294117645,0.42884486235294117,0.4290372605882353,0.42937848647058835,0.42974383823529416,0.42802227235294116,0.4274067917647059,0.4280118717647059,0.4273390370588236,0.42648511176470594,0.42617549529411763,0.4259445394117647,0.4255457547058823,0.42574151823529405,0.4269917558823529,0.42863624999999994,0.4309528952941176,0.43326591823529403,0.4356956888235293,0.4380795594117646,0.44032085,0.44281128470588227,0.4472300082352941,0.45042288058823526,0.4522245964705882,0.45503772,0.4581559747058823,0.46069919294117645,0.46320678411764704,0.4660260382352941,0.4682814570588235,0.46954190941176466,0.4702539005882353,0.4701914947058824,0.4702114358823529,0.469636585882353,0.4691722729411765,0.4566107711764706,0.4457932064705882,0.43449063882352945,0.42436825294117647,0.41597173352941175,0.4089300758823529,0.40259070058823526,0.39700507705882354,0.3919296241176471,0.3870591205882354,0.38215657352941185,0.3772630270588236,0.37276907529411774,0.3686076182352942,0.36453351294117653,0.36093271941176475,0.3574744105882353,0.36622966999999995,0.37322021823529405,0.3808278652941176,0.38716353294117645,0.3918662464705882,0.39542840411764707,0.3983343370588235,0.4004162294117647,0.4019282705882353,0.4026967764705882,0.40320950470588235,0.4034513905882353,0.4030502141176471,0.40254047117647057,0.4021550005882353,0.4048026952941176,0.4061016099999999,0.4078184923529411,0.41003631999999995,0.41240349294117645,0.4150914535294118,0.41762504058823535,0.4201598252941177,0.4226302711764706,0.42515508294117643,0.42770015,0.43084313647058825,0.43426020235294116,0.43799392705882356,0.4420484523529411,0.44598324999999994,0.4496698958823529,0.4502968223529411,0.4520269558823529,0.45316171235294117,0.45360105176470583,0.4535557994117647,0.45311823588235295,0.45270358411764705,0.45237644882352945,0.4521467923529412,0.45176100999999996,0.45143761352941175,0.45106842235294115,0.45073877529411766,0.45037765176470584,0.4501169094117647,0.44749463647058824,0.446813294117647,0.4466838,0.4465342994117647,0.44673591117647055,0.4469185494117647,0.447286424117647,0.4477429382352941,0.4478308794117647,0.44801163352941176,0.44830309235294113,0.4488907052941177,0.4494176852941177,0.449966601764706,0.4502954605882354,0.4502965211764706,0.4499411952941177,0.4520189235294118,0.4520791535294118,0.45134212764705883,0.4506688335294118,0.4498217264705882,0.44920486764705886,0.44842555470588236,0.44742408470588235,0.4468673035294118,0.44618854,0.44540625470588235,0.444477924117647,0.4436006488235294,0.44257143823529405,0.44165668999999996,0.44089674999999995,0.440153055882353,0.4394667423529412,0.4391090288235294,0.4390523223529412,0.4382150541176471,0.43623403764705887,0.43447848176470594,0.43275396823529416,0.43130028647058827,0.42998305352941174,0.4286549276470588,0.4271563647058823,0.42573736647058824,0.42446845882352935,0.4231332029411764,0.4218951882352941,0.4209808841176471,0.42042605235294117,0.41960790823529415,0.4184748170588235,0.4174265111764705,0.4172744929411764,0.4183346,0.4191428882352941,0.41998513352941175,0.4207681947058824,0.42134175117647066,0.42190328411764705,0.4225794694117648,0.42315442764705885,0.4233535335294118,0.4213140117647059,0.422014255882353,0.42430182647058823,0.4274177664705882,0.43138715352941176,0.4355453647058823,0.4397157476470588,0.44368111647058817,0.4471546123529412,0.44981819470588236,0.45266748764705883,0.45579865823529414,0.45859525,0.461033035882353,0.4634214835294118,0.4658674570588235,0.4685061894117647,0.47353112352941173,0.47580636823529404,0.4764279552941176,0.4761533476470588,0.47520142294117645,0.47406847235294114,0.4727761717647058,0.4715353735294117,0.4706795,0.4705580764705882,0.4702290458823529,0.4695410976470587,0.4692392694117645,0.46918603294117633,0.4692589658823529,0.47258036411764703,0.474510384117647,0.47516733411764694,0.4752744817647058,0.4757781252941176,0.47639303882352946,0.47692222117647054,0.4773795776470589,0.4769296117647059,0.4763016194117647,0.47453056352941175,0.47276889294117636,0.4708654423529412,0.4688676576470588,0.4665322888235294,0.46422222058823526,0.46166801117647055,0.4557045247058823,0.4509710870588235,0.4474405517647058,0.44425268,0.4406690770588235,0.4368690582352941,0.4330056711764706,0.42927309999999996,0.4263772029411765,0.4236724794117647,0.4220547352941177,0.42037526588235297,0.4188667494117647,0.4173655452941176,0.41610009058823527,0.4147705023529412,0.4132082941176471,0.41177136823529414,0.41051612352941175,0.4092493705882353,0.4082005829411765,0.40712473176470587,0.4061879752941177,0.4054411676470589,0.40451737647058833,0.4036735623529413,0.40261021823529425,0.40143762529411775,0.40009839882352943,0.39877580705882354,0.3975973952941177,0.39647090000000007,0.39534474,0.39460140352941175,0.3938529741176471,0.3930942511764706,0.39242880352941173,0.39171447,0.3908994052941176,0.39003925352941177,0.3892110847058823,0.38855321058823533,0.3879031364705883,0.38739057176470587,0.3868611370588235,0.38650230823529413,0.38628666529411765,0.39167835058823525,0.3941468488235294,0.3957941511764706,0.39696874058823534,0.3974210729411765,0.3976374076470588,0.3976318629411764,0.39725202529411757,0.39637827823529415,0.3950773476470588,0.39358392588235297,0.3921527029411764,0.3907570894117646,0.3892979023529412,0.3879778082352941,0.38667552352941176,0.38534039000000003,0.37837094823529416,0.374367295882353,0.37120625117647066,0.36825093764705885,0.36610696235294116,0.3642701247058824,0.36266320941176466,0.3614620782352941,0.3607521970588235,0.360463044117647,0.3602256776470588,0.35989852,0.3594377076470588,0.35912538588235293,0.3587648723529412,0.35744194647058825,0.35624478176470586,0.3553206458823529,0.35431718941176465,0.35324747882352936,0.3526308058823529,0.3519974588235294,0.35136953235294116,0.3507633358823529,0.35012725529411765,0.3492250364705882,0.34817214470588237,0.3471273047058824,0.3461154417647059,0.3450813088235294,0.3440343364705882,0.34309363352941175,0.3431365158823529,0.34285457235294114,0.34230290764705884,0.34180072411764706,0.3414747570588236,0.34091321117647067,0.34021869117647063,0.33945342,0.33858936941176465,0.3377419205882352,0.3371228058823529,0.3366315129411764,0.3361965882352941,0.3357862088235294,0.3354894717647059,0.3349958717647059,0.3338797135294117,0.33266031705882354,0.33162479823529406,0.33050728529411766,0.32942540352941174,0.32811076529411765,0.3267715488235294,0.3254132511764705,0.3241054370588235,0.3229388064705882,0.32159276529411757,0.32029867705882353,0.3189973864705882,0.3176978629411765,0.31639653764705883,0.31504701705882354,0.3139077776470588,0.31338646470588244,0.3130775847058824,0.3127097976470589,0.31251779882352937,0.3123569711764706,0.3123965976470589,0.312571275882353,0.31286781823529414,0.3131281194117647,0.3133173394117647,0.3136883423529412,0.3140646158823529,0.3144785247058824,0.3149024305882353,0.31543378823529417,0.31652416176470594,0.31763457176470594,0.31855222411764705,0.31947393470588237,0.32041414882352937,0.3213566752941176,0.32228774176470587,0.3232682817647059,0.32421730176470587,0.3250342829411765,0.32580999352941176,0.326450004117647,0.3270067270588235,0.3275514658823529,0.3281316276470588,0.32866109705882346,0.32908352941176466,0.3289965088235294,0.3289307858823529,0.3289728176470588,0.32892892588235295,0.32882945647058826,0.3286525711764706,0.32838650823529414,0.32803226235294114,0.3274960676470588,0.32703834411764704,0.3265987282352942,0.3262864888235294,0.32606428647058827,0.3258392617647059,0.32467682529411757,0.32360388176470584,0.3225468247058823,0.3218347682352941,0.3212128235294118,0.3207037488235294,0.3202272947058824,0.3197634688235294,0.31932530588235286,0.31894935176470585,0.31850607647058815,0.3182174658823529,0.3178822411764706,0.3175104064705882,0.3170810929411765,0.31666416941176473,0.3162858517647059,0.3168073929411765,0.31730183294117653,0.3177667735294118,0.31791613235294114,0.3179654017647059,0.3179964594117648,0.31802347882352944,0.31808896000000003,0.31816987176470596,0.31823120470588234,0.31842231176470587,0.3185941735294118,0.31877881588235296,0.31902088588235294,0.3193367717647059,0.32001520352941176,0.3206170170588235,0.3211154135294118,0.3211709888235294,0.32120302,0.32125056941176466,0.321248285882353,0.32128309470588234,0.32138384000000003,0.32142756,0.32151421705882355,0.32162001,0.3216892205882353,0.3217739811764706,0.32192235352941173,0.3220846623529412,0.32216592941176475,0.3218403270588236,0.3215529505882353,0.32134077,0.3215419582352941,0.32178748176470584,0.32192183176470585,0.3220779117647059,0.3221461994117647,0.32210702,0.3220888458823529,0.32197286352941173,0.32178963000000005,0.3215637652941177,0.321331105882353,0.32105037352941185,0.3200859005882353,0.31891193000000007,0.317694335882353,0.31650851176470596,0.3153897664705883,0.3139838217647059,0.31233002176470587,0.31066947647058824,0.3089360194117647,0.30704114411764705,0.3050061276470588,0.30267574705882355,0.30026755882352935,0.2978311347058823,0.29536418176470586,0.29285673,0.2903141588235294,0.28833880647058824,0.2865684205882353,0.2847377870588235,0.2827956941176471,0.2807785252941177,0.2790250347058823,0.27749383058823524,0.2759716629411764,0.27447551058823527,0.2731260335294118,0.2719164905882353,0.271344385625,0.270811278,0.270285175,0.26979998076923084,0.26928662583333335,0.2687526218181818,0.268268869,0.2677881388888889
pNuLoCDScore	-0.01691241934640514,-0.02305868875816991,-0.028092527581699278,-0.028566272875816923,-0.028865242875816932,-0.033037335816993474,-0.03914806522875819,-0.040956599934640514,-0.038418789934640485,-0.03247267670588233,-0.027477966149732636,-0.023888320833333365,-0.022640220045248904,-0.02324414760504201,-0.024396047294117706,-0.025449453088235374,-0.035411510000000146,-0.03617086941176478,-0.03634459647058824,-0.04086334117647067,-0.046801617647058924,-0.04787992882352943,-0.04596924058823526,-0.04762205411764703,-0.05302962117647064,-0.05599604411764714,-0.05835203823529417,-0.06033144882352942,-0.061843257058823486,-0.06270373058823536,-0.0633365917647058,-0.06482244941176474,-0.05755351882352938,-0.04459608588235292,-0.03667802176470597,-0.030289543529411767,-0.02227188000000002,-0.013673185882352945,-0.0068988176470588525,-0.001573018823529393,0.0027312811764706457,0.00627424352941186,0.00940128588235295,0.0119832258823529,0.014207134705882307,0.016757696470588224,0.01952333294117642,0.02340505000000004,0.03246128823529415,0.03303394294117651,0.037021812352941164,0.04210296588235296,0.04700027941176477,0.05066597117647059,0.0544387047058823,0.05836661470588228,0.06325335999999993,0.06841965588235283,0.07426827764705879,0.07992199117647059,0.08529687176470585,0.09110943352941181,0.09706907176470586,0.10286986294117645,0.10335181294117646,0.0987219888235294,0.09281442882352942,0.08624530999999996,0.07963439529411764,0.07218666882352942,0.06457836882352946,0.05755117999999998,-0.03311854849673207,-0.04410923908496736,-0.051584837908496745,-0.058993224614379114,-0.064872750496732,-0.06905814990849668,-0.06994077226143786,-0.07465846579084962,-0.07960954284967314,-0.08033674670588228,-0.07978230499465241,-0.07688416675490198,-0.07316785417194571,-0.06925569271428572,-0.06607732823529411,-0.06340058711029409,-0.061851502294117594,-0.05266296582352939,-0.04657945464705884,-0.04146107676470587,-0.03466053770588237,-0.03074272064705888,-0.030065738882353032,-0.02416703123529418,-0.016881733000000065,-0.009616820647058905,-0.0035165465294117737,0.0017672670000000168,0.005771477000000025,0.008577832294117654,0.011503005235294128,0.01500684699999999,0.01973432023529409,0.025930055235294125,0.032260862294117676,0.03880633170588238,0.04264225323529411,0.047296360294117656,0.051489155000000036,0.05404316558823527,0.05414550911764707,0.053278655000000036,0.052579880882352936,0.05113600382352937,0.049690523235294104,0.048379924411764724,0.04764947676470588,0.04611919147058824,0.04859026323529414,0.05048190411764705,0.051251999999999964,0.052213362352941134,0.05272506647058825,0.05369536882352943,0.05386321941176472,0.05476315882352942,0.05692010000000006,0.05995588058823534,0.06303392117647066,0.06641232470588243,0.07077070058823529,0.07521787000000005,0.07844152411764707,0.08137445235294119,0.08052933882352944,0.07457483352941177,0.06834919,0.06341536470588233,0.05895583647058822,0.053944383529411694,0.05053946647058827,0.047432324117647084,0.04427634058823521,0.041072154705882324,0.03734306999999998,0.03351705235294111,0.028309255294117652,0.02254422941176465,0.017009944117647058,0.012444013529411824,0.005299132941176399,-0.0023867870588234474,-0.009680761176470543,-0.017560023529411717,-0.026419454117647123,-0.03442530764705881,-0.042291377058823604,-0.05030767470588232,-0.057062710588235255,-0.0637112305882353,-0.06919098470588234,-0.07473033764705875,-0.08063388235294114,-0.08451910941176471,-0.0874383,-0.08987197058823537,-0.08971390058823528,-0.08164453176470596,-0.06851436117647061,-0.05506086235294122,-0.04113031294117642,-0.027889800588235286,-0.01582866058823526,-0.004571439411764716,0.004676895294117661,0.01269720941176472,0.019740982941176433,0.025862821764705862,0.03380192470588239,0.041449470000000044,0.04705112294117644,0.05143354411764711,0.05356576176470587,0.05416019647058826,0.05062274588235291,0.04696555823529425,0.04289733411764707,0.03888084294117647,0.03566927058823527,0.03236552058823525,0.030097211176470545,0.028975935294117627,0.028627632941176456,0.029011284705882323,0.028621616470588224,0.026975327058823495,0.026680660000000023,0.02677165235294121,0.028909182941176448,0.030810128235294054,0.030314922352941198,0.028451377058823446,0.026288147647058835,0.024593922941176516,0.022765927058823576,0.021501381176470602,0.020212987058823573,0.018382117058823533,0.016029124705882414,0.013569862941176514,0.010903880588235326,0.008592247647058848,0.006325812941176512,0.004171455882352848,0.0005954535294118157,-0.001549020000000012,0.000851857058823513,0.004593149411764641,0.009847346470588159,0.01447846941176456,0.018978579411764618,0.022910856470588215,0.02630652705882347,0.0302539811764706,0.034473947058823506,0.03874072823529412,0.04299093000000004,0.046908529411764655,0.05083758705882352,0.05461996058823537,0.05979625823529411,0.06368995529411775,0.06206041823529418,0.057475306470588294,0.05147738764705889,0.04492814882352952,0.03894208764705892,0.03266576058823539,0.027252283529411836,0.021132297647058818,0.014984417647058823,0.008362208823529338,0.0021389599999998565,-0.003645499999999968,-0.009074205294117677,-0.014338396470588322,-0.01877214411764705,-0.025001091176470647,-0.028761882352941248,-0.03059875411764712,-0.0322454711764707,-0.032696969411764754,-0.03338165647058822,-0.03353431235294124,-0.033700844117647066,-0.03343342411764705,-0.03233735352941175,-0.030699505882352873,-0.028585883529411715,-0.026989568235294192,-0.02589084470588232,-0.024843782352941213,-0.02455913294117651,-0.024946737058823554,-0.024772511176470557,-0.024051124705882276,-0.022656427647058774,-0.021443461176470557,-0.021057042352941313,-0.02036407588235295,-0.019793530588235297,-0.018883635882352923,-0.018917966470588188,-0.018837267058823493,-0.019256620588235296,-0.019454135294117603,-0.019299253529411864,-0.019136616470588175,-0.017010953529411732,-0.014115362352941196,-0.011180429999999963,-0.008132960000000022,-0.004644777647058784,-0.0008416088235294605,0.00400540411764716,0.009019169411764671,0.013283955882352982,0.016966889411764663,0.020683701764705742,0.02424121764705872,0.02736263941176459,0.03020106588235294,0.03260332705882357,0.03481233588235294,0.03498735352941179,0.03339174294117653,0.03181745352941179,0.02999660941176474,0.02757387352941182,0.024655984117647134,0.021340587058823524,0.017533484705882396,0.014252699411764658,0.011292637058823551,0.008551028235294189,0.0058671552941176874,0.0034872435294118764,0.001571322352941218,3.980058823538357e-05,-0.0011322182352940802,-0.0018180182352941499,-0.0020377711764706374,-0.0017880123529412373,-0.0009186299999999759,0.00028273882352941593,0.0014809841176470773,0.0026576064705882696,0.0035601147058823,0.0038753652941176386,0.003791296470588179,0.003762525882352874,0.0034955182352940928,0.002875579411764695,0.0021237617647059115,0.0012992399999999793,0.0004539611764706186,-0.0009554382352941482,-0.001561176470588177,-0.0013496923529411342,-0.002221981764705949,-0.003931699411764689,-0.0058065817647058315,-0.007601551764706005,-0.009238665882352892,-0.010206238235294152,-0.010321718823529391,-0.010267533529411677,-0.010115213529411693,-0.009493297647058807,-0.008625618823529468,-0.007987630588235373,-0.007792916470588329,-0.007025881764705921,-0.006353759999999986,-0.0069533999999999985,-0.006677731764705874,-0.00609226352941189,-0.005526375294117758,-0.0050164452941176,-0.0041887052941176894,-0.003725803529411764,-0.0036203370588235306,-0.0036837941176470768,-0.003564835294117663,-0.0037981435294117682,-0.004485529411764666,-0.004879428823529375,-0.004701346470588175,-0.004640812352941059,-0.0044256047058823245,-0.0036872405882352743,-0.003139607058823546,-0.0028019729411764005,-0.0021256394117646904,-0.0012775470588234916,-0.0006772211764705105,-0.00032666882352938575,0.0001098847058823571,0.0004756717647058095,0.0007121682352940195,0.0012121270588234534,0.002223280588235288,0.003329190588235331,0.0041515970588235085,0.006360917647058817,0.007953532941176455,0.007352508235294097,0.0074607347058824325,0.008631368823529328,0.009409854705882348,0.009602177058823491,0.00995825823529406,0.010888545294117646,0.011957633529411815,0.013061665294117675,0.014175028823529445,0.015255792352941222,0.015912138235294082,0.016260537058823465,0.01649306352941171,0.014915188823529324,0.012627211764705715,0.012866689999999903,0.01382447117647051,0.013316431764705927,0.012351749411764756,0.012177978235294096,0.012214462941176452,0.012089651176470595,0.011622071764705866,0.01095143235294116,0.010175387058823593,0.009250547058823555,0.00831180529411768,0.007444040588235334,0.006669067058823586,0.005748993529411828,0.004225280588235403,0.0019608411764706624,-0.003226348235294052,-0.007312589999999952,-0.010444487647058853,-0.013884831176470547,-0.017780335882352838,-0.021526719411764705,-0.025308155882352967,-0.029119552941176352,-0.03286997411764708,-0.036415892352941126,-0.03991864117647054,-0.043313836470588174,-0.046690577647058806,-0.049895554705882306,-0.050328816470588233,-0.04866125941176469,-0.04577741235294125,-0.04182328411764713,-0.03843208588235297,-0.03525429294117649,-0.03206683235294128,-0.028951208235294124,-0.02581931647058827,-0.022604176470588322,-0.019322107058823534,-0.01604473352941188,-0.0127429011764707,-0.009424438235294263,-0.006222494117647137,-0.0022418717647059716,0.0015355588235294593,0.0022581517647058402,0.0033279635294117815,0.0025144917647059173,0.0019442588235294989,0.0012025641176470203,0.0006668300000000071,0.00016225294117644395,-0.0002052682352940427,-0.0006943111764705634,-0.0011379976470588526,-0.0016343117647058536,-0.0021054111764706174,-0.0026371158823528806,-0.003030792352941125,-0.004157734705882321,-0.006102831176470647,-0.007377320588235259,-0.008128984117647009,-0.008499188235294108,-0.008391496470588289,-0.007999097647058806,-0.007417007647058771,-0.006883270588235291,-0.006284809411764736,-0.0056163305882352965,-0.004897837058823518,-0.004251329999999998,-0.0037108035294117214,-0.0032319294117647,-0.0028039047058823763,-0.004117598823529411,-0.005292990588235291,-0.006782041764705871,-0.008723457647058841,-0.01029571176470584,-0.011917753529411768,-0.013528270000000009,-0.015144135294117678,-0.01675264235294116,-0.0184314747058823,-0.02017847176470583,-0.02190421941176468,-0.023625673529411695,-0.02545231764705877,-0.027070698235294094,-0.028524567058823447,-0.02814811588235286,-0.025416712941176423,-0.021841016470588226,-0.01812163823529414,-0.015003547058823563,-0.012489145882352864,-0.010339618235294057,-0.008366297058823524,-0.006607410588235302,-0.004947418235294182,-0.0033408035294117955,-0.0018708558823529453,-0.00044871470588245255,0.0011988835294117206,0.002902653529411714,0.0043904711764705395,0.006121403529411679,0.005992097058823476,0.005144418823529395,0.0034428670588235455,0.0017734882352940518,0.00047831588235289213,-0.0004535105882353674,-0.0014783529411764862,-0.0023741435294117874,-0.003105131176470627,-0.0036542664705882244,-0.004268615882352916,-0.004819024705882274,-0.005360081764705843,-0.006077871176470517,-0.00673826529411764,-0.007760124117647066,-0.00911616588235295,-0.010345921176470652,-0.0108735182352942,-0.010645695882352924,-0.010239657058823598,-0.009835755882352915,-0.009377165882352989,-0.008801460588235277,-0.008346194705882354,-0.00798978705882361,-0.007559907647058883,-0.007023772941176509,-0.006527694117647087,-0.006117574117647101,-0.005740961764705871,-0.006131794117647027,-0.0061286723529411224,-0.0059048347058823225,-0.005566771176470531,-0.006058744705882302,-0.006672957647058775,-0.007330012941176439,-0.007979329411764657,-0.008753070000000002,-0.009575635294117618,-0.010306488823529442,-0.010953838235294111,-0.011568954705882373,-0.01213342823529412,-0.01257969705882353,-0.012865876470588261,-0.01230369823529412,-0.010827963529411733,-0.009454702941176452,-0.008516024117647042,-0.0074612411764705955,-0.006186971764705895,-0.0049313729411764595,-0.003665047058823534,-0.002410950588235289,-0.001096446470588236,0.0002981652941177193,0.0016413711764706185,0.0028290858823529774,0.003910241764705863,0.0048839905882352985,0.005737378823529399,0.0071055952941176115,0.007578458823529366,0.007905329411764694,0.008178338235294097,0.008560995882352929,0.008456688235294108,0.008282472941176455,0.008088512352941168,0.007970363529411717,0.007802200588235247,0.007550394117647019,0.007260027647058798,0.007036554117647031,0.006830669411764717,0.0066226723529412,0.0064387699999999826,0.005675532352941187,0.004256386470588208,0.00284934411764709,0.0015463941176470652,0.0005262794117646963,-0.0002378300000000222,-0.0007084494117647333,-0.0010763688235294333,-0.001519340588235274,-0.0020074188235293666,-0.0024823899999999732,-0.0029431470588235364,-0.0034159970588235056,-0.0038665288235294193,-0.004239177058823568,-0.004590263529411748,-0.0049806458823529465,-0.00467221117647057,-0.004243282941176485,-0.0038591323529411914,-0.003516744705882341,-0.003296756470588219,-0.003320799411764719,-0.0035178782352941196,-0.0036710241176470537,-0.0036836323529411685,-0.0036639588235294063,-0.0035724441176470667,-0.003504568235294131,-0.003389795882352914,-0.0033194770588235167,-0.00321346411764703,-0.0030171229411764255,-0.0027599535294117183,-0.0025995188235293787,-0.0022917747058823212,-0.001904883529411705,-0.0014981658823529087,-0.0010178394117646983,-0.00041113352941174464,0.0002398888235294605,0.0007983464705882404,0.0012692994117646517,0.0016618641176470716,0.0019813288235294158,0.0023042894117647206,0.0025766482352941322,0.002783182352941199,0.0032334723529411358,0.0036635170588235066,0.0038932599999999817,0.004219230588235312,0.004283958823529388,0.004307512352941217,0.0042994652941177325,0.00428104941176477,0.004192219411764703,0.004041484705882337,0.0039080529411765486,0.0037770676470588738,0.003700188235294083,0.003645618235294079,0.003621554117647058,0.0035592405882352574,0.0032275988235294373,0.0024829905882352565,0.0018220070588234882,0.0012897441176470126,0.0006696305882352704,0.00010549823529409919,-0.0004379400000000533,-0.001017340588235327,-0.0016354923529412202,-0.002178758823529442,-0.00263957411764712,-0.0030908058823529982,-0.003525870588235225,-0.003985864705882275,-0.0045075070588234956,-0.005010651764705831,-0.006564111176470572,-0.007853191764705836,-0.009260708235294124,-0.01098524117647054,-0.012946491176470593,-0.0148910041176471,-0.016809024117647065,-0.01872347470588237,-0.02058646470588235,-0.02240917647058821,-0.02431523999999996,-0.026210082941176466,-0.028142649411764697,-0.030117331176470613,-0.03201439235294121,-0.033787523529411806,-0.03445207235294123,-0.033973910000000024,-0.033206634705882365,-0.0320439252941177,-0.030250607169117677,-0.028128128509803924,-0.02602850571428572,-0.02397704352941174,-0.021919651764705866,-0.019932371978609614,-0.01795780258823529,-0.015954517516339833,-0.013678359869281065,-0.0113760463398693,-0.009087272810457514,-0.006871077516339863,-0.004713048104575124,-0.003640441633986913,-0.002606232222222171,-0.00183065633986923
pNuLoCRank	Nonucleus
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
