UniprotID	Q7Z4T9-3
pNuLoCScore	0.12672226922222224,0.12243870690000003,0.12081241036363638,0.12093971700000002,0.12269412723076925,0.1248306402857143,0.12628506360000002,0.12848925462500002,0.1322798031764706,0.117245492,0.11484837082352942,0.11696860023529412,0.12523628988235294,0.13491334676470587,0.14410173088235295,0.15310411194117646,0.16257141005882353,0.17117535182352944,0.17851597441176473,0.18194795941176475,0.18436030000000003,0.18553967411764713,0.18686713235294122,0.18948079705882356,0.19726446294117653,0.20221793352941184,0.20718077117647063,0.21495380705882355,0.2209059947058824,0.22457297764705886,0.22664089647058827,0.22853556470588235,0.23157812588235296,0.23322839294117648,0.23403094941176472,0.23392427941176472,0.2368777529411765,0.23978982823529413,0.24346375941176474,0.2460183629411765,0.24793347529411763,0.2438992929411765,0.2414231911764706,0.23912624411764707,0.23490223352941175,0.2314245188235294,0.2310101870588235,0.23085437470588233,0.23074970235294112,0.23001378411764703,0.2297570376470588,0.23087810529411765,0.23333367176470587,0.23561981235294116,0.23789897647058822,0.23966877882352938,0.24643605764705884,0.2520180964705882,0.2554609011764705,0.25979926882352944,0.26448244941176474,0.26794092705882355,0.2724040711764706,0.2781038752941177,0.2845590164705883,0.29132087235294124,0.29814759647058825,0.30517815058823533,0.3116336323529412,0.3174007882352941,0.32249856882352945,0.3277067317647059,0.33180862529411764,0.33100308058823524,0.3306568005882353,0.3324116505882353,0.3333256952941176,0.333662554117647,0.33554744235294115,0.3362329188235294,0.33526682588235296,0.3339961288235293,0.3339332688235293,0.33458665882352934,0.33653611941176464,0.34017872588235293,0.34521385411764705,0.3511933105882352,0.37554987705882353,0.4009166317647058,0.42629303529411766,0.45195682352941174,0.4765740547058823,0.5003573423529412,0.5242699617647059,0.5478977464705882,0.5713172311764705,0.5949134270588234,0.6185286611764705,0.6408560376470589,0.6620083905882354,0.6819525158823528,0.700206962352941,0.7178435388235292,0.7354069799999999,0.7345245335294116,0.7335475452941176,0.7329326552941176,0.7322801964705882,0.7326348905882352,0.7331586364705882,0.7337071182352941,0.7341791276470588,0.7349330211764706,0.7357869623529412,0.7362085388235294,0.7363500976470588,0.7368565564705882,0.7372578247058824,0.7376345435294118,0.7341065905882355,0.7298373870588236,0.7275100835294118,0.726602567647059,0.7249916458823532,0.7238295282352942,0.7232968011764707,0.7230783229411765,0.7231633088235293,0.7235542417647058,0.7241653576470588,0.7247556694117646,0.7256672617647058,0.7266581617647059,0.7273591264705882,0.7282388664705882,0.729146121764706,0.7339781041176472,0.7389091194117648,0.7418517988235296,0.7433342264705883,0.7452690735294117,0.7470653735294119,0.7483451241176471,0.7494685064705882,0.7500991023529413,0.750617424117647,0.7509621064705883,0.7512285888235294,0.75126903,0.7511558535294118,0.7513094476470588,0.7476376041176469,0.7453426041176469,0.7423540370588233,0.7392292599999999,0.7250946670588235,0.7024517594117646,0.6872064982352941,0.6718636570588236,0.6552694305882353,0.6372772282352941,0.6184264676470589,0.5986354552941178,0.5785517117647059,0.55755396,0.5368375558823528,0.5156328029411764,0.49433801705882346,0.4767846029411764,0.4566564176470588,0.43776730647058815,0.4187277770588236,0.41061185058823524,0.4107879317647059,0.40406455941176467,0.39637158647058823,0.39004607352941173,0.38483345235294114,0.37917164352941185,0.3756680352941177,0.372279391764706,0.36980849529411775,0.366780961764706,0.3615537911764707,0.3563616535294118,0.35095855705882356,0.3470769129411764,0.3431192835294117,0.3399347005882353,0.33715307823529406,0.3348144370588235,0.3324852717647058,0.3314382988235294,0.329730764117647,0.3281531464705882,0.32821932,0.327966274117647,0.3275218141176471,0.3332428111764706,0.3466889782352941,0.3640305429411765,0.38468166235294116,0.40720372,0.43008389058823526,0.4522638570588235,0.47649733705882347,0.5004152464705882,0.5245205588235294,0.5486007776470588,0.5730474588235294,0.5986994741176471,0.6246019035294118,0.6507419388235294,0.6757132741176469,0.7016205388235293,0.7236456699999998,0.7373459288235293,0.7508040464705881,0.7616182270588233,0.7707096152941174,0.7792554188235293,0.7878201423529411,0.7942460952941176,0.8007385911764704,0.8067668229411763,0.8124674617647057,0.8175636911764704,0.8218788205882352,0.8258974641176471,0.8294920288235295,0.8332438211764704,0.8363502270588236,0.837226994117647,0.8390494352941176,0.8399100435294118,0.840235408235294,0.8405913670588235,0.840879951764706,0.8412595135294118,0.8414767294117648,0.841641521764706,0.841783027647059,0.8420250841176472,0.842158051764706,0.842310234117647,0.8425544694117648,0.84278182,0.839651221764706,0.8381993276470588,0.8366793394117648,0.8345615023529414,0.8330675329411764,0.832043591764706,0.8312804935294117,0.83043389,0.8298080223529413,0.8292872458823528,0.8287156205882352,0.8279083147058823,0.8269552505882354,0.8258482947058824,0.8245100152941175,0.8233167423529411,0.8221896605882352,0.8245904523529412,0.8253785317647059,0.8262272023529412,0.8277198158823529,0.8285724476470588,0.8288662164705882,0.8289340117647058,0.8290061370588235,0.8287554252941176,0.8284399682352942,0.8281237170588236,0.8280770976470588,0.8281149052941177,0.8283960935294119,0.8288991811764705,0.830872151764706,0.8332861476470589,0.8356647264705883,0.8378044000000002,0.8394887088235297,0.8412430676470589,0.84297225,0.844695351764706,0.8463559370588235,0.8480019647058823,0.8495838035294118,0.8510746329411766,0.8527324388235294,0.8543106347058823,0.8559990194117646,0.8576798252941176,0.8592739523529411,0.8592421735294118,0.8587410499999999,0.858222955882353,0.8579153188235294,0.8579490276470588,0.8578813670588237,0.8578729588235294,0.8579170999999999,0.8579810235294117,0.858105762352941,0.8583575411764706,0.8586896611764706,0.8588673494117647,0.8590414005882353,0.859103815882353,0.8608984952941177,0.862669154117647,0.8642290741176469,0.8657307094117647,0.8672102305882353,0.8687204823529411,0.8702509294117649,0.8716740041176472,0.8730235182352943,0.8742807794117651,0.8754253888235297,0.8764564417647062,0.8774115241176473,0.8782759070588237,0.8792289805882355,0.8802746941176472,0.8812991029411767,0.8805574647058825,0.8799280235294118,0.8795125094117648,0.8791122682352941,0.8787197411764706,0.8782629794117646,0.8778571947058822,0.8775234894117646,0.8771682511764706,0.8768750841176471,0.8766216923529412,0.87649871,0.8764728335294117,0.8765108305882353,0.8765027770588237,0.8768401770588237,0.8772870647058825,0.8776899000000001,0.8779362323529413,0.8781609523529412,0.8783650464705882,0.8785070970588233,0.8785250499999998,0.8785219405882352,0.8784287788235292,0.8783326876470587,0.8782118347058822,0.8780456905882351,0.8777838988235293,0.8774857870588235,0.8771929988235293,0.8769433358823528,0.876349212352941,0.8757010188235295,0.8750305658823528,0.8745027141176469,0.8739942517647057,0.8735001047058821,0.8730554188235292,0.8727262482352941,0.8724366811764708,0.8721894929411766,0.8720348200000001,0.87193874,0.8719313105882353,0.8720060494117648,0.8721174964705883,0.8720113788235295,0.8716031805882354,0.8712704629411766,0.8709956047058823,0.8706673458823528,0.8705167635294117,0.8703195199999999,0.8700739317647059,0.8697380847058824,0.8693417294117648,0.8688745082352943,0.8684408964705884,0.8680444382352943,0.8676818317647061,0.867272381764706,0.8667956405882355,0.8663046288235293,0.8661017111764705,0.8661624229411764,0.8661348994117648,0.8660407664705881,0.866036895882353,0.865846718235294,0.8657114694117647,0.8656453070588236,0.8656398335294118,0.8657137182352941,0.8658334688235294,0.8659657452941177,0.8660217588235295,0.8660222805882354,0.8660702629411765,0.8663223000000001,0.8667053647058826,0.867001311764706,0.86720885,0.8674612594117648,0.8678045476470589,0.8681247829411766,0.8684638005882352,0.8687936805882354,0.869130501764706,0.869493465882353,0.8698390717647059,0.8701347741176471,0.8703881505882353,0.8706523123529412,0.8709598123529413,0.8712613282352942,0.8713909929411765,0.8713490599999999,0.8712246894117647,0.8711493805882352,0.8710221035294117,0.8707822329411764,0.870469656470588,0.8701012505882352,0.8697309076470587,0.869324972352941,0.8689044229411764,0.8684869523529412,0.8681039229411764,0.8677462547058824,0.8673805929411766,0.8668451829411765,0.8667575394117648,0.8666521494117647,0.8666394294117649,0.8667329552941178,0.8667067552941178,0.8666947852941177,0.8666088441176472,0.8666383794117648,0.8666265317647059,0.8665366611764707,0.8663720788235294,0.8661070770588235,0.86587483,0.8657132517647057,0.8655651729411763,0.8654201770588236,0.8654238899999999,0.8649158376470587,0.864415364117647,0.8638182876470588,0.8631605911764706,0.8627182441176471,0.8622925229411764,0.86202107,0.8617416776470588,0.861498196470588,0.8612660282352941,0.8611202605882352,0.8610596976470587,0.8609496211764706,0.8607651270588236,0.8610996682352939,0.8608870699999999,0.8607846317647059,0.8607874705882355,0.8608215147058824,0.8608614500000001,0.8608822735294117,0.860782555882353,0.8606812147058823,0.8605524323529412,0.8604140094117647,0.8603216258823528,0.8603129376470587,0.8602803288235292,0.860286332352941,0.8603520582352941,0.8604302452941176,0.8599334982352941,0.8599401729411765,0.8598244788235293,0.8596582288235295,0.8594823288235294,0.8593676699999999,0.8593322288235293,0.8593658229411764,0.8593564758823529,0.8593136111764705,0.8592096117647058,0.8590818094117647,0.8589281717647058,0.8587570188235293,0.8585616,0.8580002329411764,0.8573463629411765,0.8565968923529411,0.8561152470588236,0.8557987294117647,0.8555233064705883,0.8553215905882352,0.8550973082352941,0.8548078417647059,0.8545215917647058,0.8541742011764706,0.8538837423529411,0.8536185335294117,0.8533490805882352,0.8530864888235294,0.8528266629411765,0.8525843276470588,0.8526863570588237,0.8528740205882354,0.8531649988235295,0.8531570223529412,0.8529385517647059,0.8526879811764706,0.85233735,0.8519703970588236,0.8516320576470588,0.851246215882353,0.8508682029411765,0.8503446088235295,0.849821367647059,0.8492864205882353,0.84872871,0.8473433123529412,0.8463447923529414,0.8450432370588237,0.8442802488235295,0.8435623411764708,0.842847617647059,0.8422044647058824,0.841685925882353,0.8412098829411765,0.840764841764706,0.8403383770588236,0.8398953394117649,0.8395180252941178,0.839237207647059,0.8389811700000002,0.8386977700000001,0.8384444488235294,0.8390376517647059,0.8391955852941176,0.8396321088235293,0.8395540617647059,0.8394620929411765,0.8394497494117648,0.8394202588235294,0.8392320882352943,0.83899899,0.8387192664705884,0.8384619194117648,0.8382578994117649,0.8380509200000001,0.8378260670588236,0.8375607147058826,0.8361782852941178,0.8353139794117648,0.8346764447058824,0.8340929876470587,0.8333649447058823,0.8326636835294118,0.8320413288235294,0.8312854752941176,0.830509265882353,0.8298780305882354,0.8293985623529413,0.8289600505882353,0.8284240447058824,0.8277985117647059,0.8272486382352942,0.8267690970588236,0.8263851552941178,0.827196958235294,0.827505064117647,0.8276216399999999,0.8277156482352941,0.8279801994117647,0.8281449405882355,0.8282292700000001,0.8284203870588236,0.8286219129411764,0.8287152035294119,0.8286938929411765,0.8286365494117647,0.8286508199999999,0.8287148670588234,0.8286225529411763,0.8264448664705881,0.8255476805882352,0.824528954117647,0.8233543211764706,0.8221485770588234,0.8211981770588235,0.8202561652941176,0.8194088652941175,0.818445761764706,0.8176332417647059,0.8169350747058823,0.8163444252941177,0.8158134041176471,0.8153302629411766,0.8148285041176471,0.8143871452941177,0.8139479300000002,0.8155331517647061,0.815808401764706,0.8162095958823531,0.8167514288235296,0.8172921582352943,0.8175076364705884,0.8176460852941179,0.8176549347058825,0.8177642635294118,0.8176886005882353,0.8174466711764706,0.8170233652941177,0.8165274335294117,0.8159766864705882,0.8153946782352941,0.8107383841176471,0.8078035135294117,0.8052576576470587,0.8028825252941175,0.800705084117647,0.7984509017647057,0.7960740076470587,0.793898968235294,0.7918336017647057,0.7898250376470588,0.7879879035294117,0.7861659370588235,0.7843780764705883,0.782697905882353,0.7810941864705884,0.7795642711764708,0.7781259794117649,0.7807702347058826,0.7817486641176472,0.7824252576470588,0.7829070988235294,0.7831197164705882,0.7833651635294117,0.783686722352941,0.7838949811764706,0.7840769929411764,0.7842809705882353,0.7842847358823529,0.7844160888235294,0.7846521905882353,0.7849047282352941,0.7852013029411764,0.7882529382352942,0.7914382794117648,0.7943390123529412,0.797257735882353,0.8001789594117648,0.8029430829411764,0.8056551358823528,0.808209885882353,0.8107939035294118,0.8134509405882353,0.8161325288235295,0.8188627247058824,0.8216731741176473,0.8244333682352942,0.8271458241176471,0.8297978100000002,0.8323494629411766,0.8321222747058824,0.8317158705882353,0.8315273529411765,0.8313552588235293,0.8311132623529411,0.83095948,0.8309243229411765,0.831056825882353,0.8312412452941177,0.8313294988235294,0.8313715694117647,0.831375422352941,0.8313530541176472,0.8312855011764706,0.8311813982352942,0.8315923805882354,0.831547391875,0.8314847446666668,0.8314306671428573,0.8314250261538463,0.8314101116666667,0.8313994127272728,0.831486744,0.8315636122222222
pNuLoCDScore	0.00555753395424835,-0.009476777222222232,-0.011873898398692823,-0.009753668986928116,-0.0014859793398692978,0.008191077542483632,0.017379461660130713,0.026381842718954218,0.03584914083660129,0.048736644923529415,0.05770356404812835,0.06100824241176474,0.06166617276923078,0.060709033831932824,0.0605820687529412,0.06099154243382354,0.06498465976470594,0.08497244152941183,0.09233240035294121,0.09798520682352943,0.09566970482352946,0.08965963088235299,0.08253916558823532,0.07543145276470589,0.06900671582352944,0.062053041117647034,0.055514974999999994,0.051976319999999965,0.05251745294117646,0.054250154117647,0.05659662705882351,0.056537565882352925,0.050669012352941106,0.04168135941176465,0.03424241999999997,0.02417243705882352,0.01399623882352935,0.006851541176470549,0.004369290588235236,0.0023188099999999767,-0.0008284235294118425,-0.0032146088235294468,-0.004273911764705929,-0.0030461741176470714,-0.0035440811764706204,-0.004170015882352968,-0.005564782941176516,-0.006349584117647106,-0.0014974176470587963,0.008118803529411717,0.014037709999999926,0.020673024705882365,0.02958021588235299,0.036516408235294145,0.04139388411764708,0.04724950058823535,0.05380931411764717,0.06130708823529421,0.06839055882352946,0.07430004529411768,0.07829996058823535,0.08178097588235295,0.08459959235294123,0.0880379529411765,0.0853725676470588,0.07898498411764704,0.0751958994117648,0.07261238176470586,0.06884324588235285,0.06572162705882345,0.06314337117647056,0.05812904352941173,0.05070780941176467,0.04267525647058806,0.035785672352941056,0.029408508235294006,0.02490248705882342,0.02277793764705882,0.022715285294117593,0.023486578823529336,0.04374125176470589,0.06991355117647058,0.09563623470588234,0.11954517294117645,0.14324835941176473,0.16669478823529416,0.1887225194117647,0.2116648276470588,0.23605040529411753,0.26091729823529414,0.28459539235294123,0.30626937882352956,0.3254722711764707,0.3417737899999999,0.35499310823529395,0.36665022823529403,0.3598571029411764,0.3336079017647058,0.3072545099999999,0.2809758317647058,0.25570614176470585,0.232277548235294,0.20888867470588235,0.1858093717647059,0.16286189647058835,0.1400195941176472,0.11725830117647063,0.09535250117647054,0.07434170705882348,0.05490404058823539,0.037050862352941416,0.019791004705882576,-0.0013003894117644688,-0.004687146470587988,-0.006037461764705765,-0.006330087647058558,-0.0072885505882349655,-0.008805362352940937,-0.009861835294117549,-0.010628795294117643,-0.011015818823529533,-0.011378779411764794,-0.01162160470588236,-0.011452869411764821,-0.010682835882353081,-0.010198394705882352,-0.009898698235294212,-0.009395677058823604,-0.004960468823529518,0.004140717058823573,0.011399035882353026,0.01524923117647059,0.018342580588235124,0.021439545294117512,0.023768572352941275,0.02526680117647062,0.026305197647058853,0.026544860588235464,0.026452066470588176,0.02620643705882364,0.025561327058823635,0.024610868235294125,0.02379672705882363,0.02307058117647054,0.018491482352940958,0.011364499999999667,0.003444917647058454,-0.0026225388235296965,-0.018239559411764805,-0.04281731411764711,-0.05985887529411782,-0.07648146705882353,-0.09419907588235288,-0.11282187411764721,-0.1321909564705881,-0.15232665117647048,-0.1726768770588235,-0.19371507,-0.214318297647059,-0.23567664470588234,-0.25329958705882344,-0.26855800117647044,-0.2856976194117645,-0.30146195352941174,-0.30636688999999995,-0.2918399088235294,-0.2764185664705882,-0.2677990976470589,-0.25889784411764705,-0.24723115470588236,-0.23359301529411775,-0.21946381176470592,-0.2028836764705882,-0.18527456823529403,-0.16702906058823508,-0.14885184117647043,-0.13278422588235278,-0.12042294941176462,-0.10569786058823522,-0.09069039352941177,-0.0756084935294119,-0.07067714999999997,-0.07363485352941185,-0.06925012235294115,-0.06388631470588241,-0.058607774705882354,-0.05510268823529413,-0.051018497058823664,-0.047448715294117705,-0.044313117647058975,-0.042286681176470664,-0.033538150588235394,-0.014864812941176586,0.00766888941176469,0.033723105294117595,0.06012680705882362,0.08696460705882358,0.11232915647058822,0.1393442588235294,0.1656008094117647,0.1920352870588236,0.21716247882352946,0.24331669470588235,0.27054632764705894,0.2963825835294118,0.32277566470588237,0.34819145999999984,0.3683777276470587,0.3769566917647057,0.37331538588235286,0.3661223841176469,0.3544145070588233,0.34062572470588215,0.32699156176470584,0.3113228052941176,0.2938308488235294,0.27621803235294096,0.25816604529411746,0.23942000294117638,0.2188642170588233,0.19727691705882344,0.1751555252941177,0.15377875470588254,0.13162328235294118,0.11270455705882376,0.09988106529411767,0.0882453888235295,0.07829181647058847,0.06952579294117656,0.0613359482352942,0.05305980941176491,0.04701341823529415,-0.026935822908496776,-0.03911963820261438,-0.04883709232026147,-0.05254053526143794,-0.05171319879084968,-0.05190567408496735,-0.05271560114379088,-0.051613713496732036,-0.049621784379084974,-0.03977866173529415,-0.03234871772727274,-0.02746418502450984,-0.0257336111085973,-0.023625423529411757,-0.02113737588235297,-0.020181995294117655,-0.021243324705882347,-0.008333366470588258,0.0027174135294117524,0.007111635294117638,0.005632973529411736,0.0044880049999999755,0.0036532911764705772,9.216941176466709e-05,-0.003411655588235321,-0.005700570352941178,-0.005406326176470605,-0.00475139264705883,-0.002322343823529402,0.0006064252941176268,0.001139734705882342,0.0008506841176470492,0.002963759411764702,0.003443518823529376,0.0006372894117647188,-0.0015640164705882365,-0.0022082117647058835,-0.0004603285294117604,0.001792401470588248,0.005594047647058828,0.00893860294117646,0.010951334470588228,0.0109045324117647,0.010568117941176472,0.009608572058823539,0.007090619705882373,0.00647561764705884,0.007219045294117682,0.010606338823529404,0.01328091823529412,0.018357928235294085,0.022535524117647032,0.026011842941176477,0.02935769000000002,0.03165454205882355,0.03392913529411766,0.035963191176470594,0.03823064176470589,0.0401799414117647,0.042022108823529386,0.04452408411764702,0.04797573941176472,0.05070401235294114,0.05304832294117645,0.052368121176470606,0.04884941941176471,0.045383789411764686,0.043498191764705874,0.04313020647058824,0.04155022647058823,0.03933698823529411,0.03646900941176473,0.03280541705882353,0.030032658235294135,0.02805610058823535,0.02621654647058827,0.02423048235294123,0.021849224705882353,0.019864865882352978,0.0184978223529412,0.018497673529411812,0.021537182941176486,0.02384718705882355,0.024649072941176492,0.023777423529411784,0.02231890588235297,0.021936848235294154,0.022624982352941192,0.024754785882352998,0.02613703411764709,0.026526603529411774,0.02715170058823535,0.027886910000000015,0.028405082941176468,0.028794224117647066,0.02857191647058821,0.027128979411764648,0.023682714705882346,0.020356365882352928,0.018900039411764685,0.018497612352941117,0.01953344529411763,0.021364099411764648,0.022260662352941107,0.021489448235294056,0.021099955294117567,0.02150562941176465,0.021322896470588132,0.020635781764705846,0.02014103235294118,0.019510331764705874,0.018817553529411835,0.01439759294117654,0.013927890000000054,0.013627525882352998,0.012868664705882382,0.011432537647058871,0.008469082941176487,0.004160471764705909,-0.0002480629411764357,-0.003582225294117669,-0.0064048170588235365,-0.009952793529411752,-0.013092944117647026,-0.016047777058823515,-0.018625675294117655,-0.021089732352941176,-0.02315273117647068,-0.021784333529411865,-0.019340706470588304,-0.018122018235294163,-0.017249667058823526,-0.015704037647058855,-0.013441465882352954,-0.009553597058823554,-0.005150182941176473,-0.0010182947058823,0.0022940294117647086,0.005162028235294103,0.008120807647058803,0.011267207058823503,0.013973422941176483,0.016688210000000037,0.019059361176470585,0.01953013823529412,0.016119301764705884,0.014364640000000012,0.012206298823529388,0.010232136470588238,0.008537092941176438,0.0066124247058823304,0.003825965882352955,0.0005858770588234863,-0.0022560558823529475,-0.0038143311764705645,-0.005095340588235242,-0.006442488823529352,-0.007800846470588263,-0.00884425294117655,-0.009836720588235315,-0.008810885882352903,-0.00517067176470587,-0.0007618199999999686,0.004258672352941223,0.008615689999999981,0.012102398235294076,0.01406935823529415,0.015635951764705863,0.017858640588235247,0.020282838823529464,0.021917110000000017,0.02273815294117648,0.023554813529411744,0.02451179823529409,0.025278415882353023,0.02606597529411775,0.028762687647058832,0.02937519411764708,0.0295340982352941,0.029543638823529395,0.029593272941176474,0.029630836470588284,0.030617857647058766,0.032454425882352866,0.03445910941176472,0.036206373529411695,0.03794135176470581,0.03998463058823526,0.04159072588235291,0.04302805823529415,0.04421725352941175,0.045353733529411744,0.04397257882352934,0.0405862488235294,0.03733966352941176,0.0335872847058824,0.02972793058823542,0.02600221647058837,0.022501285294117712,0.018849640000000056,0.014634541764705966,0.010110274705882438,0.00579891529411769,0.001847290000000057,-0.001300300000000032,-0.0038327217647058376,-0.00627442176470594,-0.00841742176470589,-0.011645469999999936,-0.010567599411764772,-0.010108411764705949,-0.009617367647058894,-0.009190801764705991,-0.009099358235294341,-0.008717197058823623,-0.007928167647058837,-0.006834934705882367,-0.00542047294117648,-0.004035941764705897,-0.0031774464705883187,-0.0027178911764705327,-0.0030270717647059575,-0.003580428235294142,-0.0037443817647059285,-0.002409922941176479,-0.0013217041176470379,-0.0014254405882351828,-0.0010326029411764082,-0.0005034523529411361,0.000707383529411798,0.0018542529411765263,0.0020956552941177042,0.0017352029411764613,0.001293369411764722,0.0006303576470587657,0.0004543470588235232,0.0007333917647058263,0.001362764117647075,0.0023429823529412253,0.0030487100000000655,0.0025202358823529503,0.0010065441176470569,0.0010218435294117034,0.0008087494117646199,0.0008599541176469994,0.0009334194117647798,0.0004990947058823858,0.0006681358823529271,0.0015222311764705454,0.0024613288235293407,0.0032357100000000583,0.003935413529411791,0.004179045294117667,0.00423755941176468,0.004104355294117623,0.003942067058823495,0.00502647235294118,0.006184590588235339,0.006407072941176428,0.006384488823529433,0.005837892352941132,0.004915182941176488,0.004108465294117625,0.003171799999999947,0.0019260311764706106,0.0004905582352941473,-0.0006921576470588775,-0.0016684705882353268,-0.0023485200000000206,-0.002875822941176387,-0.0033009352941175685,-0.003751229411764645,-0.004340506470588201,-0.006320657058823509,-0.007091949999999958,-0.008062789411764693,-0.008360751176470504,-0.008467591176470557,-0.008499704117647,-0.008531433529411658,-0.008495741764705855,-0.008191500588235257,-0.007727850588235219,-0.0073504188235293255,-0.0072094964705881615,-0.007355132352941218,-0.007742414705882439,-0.008190054117647172,-0.008682233529411831,-0.008718598823529433,-0.008561942352941165,-0.008346963529411777,-0.008202538235294154,-0.00872948823529418,-0.00923517529411777,-0.009770147058823675,-0.010322108235294114,-0.010866208823529455,-0.011569600000000013,-0.012490605882352956,-0.013260340588235331,-0.0137211947058824,-0.01385097882352937,-0.01382635647058822,-0.011965356470588218,-0.010515459411764738,-0.009650855882352982,-0.008606672352941158,-0.008053365882352836,-0.006798335882352902,-0.005360165882352941,-0.0038989047058823334,-0.0025736788235294905,-0.0013085770588235346,-1.868529411769293e-05,0.0012802247058822935,0.002508956470588297,0.0035699441176471614,0.004486267647058895,0.0053208364705883415,0.004436118235294106,0.00217834058823535,0.0005403594117647792,-0.0008180617647058908,-0.0017158964705883406,-0.002452968235294173,-0.0033965605882351757,-0.004366207058823457,-0.005255128823529354,-0.006025259411764683,-0.006779705294117588,-0.007322890588235209,-0.007824908235294137,-0.008286630588235366,-0.008824360588235325,-0.009424473529411836,-0.012094368823529433,-0.01239499235294117,-0.012277304117647103,-0.011651192941176503,-0.011236574705882407,-0.011503380588235301,-0.012052892941176507,-0.012357185294117667,-0.012390579411764746,-0.012349170588235259,-0.012193335882352885,-0.012069539411764696,-0.012010426470588254,-0.011904540588235257,-0.011620363529411759,-0.011429807058823516,-0.009187856470588174,-0.005494733529411822,-0.0032459111764705506,-0.0024021894117647324,-0.0021306799999999404,-0.0014974276470588466,-0.00025599294117645277,0.0009505647058823397,0.0015511864705882727,0.0017202652941176177,0.001686768823529361,0.001515655882352862,0.001220617058823481,0.0008618205882352514,0.0004509076470587403,4.893470588235305e-05,-0.00036247294117647266,-0.0037518370588234817,-0.005833942941176562,-0.0067551776470587965,-0.006859897647058855,-0.006844148235294112,-0.007113528235294098,-0.007691155294117569,-0.007750060000000003,-0.007660412352941237,-0.00743851941176471,-0.007101107058823497,-0.006555898235294122,-0.005877748823529372,-0.005255147058823517,-0.004745748235294167,-0.004275911176470637,-0.0028651452941176325,-0.0012073858823528627,-0.0007053711764705151,-0.0009357917647058178,-0.0016845635294116534,-0.002599988235294115,-0.0034300611764706,-0.004323234705882251,-0.005342962941176366,-0.006137052941176446,-0.006912775294117657,-0.00789934705882353,-0.008997566470588275,-0.010184955294117698,-0.01124230882352939,-0.012355752941176523,-0.01346567941176477,-0.01572312647058821,-0.01689993529411765,-0.017743609411764727,-0.018205787647058908,-0.01838633705882356,-0.018459615294117687,-0.018478678235294227,-0.0181985723529412,-0.017990180588235344,-0.01789824647058824,-0.017591799999999935,-0.017224881176470586,-0.01685959882352936,-0.016427581176470613,-0.015885713529411677,-0.015028728235294081,-0.013824288235294135,-0.012620075294117683,-0.011663820588235313,-0.010351592941176463,-0.008954011176470655,-0.0075709982352941685,-0.006171759411764677,-0.004756418823529479,-0.003386804705882346,-0.0018589817647058915,-0.0002205752941176753,0.0014790647058823547,0.0032994041176470923,0.0052643141176471064,0.008081804117647085,0.011552821176470551,0.015700259411764728,0.019861424117647047,0.024640008235294136,0.0292898411764706,0.03370537823529415,0.038021528235294116,0.04210586352941173,0.045894097647058846,0.0493939705882353,0.05260198058823534,0.05540050705882357,0.057978989411764714,0.06035370470588222,0.062410909411764554,0.0636013805882352,0.0630077717647059,0.060775703529411695,0.057341185294117664,0.053328189411764704,0.04889307470588239,0.04433510117647055,0.0396643605882353,0.03501469588235301,0.030579950147058832,0.026247677294117644,0.022077631554621835,0.018110656470588182,0.014392776960784281,0.010813874919786193,0.0073883749411765565,0.004203452810457586,0.0017944622222222373,0.0001777516339869778,-0.0005648507189542351,-0.0009776407189542313,-0.001169288954248393,-0.00124370718954242,-0.0011747983660130301,-0.0009975595424837058
pNuLoCRank	High
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
