UniprotID	Q6ZMI0-5
pNuLoCScore	0.3011020022222223,0.2938291860000001,0.2905152872727273,0.28652373000000003,0.2806338107692308,0.2742803407142857,0.26998092533333334,0.26763912375000004,0.2650132976470589,0.2530073494117647,0.24384800352941174,0.23842310941176467,0.23848652,0.23738518411764703,0.23757223352941176,0.23590556117647055,0.23525672352941174,0.2368767370588235,0.23933413588235297,0.23977572411764705,0.24088375352941174,0.24409641176470587,0.24871068235294114,0.2525010323529412,0.2652928052941177,0.27973550529411767,0.29353725764705885,0.3075974094117648,0.32236436823529413,0.3378554811764706,0.3526319876470588,0.3659646170588235,0.37804122999999995,0.38858369823529404,0.39929178411764704,0.4100681888235294,0.42086760235294113,0.43114579352941174,0.43936134529411763,0.44661197176470585,0.4551825705882353,0.4537749858823529,0.45163373411764707,0.44879458117647053,0.44579588588235297,0.4421973976470589,0.4365048123529412,0.43219444058823536,0.4298284876470589,0.4283474682352941,0.4285935611764706,0.42900533529411766,0.4300740511764706,0.43119754941176464,0.4333315758823529,0.43671321058823526,0.44452027647058817,0.45134275647058825,0.45674171176470585,0.46287582058823534,0.4692421164705883,0.47550272352941175,0.4817972941176471,0.4888926805882354,0.49483046882352943,0.5000281923529412,0.5051199823529412,0.5095819705882353,0.5142442258823531,0.5188842511764706,0.5244394011764706,0.5299374717647058,0.5360785752941176,0.5384912429411763,0.5405694982352941,0.5440199935294118,0.5467640494117647,0.54942152,0.5524669247058822,0.5559345129411765,0.5595169129411763,0.5630978952941177,0.5663319717647058,0.56956626,0.5730336717647058,0.5758419129411765,0.5787393305882353,0.5813930241176472,0.5932624323529412,0.6052145988235293,0.6171909388235293,0.6286465952941176,0.6397941194117648,0.6506075605882353,0.6614472605882353,0.6720610752941178,0.6824992694117649,0.6929636870588236,0.7036035694117648,0.7142048500000001,0.7249073723529411,0.7354358047058822,0.7458782305882351,0.7556382270588236,0.7650946264705881,0.7649201417647058,0.7644831664705882,0.76376708,0.7634275564705881,0.7631486876470589,0.7628499876470587,0.7625544052941176,0.7622451229411764,0.7621916523529411,0.7620914429411763,0.7619621370588235,0.7619473682352942,0.7617588805882353,0.7613818394117648,0.7608810311764707,0.7596845205882353,0.759284355882353,0.759318055882353,0.7596475823529412,0.7601727258823531,0.7600795435294119,0.7598497200000001,0.7594840352941176,0.7592116058823528,0.7589549705882354,0.7588698741176472,0.7587366600000001,0.7586535952941178,0.7586092070588237,0.7585707505882354,0.7584874964705883,0.75827512,0.7587296547058823,0.7581820882352939,0.757411705882353,0.756483588235294,0.7555936852941177,0.7552051617647059,0.7548082323529411,0.7545226035294117,0.754107156470588,0.7537749352941175,0.75335462,0.7529742594117648,0.7526523594117647,0.7523196123529412,0.7520518623529411,0.7517419723529412,0.7514082782352941,0.7509508223529412,0.7499843870588235,0.7482929070588233,0.7460181776470587,0.7443986841176471,0.7430287576470588,0.7415066282352941,0.7403221770588235,0.7389886441176471,0.73724933,0.7357541341176471,0.7344374594117647,0.7333083417647058,0.7320123158823528,0.7307056876470586,0.7294417876470587,0.7280575788235293,0.7270306929411765,0.7266477988235294,0.7268855335294117,0.7278674805882352,0.7282294594117648,0.7284035152941177,0.7288139152941177,0.7289650976470589,0.7291742576470588,0.7298517929411764,0.7303147735294117,0.7305296852941175,0.7305913970588233,0.7263099052941175,0.726252534117647,0.7263134341176469,0.72691954,0.7277969552941176,0.7291847823529413,0.7307941952941176,0.7317641188235294,0.7328614247058823,0.7338982482352943,0.7352074070588237,0.736464365882353,0.7376163305882354,0.7386840011764707,0.73981914,0.741097234117647,0.7423975694117647,0.7482510458823529,0.7498659811764705,0.7515475911764706,0.7528954800000001,0.75378128,0.754024894117647,0.7541805029411766,0.7548552029411766,0.7553067264705885,0.7557445852941178,0.7559224047058823,0.7559682105882353,0.75604455,0.7560942852941176,0.756087261764706,0.7534571823529412,0.7507530352941176,0.7485813294117646,0.746797958235294,0.7453906129411765,0.7443785917647059,0.74346056,0.7423640870588236,0.7408632223529414,0.7394891958823532,0.7382743605882355,0.736830395882353,0.7354972611764705,0.7343079882352941,0.733268904117647,0.7323357747058823,0.7314230005882352,0.7331419976470588,0.7348341411764705,0.735938514117647,0.7367185670588235,0.7370615494117646,0.7371452670588236,0.7372012694117647,0.7375254629411765,0.7381803888235294,0.7386343741176472,0.738735191764706,0.7390871035294119,0.7394014658823531,0.7396457976470588,0.7399016564705883,0.7391255329411763,0.7396325158823529,0.7401140688235293,0.7403999117647058,0.7403490476470589,0.74017083,0.7398923888235295,0.7399346800000001,0.7403927117647059,0.7410833088235294,0.7419656417647059,0.7430675970588235,0.7444491617647059,0.7457732941176469,0.7467298705882353,0.7479244794117647,0.7491639994117646,0.7514538288235294,0.7525693158823529,0.7535491629411765,0.7548478823529412,0.7564985970588235,0.7583287505882353,0.7603171623529413,0.7618956770588237,0.7631000511764707,0.7640678305882354,0.7648600247058823,0.7655892517647059,0.7663167423529412,0.7672213394117646,0.7685127688235295,0.7705345717647059,0.7721614770588233,0.774348416470588,0.776513688235294,0.7784764429411763,0.7803669994117646,0.7822815229411765,0.7840454076470588,0.7858807488235293,0.7877807747058823,0.7894528805882353,0.7910883658823531,0.7927734070588236,0.7944115894117649,0.7958441929411766,0.7971335694117648,0.7983659305882354,0.7987365211764706,0.7994975370588235,0.7995738564705883,0.7995589123529411,0.7997233194117646,0.7998348217647059,0.7998737958823529,0.7999919100000001,0.799973615882353,0.7998992400000001,0.7999659847058825,0.8000729670588237,0.8001425200000001,0.800161914117647,0.8003356594117647,0.8000238041176471,0.7995874629411764,0.7993752194117647,0.7992202811764705,0.7987780658823529,0.7979723129411764,0.797360678235294,0.7969687076470588,0.7966047629411764,0.796158401764706,0.7957391452941178,0.7952462423529411,0.7944496623529413,0.7936491235294119,0.792846605882353,0.7920314705882353,0.7911731635294118,0.7907790576470588,0.7903073641176472,0.7894716405882354,0.7885448023529412,0.7879337588235295,0.7877066529411765,0.7874317611764706,0.78698607,0.7864964935294118,0.7860330076470587,0.7855808347058824,0.7850855876470589,0.7848530111764707,0.7845064264705883,0.783972667647059,0.7804302323529413,0.7788192823529414,0.7772290588235294,0.7756695852941176,0.7739499576470588,0.7724216517647058,0.7707377029411765,0.7693344576470589,0.7679996105882352,0.7666310958823528,0.7654855858823529,0.7644145364705883,0.7634779035294118,0.7627541682352941,0.7620998999999999,0.7614011311764707,0.7610147252941175,0.763705084117647,0.7645547741176469,0.7654259411764706,0.7662935029411764,0.7672591752941176,0.7680658929411763,0.7690002123529411,0.7696022547058823,0.7701395900000001,0.7707040311764706,0.7710748735294117,0.7714169852941177,0.7715896535294118,0.7716893735294117,0.7717350711764704,0.7728015694117647,0.773891734117647,0.7750650694117647,0.7763172088235294,0.7771908764705883,0.7778503911764706,0.7779880252941177,0.7780121582352942,0.7779546052941178,0.7778840405882353,0.7777966405882354,0.7777268229411766,0.7775007111764707,0.7769840464705883,0.7765517435294117,0.7760475864705882,0.7753924805882353,0.7738558947058823,0.7721809476470587,0.770361318235294,0.7683126752941174,0.7665454194117646,0.7649580664705882,0.7639926011764705,0.7631299976470587,0.7623462947058822,0.7616240682352942,0.76095668,0.7602930329411763,0.7598223982352941,0.7596124805882353,0.7593008776470587,0.7592438323529411,0.7595334088235294,0.7596760770588236,0.7590523770588237,0.7585160123529412,0.7581192729411765,0.7577668788235294,0.7574770047058824,0.7570633205882352,0.7565575,0.7560077617647059,0.7553882876470588,0.7546672405882353,0.7537586641176471,0.7525308752941179,0.7512314870588235,0.7497902611764706,0.7478368870588236,0.7457057576470588,0.743783145882353,0.742603978235294,0.7412356605882353,0.7397267135294117,0.7383302135294116,0.7369791994117647,0.7357864052941177,0.7345667994117648,0.733390054117647,0.7321183694117647,0.7309035952941177,0.7298434629411765,0.7289757129411766,0.7271605047058824,0.7250858217647059,0.7232301647058824,0.7218849941176471,0.7206406082352941,0.7196430935294117,0.718742702352941,0.7178928517647059,0.7170218635294118,0.7161830835294118,0.7153569835294119,0.7146595076470589,0.7138446705882354,0.7128998117647061,0.7118346094117647,0.7106533123529413,0.7094603358823529,0.7092933941176469,0.7096489182352941,0.7099451376470587,0.7096563352941176,0.7090859647058823,0.708313794117647,0.7076079247058823,0.7069609970588234,0.7063204264705882,0.7056421064705882,0.7049019005882354,0.704076267647059,0.7034268676470589,0.7030256382352943,0.7027396499999999,0.7036475476470588,0.703688945882353,0.7030954764705882,0.7023412317647059,0.7019829023529411,0.7017715870588235,0.7015832223529411,0.701429195882353,0.7013505152941176,0.7012208858823531,0.7010512741176472,0.7010515600000001,0.7009161564705882,0.70080498,0.7004017270588235,0.699894385882353,0.6994001623529412,0.697728705882353,0.6971329370588235,0.6970515152941177,0.6969893482352942,0.696729065882353,0.6962073129411764,0.69569905,0.6950086647058823,0.6941441611764705,0.6932829629411764,0.692365404117647,0.6911623594117647,0.6900720364705882,0.6889887988235295,0.6880762811764706,0.6866911535294119,0.6845172688235294,0.6827201488235294,0.6802201641176471,0.6771308082352941,0.67395725,0.6713009911764705,0.6687160441176471,0.6661642223529411,0.66369194,0.6612198164705881,0.6588191852941176,0.6564545535294117,0.6542528829411766,0.6520214076470588,0.6496458117647057,0.6473410035294117,0.645722064117647,0.6448951723529411,0.6438457629411766,0.64334743,0.6435371388235296,0.64389315,0.643750944117647,0.6437712147058824,0.643953038235294,0.6441864558823528,0.6444359505882351,0.644609554117647,0.644825018235294,0.6450230770588234,0.6452291611764707,0.6466271652941177,0.648021941764706,0.6494064735294118,0.6502932535294117,0.6512105770588235,0.6521066029411765,0.6525748588235294,0.6527125905882353,0.6527116082352941,0.6528220258823528,0.6528567317647057,0.6529135288235294,0.6529604376470588,0.6529627123529411,0.6528498388235294,0.6526433917647059,0.6524040682352941,0.650964674117647,0.6495587176470589,0.6479778376470587,0.6468848223529412,0.6457156635294117,0.6446149435294117,0.6439451876470587,0.643547058235294,0.6431850023529412,0.6426802141176472,0.6420938164705884,0.6413689817647059,0.6406410288235296,0.6399626800000001,0.6393850447058824,0.6363494505882352,0.6348704035294117,0.6336238152941176,0.6327203682352942,0.632007665882353,0.6313569482352942,0.6305456541176472,0.6295373511764707,0.6280741688235295,0.6266380041176473,0.6252999570588236,0.6240456276470588,0.6228917370588235,0.6218056394117647,0.6208003658823529,0.6198557088235295,0.6189853264705881,0.6207356970588235,0.6210524735294117,0.6212513029411765,0.6211345699999999,0.6209622405882352,0.6207644405882353,0.6207259494117646,0.6208784429411766,0.621490901764706,0.6220677017647059,0.62254504,0.6229095423529412,0.6232258405882352,0.6235996170588235,0.6239918376470587,0.6240608552941176,0.6246201435294116,0.6253058552941176,0.6259375905882354,0.6267201905882352,0.6273675823529413,0.6279210588235293,0.6284795058823529,0.6291064588235293,0.6297352176470588,0.6304262764705882,0.6311773388235293,0.6319062447058822,0.6326713129411763,0.6334831070588235,0.6342450364705883,0.6348537011764707,0.6356702688235295,0.6358488923529412,0.6358388805882353,0.6357686829411764,0.6354276905882351,0.6350474435294116,0.6346771476470587,0.6341524829411764,0.6334761564705882,0.6327624658823529,0.6319322776470588,0.6310237482352941,0.6301158776470589,0.6291429423529412,0.6280743970588236,0.626910024117647,0.6255160747058823,0.6241294835294118,0.6228756929411766,0.6217206435294118,0.6203598447058823,0.6191759352941176,0.6180438588235294,0.6168030405882352,0.6155247094117646,0.6141183411764706,0.6126744058823529,0.611327205882353,0.609887014117647,0.6084705258823528,0.6070795158823529,0.6057172629411764,0.6044888570588236,0.60354073,0.6026498905882353,0.6016661635294117,0.6005798952941176,0.5997882329411764,0.5989622405882352,0.5982358088235293,0.5976024288235293,0.5971235158823528,0.5968058488235295,0.5965761488235293,0.59631087,0.5961877582352941,0.5960663935294117,0.5964424035294118,0.596490064117647,0.5966389035294117,0.5964901152941176,0.5958986758823529,0.5950637847058823,0.5942987394117648,0.5936733452941176,0.593167015882353,0.5925994847058824,0.5921339611764705,0.5916769817647058,0.59122107,0.5907879076470589,0.5904090511764708,0.5900856923529412,0.5897544629411764,0.5889089747058822,0.5883888470588235,0.5877123335294118,0.5873272070588236,0.5875236682352942,0.5880447670588236,0.58839673,0.588641035882353,0.5888726241176471,0.5891416811764705,0.5893079164705881,0.5894186635294119,0.5895299364705883,0.5896235635294117,0.589720028235294,0.5904939105882354,0.5913041694117648,0.591998857647059,0.5922420776470589,0.5926657276470588,0.5933140582352942,0.5940049935294118,0.5947049564705883,0.5955201388235295,0.5962842741176471,0.5969881352941176,0.5975929588235294,0.5982453529411764,0.598895905882353,0.5996110976470588,0.6002947782352941,0.6008705335294118,0.6007197335294118,0.6005332688235294,0.6004546511764706,0.6007930805882353,0.600855461764706,0.6007010635294119,0.6003581664705883,0.5999210635294118,0.5994705870588235,0.5990704576470587,0.598662418235294,0.5983096258823529,0.5979147258823528,0.5975041141176469,0.5970281258823529,0.5970053276470587,0.5968487723529412,0.596606039375,0.5963395886666666,0.5960621807142857,0.5958090407692307,0.5956973416666668,0.5956361181818182,0.5956104449999999,0.5956505333333334
pNuLoCDScore	-0.03608870457516339,-0.04809465281045755,-0.05725399869281053,-0.0626788928104576,-0.06261548222222227,-0.06371681810457525,-0.06352976869281052,-0.06519644104575173,-0.06584527869281054,-0.05695244894117657,-0.051181151390374324,-0.04674800588235298,-0.03975005723981903,-0.03018392894957983,-0.021270242980392207,-0.01513809139705885,0.0002795076470588076,0.026728155882352944,0.0496892541176471,0.0691743000000001,0.08387784823529412,0.10047029705882354,0.11505975411764702,0.13005905588235295,0.1427845064705882,0.15170696117647053,0.15995764823529407,0.17029246470588236,0.17998384882352939,0.18704938176470587,0.1906506629411765,0.19411093941176466,0.1898897652941176,0.1740394805882352,0.15809647647058822,0.14119717176470575,0.12343151764705884,0.10434191647058833,0.08387282470588242,0.06622982352941187,0.05178725764705894,0.03976377000000009,0.029301777058823586,0.01893714647058825,0.009206448823529445,5.175588235289963e-05,-0.0060297694117647516,-0.009898761176470594,-0.01066229411764713,-0.0024322294117646304,0.005107977647058781,0.014081239411764812,0.023446230588235306,0.033305325882352854,0.045292481764705905,0.05669824000000001,0.06500198117647055,0.07168072411764703,0.07652642117647057,0.08057663529411763,0.0841701747058825,0.087686701764706,0.0911078252941177,0.09322426117647059,0.09155829882352945,0.0871484864705881,0.08382778647058825,0.08114417294117643,0.07752193294117643,0.07391879647058824,0.07066963058823511,0.06704183235294109,0.0646864441176469,0.06306970294117653,0.061211989411764645,0.0599842894117647,0.05878944588235269,0.05695766176470585,0.05429992941176476,0.0514555523529413,0.05718385705882356,0.06672335588235301,0.07662144058823517,0.08462660176470582,0.09303007000000008,0.10118604058823533,0.10898033588235312,0.11612656235294139,0.12298235647058853,0.12986579176470592,0.13727159764705898,0.14463859000000012,0.15187370058823535,0.15959389176470573,0.16713889999999976,0.1742452029411764,0.17183219411764694,0.15970554294117645,0.14729222764705896,0.13512048470588245,0.12363343705882335,0.11254112705882358,0.10140272705882336,0.0904933299999997,0.07974585352941155,0.06922796529411746,0.05848787352941143,0.04775728705882343,0.03703999588235307,0.026323075882353053,-0.038000104013071884,-0.0533777934248366,-0.06660722224836602,-0.07448484636601309,-0.08112650989542484,-0.08184768307189544,-0.0810769166013072,-0.07871553813071896,-0.07793880848366015,-0.07052202258823531,-0.06465631556684497,-0.05921164200980396,-0.05352654978733036,-0.04805309952941178,-0.042914548207843156,-0.03825965979044117,-0.033254945529411786,-0.016170228176470597,-0.001754372294117637,0.006749462176470614,0.01396659335294119,0.014950233000000007,0.014462888294117654,0.01224156276470588,0.011737189588235303,0.01237090547058825,0.012852588941176496,0.013339292764705885,0.013405259235294134,0.012925222764705882,0.012437058058823544,0.011734465705882366,0.010635455411764722,0.009122062764705896,0.00850553217647057,0.00903369652941173,0.00976829088235294,0.010793302352941181,0.011771739999999989,0.01247241764705885,0.012700948235294121,0.012554878470588227,0.012556875647058818,0.012268649764705888,0.012288759999999996,0.011825231411764725,0.011169692588235289,0.010742133764705869,0.011798644352941173,0.013762951411764687,0.014105605529411785,0.01369656435294117,0.012623912352941163,0.01094458941176471,0.00984734529411764,0.009465625294117638,0.009299194705882363,0.009479511176470626,0.009434112588235302,0.009588286647058838,0.009683544294117635,0.009940351117647003,0.01053028523529409,0.011263905823529374,0.010024487588235279,0.006633875235294101,0.0043132981764705675,0.002952627588235307,0.0025089046470588017,0.0031264361176470273,0.0038593546470588325,0.0038436155294117452,0.0039452002352941,0.0039760996470587645,0.0038113778823529454,0.0036978870588235263,0.0033957135294118007,0.003545363823529435,0.003652001470588251,0.0033860502941176762,0.004389701470588259,0.007921438529411795,0.012146335588235302,0.015609079117647043,0.019311549705882378,0.022263718529411766,0.024689579411764695,0.027362289705882364,0.029897322058823506,0.03167600147058827,0.033862676176470596,0.03626366147058824,0.038541466176470585,0.040404331764705925,0.04208669176470589,0.04347839705882356,0.04375364823529407,0.04218286529411766,0.0395486494117647,0.03640475705882357,0.03232062705882355,0.02820170117647061,0.02400052470588232,0.019986981176470547,0.01634346117647059,0.01312021176470582,0.010044081176470515,0.006483830588235234,0.0030906088235293505,-0.00017980176470588916,-0.0032475947058823174,-0.005986361176470584,-0.008195381176470534,-0.009244615294117658,-0.009499693529411768,-0.009310198235294165,-0.008626419411764757,-0.007628084117647094,-0.006674768235294087,-0.005616222352941153,-0.004852265294117614,-0.004070897647058785,-0.0032631076470588105,-0.002106665294117599,-0.0008508335294117042,0.00018677705882352846,0.000856105294117615,0.0015662211764705947,0.0019190670588234982,0.002023078823529395,0.0022531070588235336,0.00219016588235299,0.001988098823529405,0.0017716170588235325,0.0016267517647058916,0.0013295570588235661,0.0010035247058823582,0.0005971505882353401,6.564470588241167e-05,-0.0005879323529411895,-0.001297819411764739,-0.0017206994117647256,-0.0015046194117647183,-0.0009555776470588639,-0.0004493458823528751,-0.0013013905882352794,-0.0009140611764705819,0.00020393470588234153,0.0018495611764706155,0.003920093529411778,0.005646075294117647,0.007700298235294084,0.0100231888235294,0.012600036470588216,0.015297292941176432,0.017840646470588195,0.020378958235294092,0.02273882117647058,0.0247796082352941,0.026448101176470562,0.028113559999999954,0.031625382352941184,0.03523026647058822,0.03689561235294117,0.03754454882352942,0.03745864647058825,0.03721379941176467,0.03688096764705878,0.036199082941176436,0.035189513529411715,0.03382001117647057,0.032578529999999994,0.031341282352941174,0.029948042941176395,0.02868489882352937,0.02744050352941174,0.027438187058823477,0.02572037058823526,0.022152781764705864,0.020314001764705852,0.019245568823529402,0.01871544588235291,0.018433883529411832,0.018018347058823547,0.017520261176470597,0.016984184117647072,0.016640707647058828,0.016401246470588215,0.01599803823529411,0.015840527058823578,0.015773062941176502,0.0156425911764706,0.014191598823529467,0.012873859411764693,0.013202765882352918,0.013292072941176458,0.012656791176470561,0.01150993470588238,0.010375060588235258,0.009139174117647059,0.00797549823529417,0.00725950117647059,0.006689374705882406,0.006010227058823592,0.005325182352941271,0.004662305882353002,0.003792977647058826,0.002699809411764731,0.001434679999999966,0.0016176747058823382,0.00020582117647058307,-0.0013125411764705608,-0.0026028994117647253,-0.003941785882352888,-0.005258513529411729,-0.006441391764705845,-0.007268265294117698,-0.00819674294117645,-0.00915776588235298,-0.010085794705882362,-0.01088770058823535,-0.011702592352941216,-0.012369555294117623,-0.012941733529411747,-0.013184611764705895,-0.013420242352941147,-0.013871989999999973,-0.014145546470588216,-0.014054494705882298,-0.013447807058823563,-0.012340490588235331,-0.011273344705882371,-0.010427919411764658,-0.00998537058823526,-0.009677085294117621,-0.009470107647058829,-0.009358027647058786,-0.009201693529411747,-0.009089995882352903,-0.008864019411764679,-0.007172401764705821,-0.005749747647058795,-0.004865989999999959,-0.003333108235294091,-0.0018541376470588289,-0.0004986276470588247,0.0004426411764706373,0.0010460682352941564,0.0014901323529411814,0.002145894117647068,0.0029236735294118077,0.0037113805882353357,0.004633561176470596,0.005540021176470622,0.006395656470588207,0.0072867776470588175,0.0065064270588235384,0.00459235235294117,0.003792066470588218,0.003346976470588209,0.0023978364705882493,0.001409932941176445,0.00043972882352935616,-0.00019020470588235194,-0.0003103235294117934,-0.0003698405882353317,-0.0005702782352941527,-0.000713717058823532,-0.0009128805882352986,-0.0012067058823529986,-0.0014716064705882215,-0.0018642700000000012,-0.004924789411764718,-0.005175473529411723,-0.005480714117647029,-0.007097089999999973,-0.008269832941176475,-0.009304839411764687,-0.010299689411764706,-0.011497485294117676,-0.01306714411764709,-0.014906281764705931,-0.016470476470588302,-0.017908947058823566,-0.019266314705882387,-0.020462034705882343,-0.02151404941176474,-0.02240864529411768,-0.020399546470588226,-0.0170870641176471,-0.015407210000000005,-0.013699465294117724,-0.011772960588235348,-0.010085340588235348,-0.00867056176470593,-0.007125593529411833,-0.005386096470588242,-0.003369410588235283,-0.0013538047058823388,0.0004955364705882537,0.00215421470588234,0.00363935529411763,0.004876671176470587,0.005899207647058868,0.00519398352941175,0.0010564905882353148,-0.0013997547058823556,-0.0036999858823528187,-0.006680234117646955,-0.00933624235294106,-0.011465799999999915,-0.013330541764705772,-0.015405202352941155,-0.017653182941176432,-0.01994247411764699,-0.022145984705882332,-0.024116902941176438,-0.0260577464705882,-0.027826548235294096,-0.029521998823529433,-0.029572571176470608,-0.027383219999999986,-0.024883277647058805,-0.022568235294117722,-0.019801080588235348,-0.016907407058823626,-0.014461320588235349,-0.012495681176470624,-0.01052274588235294,-0.008429561176470562,-0.0064431105882353235,-0.0046051799999999865,-0.0028807864705882036,-0.001188168235294107,0.0005126982352941234,0.0022183152941176454,0.002238344705882356,0.001062455294117609,-0.0006439611764706143,-0.0019563194117647176,-0.003165124705882344,-0.004393064705882355,-0.005537668235294085,-0.006485997058823523,-0.007465998235294119,-0.008450451764705907,-0.009373338235294099,-0.010117452941176497,-0.010805970588235375,-0.011468841176470596,-0.012213215294117702,-0.012919794117647099,-0.011913822941176488,-0.00952906176470586,-0.007547488235294109,-0.005714920588235278,-0.004164559411764718,-0.003144360588235251,-0.002301275294117666,-0.0012530188235294615,-6.41823529411445e-05,0.0011484370588235038,0.0021740199999999987,0.0030654135294117535,0.003844727647058871,0.004597928235294091,0.005438050588235321,0.006273503529411778,0.007016948823529406,0.005073305882352941,0.003495909411764697,0.002187949411764728,0.0008804464705882697,0.00012313823529411239,-0.0004401817647058659,-0.0011639123529411377,-0.0017963547058823803,-0.0027086670588235273,-0.0035831911764705737,-0.004477634705882388,-0.005354271176470582,-0.00616618529411761,-0.007081125294117641,-0.008133768823529425,-0.009178737647058816,-0.009231482352941217,-0.008422247058823551,-0.007860964705882378,-0.007510699411764743,-0.007422480588235275,-0.007618932941176465,-0.007780329999999974,-0.008071448823529392,-0.008249646470588207,-0.008243154117647089,-0.008103084705882335,-0.007859668823529453,-0.00762770764705889,-0.007359966470588258,-0.006904889999999969,-0.006655562941176474,-0.006663664117647072,-0.007822945294117617,-0.00883338235294115,-0.009320122941176456,-0.009746464117647097,-0.00973495000000002,-0.009703990588235317,-0.009570616470588267,-0.009286111764705895,-0.009109378235294147,-0.00886720294117646,-0.008564399999999972,-0.008219288235294081,-0.007887741176470564,-0.007608163529411793,-0.007116897647058834,-0.006088562352941168,-0.004580359411764712,-0.002908397058823564,-0.0015379247058823486,-0.0004972676470587911,0.0003613588235294174,0.0011120805882352813,0.001800564705882357,0.0023700994117646923,0.002827731176470616,0.003079693529411759,0.0031771117647058644,0.0031439323529411645,0.0031186341176470955,0.0031591100000000205,0.0028651976470588647,0.002131669411764736,0.001112423529411738,-0.00020720294117645977,-0.0016092400000000118,-0.0026875600000000333,-0.003688737647058793,-0.004512505294117619,-0.005323392941176425,-0.0060342123529411595,-0.006590467058823574,-0.007004327647058856,-0.00736737588235295,-0.0076215299999999875,-0.00789794000000002,-0.008274827647058808,-0.008356465294117654,-0.007963159411764675,-0.007337261176470544,-0.006636589411764676,-0.005686712941176453,-0.0047264917647058535,-0.003846139999999998,-0.0030618488235294727,-0.0023955176470588646,-0.001861152941176475,-0.0014819617647058303,-0.0012343376470587697,-0.0010071405882352558,-0.0007996517647058943,-0.0005942170588235651,-0.00029089000000001586,-0.00010270588235292144,-7.946470588240939e-05,-0.00013825588235300001,-0.000175172352941233,-0.00022565588235295975,-0.0004310882352941414,-0.0005930752941176731,-0.000744939999999944,-0.0007742364705882188,-0.0006854723529411688,-0.000497200000000031,-0.0001905894117647522,0.0001752017647058679,0.0005101952941176657,0.0008530364705882643,0.0011514694117647217,0.0015737911764705792,0.002031159411764738,0.0023098141176471076,0.002432509999999999,0.0023880805882352807,0.0023568323529411794,0.0024058523529411624,0.002516204117647025,0.0025323600000000113,0.002457431764705864,0.0023282182352941383,0.002186442352941187,0.0019903552941176184,0.001857345294117685,0.001793371176470604,0.0017570735294117623,0.0020881523529411583,0.0022811476470588066,0.0024400458823529148,0.0024003476470588203,0.002331754117647078,0.0021882376470588327,0.002024207647058851,0.0016754611764706329,0.0012109176470588012,0.0007222429411765097,0.00028555764705881503,-0.0002214429411764307,-0.0007747782352940658,-0.0013485088235294374,-0.0019997152941176877,-0.0026854947058823353,-0.0037284364705882644,-0.00519526352941177,-0.006587975294117643,-0.007566714705882355,-0.008195266470588242,-0.008590472352941192,-0.00888618176470593,-0.009073264117647112,-0.009024428235294119,-0.008739819411764715,-0.008397296470588234,-0.008030098235294159,-0.007591850588235305,-0.007162751764705877,-0.0067238782352940785,-0.006237731176470612,-0.0065856841176470116,-0.006258559999999969,-0.005730281176470564,-0.005303580588235296,-0.005055928235294105,-0.004981632941176484,-0.005001668823529398,-0.005054795294117648,-0.005194999999999977,-0.0054617094117647425,-0.005812052941176482,-0.006083519411764687,-0.006381917647058838,-0.006627234705882362,-0.006835944705882391,-0.007029353529411753,-0.006386521764705916,-0.005213642352941222,-0.004480742352941214,-0.003908721764705858,-0.003425134117647083,-0.002961515882352911,-0.0024768576470587944,-0.002006457058823491,-0.0015333841176470853,-0.0010872176470587969,-0.0006251664705882176,-0.0001951911764705716,0.0001889982352941133,0.0005474405882352762,0.0008640747058823728,0.001153234117647034,0.0016573752941176634,0.0013353470588235439,0.0013428135294117904,0.001379497058823509,0.0013817658823529755,0.0013945388235294398,0.001325195882352942,0.0012461764705882228,0.0013213029411764665,0.0014550064705881882,0.001467056470588174,0.0014686435294117006,0.0015667552941176222,0.001655337058823536,0.0017377199999999982,0.001794352352941203,0.0016151917647058978,0.001190307058823531,0.0007618799999999926,0.0004137994117647259,0.00023052823529406963,0.00015533588235289164,0.0001617529411764851,0.00028481352941178706,0.00035459764705883523,0.0002817094117647245,0.0003023347058823955,0.0004413623529412325,0.0005179358823529656,0.0005312317647058751,0.0005601823529411687,0.0006382594117647078,0.000812527058823509,0.0013663035294117498,0.0018909652941176691,0.002286421176470599,0.002588809411764703,0.002806867058823548,0.0029807829411764575,0.00305930235294119,0.002907388235294156,0.002782239411764753,0.002643660588235286,0.0023511647058823415,0.0020574464705882534,0.001834318235294119,0.0016379705882352824,0.0014012247058823313,0.001063034705882343,0.00048206176470591555,-0.00022960647058825612,-0.0007994352941176341,-0.0012096420220587822,-0.0016386216078431437,-0.002065375462184882,-0.0024768361085973356,-0.0027138840196078706,-0.002745290106951903,-0.0027061522352940792,-0.0026227861437908284,-0.002506299673202622,-0.0024107955555555394,-0.0023250226143790576,-0.002233075555555547,-0.0021199355555555355,-0.0019219867320261486,-0.0015731355555555493,-0.0012355208496732106
pNuLoCRank	Medium
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
