UniprotID	Q9Y6A1-3
pNuLoCScore	0.34497756888888886,0.386620322,0.41799651090909096,0.4428267491666667,0.4658665715384616,0.48352980214285723,0.4975226886666667,0.5090351456250001,0.5185890782352942,0.5314746752941177,0.5497768299999999,0.5682036482352941,0.5903123735294118,0.6145844570588236,0.6406967011764707,0.665486727647059,0.6751902664705883,0.6664527341176472,0.6549838282352942,0.6448410611764706,0.6377033099999999,0.6283857664705881,0.6210018429411764,0.6146026529411766,0.6043914,0.5898910723529412,0.5774297294117648,0.5662896764705883,0.5551697611764707,0.5467370588235295,0.5383079470588236,0.5311338329411764,0.5244395423529412,0.5191907776470588,0.5157393364705882,0.5128718641176471,0.5107353782352941,0.5069068458823529,0.5039678811764706,0.4996307399999999,0.49545852411764696,0.49554110647058813,0.5008874988235295,0.5042733405882354,0.5061681435294119,0.5082793317647057,0.5097691376470588,0.5109070347058823,0.5108482400000001,0.51100528,0.5102340311764706,0.5086387429411765,0.5063162058823529,0.5034407370588235,0.5001848247058824,0.49666005823529424,0.4917383570588236,0.48358218294117644,0.4771417064705882,0.4700855652941176,0.4635428882352941,0.4581836158823529,0.4532182247058823,0.4484381270588235,0.44433542000000004,0.44042791470588244,0.4372291394117647,0.4344862805882354,0.43172660411764713,0.42886555294117645,0.4259838664705883,0.4238292041176471,0.4215710117647059,0.4219182088235294,0.4252278217647059,0.42626860411764705,0.4273714264705881,0.42773535647058825,0.42687678647058824,0.4248009564705882,0.42338170117647056,0.4219035570588235,0.4206797317647059,0.4193260435294118,0.41752221764705877,0.4159460864705882,0.41483318529411767,0.41421760764705884,0.41673989588235294,0.41787780647058825,0.4172265729411765,0.4167226400000001,0.4156652976470588,0.4160641223529411,0.4178662688235294,0.4203507164705882,0.42372418882352936,0.42599820411764705,0.42683988647058824,0.42685117470588235,0.42732096647058837,0.42711235411764714,0.42612312647058836,0.4241114676470589,0.42129604058823533,0.4136236358823529,0.40700300176470583,0.40103978647058824,0.394668544117647,0.389262124117647,0.3822597341176471,0.37386629176470587,0.36515375823529406,0.35551752294117656,0.34625363588235303,0.3379403094117648,0.3304177105882353,0.3223419611764706,0.3153354035294117,0.30883785999999996,0.3019668176470588,0.29501556058823525,0.28914287941176475,0.2831376211764706,0.2761779711764706,0.26859976999999996,0.2606887505882353,0.2525258570588236,0.24414591588235293,0.23506840882352942,0.22643822823529405,0.21715704117647056,0.20766957799999997,0.1977199944705882,0.18764756211764702,0.1773084732941176,0.16711395623529413,0.1579585991764706,0.14939538976470587,0.14068721035294118,0.13247372211764705,0.12623705799999999,0.12107495564705882,0.11655963094117648,0.11252472152941177,0.10912851070588238,0.10647088894117647,0.10399580247058823,0.10197796188235295,0.10040827388235295,0.09912222588235294,0.09791851235294118,0.09528515235294117,0.09304498729411764,0.09092403411764705,0.08876001647058823,0.08653004258823528,0.08431167905882353,0.08219592141176472,0.08017123552941177,0.07821138729411765,0.07636075847058824,0.07450862429411766,0.07268238017647059,0.07088246311764705,0.0691893601764706,0.06750981929411763,0.06592061729411765,0.06442417435294118,0.06442437317647058,0.06425585588235296,0.06407077641176472,0.06397552523529414,0.06398667170588235,0.06406651817647058,0.06413659288235295,0.064208547,0.06431715876470588,0.06443374288235293,0.06456643729411762,0.06470619552941176,0.06486444200000001,0.06502052376470588,0.06517039817647059,0.06554343111764706,0.06581509552941177,0.06606729905882351,0.0662708994117647,0.06648491647058824,0.06672543788235294,0.06696855211764705,0.06716548594117647,0.06725252711764707,0.06726457300000001,0.06716621064705883,0.0669742135882353,0.06669856205882352,0.06637393923529412,0.06599170476470591,0.06556500711764705,0.06510496394117646,0.06438678258823528,0.063738428,0.06307743129411766,0.06243997505882353,0.06177377476470588,0.06107983358823529,0.06038831382352942,0.059735546470588236,0.059173924117647055,0.058675525294117646,0.05825365011764706,0.0578943885882353,0.05758335794117647,0.05730650270588235,0.05706668035294118,0.056657566,0.056290138882352944,0.05597467317647059,0.055692200882352945,0.055441605000000005,0.05520865635294118,0.054993828588235295,0.05479114482352941,0.05460114170588235,0.05442012688235294,0.05424670864705883,0.05407975605882353,0.053917254529411776,0.05376061988235295,0.0536150315882353,0.05347203635294119,0.05333707305882354,0.05340414011764707,0.05345757064705883,0.05348592494117648,0.05350770823529412,0.053519588176470595,0.053530481117647064,0.05353542676470588,0.05353818911764705,0.05353889382352941,0.05353910064705882,0.053540450882352944,0.05354159982352941,0.05354410347058823,0.05354919788235294,0.05355288011764706,0.05355591929411765,0.05356533988235294,0.05356103805882353,0.053558165823529416,0.053556285058823525,0.05355712870588235,0.053550305294117646,0.05352400335294118,0.05349380370588236,0.05346558876470588,0.053440371647058824,0.05341780670588236,0.05339938029411765,0.05338490182352942,0.0533722795882353,0.053357002235294125,0.05334226141176471,0.053334386352941174,0.05331769882352941,0.05331018052941176,0.053301856647058825,0.053293078705882346,0.053282560470588235,0.05328120205882352,0.053300555235294124,0.053325802,0.053349540470588236,0.053370173294117654,0.053388775882352954,0.05340507252941177,0.053423437117647056,0.05344417435294118,0.05357179347058823,0.05364689682352941,0.05371439864705883,0.05375931805882353,0.05381332094117647,0.053865010941176475,0.053925002411764705,0.05398894394117647,0.05405439688235294,0.05411618194117647,0.05417413105882354,0.054218483705882364,0.0542463975882353,0.054266016058823544,0.054283362529411766,0.05430010400000001,0.054317165176470596,0.05423127517647059,0.05419871941176471,0.05417476294117647,0.05417777529411765,0.05417978217647059,0.05418806982352941,0.05419441852941177,0.05421037570588235,0.054235786058823544,0.05427088441176471,0.05431854029411765,0.054383987470588244,0.054470928235294126,0.05456994864705883,0.05467321464705883,0.054920610294117655,0.05516348423529412,0.05541223700000001,0.05566450905882353,0.05591341700000001,0.05616140994117648,0.056402140529411775,0.05663957323529412,0.05686469123529412,0.05707117511764706,0.05726735617647059,0.057456675000000006,0.05763507541176471,0.05780647364705883,0.057972576235294115,0.05813254917647059,0.05828911647058823,0.05829652717647059,0.05830376152941175,0.058305669117647056,0.05830255735294117,0.05829774535294118,0.05828648735294117,0.05827704399999999,0.05826405676470587,0.05825625664705883,0.0582535051764706,0.05825075988235294,0.058250253,0.05825365988235293,0.05826122417647059,0.05826994376470589,0.058355738764705886,0.058364846764705894,0.05833933176470589,0.05832272552941177,0.058326132823529414,0.05832053811764706,0.058326988764705885,0.058336635294117645,0.058352298823529415,0.05837118323529411,0.05839330882352941,0.05841679282352941,0.058443670999999996,0.058472074411764705,0.05849813694117647,0.058518992,0.058540092705882354,0.05848474447058823,0.058508344294117644,0.058565775470588236,0.058614409117647065,0.058639383235294114,0.05867302947058823,0.05869592994117647,0.05872007435294118,0.05874033623529412,0.05875949605882353,0.05877695094117647,0.05879307117647059,0.05880049105882353,0.05880168923529413,0.0588026011764706,0.05874935964705884,0.05865177500000002,0.05859431382352942,0.05855866847058825,0.05853631688235294,0.058520132764705884,0.05850941158823529,0.05850182335294118,0.058493673058823525,0.05848604952941177,0.05847533252941177,0.05846528429411765,0.05845779370588236,0.058450007176470586,0.058447780117647063,0.058448475470588235,0.05844672194117648,0.05849660917647059,0.05858940782352941,0.05864280911764705,0.05867183758823529,0.058690427176470585,0.05870361658823529,0.05871347658823529,0.058723301294117645,0.058734482235294115,0.05874502782352941,0.05875309176470588,0.05875956305882352,0.05876271964705882,0.05876496076470589,0.05876753558823529,0.05874866952941177,0.0587395074117647,0.05873477299999999,0.05874724976470586,0.05875171811764705,0.05873908358823529,0.058726473529411766,0.05871685658823528,0.05871282835294117,0.05869844329411764,0.05868608605882353,0.058668775058823536,0.058656281941176475,0.05864588917647058,0.05863486276470588,0.05861669305882352,0.058597015588235296,0.058600354411764706,0.05859989311764706,0.05860392411764706,0.05858917411764706,0.05858298623529412,0.05858855182352942,0.058593467647058826,0.05859578652941177,0.05859358829411765,0.05860066852941176,0.05860750305882353,0.058619104352941175,0.05862917711764706,0.058638483823529416,0.05864696805882354,0.05870773041176471,0.05874016764705883,0.05877380470588236,0.05879750929411765,0.058817124882352946,0.05883846841176471,0.05885971917647059,0.058882769058823524,0.05890468211764706,0.05892459270588235,0.058944529999999995,0.05896236952941176,0.05897918223529411,0.0589929334117647,0.059005922176470584,0.059014717352941184,0.0590237805882353,0.05898419176470588,0.05896580876470588,0.05893841699999999,0.05891716782352942,0.058896330294117644,0.05887609647058822,0.05885666864705881,0.05884099923529411,0.05882929005882353,0.05881924205882352,0.05880713399999999,0.05879592570588236,0.05878407864705883,0.058773594647058836,0.058763478411764714,0.058761028058823536,0.05877517558823531,0.058801990882352946,0.05884739429411766,0.058909418647058835,0.05897296752941178,0.05903519417647059,0.059083872588235296,0.05911689641176471,0.059149404882352936,0.05917889547058824,0.0592092885882353,0.05924097994117646,0.059270496705882345,0.05930082635294117,0.05932971929411764,0.059357346588235285,0.05937887770588235,0.05937882270588234,0.05937191894117646,0.05935439482352941,0.059325837529411764,0.05929370547058824,0.05926168329411765,0.05923783352941176,0.059220025764705884,0.05919769811764707,0.059172325,0.05914569852941177,0.05911877841176471,0.059094858529411765,0.05907181705882352,0.059064062823529405,0.05907782229411764,0.059081602,0.05909665982352941,0.05910733847058823,0.05910885282352942,0.05910655352941177,0.05911284823529412,0.05911848247058824,0.05912968947058824,0.05914441270588235,0.059158261529411754,0.059165982529411756,0.05916832405882352,0.059168315529411764,0.05916571264705882,0.0591588248235294,0.05913411729411764,0.059083339588235306,0.05903789194117648,0.05897975023529411,0.058916073,0.058856733764705876,0.05879619658823528,0.05872182276470587,0.05864665529411764,0.05856623611764705,0.05848826917647057,0.058408152411764704,0.05832966864705882,0.05824854629411764,0.058164450823529404,0.05796591005882352,0.057772113,0.05761567276470588,0.057458258235294116,0.05730003911764706,0.057148606352941174,0.05701119241176471,0.05687684658823529,0.0567464154117647,0.05662462711764705,0.05650717135294117,0.056393477470588226,0.056277059411764696,0.05616720694117647,0.056063053705882354,0.05596324629411765,0.05586559470588236,0.055879598647058826,0.05588430370588235,0.05584547617647059,0.05580471664705882,0.05576204564705882,0.055709487999999995,0.05564270017647059,0.055568283235294114,0.055487295352941175,0.05539726011764706,0.055297404529411766,0.05519044882352942,0.05508360705882354,0.05497183511764707,0.054856173647058824,0.05463347347058824,0.054412384705882354,0.05418981076470588,0.053970312294117646,0.05375639070588235,0.05355535299999999,0.05336097958823529,0.05317643164705882,0.05300008535294117,0.05283120299999999,0.05266816323529411,0.05251038164705882,0.052360770764705876,0.05221679811764706,0.05207762547058823,0.05194515547058824,0.051817618823529414,0.05180063235294118,0.0517850554117647,0.05177545364705882,0.051773849882352944,0.051777582647058826,0.051777830941176474,0.05178037035294118,0.051783152294117646,0.05178752329411765,0.051794990235294124,0.05180546688235294,0.05181827505882353,0.0518328345882353,0.051850502588235294,0.051869590352941176,0.05193752547058824,0.05199584229411764,0.05205243694117646,0.0521062568235294,0.05215126494117645,0.05219222835294117,0.052234711882352944,0.05227815994117647,0.052321065411764706,0.05236516476470588,0.05240717735294118,0.052447635529411764,0.05248558064705883,0.05252258923529412,0.05255829235294117,0.052591983882352936,0.05262372270588235,0.052605177999999995,0.05259480194117647,0.052581445235294115,0.052566931294117644,0.052555402823529405,0.05253998235294117,0.05251907788235294,0.05249338917647059,0.05246373429411765,0.05242909800000001,0.05239224388235294,0.05235262258823531,0.052312353941176476,0.05227132788235295,0.052228045117647066,0.052131342529411775,0.05203826211764706,0.051944318764705885,0.05185076523529412,0.05175727205882353,0.051666994588235295,0.05158348452941177,0.051502692764705885,0.051426400764705886,0.051353512294117644,0.05128501994117647,0.05122000494117647,0.05115771329411764,0.051098032588235295,0.051040283352941175,0.05098371005882353,0.05092872870588235,0.050927518352941174,0.05092344311764705,0.05092117135294118,0.050920132529411764,0.050924633999999996,0.05093115005882352,0.05093707964705881,0.05094556764705881,0.05095390552941176,0.050962796352941174,0.05097152782352941,0.050980617294117646,0.05098972388235294,0.05099901605882353,0.051002510437499995,0.051007240866666664,0.05101294164285714,0.051019723769230765,0.05102763625,0.05103650318181818,0.051045747499999995,0.05105466355555557
pNuLoCDScore	0.17361150934640535,0.18649710640522887,0.20479926111111102,0.22322607934640526,0.24533480464052293,0.2696068881699347,0.29571913228758184,0.3205091587581701,0.33021269758169947,0.27983241211764714,0.23698731732620326,0.20201431200980385,0.1718367384615383,0.14485596432773085,0.12347915427450973,0.10556750731617648,0.08580232176470581,0.05841639705882351,0.027652899411764964,-0.0019139717647058685,-0.03514261235294114,-0.06784739823529407,-0.10238875411764714,-0.026108777529411764,-0.038457059294117635,-0.0472944934117647,-0.0516254745882353,-0.05093561752941178,-0.04970738223529411,-0.047657095411764716,-0.04641106717647059,-0.0444101542352941,-0.03997564634117648,-0.03587367014973261,-0.030338247882352953,-0.024239995104072404,-0.019706531672268907,-0.016215189364705895,-0.012819889948529423,-0.00868873341176471,0.0038438871176470213,0.011698127117647034,0.014304698294117624,0.011423898882352929,0.007592298294117644,0.002490695000000015,-0.0019682249999999624,-0.007360800294117648,-0.011072849117647027,-0.013605094411764704,-0.016493522058823512,-0.02105897499999998,-0.025514929705882344,-0.02899925676470587,-0.03237940205882352,-0.03692870005882354,-0.04038392499999999,-0.04043696235294117,-0.039061558823529394,-0.036322951470588186,-0.03294104235294118,-0.02905971823529413,-0.025039962647058864,-0.020829755588235313,-0.016408807941176495,-0.013520923235294136,-0.01029105000000001,-0.007321898823529446,-0.004153726470588245,-0.00117901647058824,0.0010587499999999833,0.0014171432352941132,0.0023694282352941243,0.0022288738235294314,0.0021827279411764655,0.001799897647058804,0.0011042617647058772,-8.984382352940357e-05,-0.0011157935294117682,-0.0016477897058823632,-0.0018461894117647176,-0.0019815352941176673,-0.002167057941176484,-0.0027261570588235085,-0.002676237647058835,-0.002887243529411776,-0.0020327664705882265,0.0013398379411764805,0.007098405294117649,0.012154927058823511,0.015014512058823537,0.015706282647058825,0.01573783705882352,0.016762589705882347,0.0173029938235294,0.016983515294117665,0.015505048823529433,0.013589363235294125,0.011337362058823547,0.009490315294117674,0.007353456117647081,0.005122937294117655,0.0023830984705882213,-0.003017587176470632,-0.010669908647058857,-0.018609061411764716,-0.02538031435294119,-0.030300534352941194,-0.033698414941176466,-0.03739103788235296,-0.04123999011764705,-0.04399549800000002,-0.045706671235294136,-0.04660819770588234,-0.0469500724117647,-0.046987901823529424,-0.046931987352941185,-0.04638937064705882,-0.04617983864705882,-0.04372934594117643,-0.03968558088235291,-0.03584913517647059,-0.031994474647058825,-0.028316316117647067,-0.025594454941176473,-0.023237805647058823,-0.020540327176470592,-0.01868915394117647,-0.01727317329411765,-0.016170307000000016,-0.015287020529411784,-0.01480003911764708,-0.014430958823529412,-0.014242153411764706,-0.01394684717647058,-0.01402685329411766,-0.01529024011764707,-0.016426814705882344,-0.017204763352941167,-0.01789712817647058,-0.018351864941176466,-0.018592098352941164,-0.018578626411764707,-0.0183862614117647,-0.018038860470588232,-0.017626316882352937,-0.01709274994117646,-0.016504148176470577,-0.015862735941176473,-0.015211121294117655,-0.014674734588235303,-0.013733225411764693,-0.012391056411764696,-0.011121233882352935,-0.009962615588235288,-0.0089817144117647,-0.008082391352941178,-0.007297256941176479,-0.006600571352941169,-0.005980463882352946,-0.005380431470588233,-0.004773000941176463,-0.004202120235294114,-0.0036512151764705875,-0.003102456999999996,-0.0025477729999999824,-0.001993314117647048,-0.0014943434705882302,-0.0014572291764705855,-0.001412438647058832,-0.00134536035294118,-0.001232134647058826,-0.001078970058823521,-0.0009108878235294035,-0.0007458007647058867,-0.0005727167647058759,-0.0004104132941176522,-0.00026513517647059476,-0.0001392380000000068,-2.069505882353051e-05,8.728247058822913e-05,0.00018391064705881172,0.0002696307647058749,0.00038906499999998706,0.0005172906470588198,0.0005982294705882477,0.0006259479411764718,0.0005866734705882379,0.0004979114117646954,0.000380065176470587,0.000248415647058825,0.00010125276470587113,-5.417088235295381e-05,-0.0002126078235294218,-0.0003710641764705924,-0.000527437352941168,-0.000681284882352931,-0.0008339819411764711,-0.0009914830588235272,-0.0012541041176470473,-0.0015554572941176535,-0.001810505882352948,-0.002041666294117648,-0.0022160353529411814,-0.002348204176470591,-0.0024427380588235292,-0.0025229309999999956,-0.002583415823529403,-0.002625578529411747,-0.002657392941176461,-0.002678693058823522,-0.0026918630588235355,-0.0026959247058823584,-0.0026938884117647006,-0.002684076235294111,-0.002565089235294117,-0.002342014882352937,-0.002123692294117647,-0.0019166911764705863,-0.0017194252352941107,-0.0015353038235294061,-0.0013619938235294136,-0.0011955708235294217,-0.0010340032941176525,-0.0008803845294117693,-0.0007323135882352921,-0.0005893232352941202,-0.00045315552941176465,-0.00032443299999999897,-0.0002025274117647101,-8.64473529411866e-05,2.6433529411756806e-05,3.1409764705881554e-05,3.564811764705106e-05,4.0713470588225886e-05,4.502805882352495e-05,4.9914470588226234e-05,5.518829411764806e-05,5.9413058823534065e-05,6.144899999999814e-05,6.280923529411453e-05,6.387188235293384e-05,6.34894117647021e-05,6.17963529411722e-05,6.059782352941384e-05,5.95628823529433e-05,5.935717647059108e-05,5.692917647059578e-05,5.3315176470593306e-05,4.954994117647993e-05,4.343358823530319e-05,3.638070588235856e-05,2.9221882352947065e-05,2.2781882352943678e-05,1.6959647058823607e-05,1.0968352941183312e-05,4.664588235298722e-06,-1.954470588230034e-06,-7.955999999992996e-06,-1.3244705882351632e-05,-1.8129235294119667e-05,-2.2671294117648788e-05,-2.7171411764701642e-05,-2.6463705882356914e-05,-2.281676470588037e-05,-1.777835294117583e-05,-9.874294117643428e-06,-8.243529411797179e-07,7.933941176475195e-06,1.6367470588231348e-05,2.4811294117646487e-05,3.639441176470429e-05,5.051505882352689e-05,6.614929411764489e-05,8.059399999999634e-05,9.488488235293718e-05,0.00010776194117647145,0.00012108158823529933,0.00013392541176470568,0.00014281988235294307,0.0001481188823529364,0.00015250011764705515,0.00015476005882352623,0.00015596588235294168,0.0001558634117647048,0.00015405952941176596,0.00015041523529411502,0.00014222717647058292,0.0001288784117647046,0.00011236752941176653,9.566494117646887e-05,8.022470588235284e-05,6.650488235293572e-05,5.398629411763889e-05,4.232641176470098e-05,5.899611764705742e-05,8.527041176470754e-05,0.00012610494117647544,0.00017285023529411622,0.0002193147058823508,0.0002702187058823517,0.0003223146470588238,0.0003765543529411809,0.00043185600000000476,0.0004892318823529439,0.0005470728823529399,0.000604851705882356,0.0006614701764705924,0.0007174422352941197,0.0007709633529411827,0.0008234777058823556,0.0008460266470588229,0.000834531470588231,0.0008002094705882312,0.0007437343529411722,0.0006831379999999963,0.0006210241176470566,0.000556727470588228,0.000493067882352937,0.0004304070588235301,0.0003697057058823505,0.0003114522941176437,0.00025487476470588064,0.0001990156470588235,0.00014365105882353096,8.88562941176417e-05,3.447717647058618e-05,-3.3477588235294314e-05,-6.561952941176036e-05,-9.084817647058221e-05,-9.62947058823424e-05,-9.415935294117272e-05,-9.191864705882305e-05,-8.470570588234305e-05,-7.67912941176431e-05,-6.80001764705937e-05,-5.938988235294068e-05,-5.073423529411078e-05,-4.439235294117702e-05,-4.037752941176212e-05,-3.672423529412286e-05,-3.218211764705742e-05,-2.839329411764846e-05,-9.030058823536469e-06,1.762652941175724e-05,3.7640352941167854e-05,5.480947058822405e-05,6.787935294117267e-05,7.799158823528982e-05,8.498205882352325e-05,8.795817647057683e-05,8.720882352940967e-05,8.399505882352928e-05,7.907129411763997e-05,7.473100000000149e-05,7.433641176469996e-05,7.579770588235502e-05,7.651788235294582e-05,7.679682352941183e-05,7.579782352941725e-05,5.8657176470591765e-05,5.1564941176470563e-05,4.725117647058977e-05,4.52187647058816e-05,4.5894823529419454e-05,4.746741176471156e-05,4.6490235294134596e-05,4.52822941176545e-05,4.5856411764709504e-05,4.605517647059826e-05,4.4700823529413014e-05,4.190635294118103e-05,3.764482352941467e-05,3.383794117646846e-05,3.155935294117673e-05,3.0005823529410947e-05,3.154952941177014e-05,3.0332352941180724e-05,2.3151411764715107e-05,1.2250882352942555e-05,-2.941176470601381e-07,-1.383011764705469e-05,-2.329982352941573e-05,-2.6608235294114935e-05,-2.8093352941176153e-05,-2.9155294117649833e-05,-2.7100235294112707e-05,-2.3230058823528466e-05,-2.030647058823623e-05,-1.8678941176464292e-05,-1.7486647058820304e-05,-1.3586588235286329e-05,-1.1451588235299875e-05,-6.6044117647059974e-06,3.2917647058497423e-07,1.1010470588240784e-05,1.8502882352937344e-05,2.6750529411759955e-05,3.553547058823478e-05,3.998894117646437e-05,4.3369823529416235e-05,4.640347058823893e-05,4.899747058823359e-05,4.9430117647058375e-05,5.1143941176473584e-05,5.296964705881965e-05,5.3528235294118126e-05,5.062394117646973e-05,4.488517647059653e-05,3.616464705882838e-05,2.4104470588239002e-05,1.3068176470589637e-05,4.540000000007732e-06,1.3282352940777176e-07,-4.394470588243299e-06,-9.349823529403167e-06,-1.573135294118469e-05,-2.2377000000003977e-05,-2.8162882352945895e-05,-3.354282352941579e-05,-3.8786470588237504e-05,-4.4351294117648404e-05,-4.7784235294116156e-05,-7.375764705882387e-05,-8.179870588236396e-05,-8.607835294118654e-05,-8.303852941177539e-05,-7.868605882353774e-05,-7.159494117647824e-05,-6.71180000000049e-05,-6.316829411764577e-05,-5.7679941176475014e-05,-5.187935294117055e-05,-4.35301764705881e-05,-3.645452941176616e-05,-3.010123529411518e-05,-2.5303058823526736e-05,-2.0031058823533066e-05,-1.517376470587875e-05,1.2610999999999178e-05,4.9743058823541186e-05,6.786847058823722e-05,7.87152352941245e-05,8.372511764706547e-05,8.515641176471203e-05,8.377076470588579e-05,8.168164705883024e-05,7.905405882352792e-05,7.555917647058402e-05,7.086376470587935e-05,6.55260588235361e-05,5.9746352941175696e-05,5.370617647058873e-05,4.837017647059058e-05,4.27596470588161e-05,4.113782352940798e-05,1.586694117646295e-05,4.610352941178397e-06,2.8941764705844863e-06,3.486588235294269e-06,4.427941176464445e-06,6.513117647061889e-06,8.985058823518521e-06,1.0704529411757757e-05,1.3137352941172686e-05,1.5299999999999342e-05,1.8870764705872234e-05,2.385705882352457e-05,3.158282352940314e-05,4.084594117647472e-05,5.059994117647196e-05,5.656670588235699e-05,5.7207294117653934e-05,5.6761882352946574e-05,5.232505882353175e-05,4.3745058823527194e-05,3.7833647058824194e-05,3.398411764705955e-05,3.10195882353044e-05,2.9345705882356105e-05,2.8778823529411468e-05,2.8547176470584967e-05,2.8100117647061884e-05,2.5710941176478735e-05,2.1398352941185556e-05,1.4648529411760008e-05,6.458470588235898e-06,-1.165464705882649e-05,-2.3421705882358673e-05,-3.715188235295375e-05,-5.840541176471009e-05,-7.632964705883011e-05,-9.399388235294473e-05,-0.00011094317647059385,-0.00012612329411765266,-0.0001396584117647065,-0.00015180764705882352,-0.00016325576470587605,-0.00017323488235293852,-0.00018171688235293915,-0.0001883812941176448,-0.00019419758823529046,-0.00019927323529411387,-0.0001945580588235303,-0.00018105117647058966,-0.00016533005882352764,-0.00013805988235294359,-0.0001017674117647048,-6.565999999999864e-05,-3.406882352940607e-05,-7.5921176470560015e-06,1.4267764705887254e-05,3.188052941176939e-05,4.6001058823529756e-05,5.709423529411811e-05,6.548452941176203e-05,7.109811764705043e-05,7.466894117646658e-05,7.692441176469778e-05,6.19359411764657e-05,3.318605882352346e-05,-6.699411764683749e-07,-3.75138235294073e-05,-8.251723529411475e-05,-0.00012735758823529536,-0.00017315941176471172,-0.00021714464705882563,-0.00026109411764705867,-0.00030343982352941043,-0.00034355711764706004,-0.0003821251176470593,-0.0004165667058823562,-0.000449277941176468,-0.00047968252941176653,-0.0005075879411764704,-0.0005166662941176424,-0.0005049258235294042,-0.0004832155294117596,-0.0004576528235294107,-0.0004334010588235293,-0.0004101449999999972,-0.00038529817647058734,-0.00035582782352941086,-0.0003221675294117661,-0.00028555552941176773,-0.0002483577647058831,-0.00021160252941176266,-0.0001776111176470599,-0.00014707911764706358,-0.000118109352941171,-9.102688235293477e-05,-0.0001080918823529349,-0.00014193588235294,-0.0001804849999999976,-0.0002254374117647076,-0.0002698265294117652,-0.00031623435294117486,-0.0003621282352941138,-0.0004104157058823464,-0.0004609514705882327,-0.0005134081176470552,-0.000565324470588241,-0.0006161521764705899,-0.0006654769411764683,-0.0007109605882352835,-0.0007540384705882371,-0.000794487470588235,-0.0007912312352941209,-0.0007459539411764742,-0.0007003725294117691,-0.0006529662941176448,-0.0006037541176470568,-0.0005518115294117637,-0.0004972895882352953,-0.00044297076470588975,-0.00038878452941176755,-0.00033448088235294576,-0.0002814112941176422,-0.00022965864705882383,-0.0001789604705882339,-0.00012932435294117986,-8.045770588235163e-05,-3.3086000000001614e-05,1.6079941176472268e-05,2.3240411764709895e-05,3.170135294118179e-05,4.0608058823533855e-05,5.0660941176478014e-05,6.0193294117653895e-05,6.734376470588638e-05,7.442294117647463e-05,8.255776470588241e-05,9.042294117647329e-05,9.882623529412077e-05,0.00010769676470588282,0.00011698076470588112,0.00012623958823529055,0.00013442041176470534,0.00014181858823529916,0.00014627682352941207,0.0001468937058823512,0.00014666917647058325,0.00014446776470587383,0.0001387982352941096,0.00013118388235293377,0.0001239125882352872,0.0001167959999999954,0.00010837429411764479,9.91738235294054e-05,8.935205882352332e-05,7.909847058823471e-05,6.865382352941318e-05,5.76109411764697e-05,4.664370588235156e-05,3.5970764705874764e-05,7.500941176467185e-06,-1.7946411764706988e-05,-4.328676470588197e-05,-6.943611764704746e-05,-9.402541176469978e-05,-0.00011677205882352354,-0.0001388631764705807,-0.00016139411764704709,-0.00018298805882352095,-0.00020404405882351595,-0.00022463617647058495,-0.000244483352941173,-0.00026408041176470554,-0.00028284452941175833,-0.0003007934705882391,-0.0003179995882352932,-0.00031662729411765025,-0.0002973502941176487,-0.00027745435294117965,-0.00025620247058824597,-0.00023356441176471815,-0.00021110852941177982,-0.0001891508823529467,-0.00016786829411765888,-0.00014712100000001394,-0.00012659452941177554,-0.00010628135294117949,-8.630852941176811e-05,-6.658864705882256e-05,-4.698600000000233e-05,-2.7643470588228913e-05,-8.343647058820652e-06,1.923794117647537e-05,2.6912000000000463e-05,3.492811764706574e-05,4.2094000000002935e-05,4.7643352941183215e-05,5.253605882353518e-05,5.7700529411758295e-05,6.280723529411905e-05,6.56095625000061e-05,6.909286666666528e-05,7.332146638655904e-05,7.839388687782417e-05,8.454453921568489e-05,9.181717112299176e-05,0.00010043161176470639,0.00011038684967320037,0.00010052596732025923,9.296620261438002e-05,8.48489673202571e-05,7.73205555555552e-05,7.029349673202609e-05,6.382143790849976e-05,5.7331967320269767e-05,5.1176908496732704e-05
pNuLoCRank	Nonucleus
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
