UniprotID	Q9UPV9-2
pNuLoCScore	0.3527136255555555,0.356899486,0.36095077818181814,0.35830921583333325,0.3480000646153846,0.34546957571428566,0.34006253533333325,0.33766658937499994,0.3321851035294117,0.32188894176470584,0.31387961000000003,0.3151178994117647,0.32420775529411766,0.3213305194117647,0.3175305164705883,0.31358021647058826,0.3090317282352941,0.30524845000000006,0.30015959647058826,0.29527038647058823,0.2958719141176471,0.30369644235294113,0.30650369411764705,0.31433563235294115,0.3279568500000001,0.34182604411764705,0.3508170258823529,0.3613042770588235,0.37256064941176475,0.38304796,0.3939867941176471,0.4040194158823529,0.41345551588235296,0.4239936194117647,0.43384417588235297,0.4433060241176471,0.4516144470588235,0.45876910352941175,0.46495054117647056,0.47121338470588237,0.4748543694117647,0.470740244117647,0.469141644117647,0.4711717676470588,0.47107394588235296,0.4691799276470588,0.4673733447058823,0.46606661411764705,0.46625523529411766,0.46706591411764703,0.4669633164705882,0.4667551764705882,0.466397274117647,0.4672511199999999,0.46827507352941167,0.4688331399999999,0.4745594823529411,0.4789603582352941,0.48370936882352944,0.4886223764705882,0.49341415647058834,0.49756461058823537,0.5016316152941176,0.5045356811764706,0.5071944735294117,0.5094271111764705,0.5116095676470587,0.5139655558823529,0.5166674823529411,0.5196335788235295,0.5215403988235295,0.5228542747058825,0.524189155882353,0.5196081782352941,0.5163460517647059,0.5125946970588237,0.5091591523529412,0.5054613123529412,0.5021808335294118,0.4992012911764706,0.4969358064705882,0.49501518999999994,0.4935309829411764,0.49183363823529413,0.49027189705882346,0.4887393105882353,0.4874633023529411,0.4866362764705882,0.4897085770588236,0.49222911176470585,0.4938410211764706,0.4957335858823529,0.4981220552941176,0.501032625882353,0.5038572794117648,0.5064667052941176,0.5091727282352941,0.5117616800000001,0.5139884611764706,0.51616039,0.5186288617647059,0.5207784164705882,0.5228645264705882,0.524665875882353,0.5260857876470588,0.5241217894117646,0.5232352382352942,0.5237690888235295,0.5243165829411764,0.5245242917647059,0.524393768235294,0.5241386464705883,0.5239095347058824,0.5237647188235294,0.5236954864705881,0.5236776129411764,0.523817344117647,0.5238578894117647,0.5240027758823529,0.5241989729411765,0.5280234352941175,0.5316649370588236,0.5351768841176471,0.5382148194117647,0.5398898888235294,0.5418517688235294,0.5435157247058823,0.5452549129411766,0.5470345388235295,0.5484052417647058,0.5521116535294117,0.5545927429411764,0.5572198070588236,0.5597038929411765,0.5621228970588235,0.5645596947058823,0.5669562858823529,0.5658132017647058,0.565163694117647,0.5644456352941176,0.5637163176470588,0.5645917035294117,0.5653311729411765,0.5660120376470589,0.5667211905882353,0.5676841670588236,0.5689053052941178,0.5679004188235295,0.5679002676470588,0.5677372182352941,0.5673872235294117,0.5670681505882352,0.5688389823529412,0.5699405088235294,0.57128964,0.5727076105882353,0.5741261576470588,0.5758573635294116,0.5771809988235294,0.5783849705882352,0.5795100552941177,0.580385764117647,0.581222652352941,0.5820913817647059,0.5825320035294118,0.5831606211764706,0.5838991505882354,0.584783991764706,0.5855157794117648,0.584073155882353,0.5833466441176471,0.5824604323529411,0.5813584794117647,0.5801134911764706,0.578612755882353,0.5773527288235295,0.5762438547058825,0.5751732429411767,0.5742370435294117,0.5731992964705882,0.5722004041176472,0.5713070805882353,0.5704015747058824,0.5694520476470588,0.5691067476470588,0.5660685829411765,0.560889044117647,0.5559288311764705,0.5520307370588234,0.5486228647058824,0.5456387529411765,0.5433566352941178,0.5411530505882354,0.5390300329411764,0.5371625988235293,0.5353747923529412,0.5335668158823529,0.5317368494117647,0.530061834117647,0.52821224,0.5263576764705883,0.5240906852941177,0.5247760882352941,0.5276093152941177,0.5301089082352942,0.5314703458823531,0.5324049500000001,0.5330861441176471,0.5334304617647059,0.5337074700000001,0.5339076876470589,0.533958672352941,0.5339014376470589,0.533931745882353,0.5339955164705883,0.5339800117647058,0.5325378647058825,0.5301809258823529,0.5268918929411766,0.5233294664705883,0.519836375882353,0.5163481752941176,0.5132293658823529,0.510610635882353,0.5081134199999999,0.5058426964705882,0.5037225435294117,0.5017506041176469,0.5000986070588236,0.4983484094117647,0.4965057211764706,0.4946707094117648,0.4927052411764707,0.49237391411764714,0.4928371552941177,0.4940721952941177,0.495545715882353,0.4971149358823531,0.49881818000000006,0.5003395988235294,0.5015336264705884,0.5026050776470589,0.503373565882353,0.50393764,0.504358655882353,0.5045540529411765,0.5048830647058823,0.5053059447058823,0.505896475882353,0.5060079876470587,0.5068796288235294,0.5080831505882353,0.5095629494117647,0.5109655729411765,0.51232182,0.5134734629411765,0.5144900482352942,0.5153113247058824,0.5161464717647058,0.5168477658823528,0.5175004870588235,0.5182043617647059,0.5188482264705883,0.5195022205882354,0.5202228088235294,0.5206212629411765,0.5214185135294117,0.5213921788235294,0.5212515082352941,0.5207112611764705,0.5199407435294117,0.5192243788235293,0.5187307594117646,0.5183139829411764,0.518072944117647,0.5178919235294117,0.5178522976470589,0.5178544,0.5177989217647058,0.517670104117647,0.5144040476470588,0.5107343652941175,0.5073407035294116,0.5044009764705882,0.5017327482352941,0.49927031176470593,0.49687557882352956,0.4948509235294118,0.49266125058823534,0.49051651529411766,0.4884655211764707,0.48644662823529417,0.4843982970588236,0.4824395041176471,0.48048723764705875,0.478467794117647,0.47633506411764714,0.4772875147058824,0.4785596911764706,0.4796552641176471,0.48051562294117656,0.48117576176470594,0.4815607100000001,0.4822654723529412,0.48313469588235286,0.48432723352941176,0.485657204117647,0.4870113811764706,0.48841096,0.48983736176470577,0.49129363117647057,0.4927867329411765,0.4985032776470588,0.5044657488235295,0.5102706723529411,0.5156507899999999,0.5211095270588235,0.5263362305882352,0.5317444994117647,0.5371347505882353,0.5424231505882354,0.5474092823529413,0.5521406764705883,0.5565877529411765,0.5607801752941176,0.5648022752941176,0.5687190229411765,0.5724504723529412,0.5761349682352941,0.5755769999999999,0.5748731199999999,0.5742480452941177,0.5740563947058823,0.5737253435294117,0.5737456752941176,0.5735556458823529,0.5733864352941176,0.573119131764706,0.57288572,0.5725972529411765,0.5723063588235294,0.5721401388235294,0.5719868447058823,0.571861867647059,0.5725530323529412,0.5730421952941175,0.57348096,0.5735259023529412,0.5737833535294117,0.5739818629411765,0.5743877570588234,0.5745837217647058,0.5747517805882353,0.5749944594117649,0.5753225235294117,0.5756789823529411,0.576122104117647,0.5766145099999999,0.5770009729411765,0.5774270670588234,0.5778177111764706,0.577472464117647,0.5773080111764706,0.5772584911764707,0.5777199347058823,0.5780465252941176,0.5783580629411764,0.5785321688235294,0.5787643835294117,0.5790516811764705,0.5792536929411765,0.579285755882353,0.5792801052941178,0.5792123270588236,0.5789961270588236,0.5786920817647059,0.5763256558823528,0.5736962323529412,0.5721118399999999,0.5708577458823529,0.5700054188235294,0.5693075341176472,0.5685830394117648,0.5674586752941179,0.5660185064705883,0.5643493035294118,0.5624883276470589,0.5603663982352942,0.5581731570588236,0.5558878429411764,0.5534697747058823,0.5510349688235293,0.5486339394117646,0.5482386829411764,0.5480949594117648,0.5467005223529412,0.5448773576470589,0.5425161776470588,0.5399463682352943,0.5372737429411765,0.5348959929411765,0.5326969088235294,0.5307345829411765,0.5289094788235295,0.5273604788235293,0.5259068258823529,0.5244830552941177,0.5232026058823529,0.5212732882352941,0.5196706941176471,0.5183059999999999,0.5171019823529412,0.5161745588235295,0.5151904588235295,0.5143505064705882,0.5132932652941176,0.5121335182352942,0.5110909223529412,0.5102216223529412,0.5093562482352941,0.50857354,0.5077833305882352,0.5069941394117647,0.5063099135294118,0.5056007135294117,0.5056785388235293,0.5055684741176472,0.505313597647059,0.5049345476470589,0.504471024117647,0.5041327358823529,0.5037433505882354,0.5035739152941178,0.5036158564705883,0.5036597952941176,0.503616454117647,0.5035530717647059,0.5034230005882353,0.5032998782352941,0.5031906811764706,0.5037703817647058,0.5042311894117647,0.5038254923529412,0.5033473070588235,0.5029923376470588,0.5028300552941177,0.502659115882353,0.5024607511764705,0.5022981588235295,0.5021403147058824,0.5020732499999999,0.5020740482352941,0.5021665776470589,0.5023076070588236,0.5025242452941177,0.5027077241176471,0.5028113041176471,0.5020170776470588,0.5013882700000001,0.5016393652941177,0.5019337423529412,0.502016784117647,0.5019085370588235,0.5017289305882353,0.5016036747058823,0.5014961288235293,0.5014023864705882,0.5012277052941175,0.5010453641176471,0.5008466488235295,0.5006286811764705,0.5003471794117647,0.4998811711764706,0.4998919441176471,0.50008229,0.5004243605882353,0.5007957311764707,0.5009307688235294,0.5006613682352942,0.5002682105882353,0.49987787235294107,0.49955136352941176,0.4992374547058823,0.4989214799999999,0.49860654352941175,0.49823126705882337,0.49782108058823515,0.49740124235294114,0.49699500882352937,0.49676911117647055,0.4961338888235294,0.49542140764705883,0.49444406647058825,0.493405474117647,0.49258818411764704,0.49223448999999997,0.49202450941176457,0.49184706294117636,0.4915938276470587,0.49130479235294117,0.4910124452941176,0.490725515882353,0.49038607117647054,0.4900312588235294,0.48881984941176465,0.4879862588235294,0.4867911882352941,0.48509786235294117,0.4837380894117646,0.48247136294117643,0.48124348117647053,0.47998316882352937,0.4787732064705882,0.47757882117647066,0.4765060617647059,0.47549154294117646,0.4745466823529411,0.4736106352941177,0.4726785929411765,0.4718263005882354,0.4710380558823529,0.471126685882353,0.47074147058823523,0.47083928235294126,0.47162551294117655,0.47226016941176463,0.4729406288235294,0.4737045711764705,0.47466476,0.4756641058823529,0.47669938411764695,0.47769578117647044,0.47869175176470585,0.47963628882352927,0.4805955647058823,0.48161396588235283,0.48471167352941175,0.4873659264705883,0.49003247058823524,0.49278408999999995,0.49542919294117643,0.49787375176470594,0.5001589358823529,0.5022044476470588,0.5038969264705883,0.5054327070588235,0.5068347011764706,0.508184751764706,0.5094539135294118,0.5107168205882353,0.5119768947058824,0.51327613,0.5145082182352941,0.5137038676470588,0.513352938235294,0.5129588352941176,0.5124797647058823,0.5118999499999999,0.5113408123529412,0.5108564847058823,0.5105908105882353,0.5105589205882354,0.5105844770588236,0.5106593823529411,0.5107554799999999,0.5109123658823529,0.5110297341176471,0.5111377447058822,0.5116840711764706,0.5121846729411765,0.5122522470588236,0.5123129976470588,0.5122950594117647,0.5123369752941177,0.5124882929411764,0.5125712623529413,0.5125617976470588,0.5125102699999999,0.5124839364705883,0.5124269752941177,0.512381928235294,0.5123083811764705,0.5122139323529413,0.5121126405882352,0.5120280911764706,0.5114776594117647,0.5109520223529412,0.5108302694117647,0.5106736305882353,0.5106052011764706,0.5105409335294118,0.5104996923529412,0.510561934117647,0.5106807047058823,0.5107955264705882,0.510862844117647,0.5109258994117647,0.5109292623529411,0.51091778,0.5108895388235295,0.5112291329411766,0.5112087535294118,0.5112722852941177,0.5108129264705882,0.5103360970588235,0.5100143500000001,0.5096688223529412,0.509421515882353,0.5092166311764705,0.5089939547058823,0.5088041547058824,0.5086508529411765,0.5085216705882353,0.5084268,0.5083795329411764,0.5083497505882352,0.5083299094117647,0.5079734423529412,0.5080515805882353,0.5080375570588235,0.5085145864705882,0.5089759835294116,0.5092892570588236,0.5095987552941177,0.5098064211764706,0.5099246411764706,0.510034844117647,0.5101420794117647,0.5102624752941176,0.5104190223529412,0.5105965005882354,0.5107963911764706,0.5116516794117646,0.5129333852941176,0.514087675882353,0.515100607647059,0.5160552411764706,0.5170078864705882,0.5179123541176471,0.5185794276470589,0.5192136099999999,0.5198826617647059,0.5205898205882352,0.5212500676470588,0.5218541835294117,0.5223558988235294,0.5228002023529411,0.5231918929411765,0.5235671047058823,0.5232943482352941,0.5225746894117647,0.5219696070588236,0.5213693047058824,0.5207057064705882,0.5200280964705882,0.5193871435294116,0.5188813611764705,0.5183670411764706,0.5178419064705883,0.5173158241176471,0.5168624047058823,0.5164527888235293,0.5161135735294118,0.5157528405882355,0.5154342394117648,0.515388704117647,0.51534061,0.5153534488235295,0.5152310629411766,0.5151519511764706,0.5151357747058825,0.5150232276470589,0.5149482570588235,0.5148893494117648,0.5148783400000001,0.5148254841176471,0.5146267864705882,0.5143093917647059,0.51439219125,0.5144799706666666,0.5146223542857143,0.5147402084615385,0.5144484758333333,0.5140797790909092,0.513542661,0.5130834077777778
pNuLoCDScore	-0.020528522026143803,-0.030824683790849683,-0.03883401555555549,-0.03759572614379081,-0.02850587026143786,-0.03138310614379081,-0.035183109084967246,-0.03913340908496726,-0.0436818973202614,-0.05165103599999993,-0.06079118171122988,-0.06303882936274502,-0.0521281504977375,-0.04177313336134453,-0.0335588412156862,-0.023330957022058785,-0.004228253529411641,0.019937102352941216,0.036937415882352886,0.046186377647058796,0.048352894117647094,0.061717440588235306,0.07645627764705881,0.09043919941176465,0.10442378764705884,0.11874516941176466,0.1336845794117647,0.14803563764705885,0.1557425329411764,0.15507266117647062,0.1584468470588235,0.1568777523529412,0.1468975194117646,0.12891419999999992,0.11832461823529411,0.1098674905882353,0.09851329647058821,0.08613196764705877,0.07338655058823523,0.06204719823529414,0.0527997194117647,0.04307229470588231,0.03311914058823523,-0.037906013274509834,-0.05495456133333336,-0.069817906627451,-0.07638709292156866,-0.07991157156862747,-0.08139837098039218,-0.08187479262745098,-0.08169224533333334,-0.08120822474509806,-0.07198514785294119,-0.06462118513903745,-0.05833626054411767,-0.053023946674208164,-0.04867689464285717,-0.04482428241176472,-0.0413738768014706,-0.037424003588235305,-0.018948672352941176,-0.002424825117647078,0.006005433529411755,0.010573813764705876,0.012701800058823508,0.013916975235294095,0.013893556647058797,0.013490692823529375,0.012665215235294118,0.011713250529411766,0.01079704547058824,0.00980105617647059,0.009136136411764709,0.008624447117647073,0.008303960882352954,0.007382369882352968,0.005516346705882344,0.0034616394705882514,0.0013545297058823597,0.00024054399999999532,-0.0001613275882352827,-0.0004371226470588213,3.0930411764718e-05,0.0006719648235294501,0.0016058459411764647,0.002551013823529402,0.003816755000000005,0.004942370647058852,0.0059411465294117866,0.006835772764705886,0.007579789235294121,0.008338373588235304,0.009821231823529439,0.01152920594117647,0.012919092176470623,0.01404205158823528,0.014719416294117632,0.014944544882352945,0.01508628699999999,0.015218904058823507,0.015297612941176444,0.015251595882352934,0.015228863529411746,0.015181154941176445,0.015155535882352925,0.015142479647058824,0.015186451117647076,0.015098225882352934,0.014684628352941181,0.014025129529411776,0.013352861882352934,0.012822194823529434,0.012446115411764727,0.012494413647058805,0.012702940941176466,0.012718933294117649,0.012543117411764726,0.012333838588235307,0.01213244364705883,0.01179646694117649,0.011552646352941176,0.011343032588235283,0.010974774999999978,0.017209627352941154,0.01966362988235293,0.021510780117647052,0.023108009529411763,0.024395223647058845,0.025550610117647074,0.026404511882352946,0.026834056000000023,0.027272498941176504,0.02769226717647061,0.02801129835294118,0.028408474470588252,0.028935038294117643,0.029381126764705903,0.029780334411764697,0.030334076941176458,0.02429430135294118,0.015744603411764688,0.01173637729411764,0.008728544941176461,0.006226781999999972,0.004038114352941144,0.002092336117647073,0.00038185176470587057,-0.0010926476470588392,-0.0024019473529411917,-0.003438369705882363,-0.004470989470588244,-0.0055624662352941195,-0.006574826529411756,-0.0075758835882352715,-0.008690085882352913,-0.009431352058823506,-0.0036807867647058595,-0.0022137144117646834,-0.0012180820588235108,-0.00039681852941175766,0.00027670264705882686,0.0007148085294117479,0.0010231720588235182,0.00124832317647057,0.001389864352941167,0.0013888681764705896,0.0010983258235294086,0.0007924852352941131,0.0005450690588235246,0.000281382823529408,4.25139999999935e-05,-0.0005389645294117812,-0.001449195117647073,-0.0018988251176470655,-0.002245418941176483,-0.002676943882352942,-0.003190161176470571,-0.0035436435294117358,-0.0037703891764705594,-0.004140128647058816,-0.00455047158823528,-0.004835378647058852,-0.004961437352941189,-0.004879738176470597,-0.004716434294117694,-0.004638356647058861,-0.00454587452941177,-0.0043478668823529465,-0.003699536529411754,-0.003328404764705875,-0.003225419764705875,-0.0030510536470588073,-0.00299249764705882,-0.003029983294117647,-0.0030756380000000055,-0.0029275164705882123,-0.002632164411764712,-0.002381109117647051,-0.0022813912352941113,-0.002295546058823511,-0.0024525078235293762,-0.0025370733529411493,-0.0025507286470588114,-0.0026820586470588242,-0.002937040764705884,-0.003107398764705921,-0.003053452294117659,-0.0029973073529412225,-0.0028337057647059155,-0.0025105527058823796,-0.0022298750588235355,-0.0021685988235294468,-0.00226965494117648,-0.0023597525294117294,-0.002376532823529412,-0.0023105671764705876,-0.0021886265882353068,-0.0020932398823529513,-0.0020624114117647474,-0.001767015823529422,-0.0014375708235294382,-0.0009264539999999932,-0.0007922987058823772,-0.0008637289411764504,-0.0009367100588235366,-0.0012448810000000171,-0.0015505768823529525,-0.0018025995294117386,-0.001952244294117625,-0.0020462484705882494,-0.0020647693529411565,-0.0020621520000000115,-0.002078896470588232,-0.002071528588235297,-0.0020336144705881964,-0.002290784764705872,-0.002798790058823511,-0.003378197999999985,-0.0038325538823529293,-0.003910666235294125,-0.003807497411764671,-0.003567852705882335,-0.0032443532941176523,-0.0028218553529411883,-0.002314705941176498,-0.0018119806470588418,-0.0013936568235294322,-0.0010742712352941192,-0.0008285380000000175,-0.0006304884705882474,-0.0004720331176470971,-0.0002045719411764707,0.0001719789411764594,0.0005192233529411755,0.0010513274705882397,0.0013308189411764815,0.0014969562352940974,0.0016877847058823503,0.001721473294117662,0.001629122705882377,0.001387110647058834,0.0011246205882353144,0.0007865385294117538,0.00037086205882352896,4.4397058823530955e-05,-0.00019342823529409914,-0.00037915005882352415,-0.0006276627058823675,-0.0007331227058823553,-0.0006503715294117612,-0.000675294470588228,-0.0007637147647058806,-0.0009030953529411689,-0.001173693823529387,-0.0014717047647058723,-0.0016314698235294356,-0.0016600998235294234,-0.0017024541764705942,-0.0016913520588235087,-0.0015172726470588371,-0.0012857408823529343,-0.0011874417058823639,-0.001154820764705869,-0.0011762848823529126,-0.0012009654705882195,-0.001503347588235282,-0.0017566393529411944,-0.0019521470000000013,-0.0021944064117647016,-0.002468578470588234,-0.00260861105882354,-0.002757109529411772,-0.0029852650588235163,-0.0032011362352941247,-0.0033682738823529457,-0.003590188588235274,-0.0038111056470588184,-0.00384785247058822,-0.0037188472941176443,-0.003471256176470608,-0.0031097494117647145,-0.0026052529411764863,-0.0020790488235294113,-0.0015231367058823608,-0.0008661646470588397,1.911294117626361e-06,0.0010149418823529321,0.002014943882352932,0.003008968823529412,0.004027515529411774,0.005026482470588248,0.006071812117647055,0.007028277999999985,0.0078289374117647,0.008419675411764707,0.009485271058823533,0.010365506058823512,0.010981535235294118,0.011481619705882351,0.011952572647058818,0.012329493176470599,0.012623069588235294,0.012668208882352927,0.012595104176470598,0.012462301823529406,0.012297636294117661,0.012069504882352922,0.011876826764705875,0.011617655000000032,0.011394875588235293,0.01124072852941177,0.010507030294117675,0.009223250882352957,0.008161069117647038,0.007312288176470588,0.006504054294117656,0.005766164058823561,0.00504269552941175,0.004354494705882353,0.0037826579999999804,0.003301845058823555,0.0028431391764705827,0.0024295485882353113,0.0019859729411765004,0.0015040188235294072,0.001036302352941193,0.000598907058823539,0.0005749117647058655,0.001128422941176488,0.0016644417647059262,0.002051682941176469,0.0023036605882353067,0.0025504382352941057,0.002729354117647076,0.0029483835294117633,0.0031397611764706346,0.0032960629411764586,0.0034358135294117464,0.003590081764705849,0.003670249999999986,0.003814048235294104,0.003957414117647051,0.00409764647058819,0.0038118335294117234,0.00318162176470585,0.002631693529411755,0.0020715494117647115,0.0015851558823529455,0.0011295417647058659,0.0006976752941176834,0.0002627347058823948,-0.0001725617647058697,-0.0006108400000000014,-0.0010600835294117539,-0.0014995899999999673,-0.001915643529411759,-0.0023246647058823566,-0.0027581929411764905,-0.00322287294117643,-0.004418755529411761,-0.005343035529411733,-0.00630164105882354,-0.007211518117647031,-0.008084319882352933,-0.008954347529411738,-0.009759253647058833,-0.010526843647058845,-0.011246524529411814,-0.012025704823529423,-0.012829329764705855,-0.013674952470588253,-0.014516133058823558,-0.015366035999999986,-0.01619069423529408,-0.01699713423529413,-0.017011409882352918,-0.01609854729411765,-0.01504763764705884,-0.014067856823529443,-0.013123796235294138,-0.012193080352941199,-0.011302958941176486,-0.01042390341176469,-0.009602157823529398,-0.00872486900000001,-0.007779180235294156,-0.006784501411764704,-0.005757255176470577,-0.004728287882352966,-0.003688410000000031,-0.0026023364705882457,-0.0014094917647058808,-0.0009924346470588374,-0.0007488240588235107,-0.0005118817058823444,-0.0002668455294117661,-1.3284352941192457e-05,0.000204925647058804,0.00040168776470586587,0.0006023168823529323,0.0008224248235294274,0.0009723254117647157,0.0011129251764706027,0.0012178783529411819,0.0013231357647058989,0.0014160705882352853,0.0014784771176470507,0.0013808353529411732,0.0011786656470588325,0.0009590294705882352,0.0007394395294117451,0.0005834178235294002,0.0004250657647058981,0.0002798581176470666,0.00014557341176470173,-1.2872999999996582e-05,-0.00018812241176470457,-0.00036455829411763396,-0.0005252350588235283,-0.0006897915294117457,-0.0008315609411764652,-0.000958760117647034,-0.0010825731176470343,-0.0009580487058823556,-0.0007342092941176465,-0.000512242764705878,-0.0002437009411764557,2.2876647058828192e-05,0.0002161692941176352,0.00035334223529411013,0.0003604137647058997,0.00040995488235294475,0.0005028115882352857,0.0006049974705882172,0.0006699045294117495,0.0007329030588234947,0.0007686860000000045,0.000801761294117645,0.0008337507058823468,0.0006275710000000212,0.0002236139411764676,-0.0001323264117647216,-0.0004751730000000093,-0.0008385624705882361,-0.001177136294117656,-0.0014039727647058853,-0.001437253117647086,-0.0013787476470588228,-0.0013677975882352977,-0.00136345611764703,-0.0013371293529411687,-0.001310690235294093,-0.001269929941176473,-0.0012239846470588206,-0.001194192647058806,-0.001125250882352935,-0.0008917388235293866,-0.0007254488235293871,-0.0006233037647058598,-0.0005450422352941131,-0.0004464037058823228,-0.000385539882352931,-0.0004275257647058661,-0.0005972974117647023,-0.0007917544117646974,-0.0010171491176470815,-0.0012421397058823558,-0.0014586714705882575,-0.00162851376470588,-0.001795811411764714,-0.001957225176470609,-0.0021551854117647373,-0.002332758647058855,-0.0024348960000000197,-0.002480304823529428,-0.002501235705882343,-0.0025195062941176793,-0.002560227764705894,-0.002581497764705898,-0.002571634588235311,-0.002537432000000006,-0.002423704352941175,-0.0022805655294117766,-0.002145101999999996,-0.0020451188235294238,-0.0019750974117647146,-0.0019177832941176393,-0.0017340281176470435,-0.0015362492941176364,-0.0013970425294117517,-0.0013215419411764379,-0.0012740936470588132,-0.0012242371764705773,-0.0011443857058823226,-0.001050266882352921,-0.0010219114705882354,-0.0009387170000000195,-0.0008020608235294324,-0.0006567008235294075,-0.00048055405882352353,-0.00025946935294117457,2.5030411764714877e-05,0.000355924529411758,0.0005803989999999953,0.0007302734705882247,0.0009166211176470512,0.0011444993529411418,0.0014469637058823481,0.0017813539411764973,0.0021406121764705743,0.002489377176470575,0.002902075647058841,0.003334921411764738,0.003655591705882366,0.0038817867058823646,0.0040490640588235205,0.004146776117647036,0.004136637882352925,0.004052316117647073,0.003945483764705882,0.003980739882352952,0.003942196941176479,0.003952909882352945,0.003923316352941172,0.003886157882352928,0.0037890032352941166,0.003690188823529436,0.0035960276470588387,0.0034201485882352917,0.0032085303529411913,0.0029836974705882424,0.0027787574705882556,0.0026042783529412056,0.002507143647058868,0.0024646107058823585,0.0024321048235294157,0.002340560705882344,0.002239431,0.002128425117647076,0.001956824176470598,0.0017461259411764712,0.0015353655882352907,0.001330069058823491,0.0010873137647058606,0.0008456667058823614,0.0006629475294117615,0.0005977577647058724,0.0006101400588235106,0.0006185241764705696,0.0005867985882352655,0.000523295941176477,0.0004876582941176627,0.0004173380000000171,0.0004062535882352891,0.00034485835294115197,0.00032595576470585697,0.00030979994117644183,0.0003225864117646915,0.0003285100000000041,0.0003435399999999894,0.00038377176470585916,0.00041801741176468454,0.00041132447058821187,0.0003307786470588131,0.00024810835294118705,0.00019334652941177533,0.00015610123529409548,7.875035294116484e-05,1.3070647058813223e-05,-2.852905882354262e-05,-8.828617647058112e-05,-0.00013712982352939718,-0.00018642870588232718,-0.00023996194117645309,-0.00030733958823526975,-0.00035797370588232236,-0.000425018411764691,-0.0004909742941176104,-0.0005537078235293702,-0.0006086715882352572,-0.0006471777647058807,-0.0006930144705882407,-0.000743411705882352,-0.0007503067058823587,-0.0006975361176470712,-0.0006912846470588374,-0.0006323499411764744,-0.0005587886470588277,-0.0004773824117647041,-0.00039826800000002105,-0.00028983505882354543,-0.00012876035294120958,3.270999999997748e-05,0.0001890405882352536,0.0003238194117646809,0.00045732023529408694,0.0005653919999999979,0.0006523614117646959,0.0007213948235294254,0.0007447256470588387,0.0007276368235294428,0.0007201180000000335,0.0007243862352941527,0.0007165797647059047,0.0007150117647058973,0.000719864117647101,0.0007224858823529634,0.0006609076470588532,0.0005630920000000289,0.00048214458823532536,0.0004467395882353231,0.00043425900000002016,0.00041827605882353847,0.00043052958823529275,0.0004831901764705826,0.0006205028823529357,0.0007000587647058576,0.0007557722941176209,0.0007357417058823229,0.0007058169999999697,0.0006631764117646932,0.0006273887647058607,0.0005908705294117439,0.0005539926470587986,0.0005724120588235238,0.0005638277058823277,0.0004668597647058542,0.0003251044705882139,0.00018268682352938492,5.9597647059095316e-06,-0.00020781317647058928,-0.0005010867058823504,-0.0007664261176470594,-0.0009141693529411687,-0.0009955405294117675,-0.0010317326470588167,-0.0010842367647058981,-0.0011583026470588231,-0.0012648961764705896,-0.0013706282941176456,-0.0014847531176470363,-0.0015985254705881968,-0.001638892882352902,-0.0015997619999999768,-0.001531959058823501,-0.0014258467058823748,-0.0012689490588235486,-0.0010704046470588063,-0.0008803464117646959,-0.0009331902352941179,-0.0008433409999999836,-0.0008007894941176597,-0.0007429587142857158,-0.0006654690452488621,-0.0005712690882352656,-0.0004789066256684349,-0.00040344296470590235,-0.0003270371830065705,-0.00022933859477128338,-0.00018260653594773246,-0.000153184183006555,-0.00013709712418301379,-0.00015345771241830064,-0.0002102874183006892,-0.0002020203594771397,-5.070153594771698e-05
pNuLoCRank	Medium
UniprotNLSRegion	
UniprotNESRegion	
SeqNLSRegion	
SeqNLSPMID	
nlsdbnes_region	
nlsdbnls_region	
validnes_region	
nesbase_region	
